Hotspot,Plants_O,Plants_E,Birds_O,Birds_E,Reptiles_O,Reptiles_E,Freshwater_Fishes_O,Freshwater_fishes_E,Amphibians_O,Amphibians_E,Mammals_O,Mammals_E
Tropical Andes,30000,15000,1728,584,610,275,380,131,1095,763,595,117
Tumbes-Choco-Magdalena,11000,2750,892,112,325,98,251,115,209,33,277,16
Atlantic Forest,20000,8000,936,148,306,94,350,133,516,323,312,48
Cerrado,10000,4400,605,16,225,33,800,200,205,34,300,10
Chilean Winter Rainfall and Valdivian Forest,3892,1957,226,12,41,27,43,24,44,32,69,19
Mesoamerica,17000,2941,1124,213,686,240,509,340,585,385,418,97
Madrean Pine-Oak Woodlands,5300,3975,525,23,384,37,84,18,213,59,304,14
Caribbean Islands,13000,6550,607,167,499,468,161,65,176,169,65,48
California Floristic Province,3488,2124,341,8,69,4,73,15,54,27,141,15
Guinean Forests of West Africa,9000,1800,793,75,206,52,512,143,229,88,315,47
Cape Floristic Region,9000,6210,324,6,100,22,34,14,47,16,109,0
Succulent Karoo,6356,2439,227,1,94,15,28,0,21,1,101,1
Maputal and Pondoland-Albany,8100,1900,541,0,205,36,73,20,73,11,197,3
Coastal Forests of Eastern Africa,4000,1750,636,12,250,54,219,32,95,10,236,7
Eastern Afromontane,7598,2356,1325,110,347,93,893,617,244,75,510,52
Horn of Africa,5000,2750,704,25,284,93,100,10,30,6,189,18
Madagascar and Indian Ocean Islands,13000,11600,313,183,381,367,164,97,250,249,200,192
Mediterranean Basin,22500,11700,497,32,228,77,216,63,91,41,216,27
Caucasus,6400,1600,381,2,87,20,127,12,18,3,146,12
Irano-Anatolian,6000,2500,364,0,116,13,90,30,20,3,150,9
Mountains of Central Asia,5500,1500,493,0,59,1,27,5,8,4,116,7
Western Ghats and Sri Lanka,5916,3049,457,35,265,176,191,139,204,156,143,27
Himalaya,10000,3160,979,15,177,49,269,33,111,46,269,18
Mountains of Southwest China,12000,3500,611,1,94,15,92,23,92,8,237,8
Indo-Burma,13500,7000,1277,73,518,204,1262,553,328,193,401,100
Sundaland,25000,15000,771,146,449,244,950,350,258,210,397,219
Wallacea,10000,1500,650,265,222,99,250,50,49,33,244,144
Philippines,9253,6091,535,185,235,160,281,67,94,78,178,113
Japan,5600,1950,368,15,64,28,214,52,53,46,104,52
Southwest Australia,5571,2948,285,10,177,27,20,10,32,22,55,13
East Melanesian Islands,8000,3000,365,154,114,54,52,3,50,45,100,44
New Zealand,2300,1865,198,89,37,37,39,25,7,4,12,4
New Caledonia,3270,2432,105,23,70,62,85,9,0,0,14,6
Polynesia-Micronesia,5330,3074,300,170,61,31,96,20,8,3,22,12
Forests of East Australia,8257,2144,632,28,321,70,80,10,120,38,133,6
