"cont","iso3","C2035","C2050","C2055","C2085","C2100"
"Africa","AGO",38094919,82120854,97997095,197050493,246499230
"Africa","BDI",49790,127336,156080,355137,480543
"Africa","BEN",510,510,510,510,510
"Africa","CAF",25624076,56334850,67600729,138457781,175187650
"Africa","CIV",46909003,107539141,132651718,148234263,148234263
"Africa","CMR",115240439,244283890,289555082,574966932,725240621
"Africa","COD",1233158892,2583662031,3076671825,6349311489,8106622449
"Africa","COG",74855653,154636001,183790216,368184585,462521675
"Africa","COM",185958,364829,416427,732609,895184
"Africa","ETH",7615749,15739844,18581385,36494426,45979251
"Africa","GAB",46867973,97037658,114683571,228142282,287918201
"Africa","GHA",9086887,19785939,23747388,50614822,65477964
"Africa","GIN",3542301,6486520,7544455,19375748,27059187
"Africa","GNB",130723,303772,362050,547208,547208
"Africa","GNQ",14673478,32295673,38479491,77362023,97350122
"Africa","KEN",5725510,11834689,14090022,29243124,38045279
"Africa","LBR",82501214,190795629,230989240,502331492,650209351
"Africa","MDG",197185639,444385885,537813527,554622469,554622469
"Africa","MUS",0,0,0,0,0
"Africa","MWI",848275,1435812,1435812,1435812,1435812
"Africa","MYT",69182,147612,175050,354088,449661
"Africa","NGA",3320162,7732818,9331106,19618425,24960749
"Africa","REU",0,0,0,0,0
"Africa","RWA",134884,406336,533268,1650484,2346576
"Africa","SLE",11408720,27410282,35052835,46424498,46424498
"Africa","SSD",255945,520716,619111,1277512,1683204
"Africa","TGO",2167,5321,6444,14204,18586
"Africa","TZA",9262247,22055895,27239696,69035321,93875628
"Africa","UGA",12829584,35691864,45303802,66072670,66072670
"Africa","ZMB",2423300,4929322,5792030,11026304,12273960
"America","BHS",386345,758743,894139,1830586,2320891
"America","BLZ",9655900,19168853,22749805,47739039,63637613
"America","BOL",347561015,706023300,825304868,1559158882,1943857078
"America","BRB",3482,7199,8454,16653,21075
"America","COL",269866198,503891005,583118087,1089942690,1363406282
"America","CRI",5148484,9791875,11410748,21841466,27427163
"America","CUB",10404389,18870373,21820941,40194093,50008505
"America","DMA",2038474,2053174,2053174,2053174,2053174
"America","DOM",6466785,12113299,14029626,26365947,33225402
"America","ECU",62402936,116105559,133080138,232918500,283519153
"America","GLP",24057,54934,65472,128560,157565
"America","GRD",15665,28241,33698,69385,85746
"America","GTM",37631800,78382975,92727194,187483039,210213766
"America","GUF",5252448,12423430,15001169,32087341,41731989
"America","GUY",19866477,45181801,53793777,107402259,135546693
"America","HND",44913930,79184858,90552975,166022680,196137496
"America","HTI",1402019,2813793,3314446,5972412,7154899
"America","JAM",953626,1880628,2195624,4207327,5289589
"America","KNA",1304,3598,4376,9817,12745
"America","LCA",20538,41054,48141,91660,114460
"America","MAF",41,150,194,392,475
"America","MEX",85418607,167959821,195757195,364767888,450142769
"America","MSR",5419,10203,11905,23082,28259
"America","MTQ",27016,62958,74910,144825,179710
"America","NIC",74566812,130064620,146164849,207024692,207024692
"America","PAN",9170178,17684581,20562960,39309073,49873991
"America","PER",344738545,691100457,806711021,1494355931,1840916980
"America","PRI",4793646,8753826,10025358,15170668,15170668
"America","PRY",85725799,167552874,193302936,272764583,272764583
"America","SLV",1043965,1881897,2155045,3735702,4495947
"America","SUR",28914695,58137675,67657573,124106424,152293578
"America","SXM",23,100,112,259,342
"America","TTO",367491,760345,902920,1825410,2320495
"America","VCT",2934,6761,8209,19384,26241
"America","VEN",86869782,167251364,195220034,374270950,470634439
"America","VGB",3657,9906,12183,28638,37564
"America","VIR",52039,109771,121529,218239,300190
"Asia","AUS-QLD",27695274,54541674,63516210,119678169,149340459
"Asia","BGD",6338606,13495751,15977588,32273524,41619110
"Asia","BRN",2094267,4263496,5015762,9673514,12022045
"Asia","BTN",1947381,3880910,4541003,8656021,10781620
"Asia","FJI",0,0,0,0,0
"Asia","IDN",1907325322,4732526116,5766524185,12432785492,15891254118
"Asia","IND-AND",319959,576764,666469,1264967,1588483
