"cont","iso3","for2000","for2005","for2010","for2015","for2019","andef","pdef","for2035","for2050","for2055","for2085","for2100","yrdis"
"Africa","AGO",5548858,5465917,5373830,5216217,5027173,38517,0.7,4410901,3833146,3640561,2485051,1907296,2149
"Africa","BDI",42449,41840,41176,40457,39935,138,0.3,37727,35657,34967,30827,28757,2308
"Africa","BEN",1143,442,156,88,86,8,6.4,0,0,0,0,0,2029
"Africa","CAF",8638813,8585497,8499507,8397528,8318674,20093,0.2,7997186,7695791,7595326,6992536,6691141,2433
"Africa","CIV",1494413,1397347,1314075,1173205,1068268,27312,2.3,631276,221596,85036,0,0,2058
"Africa","CMR",19632087,19565028,19458197,19221371,18925613,59176,0.3,17978797,17091157,16795277,15019997,14132357,2338
"Africa","COD",124739293,123480470,121564320,118398239,114395847,796497,0.7,101651895,89704440,85721955,61827045,49879590,2162
"Africa","COG",22379408,22315470,22237907,22072986,21873679,40470,0.2,21226159,20619109,20416759,19202659,18595609,2559
"Africa","COM",78923,78825,78623,77324,76658,218,0.3,73170,69900,68810,62270,59000,2370
"Africa","ETH",2732087,2712023,2672624,2624937,2597020,8400,0.3,2462620,2336620,2294620,2042620,1916620,2328
"Africa","GAB",23641896,23592742,23517252,23395688,23282378,26097,0.1,22864826,22473371,22342886,21559976,21168521,2911
"Africa","GHA",981239,937391,895024,863543,828271,7417,0.9,709599,598344,561259,338749,227494,2130
"Africa","GIN",330595,319030,306651,296058,281547,2789,0.9,236923,195088,181143,97473,55638,2119
"Africa","GNB",22454,21795,20587,19105,17838,305,1.6,12958,8383,6858,0,0,2077
"Africa","GNQ",2551414,2543082,2529027,2488300,2454747,8253,0.3,2322699,2198904,2157639,1910049,1786254,2316
"Africa","KEN",1166645,1121921,1069664,1026034,996031,8181,0.8,865135,742420,701515,456085,333370,2140
"Africa","LBR",6286906,6214070,6094711,5901464,5597166,55283,0.9,4712638,3883393,3606978,1948488,1119243,2120
"Africa","MDG",8375430,7293726,6516523,5717435,5236628,142211,2.4,2961252,828087,117032,0,0,2055
"Africa","MUS",38729,38203,37655,37126,37126,59,0.2,36182,35297,35002,33232,32347,2648
"Africa","MWI",43771,41680,37939,32646,29314,958,2.8,13986,0,0,0,0,2049
"Africa","MYT",23273,23197,23065,22062,21906,129,0.6,19842,17907,17262,13392,11457,2188
"Africa","NGA",751813,741663,734434,723020,713012,2380,0.3,674932,639232,627332,555932,520232,2318
"Africa","REU",264760,173862,169230,155789,150226,2112,1.3,116434,84754,74194,10834,0,2090
"Africa","RWA",129787,128586,127143,125081,122648,499,0.4,114664,107179,104684,89714,82229,2264
"Africa","SLE",563981,546492,505843,468503,418249,9733,2.1,262521,116526,67861,0,0,2061
"Africa","SSD",354598,351040,345990,341382,337553,937,0.3,322561,308506,303821,275711,261656,2379
"Africa","TGO",1876,1614,1481,1424,1411,8,0.5,1283,1163,1123,883,763,2195
"Africa","TZA",2256178,2190824,2103956,1984636,1913075,21209,1.1,1573731,1255596,1149551,513281,195146,2109
"Africa","UGA",1065380,1026768,940462,842092,784526,17326,2,507310,247420,160790,0,0,2064
"Africa","ZMB",232246,220971,209645,191360,186743,2545,1.3,146023,107848,95123,18773,0,2092
"America","BHS",250810,248692,242740,239003,231509,1248,0.5,211541,192821,186581,149141,130421,2204
"America","BLZ",1812651,1778355,1732753,1646168,1582646,16679,1,1315782,1065597,982202,481832,231647,2113
"America","BOL",53855014,53216087,52091406,50770973,49651617,271088,0.5,45314209,41247889,39892449,31759809,27693489,2202
"America","BRB",4207,4186,4139,3996,3943,22,0.5,3591,3261,3151,2491,2161,2198
"America","COL",74298693,73572534,72537409,71641257,70518102,224367,0.3,66928230,63562725,62440890,55709880,52344375,2333
"America","CRI",3371174,3329861,3256469,3208573,3160636,10648,0.3,2990268,2830548,2777308,2457868,2298148,2315
"America","CUB",3486771,3432845,3370546,3328144,3149249,24589,0.8,2755825,2386990,2264045,1526375,1157540,2147
"America","DMA",73723,73575,73273,72945,47123,2906,4.8,627,0,0,0,0,2035
"America","DOM",2116332,2069329,1985594,1922008,1847265,15370,0.8,1601345,1370795,1293945,832845,602295,2139
"America","ECU",16416043,16300291,16074977,15863024,15692131,42538,0.3,15011523,14373453,14160763,12884623,12246553,2387
"America","GLP",91521,90931,90309,89560,89268,116,0.1,87412,85672,85092,81612,79872,2788
"America","GRD",27149,26335,26028,25685,25488,60,0.2,24528,23628,23328,21528,20628,2443
"America","GTM",6590548,6353080,5928392,5630769,5262270,74014,1.3,4078046,2967836,2597766,377346,0,2090
"America","GUF",8179361,8167182,8150454,8127695,8111141,4368,0.1,8041253,7975733,7953893,7822853,7757333,3875
"America","GUY",18950672,18924637,18890100,18839617,18768927,13464,0.1,18553503,18351543,18284223,17880303,17678343,3413
"America","HND",6047666,5927123,5725965,5503698,5111765,68244,1.3,4019861,2996201,2654981,607661,0,2093
"America","HTI",545559,540418,533546,521491,493402,4460,0.9,422042,355142,332842,199042,132142,2129
"America","JAM",749161,741537,724047,712452,703117,2326,0.3,665901,631011,619381,549601,514711,2321
"America","KNA",12452,12340,12230,12178,12160,8,0.1,12032,11912,11872,11632,11512,3539
"America","LCA",49984,49886,49565,49257,49025,60,0.1,48065,47165,46865,45065,44165,2836
"America","MAF",1628,1616,1605,1589,1586,2,0.1,1554,1524,1514,1454,1424,2812
"America","MEX",37478385,36928826,36015501,35203824,34295906,191066,0.5,31238850,28372860,27417530,21685550,18819560,2198
"America","MSR",4159,4141,4080,3958,3943,15,0.4,3703,3478,3403,2953,2728,2281
"America","MTQ",70338,69663,68776,68043,67877,100,0.1,66277,64777,64277,61277,59777,2697
"America","NIC",6469519,6313078,5964620,5563143,5094991,96625,1.7,3548991,2099616,1616491,0,0,2071
"America","PAN",5217702,5157378,5025265,4945340,4863696,17952,0.4,4576464,4307184,4217424,3678864,3409584,2289
"America","PER",76651403,76309685,75634912,74678578,73780869,206005,0.3,70484789,67394714,66364689,60184539,57094464,2377
"America","PRI",503696,499184,493806,490006,426263,7505,1.6,306183,193608,156083,0,0,2075
"America","PRY",9758241,9203066,8568484,7746794,7321908,138508,1.7,5105780,3028160,2335620,0,0,2071
"America","SLV",574758,559959,546297,537946,526425,2208,0.4,491097,457977,446937,380697,347577,2257
"America","SUR",13939785,13922708,13897515,13840527,13774819,13633,0.1,13556691,13352196,13284031,12875041,12670546,3029
"America","SXM",846,843,835,830,827,1,0.1,811,796,791,761,746,2846
"America","TTO",383583,379665,373136,366418,362708,1159,0.3,344164,326779,320984,286214,268829,2331
"America","VCT",26701,26659,26541,26401,26336,23,0.1,25968,25623,25508,24818,24473,3164
"America","VEN",51141950,50825964,50390983,50023205,49533864,95235,0.2,48010104,46581579,46105404,43248354,41819829,2539
"America","VGB",6841,6830,6804,6781,6529,31,0.5,6033,5568,5413,4483,4018,2229
"America","VIR",18100,17882,17638,17487,16214,158,0.9,13686,11316,10526,5786,3416,2121
"Asia","AUS-QLD",3306503,3272071,3223123,3158163,3104177,13216,0.4,2892721,2694481,2628401,2231921,2033681,2253
"Asia","BGD",995456,980383,957233,929717,866638,10066,1.1,705582,554592,504262,202282,51292,2105
"Asia","BRN",517653,513460,506292,497998,492533,1529,0.3,468069,445134,437489,391619,368684,2341
"Asia","BTN",2502549,2500655,2496879,2490051,2485688,1243,0,2465800,2447155,2440940,2403650,2385005,4018
"Asia","FJI",1380301,1374661,1364456,1355055,1342110,2483,0.2,1302382,1265137,1252722,1178232,1140987,2559
"Asia","IDN",146919317,143625270,136572585,128877634,122876627,1521773,1.2,98528259,75701664,68092799,22439609,0,2099
"Asia","IND-AND",685663,680522,672729,669444,668838,432,0.1,661926,655446,653286,640326,633846,3567
"Asia","IND-WEST",2940671,2928377,2907680,2889875,2869722,4218,0.1,2802234,2738964,2717874,2591334,2528064,2699
"Asia","IND-EAST",16196768,16016500,15755656,15439851,14995044,84512,0.5,13642852,12375172,11952612,9417252,8149572,2196
"Asia","KHM",6724253,6559934,6179226,5315568,4895426,142644,2.6,2613122,473462,0,0,0,2053
"Asia","LAO",17728901,17500253,16955932,16123285,14976721,219912,1.4,11458129,8159449,7059889,462529,0,2087
"Asia","LKA",2980183,2968117,2936603,2894277,2857844,8751,0.3,2717828,2586563,2542808,2280278,2149013,2345
"Asia","MMR",36753832,36495992,35868487,34963277,33969726,210973,0.6,30594158,27429563,26374698,20045508,16880913,2180
"Asia","MYS",28149043,27029727,24960080,22509275,20661330,477639,2.1,13019106,5854521,3466326,0,0,2062
"Asia","NCL",889607,887334,883219,880966,879075,460,0.1,871715,864815,862515,848715,841815,3930
"Asia","PHL",16207646,16058877,15787242,15444678,15102741,76056,0.5,13885845,12745005,12364725,10083045,8942205,2217
"Asia","PNG",41074842,40896880,40634040,40281517,39705818,103136,0.3,38055642,36508602,35992922,32898842,31351802,2403
"Asia","SGP",12972,12806,12440,12133,11616,92,0.8,10144,8764,8304,5544,4164,2145
"Asia","SLB",2776802,2764599,2732405,2684180,2612620,13309,0.5,2399676,2200041,2133496,1734226,1534591,2215
"Asia","THA",13979276,13798937,13416917,13000118,12550058,96318,0.7,11008970,9564200,9082610,6193070,4748300,2149
"Asia","TLS",509669,504953,496199,491024,487567,959,0.2,472223,457838,453043,424273,409888,2527
"Asia","VNM",13293874,13113321,12652275,11958432,11192285,162221,1.4,8596749,6163434,5352329,485699,0,2087
"Asia","VUT",1213294,1212089,1210073,1207479,1201438,959,0.1,1186094,1171709,1166914,1138144,1123759,3271
"Brazil","BRA-AC",14626158,14386959,14053262,13794227,13491513,62417,0.5,12492849,11556601,11244519,8961103,7475661,2129
"Brazil","BRA-AL",307823,298681,286245,277393,273681,1396,0.5,251345,230405,223425,0,0,2074
"Brazil","BRA-AM",151234582,150857304,150214143,149541307,148382301,203538,0.1,145125692,142072621,141054930,134537868,130935602,2181
"Brazil","BRA-AP",11997967,11945536,11875179,11805224,11708000,18575,0.2,11410792,11132160,11039282,10071098,9243271,2136
"Brazil","BRA-BA",7603802,7314663,6934975,6530948,6234609,77818,1.2,4989515,3822240,3433148,687677,0,2092
"Brazil","BRA-CE",641321,626023,613708,579258,564368,5482,0.9,476652,394418,367007,0,0,2077
"Brazil","BRA-ES",1516442,1433337,1368540,1287609,1196543,19111,1.5,890771,604110,508556,0,0,2073
"Brazil","BRA-GO",3465673,3315130,3193497,3090793,2976239,24140,0.8,2590003,2227906,2107207,972093,60802,2101
"Brazil","BRA-MA",15694607,15252651,14527515,13477515,11816749,301196,2.3,6997608,2479664,973682,0,0,2059
"Brazil","BRA-MG",9985578,9593801,9114599,8720932,8357680,84102,1,7012046,5750515,5330004,2396021,585295,2104
"Brazil","BRA-MS",6281373,5964223,5732233,5547096,5450219,31335,0.6,4948860,4478836,4322162,2971194,1951976,2114
"Brazil","BRA-MT",49814821,46117258,43883077,42114767,40121022,418006,1,33432925,27162834,25072803,12121701,5302416,2111
"Brazil","BRA-PA",106043555,103109038,99604510,97146416,93176358,714239,0.7,81748533,71034947,67463751,45625659,34362878,2136
"Brazil","BRA-PB",302188,288669,273178,261446,258667,1612,0.6,232870,208685,200623,0,0,2073
"Brazil","BRA-PE",476244,462827,443733,428457,424249,2165,0.5,389610,357137,346312,0,0,2080
"Brazil","BRA-PI",3236029,3191628,3139297,3015642,2867426,30208,1,2384100,1930983,1779943,462788,0,2094
"Brazil","BRA-PR",7395988,7142675,6819804,6471951,6221051,66528,1,5156601,4158679,3826038,1419275,0,2099
"Brazil","BRA-RJ",1609986,1598128,1584962,1567766,1546117,4316,0.3,1477059,1412318,1390737,850334,236397,2104
"Brazil","BRA-RN",217079,208614,195209,185281,182613,1400,0.7,160219,139226,132228,0,0,2068
"Brazil","BRA-RO",18386913,17081423,16016924,15232658,14348000,185436,1.2,11381023,8599482,7672301,1698299,0,2094
"Brazil","BRA-RR",17468277,17313605,17147249,17035613,16575573,63520,0.4,15559259,14606465,14288868,11972360,10470371,2135
"Brazil","BRA-RS",6944075,6815302,6665841,6470397,6287644,42022,0.6,5615293,4984965,4774855,3103278,1923755,2113
"Brazil","BRA-SC",6025878,5832116,5590473,5372911,5177274,45911,0.8,4442698,3754033,3524477,1736227,498367,2105
"Brazil","BRA-SE",251051,234724,207897,195844,188713,2132,1.1,154607,122633,111975,0,0,2066
"Brazil","BRA-SP",5883247,5685551,5451186,5228813,5141707,34387,0.6,4591523,4075726,3903793,2461278,1396286,2112
"Brazil","BRA-TO",5460872,5319285,5136899,4903599,4542715,66020,1.4,3486387,2496080,2165978,0,0,2083
