"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"Africa","AGO",1.08,-0.665,NA,-0.271,-0.75,-0.417,NA,-0.553,-0.342,5.81
"Africa","BDI",3.86,-2.16,-0.139,-0.212,-0.444,-0.567,-0.438,-0.472,-0.0997,31
"Africa","BEN",10.1,NA,NA,NA,-2.04,NA,NA,-0.595,NA,417
"Africa","CAF",0.784,NA,-0.0696,NA,-1.35,-0.593,-0.177,-0.329,-0.797,9.88
"Africa","CIV",0.51,-0.0861,NA,-0.151,-0.338,NA,NA,-0.179,-0.0687,7.21
"Africa","CMR",0.834,-0.753,-0.0291,-0.178,-0.845,-0.54,NA,-0.787,-0.423,6.15
"Africa","COD",-1.15,-0.339,NA,-0.0741,-2.11,-2.07,-0.0259,-0.517,-0.26,3.87
"Africa","COG",-0.602,-0.409,NA,-0.0593,-1.43,-0.774,-0.131,-1.12,-0.428,11.2
"Africa","COM",-0.41,NA,NA,-0.0145,-0.407,-1.1,NA,-0.131,NA,8.14
"Africa","ETH",0.875,-0.294,NA,-0.404,-0.706,-0.533,NA,NA,NA,5.15
"Africa","GAB",-0.52,-0.341,-0.335,-0.0744,-0.498,-0.621,-0.0242,-0.843,-0.489,9.04
"Africa","GHA",1.39,-0.825,-0.389,-0.0925,-0.587,-0.198,NA,-0.225,-0.472,9.89
"Africa","GIN",1.15,-1.02,NA,-0.258,-0.881,-0.347,-0.164,-0.106,-0.106,6.32
"Africa","GNB",1.28,0.00592,NA,-0.0621,-0.977,-0.183,NA,NA,-0.357,18.1
"Africa","GNQ",-0.831,-0.113,-0.163,-0.259,-0.319,-0.604,NA,-0.738,-0.0366,3.5
"Africa","KEN",-1.08,-0.258,-0.42,-0.256,-0.545,-1.17,NA,-0.729,-0.272,9.39
"Africa","LBR",-0.25,-0.822,-0.62,-0.174,-0.94,-0.443,NA,-0.394,-0.243,3.11
"Africa","MDG",-1.13,-0.392,-0.375,-0.109,-1.44,-1.75,NA,NA,NA,3.02
"Africa","MUS",-0.642,-0.439,-0.273,-0.424,-0.282,-0.29,-0.0745,-0.0574,-0.166,2.81
"Africa","MWI",-1.17,NA,-0.395,-0.482,-0.28,NA,-0.469,-0.46,-0.0521,16.1
"Africa","MYT",0.0193,-0.453,-0.0649,-0.156,-0.271,-0.335,NA,NA,-0.112,0.771
"Africa","NGA",1.61,-0.243,NA,-0.315,-0.675,-0.165,NA,-0.819,-0.126,10.7
"Africa","REU",-1,-0.203,NA,-0.34,-1.04,-2.33,NA,NA,NA,3.15
"Africa","RWA",2.73,-0.805,NA,-0.0179,-0.368,-0.635,-0.24,-0.721,-0.633,14.2
"Africa","SLE",0.0134,NA,-0.387,-0.0736,-0.886,-0.334,NA,-0.168,NA,2.32
"Africa","SSD",8.93,-0.538,-0.239,-0.0918,-0.91,NA,-0.0711,-0.994,-0.352,42.8
"Africa","TGO",-2.25,-1.71,NA,-1.19,-0.13,-0.239,NA,-0.0548,-0.042,7.59
"Africa","TZA",0.368,-0.747,-0.59,-0.343,-0.519,-0.228,-0.0601,-0.602,-0.148,6.83
"Africa","UGA",-0.0423,-0.723,-0.116,NA,-0.951,-0.562,-0.0315,-0.0284,-0.134,6.51
"Africa","ZMB",2.68,-0.214,-0.239,-0.432,-1.2,NA,-0.287,-0.58,-0.465,34.2
"America","BHS",-1.36,NA,-0.0524,-0.116,-0.326,-0.247,-0.0142,NA,-0.294,16.8
"America","BLZ",-0.698,-1.24,-0.0211,-0.271,-1.25,NA,NA,-0.423,-0.306,8.5
"America","BOL",-0.774,-0.413,-0.637,-0.376,-0.92,-0.764,NA,-0.432,-0.279,8.59
"America","BRB",-0.996,-0.91,NA,-0.202,-0.246,NA,-0.161,-0.0379,-0.0474,4.05
"America","COL",-1.41,-0.363,-0.441,-0.24,-1.71,-0.759,-0.0732,-0.452,-0.388,4.85
"America","CRI",-0.593,-0.272,-0.378,-0.379,-0.842,-0.194,-0.0249,-0.213,-0.105,2.79
"America","CUB",-0.965,-0.368,NA,-0.0566,-0.248,-0.193,-0.166,NA,-0.146,10.1
"America","DMA",-0.649,NA,NA,-0.137,NA,NA,NA,NA,NA,5.61
"America","DOM",-0.165,-0.46,NA,-0.107,-0.318,-0.142,NA,NA,NA,3.38
"America","ECU",-0.819,-1.06,-0.106,-0.356,-1.32,-0.85,-0.0553,-0.624,-0.205,3.86
"America","GLP",-0.684,-1.52,-0.0177,-0.275,-0.439,-0.805,NA,-0.0793,NA,9.09
"America","GRD",-1.22,NA,NA,-0.0792,NA,-0.0467,NA,NA,NA,15.8
"America","GTM",-0.691,-0.273,-0.267,-0.189,-1.22,-0.371,-0.00034,-0.0815,-0.0453,2.66
"America","GUF",-0.158,-1.04,-0.51,-0.0365,-0.851,-0.44,NA,-1.24,-0.453,7.76
"America","GUY",-0.615,-0.343,-0.747,-0.168,-0.594,-0.455,-0.263,-0.69,-0.422,12
"America","HND",-0.606,-0.14,-0.0886,-0.26,-0.537,NA,-0.00679,NA,NA,2.46
"America","HTI",-0.0854,NA,NA,-0.0758,-0.257,NA,NA,NA,NA,4.34
"America","JAM",-0.321,-0.132,-0.268,-0.27,-0.3,-0.398,NA,-0.03,-0.137,2.69
"America","KNA",-3.88,NA,-0.0977,-0.501,-0.491,-0.421,-0.0274,NA,-0.078,15.3
"America","LCA",-0.821,-0.141,-0.176,-0.179,-0.224,-0.185,-0.0734,NA,NA,1.64
"America","MAF",-5.72,-0.433,-0.619,-0.328,NA,NA,-0.605,NA,-0.494,77.9
"America","MEX",-0.416,-0.58,-0.167,-0.356,-3.55,-0.808,NA,-0.271,-0.0615,4.2
"America","MSR",-3.04,NA,-0.2,-0.219,NA,-0.287,-1.47,NA,NA,29
"America","MTQ",-0.575,NA,-0.171,-0.24,-0.592,-1.04,-0.18,-0.184,NA,1.29
"America","NIC",-0.984,-0.218,-0.053,-0.185,-0.464,NA,NA,NA,-0.0192,3.1
"America","PAN",-0.612,-0.302,-0.398,-0.192,-1.12,-0.0925,NA,-0.339,NA,3.38
"America","PER",-0.572,-0.819,-0.639,-0.295,-1.61,-0.587,-0.236,-0.472,-0.693,6.18
"America","PRI",-1.09,NA,NA,-0.0512,NA,NA,NA,NA,NA,6.99
"America","PRY",-0.33,-0.167,NA,-0.0717,-0.469,NA,NA,-0.171,NA,10.4
"America","SLV",-0.327,-0.176,NA,-0.344,-0.427,NA,NA,NA,NA,2.53
"America","SUR",-0.438,-0.343,-0.54,-0.0725,-0.96,NA,-0.111,-1.45,-0.44,11.9
"America","SXM",-4.74,NA,-0.736,-0.118,-0.931,NA,NA,NA,NA,24.9
"America","TTO",-0.517,-0.241,-0.0846,-0.223,-0.542,-0.744,NA,-0.236,-0.106,1.89
"America","VCT",-2.6,-0.144,NA,-0.126,-0.76,-0.217,NA,NA,-0.132,4.12
"America","VEN",-1.24,-0.0582,-0.409,-0.183,-1.16,-0.831,-0.124,-0.442,-0.598,7.88
"America","VGB",-2.36,NA,NA,-0.421,NA,NA,NA,NA,NA,32.8
"America","VIR",-1.96,NA,NA,-0.217,NA,NA,NA,-0.607,NA,40.8
"Asia","AUS-QLD",-4.19,-0.401,NA,-0.019,-0.52,-0.273,NA,-0.164,NA,14.1
"Asia","BGD",-0.461,-0.105,NA,-0.185,-0.409,-0.209,-0.0136,-0.106,-0.0898,2.83
"Asia","BRN",-0.147,-1.54,-0.499,-0.222,-1.12,NA,NA,-0.519,-0.331,16
"Asia","BTN",-0.00422,-0.394,-0.433,-0.167,-0.759,-0.648,-0.156,-0.317,-0.0637,5.23
"Asia","FJI",0.314,-0.506,NA,-0.343,-0.385,-0.194,-0.494,-0.202,NA,13.8
"Asia","IDN",-1.34,-0.78,-0.504,-0.323,-0.739,-0.201,-0.00879,-0.368,-0.114,7.51
"Asia","IND-AND",-0.296,-0.104,-0.397,-0.36,-1.06,-0.926,NA,-0.356,NA,12
"Asia","IND-WEST",0.71,-0.522,-0.0875,-0.427,-0.813,-0.537,-0.0691,-0.272,-0.187,4.44
"Asia","IND-EAST",-0.896,-0.11,-0.105,-0.438,-1.25,-0.541,NA,-0.251,-0.106,2.85
"Asia","KHM",-1.19,-0.206,-0.918,-0.552,-0.595,NA,NA,-0.588,-0.181,10.1
