"cont","iso3","Mean","Sd","CI_low","CI_high"
"Africa","AGO",-0.665,0.48,-1.62,0.304
"Africa","BDI",-2.16,0.382,-2.94,-1.43
"Africa","BEN",NA,NA,NA,NA
"Africa","CAF",NA,NA,NA,NA
"Africa","CIV",-0.0861,0.0759,-0.219,0.0598
"Africa","CMR",-0.753,0.127,-1.01,-0.51
"Africa","COD",-0.339,0.0679,-0.477,-0.207
"Africa","COG",-0.409,0.105,-0.605,-0.184
"Africa","COM",NA,NA,NA,NA
"Africa","ETH",-0.294,0.0819,-0.445,-0.135
"Africa","GAB",-0.341,0.108,-0.559,-0.126
"Africa","GHA",-0.825,0.0757,-0.972,-0.667
"Africa","GIN",-1.02,0.0828,-1.18,-0.857
"Africa","GNB",0.00592,0.856,-1.42,1.6
"Africa","GNQ",-0.113,0.0887,-0.287,0.0644
"Africa","KEN",-0.258,0.0748,-0.4,-0.115
"Africa","LBR",-0.822,0.11,-1.04,-0.628
"Africa","MDG",-0.392,0.0884,-0.563,-0.219
"Africa","MUS",-0.439,0.0869,-0.609,-0.276
"Africa","MWI",NA,NA,NA,NA
"Africa","MYT",-0.453,0.141,-0.732,-0.168
"Africa","NGA",-0.243,0.0769,-0.391,-0.0944
"Africa","REU",-0.203,0.131,-0.464,0.0696
"Africa","RWA",-0.805,0.298,-1.36,-0.251
"Africa","SLE",NA,NA,NA,NA
"Africa","SSD",-0.538,0.12,-0.783,-0.314
"Africa","TGO",-1.71,0.26,-2.22,-1.21
"Africa","TZA",-0.747,0.069,-0.875,-0.613
"Africa","UGA",-0.723,0.0693,-0.855,-0.583
"Africa","ZMB",-0.214,0.184,-0.6,0.138
"America","BHS",NA,NA,NA,NA
"America","BLZ",-1.24,0.121,-1.5,-1.02
"America","BOL",-0.413,0.0636,-0.547,-0.295
"America","BRB",-0.91,0.342,-1.61,-0.226
"America","COL",-0.363,0.0537,-0.466,-0.261
"America","CRI",-0.272,0.0818,-0.419,-0.111
"America","CUB",-0.368,0.0994,-0.556,-0.165
"America","DMA",NA,NA,NA,NA
"America","DOM",-0.46,0.0732,-0.608,-0.319
"America","ECU",-1.06,0.0991,-1.27,-0.871
"America","GLP",-1.52,0.289,-2.12,-0.988
"America","GRD",NA,NA,NA,NA
"America","GTM",-0.273,0.0792,-0.428,-0.11
"America","GUF",-1.04,0.178,-1.41,-0.683
"America","GUY",-0.343,0.207,-0.738,0.0612
"America","HND",-0.14,0.0636,-0.262,-0.0239
