"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"Africa","AGO","icar",29,82,75,50,60,75,75,50,50,10000,10000
"Africa","AGO","glm",12,74,67,50,51,67,67,35,35,10000,10000
"Africa","AGO","rf",77,74,68,50,51,68,68,36,36,10000,10000
"Africa","BDI","icar",31,85,78,50,64,78,78,56,56,10000,9970
"Africa","BDI","glm",23,81,74,50,58,73,74,47,47,10000,9970
"Africa","BDI","rf",87,92,84,50,73,84,84,69,69,10000,9970
"Africa","BEN","icar",NA,96,93,51,85,92,93,85,85,953,776
"Africa","BEN","glm",5,72,64,51,43,60,68,28,28,953,776
"Africa","BEN","rf",84,75,69,50,50,66,72,38,38,953,776
"Africa","CAF","icar",46,90,84,50,72,84,84,67,67,10000,10000
"Africa","CAF","glm",31,87,80,50,67,80,80,61,61,10000,10000
"Africa","CAF","rf",85,89,83,50,71,83,83,66,66,10000,10000
"Africa","CIV","icar",36,85,76,50,61,76,76,52,52,10000,10000
"Africa","CIV","glm",10,70,64,50,47,64,64,29,29,10000,10000
"Africa","CIV","rf",77,74,67,50,50,67,67,34,34,10000,10000
"Africa","CMR","icar",39,87,80,50,66,80,80,60,60,18926,18925
"Africa","CMR","glm",23,82,75,50,60,75,74,49,49,18926,18925
"Africa","CMR","rf",81,85,77,50,63,77,77,54,54,18926,18925
"Africa","COD","icar",48,90,83,50,71,83,83,67,67,50000,50000
"Africa","COD","glm",40,89,82,50,69,82,82,64,64,50000,50000
"Africa","COD","rf",85,89,82,50,70,82,82,65,65,50000,50000
"Africa","COG","icar",45,90,82,50,70,82,83,65,65,21874,21872
"Africa","COG","glm",24,82,75,50,60,75,75,50,50,21874,21872
"Africa","COG","rf",84,89,81,50,69,81,81,63,63,21874,21872
"Africa","COM","icar",19,78,70,50,54,70,70,40,40,9998,9999
"Africa","COM","glm",12,72,66,50,49,66,66,32,32,9998,9999
"Africa","COM","rf",78,76,69,50,52,69,69,38,38,9998,9999
"Africa","ETH","icar",26,81,74,50,58,74,74,48,48,10000,10000
"Africa","ETH","glm",13,75,69,50,53,69,69,38,38,10000,10000
"Africa","ETH","rf",65,71,66,50,49,66,66,31,31,10000,10000
"Africa","GAB","icar",45,90,83,50,71,83,83,66,66,23280,23279
"Africa","GAB","glm",23,82,74,50,59,74,74,48,48,23280,23279
"Africa","GAB","rf",85,89,83,50,71,83,83,66,66,23280,23279
"Africa","GHA","icar",38,88,81,50,67,80,81,61,61,10000,10000
"Africa","GHA","glm",14,75,70,50,53,69,70,39,39,10000,10000
"Africa","GHA","rf",80,83,76,50,61,76,76,51,51,10000,10000
"Africa","GIN","icar",31,82,74,50,59,74,74,48,48,10000,10000
"Africa","GIN","glm",23,79,71,50,55,71,71,42,42,10000,10000
"Africa","GIN","rf",81,82,74,50,59,74,74,48,48,10000,10000
"Africa","GNB","icar",21,79,70,50,54,70,70,40,40,9981,9988
"Africa","GNB","glm",10,72,66,50,49,66,66,32,32,9981,9988
"Africa","GNB","rf",79,76,69,50,53,69,69,39,39,9981,9988
"Africa","GNQ","icar",27,83,76,50,61,76,76,52,52,9999,9999
"Africa","GNQ","glm",20,81,74,50,58,74,74,48,48,9999,9999
"Africa","GNQ","rf",82,85,78,50,63,78,78,56,56,9999,9999
"Africa","KEN","icar",41,88,81,50,68,81,81,62,62,9996,9999
"Africa","KEN","glm",25,81,74,50,58,74,74,47,47,9996,9999
"Africa","KEN","rf",83,86,79,50,65,79,79,58,58,9996,9999
"Africa","LBR","icar",33,84,77,50,63,77,77,55,55,10000,9999
"Africa","LBR","glm",24,81,74,50,59,74,74,48,48,10000,9999
"Africa","LBR","rf",80,81,74,50,59,74,74,49,49,10000,9999
"Africa","MDG","icar",31,83,75,50,60,75,75,50,50,9986,9997
"Africa","MDG","glm",22,81,73,50,58,73,73,47,47,9986,9997
"Africa","MDG","rf",79,79,71,50,55,71,71,42,42,9986,9997
"Africa","MUS","icar",16,75,71,53,44,61,77,38,38,9992,5862
"Africa","MUS","glm",14,75,71,53,44,61,77,38,38,9992,5862
"Africa","MUS","rf",84,87,81,53,59,74,85,59,59,9992,5862
"Africa","MWI","icar",35,87,79,50,65,79,79,58,58,10000,10000
"Africa","MWI","glm",16,76,71,50,54,70,71,41,41,10000,10000
"Africa","MWI","rf",86,91,84,50,72,84,84,67,67,10000,10000
"Africa","MYT","icar",5,65,61,50,43,60,61,21,21,9992,9999
"Africa","MYT","glm",5,64,60,50,43,60,61,21,21,9992,9999
"Africa","MYT","rf",77,74,67,50,50,67,67,34,34,9992,9999
"Africa","NGA","icar",41,88,80,50,67,80,80,60,60,9997,9998
"Africa","NGA","glm",22,81,73,50,58,73,73,47,47,9997,9998
"Africa","NGA","rf",82,85,77,50,63,77,77,54,54,9997,9998
"Africa","REU","icar",32,86,77,50,63,77,78,55,55,9997,9993
"Africa","REU","glm",26,83,75,50,60,75,75,50,50,9997,9993
"Africa","REU","rf",48,81,75,50,59,74,75,49,49,9997,9993
