"cont","iso3","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"Africa","AGO",24459066,22299881,34877627,48427250,77588616,93014798,108864735,141675929,175259186,192142528,209016018,242547871
"Africa","BDI",47540,29530,49063,72386,129560,160215,190008,254814,328871,369148,411075,501659
"Africa","BEN",310,510,510,510,510,510,510,510,510,510,510,510
"Africa","CAF",16078846,15397645,23547693,32863789,53586069,64541162,75849573,98919877,122609980,134690786,146907508,171619963
"Africa","CIV",28327659,28242922,42180674,57707591,98856203,123016389,146472699,146472699,146472699,146472699,146472699,146472699
"Africa","CMR",83186089,69136555,108697053,150668271,239281806,285197652,331900168,427053602,524569791,574076866,624092555,725521421
"Africa","COD",790948208,768696140,1191591856,1638620327,2590540699,3097062739,3622953518,4724026377,5872343143,6459009170,7052536281,8256515989
"Africa","COG",48233614,47936251,73421186,99921440,155955207,186464888,217478696,280821127,345583978,378235230,410875739,476032976
"Africa","COM",114480,117014,175564,233911,344283,398955,452030,557008,658416,709119,761839,875961
"Africa","ETH",5142747,4508980,6971615,9519141,14907806,17760790,20708679,26837758,33172897,36408699,39666851,46333893
"Africa","GAB",33566723,28179675,43975187,60359583,94701098,112679475,130900249,167962153,206240157,225776748,245507369,285373290
"Africa","GHA",5368950,5179643,8144023,11504201,18726300,22530648,26488862,34860882,43704115,48263069,52900526,62463356
"Africa","GIN",2262361,2327333,3374851,4385424,6325851,7344575,8609311,12303863,16888655,19335004,21858896,27070779
"Africa","GNB",82097,70297,116508,165890,281065,341611,394761,484390,540035,540035,540035,540035
"Africa","GNQ",10765798,8466341,13933446,19648502,31588901,37772084,44092729,57021925,70184894,76810330,83473385,96912190
"Africa","KEN",3304270,3368503,5138432,7023076,11064381,13213590,15414607,19935157,24770733,27349782,30034845,35655927
"Africa","LBR",57123400,48679620,80157467,115241665,191908238,233457715,276832057,368392982,464824885,514277161,564368024,666226283
"Africa","MDG",121016606,108542075,173214471,243664709,399282974,480547939,563973807,573554336,573554336,573554336,573554336,573554336
"Africa","MUS",0,0,0,0,0,0,0,0,0,0,0,0
"Africa","MWI",502868,522781,786175,1019183,1381724,1381724,1381724,1381724,1381724,1381724,1381724,1381724
"Africa","MYT",56704,37122,58726,81773,130184,155361,180993,234023,288856,317124,345382,402885
"Africa","NGA",2130658,1777372,3094097,4513578,7565585,9169722,10831571,14242370,17738146,19512048,21309087,24938828
"Africa","REU",0,0,0,0,0,0,0,0,0,0,0,0
"Africa","RWA",164809,70950,123020,195539,383341,507607,659874,1025069,1437877,1655415,1884172,2365184
"Africa","SLE",7661549,7153922,11042382,15190524,27148520,34831312,43154064,45463245,45463245,45463245,45463245,45463245
"Africa","SSD",247154,152872,241766,328244,511790,611514,716749,934764,1156900,1268849,1386540,1670959
"Africa","TGO",1401,1061,1824,2807,4808,5787,7007,9334,11738,13029,14309,17062
"Africa","TZA",6070810,4940567,8509430,12412965,21336591,26524000,32121968,44824379,59834107,68092346,76332234,92634757
"Africa","UGA",6386447,5684087,11014655,18037116,32594088,41677480,51125484,65576700,65576700,65576700,65576700,65576700
"Africa","ZMB",913493,1407865,2149086,2906397,4521103,5334902,6160053,7829060,9494298,10324392,11160034,12203348
"America","ATG",4186,1934,3363,4940,8230,9975,11955,14746,17696,19531,21554,26051
"America","BHS",292094,235137,345506,452953,693776,838130,992820,1319104,1651052,1812739,1973525,2312911
"America","BLZ",6257700,5839753,9028779,12139134,18601371,22133049,25837498,33733454,42860298,47944231,53239800,64303877
"America","BOL",231723949,227015465,356465999,489387746,757870432,893592101,1030344447,1307641347,1589519872,1732681517,1877146309,2170047628
"America","BRB",3297,3012,4593,6433,10075,11850,13481,17063,20593,22359,24136,27399
"America","COL",177097106,181620862,261823986,340791782,498469703,579171694,661221677,829419639,1003076015,1091853787,1181880568,1367076529
"America","CRI",3538908,3496645,5007893,6517862,9604304,11205122,12849219,16247783,19792697,21602463,23437791,27166668
"America","CUB",6693520,7108061,9366188,11833093,17180589,19957511,22734218,28184423,33601738,36415809,39282847,45116660
"America","DMA",1488990,1250626,1746421,2051135,2051135,2051135,2051135,2051135,2051135,2051135,2051135,2051135
"America","DOM",3995398,4009088,5980401,7893941,11593888,13458657,15367444,19341492,23459286,25580461,27740118,32163488
"America","ECU",35378343,38462632,58307225,77583165,114024733,131403246,148459778,181766814,214493072,230836552,247198537,279916163
"America","GLP",18559,12516,20268,29374,48940,58791,68921,88946,109485,119724,129563,148325
"America","GRD",12071,7951,13134,18287,27028,32643,38261,48970,59595,64897,70243,81343
"America","GTM",25071332,23119404,36044583,49453445,77912062,92797658,107157750,136435844,169406618,189446465,207179276,207179276
"America","GUF",5392178,3091652,4971758,7118338,11880907,14394976,16963953,22294740,28053531,31076918,34161061,40519452
"America","GUY",17659176,9855258,17826452,26343405,44793586,54415721,64197114,83986974,103883349,113894832,123912044,144179012
"America","HND",27265215,29113665,41176789,52775392,75666006,87223931,99022321,123871601,150901064,165456664,182185765,192867051
"America","HTI",897517,829416,1244732,1679266,2620766,3099307,3576965,4452782,5307311,5716944,6133570,6985864
"America","JAM",682158,577423,894139,1204285,1819996,2132550,2450019,3104494,3781612,4127534,4482107,5204310
"America","KNA",1816,641,1249,1979,3650,4436,5278,7065,8957,9836,10857,12788
