"cont","iso3","for2000","for2005","for2010","for2015","for2020","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"Africa","AGO",5548858,5465917,5373830,5216217,4991120,38271,0.7,4608410,4417055,4225700,3842990,3651635,3460280,3077570,2694860,2503505,2312150,1929440,2150
"Africa","BDI",42449,41840,41176,40457,39771,140,0.3,38371,37671,36971,35571,34871,34171,32771,31371,30671,29971,28571,2304
"Africa","BEN",1143,442,156,88,86,7,5.8,16,0,0,0,0,0,0,0,0,0,0,2032
"Africa","CAF",8638813,8585497,8499507,8397528,8299263,20024,0.2,8099023,7998903,7898783,7698543,7598423,7498303,7298063,7097823,6997703,6897583,6697343,2434
"Africa","CIV",1494413,1397347,1314075,1173205,1050671,26340,2.2,787271,655571,523871,260471,128771,0,0,0,0,0,0,2059
"Africa","CMR",19632087,19565028,19458197,19221371,18859677,59852,0.3,18261157,17961897,17662637,17064117,16764857,16465597,15867077,15268557,14969297,14670037,14071517,2335
"Africa","COD",124739293,123480470,121564320,118398239,113422535,814178,0.7,105280755,101209865,97138975,88997195,84926305,80855415,72713635,64571855,60500965,56430075,48288295,2159
"Africa","COG",22379408,22315470,22237907,22072986,21823480,41443,0.2,21409050,21201835,20994620,20580190,20372975,20165760,19751330,19336900,19129685,18922470,18508040,2546
"Africa","COM",78923,78825,78623,77324,76449,217,0.3,74279,73194,72109,69939,68854,67769,65599,63429,62344,61259,59089,2372
"Africa","ETH",2732087,2712023,2672624,2624937,2584952,8767,0.3,2497282,2453447,2409612,2321942,2278107,2234272,2146602,2058932,2015097,1971262,1883592,2314
"Africa","GAB",23641896,23592742,23517252,23395688,23256254,26100,0.1,22995254,22864754,22734254,22473254,22342754,22212254,21951254,21690254,21559754,21429254,21168254,2911
"Africa","GHA",981239,937391,895024,863543,822802,7222,0.8,750582,714472,678362,606142,570032,533922,461702,389482,353372,317262,245042,2133
"Africa","GIN",330595,319030,306651,296058,278528,2812,1,250408,236348,222288,194168,180108,166048,137928,109808,95748,81688,53568,2119
"Africa","GNB",22454,21795,20587,19105,17618,297,1.5,14648,13163,11678,8708,7223,5738,2768,0,0,0,0,2079
"Africa","GNQ",2551414,2543082,2529027,2488300,2446234,8279,0.3,2363444,2322049,2280654,2197864,2156469,2115074,2032284,1949494,1908099,1866704,1783914,2315
"Africa","KEN",1166645,1121921,1069664,1026034,991459,7820,0.8,913259,874159,835059,756859,717759,678659,600459,522259,483159,444059,365859,2146
"Africa","LBR",6286906,6214070,6094711,5901464,5528110,56660,1,4961510,4678210,4394910,3828310,3545010,3261710,2695110,2128510,1845210,1561910,995310,2117
"Africa","MDG",7431551,7209576,6859092,6286602,5502518,135657,2.2,4145948,3467663,2789378,1432808,754523,76238,0,0,0,0,0,2060
"Africa","MUS",38729,38203,37655,37126,37126,53,0.1,36596,36331,36066,35536,35271,35006,34476,33946,33681,33416,32886,2720
