"cont","iso3","Mean","Sd","CI_low","CI_high"
"Africa","AGO",-0.674,0.0541,-0.785,-0.566
"Africa","BDI",-0.459,0.0478,-0.557,-0.368
"Africa","BEN",-0.595,0.201,-1.16,-0.502
"Africa","CAF",-0.171,0.0691,-0.306,-0.0393
"Africa","CIV",-0.218,0.0661,-0.351,-0.0888
"Africa","CMR",-0.875,0.0502,-0.972,-0.773
"Africa","COD",-0.572,0.0291,-0.625,-0.514
"Africa","COG",-1.13,0.109,-1.33,-0.875
"Africa","COM",-0.0584,0.0312,-0.12,-0.000204
"Africa","ETH",NA,NA,NA,NA
"Africa","GAB",-0.813,0.0751,-0.952,-0.643
"Africa","GHA",-0.279,0.0364,-0.353,-0.21
"Africa","GIN",-0.112,0.0289,-0.169,-0.0588
"Africa","GNB",-0.283,0.174,-0.597,0.0214
"Africa","GNQ",-0.699,0.0341,-0.764,-0.632
"Africa","KEN",-0.626,0.0616,-0.752,-0.508
"Africa","LBR",-0.343,0.0496,-0.448,-0.257
"Africa","MDG",NA,NA,NA,NA
"Africa","MUS",-0.0574,0.0217,-0.0991,-0.0127
"Africa","MWI",-0.61,0.0526,-0.718,-0.504
"Africa","MYT",NA,NA,NA,NA
"Africa","NGA",-0.902,0.0761,-1.06,-0.746
"Africa","REU",NA,NA,NA,NA
"Africa","RWA",-0.806,0.0453,-0.894,-0.718
"Africa","SLE",-0.178,0.0411,-0.25,-0.0983
"Africa","SSD",-0.799,0.107,-1,-0.573
"Africa","TGO",-0.0703,0.0735,-0.205,0.0842
"Africa","TZA",-0.57,0.0685,-0.704,-0.432
"Africa","UGA",-0.142,0.046,-0.235,-0.0498
"Africa","ZMB",-0.613,0.114,-0.823,-0.389
"America","ATG",NA,NA,NA,NA
"America","BHS",NA,NA,NA,NA
"America","BLZ",-0.35,0.0836,-0.509,-0.166
"America","BOL",-0.417,0.0377,-0.483,-0.341
"America","BRB",-0.0303,0.0294,-0.091,0.0297
"America","COL",-0.407,0.179,-0.718,-0.109
"America","CRI",-0.154,0.0497,-0.247,-0.0635
"America","CUB",NA,NA,NA,NA
"America","DMA",NA,NA,NA,NA
"America","DOM",0.00374,0.036,-0.0725,0.0708
"America","ECU",-0.7,0.0749,-0.833,-0.555
"America","GLP",-0.0959,0.0443,-0.197,-0.0183
"America","GRD",NA,NA,NA,NA
"America","GTM",-0.1,0.0596,-0.216,0.0132
"America","GUF",-0.706,0.213,-1.08,-0.162
"America","GUY",-0.545,0.139,-0.815,-0.246
"America","HND",NA,NA,NA,NA
"America","HTI",NA,NA,NA,NA
"America","JAM",-0.0332,0.0273,-0.0851,0.022
"America","KNA",NA,NA,NA,NA
"America","LCA",NA,NA,NA,NA
"America","MAF",NA,NA,NA,NA
"America","MEX",-0.239,0.0329,-0.306,-0.176
"America","MSR",NA,NA,NA,NA
"America","MTQ",-0.136,0.0276,-0.192,-0.0843
"America","NIC",NA,NA,NA,NA
"America","PAN",-0.334,0.0735,-0.474,-0.184
"America","PER",-0.58,0.0791,-0.713,-0.405
"America","PRI",NA,NA,NA,NA
"America","PRY",-0.0498,0.0647,-0.172,0.0719
"America","SLV",NA,NA,NA,NA
"America","SUR",-1.05,0.254,-1.52,-0.435
"America","SXM",NA,NA,NA,NA
"America","TTO",-0.235,0.0334,-0.305,-0.172
"America","VCT",NA,NA,NA,NA
"America","VEN",NA,NA,NA,NA
"America","VGB",NA,NA,NA,NA
"America","VIR",-0.577,0.0775,-0.734,-0.433
"Asia","AUS-QLD",-0.405,0.0837,-0.574,-0.251
"Asia","BGD",0.00464,0.0523,-0.0952,0.114
"Asia","BRN",-0.599,0.139,-0.877,-0.312
"Asia","BTN",-0.252,0.0527,-0.361,-0.153
"Asia","FJI",-0.247,0.0566,-0.352,-0.132
"Asia","IDN",-0.382,0.0337,-0.464,-0.326
"Asia","IND-AND",-0.592,0.15,-0.909,-0.327
"Asia","IND-WEST",-0.341,0.037,-0.412,-0.267
