"cont","iso3","nfor","ndef","nforHa","ndefHa"
"Africa","AGO",10000,10000,900,900
"Africa","BDI",10000,9990,900,899
"Africa","BEN",953,776,86,70
"Africa","CAF",10000,10000,900,900
"Africa","CIV",10000,9999,900,900
"Africa","CMR",18860,18858,1697,1697
"Africa","COD",50000,50000,4500,4500
"Africa","COG",21823,21823,1964,1964
"Africa","COM",9995,10000,900,900
"Africa","ETH",10000,10000,900,900
"Africa","GAB",23256,23256,2093,2093
"Africa","GHA",9999,10000,900,900
"Africa","GIN",9999,10000,900,900
"Africa","GNB",9984,9985,899,899
"Africa","GNQ",9997,9995,900,900
"Africa","KEN",9994,9999,899,900
"Africa","LBR",10000,9999,900,900
"Africa","MDG",9997,9999,900,900
"Africa","MUS",9992,5862,899,528
"Africa","MWI",10000,10000,900,900
"Africa","MYT",9992,9999,899,900
"Africa","NGA",9999,9997,900,900
"Africa","REU",10000,9995,900,900
"Africa","RWA",10000,10000,900,900
"Africa","SLE",10000,9999,900,900
"Africa","SSD",7549,7251,679,653
"Africa","TGO",9985,820,899,74
"Africa","TZA",9999,9999,900,900
"Africa","UGA",10000,10000,900,900
"Africa","ZMB",10000,10000,900,900
"America","ATG",9972,4349,897,391
"America","BHS",9976,9981,898,898
"America","BLZ",9994,10000,899,900
"America","BOL",49028,49028,4413,4413
"America","BRB",9984,2785,899,251
"America","COL",49997,50000,4500,4500
"America","CRI",9995,9999,900,900
"America","CUB",9984,9986,899,899
"America","DMA",9979,9999,898,900
"America","DOM",9996,9999,900,900
"America","ECU",15659,15659,1409,1409
"America","GLP",9981,9994,898,899
"America","GRD",9932,6238,894,561
"America","GTM",10000,10000,900,900
"America","GUF",10000,9998,900,900
"America","GUY",18747,18747,1687,1687
"America","HND",9998,10000,900,900
"America","HTI",9995,9988,900,899
"America","JAM",9994,9997,899,900
"America","KNA",9990,884,899,80
"America","LCA",9990,6232,899,561
"America","MAF",9997,213,900,19
"America","MEX",34003,34003,3060,3060
"America","MSR",9975,1573,898,142
"America","MTQ",9966,9944,897,895
"America","NIC",9997,10000,900,900
"America","PAN",9992,9999,899,900
"America","PER",50000,50000,4500,4500
"America","PRI",9997,9996,900,900
"America","PRY",10000,10000,900,900
"America","SLV",9996,9999,900,900
"America","SUR",13755,13755,1238,1238
"America","SXM",9186,86,827,8
"America","TTO",9996,9995,900,900
"America","VCT",9952,2404,896,216
"America","VEN",49402,49400,4446,4446
"America","VGB",9958,3049,896,274
"America","VIR",9945,9984,895,899
"Asia","AUS-QLD",9994,9998,899,900
"Asia","BGD",10000,10000,900,900
"Asia","BRN",9988,9996,899,900
"Asia","BTN",10000,10000,900,900
"Asia","FJI",9992,9996,899,900
"Asia","IDN",49967,49993,4497,4499
"Asia","IND-AND",9970,9979,897,898
"Asia","IND-WEST",10000,10000,900,900
"Asia","IND-EAST",14915,14915,1342,1342
"Asia","KHM",9996,9998,900,900
"Asia","LAO",14667,14667,1320,1320
"Asia","LKA",9999,9998,900,900
"Asia","MMR",33726,33731,3035,3036
"Asia","MYS",20271,20287,1824,1826
"Asia","NCL",9979,9985,898,899
"Asia","PHL",15024,15036,1352,1353
"Asia","PNG",39603,39603,3564,3564
"Asia","SGP",9912,9870,892,888
"Asia","SLB",9941,9985,895,899
"Asia","THA",12457,12460,1121,1121
"Asia","TLS",9997,9997,900,900
"Asia","VNM",11045,11047,994,994
"Asia","VUT",9983,9985,898,899
"Brazil","BRA-AC",13406,13406,1207,1207
"Brazil","BRA-AL",9999,10000,900,900
"Brazil","BRA-AM",50000,49999,4500,4500
"Brazil","BRA-AP",11699,11698,1053,1053
"Brazil","BRA-BA",10000,10000,900,900
"Brazil","BRA-CE",10000,10000,900,900
"Brazil","BRA-ES",10000,9999,900,900
"Brazil","BRA-GO",10000,10000,900,900
"Brazil","BRA-MA",11606,11609,1045,1045
"Brazil","BRA-MG",10000,10000,900,900
"Brazil","BRA-MS",10000,10000,900,900
"Brazil","BRA-MT",39738,39738,3576,3576
"Brazil","BRA-PA",49999,50000,4500,4500
"Brazil","BRA-PB",9995,10000,900,900
"Brazil","BRA-PE",9998,10000,900,900
"Brazil","BRA-PI",10000,10000,900,900
"Brazil","BRA-PR",9998,10000,900,900
"Brazil","BRA-RJ",9996,10000,900,900
"Brazil","BRA-RN",9998,10000,900,900
"Brazil","BRA-RO",14162,14162,1275,1275
"Brazil","BRA-RR",16417,16417,1478,1478
"Brazil","BRA-RS",10000,10000,900,900
"Brazil","BRA-SC",10000,10000,900,900
"Brazil","BRA-SE",9994,10000,899,900
"Brazil","BRA-SP",9996,10000,900,900
"Brazil","BRA-TO",10000,10000,900,900
