"cont","iso3","for2000","for2010","for2019","andef","pdef","for2035","for2050","for2055","for2085","for2100","yrdis"
"Africa","AGO",7067409,5975964,5142997,92552,1.7,3662165,2273885,1811125,0,0,2074
"Africa","BDI",106221,64546,54004,1171,2,35268,17703,11848,0,0,2065
"Africa","BEN",80009,54849,41362,1499,3.1,17378,0,0,0,0,2046
"Africa","CAF",9661974,9224416,8782230,49132,0.5,7996118,7259138,7013478,5539518,4802538,2197
"Africa","CIV",7109224,5887631,4062075,202840,4,816635,0,0,0,0,2039
"Africa","CMR",23820866,23405700,22882468,58137,0.3,21952276,21080221,20789536,19045426,18173371,2412
"Africa","COD",130416287,125215337,117864149,816799,0.7,104795365,92543380,88459385,63955415,51703430,2163
"Africa","COG",23975243,23856606,23404432,50242,0.2,22600560,21846930,21595720,20088460,19334830,2484
"Africa","COM",67551,67452,67178,30,0,66698,66248,66098,65198,64748,4258
"Africa","ETH",3825093,2874231,2188778,76161,3,970202,0,0,0,0,2047
"Africa","GAB",24081167,24038120,23944649,10386,0,23778473,23622683,23570753,23259173,23103383,4324
"Africa","GHA",4667443,4286544,3559922,80736,2,2268146,1057106,653426,0,0,2063
"Africa","GIN",1824228,1228316,868663,39961,3.8,229287,0,0,0,0,2040
"Africa","GMB",53924,47369,44046,369,0.8,38142,32607,30762,19692,14157,2138
"Africa","GNB",417800,344133,305208,4325,1.3,236008,171133,149508,19758,0,2089
"Africa","GNQ",2633158,2629740,2607926,2424,0.1,2569142,2532782,2520662,2447942,2411582,3094
"Africa","KEN",1192495,912875,754044,17648,2.1,471676,206956,118716,0,0,2061
"Africa","LBR",8698314,8499479,7885174,68256,0.8,6793078,5769238,5427958,3380278,2356438,2134
"Africa","MDG",7792974,6260523,5126001,126058,2.2,3109073,1218203,587913,0,0,2059
"Africa","MUS",51684,49718,45609,457,1,38297,31442,29157,15447,8592,2118
"Africa","MWI",123508,77443,44893,3617,5.9,0,0,0,0,0,2031
"Africa","MYT",16658,16292,11876,491,3.5,4020,0,0,0,0,2043
"Africa","NGA",7611400,7100923,6325622,86145,1.3,4947302,3655127,3224402,640052,0,2092
"Africa","REU",151390,151248,145669,620,0.4,135749,126449,123349,104749,95449,2253
"Africa","RWA",283657,195074,154903,4463,2.5,83495,16550,0,0,0,2053
"Africa","SEN",138323,129718,122433,809,0.6,109489,97354,93309,69039,56904,2170
"Africa","SLE",3203924,2301744,1462457,93254,4.9,0,0,0,0,0,2034
"Africa","SSD",264633,203558,163035,4503,2.4,90987,23442,927,0,0,2055
"Africa","TGO",154800,102840,72800,3338,3.8,19392,0,0,0,0,2040
"Africa","TZA",1461791,1208694,1048384,17812,1.6,763392,496212,407152,0,0,2077
"Africa","UGA",1800936,1083010,736305,38523,4.2,119937,0,0,0,0,2038
"Africa","ZMB",211275,130837,91384,4384,3.9,21240,0,0,0,0,2039
"America","ATG",3997,3652,3068,65,1.9,2028,1053,728,0,0,2066
"America","BHS",188692,137650,113888,2640,2.1,71648,32048,18848,0,0,2062
"America","BLZ",1550608,1444532,1324647,13321,1,1111511,911696,845091,445461,245646,2118
"America","BOL",34907364,32398713,30449912,216533,0.7,26985384,23737389,22654724,16158734,12910739,2159
"America","BRB",5196,4630,3666,107,2.6,1954,349,0,0,0,2053
"America","COL",70119961,66773870,64274584,277698,0.4,59831416,55665946,54277456,45946516,41781046,2250
"America","CRI",2432466,2291247,2142714,16504,0.7,1878650,1631090,1548570,1053450,805890,2148
"America","CUB",1782768,1483584,1310090,19277,1.4,1001658,712503,616118,37808,0,2086
"America","DMA",76103,75305,71450,428,0.6,64602,58182,56042,43202,36782,2185
"America","DOM",1367965,1090076,928050,18003,1.8,640002,369957,279942,0,0,2070
"America","ECU",15397038,14675625,13923391,83582,0.6,12586079,11332349,10914439,8406979,7153249,2185
"America","GLP",85928,83138,78899,471,0.6,71363,64298,61943,47813,40748,2186
"America","GRD",27740,23663,20198,385,1.7,14038,8263,6338,0,0,2071
"America","GTM",3765801,2905921,2527882,42004,1.5,1855818,1225758,1015738,0,0,2079
"America","GUF",8155262,8125676,8101934,2638,0,8059726,8020156,8006966,7927826,7888256,5090
"America","GUY",18793938,18638184,18506381,14645,0.1,18272061,18052386,17979161,17539811,17320136,3282
"America","HND",3606449,3165893,2760798,45011,1.5,2040622,1365457,1140402,0,0,2080
"America","HTI",284420,179122,129807,5479,3.5,42143,0,0,0,0,2042
"America","JAM",522204,455525,421264,3807,0.9,360352,303247,284212,170002,112897,2129
"America","KNA",9959,9684,9316,41,0.4,8660,8045,7840,6610,5995,2246
"America","LCA",49584,48877,45855,336,0.7,40479,35439,33759,23679,18639,2155
"America","MAF",894,700,469,26,4.4,53,0,0,0,0,2037
"America","MEX",10190055,8035919,6971198,118302,1.6,5078366,3303836,2712326,0,0,2077
"America","MSR",3528,3494,3351,16,0.5,3095,2855,2775,2295,2055,2228
"America","MTQ",78862,76369,71364,556,0.8,62468,54128,51348,34668,26328,2147
"America","NIC",5136134,4407842,3619303,87615,2.2,2217463,903238,465163,0,0,2060
"America","PAN",4515887,4265938,4102347,18177,0.4,3811515,3538860,3447975,2902665,2630010,2244
"America","PER",74615062,73032132,71792738,137710,0.2,69589378,67523728,66835178,62703878,60638228,2540
"America","PRI",458743,383068,321762,6812,1.9,212770,110590,76530,0,0,2066
"America","PRY",2843848,1739173,1319087,46676,3,572271,0,0,0,0,2047
"America","SLV",134314,110999,97518,1498,1.4,73550,51080,43590,0,0,2084
"America","SUR",13912858,13807674,13707688,11110,0.1,13529928,13363278,13307728,12974428,12807778,3252
"America","SXM",406,288,185,11,4.8,9,0,0,0,0,2035
"America","TTO",356738,340210,311796,3157,1,261284,213929,198144,103434,56079,2117
"America","VCT",31083,30773,29593,131,0.4,27497,25532,24877,20947,18982,2244
"America","VEN",45312762,43390713,42077817,145877,0.3,39743785,37555630,36826245,32449935,30261780,2307
"America","VGB",5027,3323,2048,142,5.2,0,0,0,0,0,2033
"America","VIR",9889,8502,5893,290,4,1253,0,0,0,0,2039
"Asia","AUS-QLD",3213523,2857849,2681982,19541,0.7,2369326,2076211,1978506,1392276,1099161,2156
"Asia","BGD",1467446,1179371,1094927,9383,0.8,944799,804054,757139,475649,334904,2135
"Asia","BRN",518108,503449,495745,856,0.2,482049,469209,464929,439249,426409,2598
