"cont","iso3","Mean","Sd","CI_low","CI_high"
"Africa","AGO",NA,NA,NA,NA
"Africa","BDI",-1.2,0.18,-1.55,-0.873
"Africa","BEN",-0.173,0.225,-0.624,0.273
"Africa","CAF",NA,NA,NA,NA
"Africa","CIV",NA,NA,NA,NA
"Africa","CMR",-0.651,0.108,-0.872,-0.443
"Africa","COD",-0.205,0.0812,-0.352,-0.0398
"Africa","COG",-0.0228,0.099,-0.219,0.158
"Africa","COM",0.0148,0.314,-0.642,0.589
"Africa","ETH",-0.275,0.0678,-0.411,-0.141
"Africa","GAB",NA,NA,NA,NA
"Africa","GHA",-0.0776,0.0635,-0.196,0.0445
"Africa","GIN",-0.392,0.0906,-0.576,-0.219
"Africa","GMB",NA,NA,NA,NA
"Africa","GNB",-0.527,0.16,-0.818,-0.199
"Africa","GNQ",-0.15,0.132,-0.426,0.112
"Africa","KEN",-0.143,0.0714,-0.287,-0.00165
"Africa","LBR",-0.221,0.117,-0.452,0.00248
"Africa","MDG",-0.449,0.0865,-0.619,-0.278
"Africa","MUS",-0.646,0.105,-0.855,-0.45
"Africa","MWI",-0.435,0.119,-0.651,-0.213
"Africa","MYT",-1.06,0.166,-1.38,-0.722
"Africa","NGA",NA,NA,NA,NA
"Africa","REU",-0.441,0.103,-0.634,-0.236
"Africa","RWA",-0.812,0.207,-1.25,-0.47
"Africa","SEN",NA,NA,NA,NA
"Africa","SLE",-0.153,0.116,-0.387,0.0684
"Africa","SSD",-0.122,0.101,-0.335,0.0709
"Africa","TGO",-0.511,0.0956,-0.699,-0.312
"Africa","TZA",-0.583,0.071,-0.731,-0.453
"Africa","UGA",-1.05,0.0727,-1.2,-0.911
"Africa","ZMB",-0.204,0.0725,-0.352,-0.0675
"America","ATG",-0.497,0.167,-0.832,-0.149
"America","BHS",NA,NA,NA,NA
"America","BLZ",-0.946,0.113,-1.18,-0.734
"America","BOL",-0.12,0.0604,-0.249,-0.00835
"America","BRB",-0.506,0.149,-0.824,-0.233
"America","COL",-0.348,0.0547,-0.451,-0.239
"America","CRI",NA,NA,NA,NA
"America","CUB",NA,NA,NA,NA
"America","DMA",NA,NA,NA,NA
"America","DOM",-0.253,0.0739,-0.401,-0.114
"America","ECU",-0.597,0.127,-0.831,-0.346
"America","GLP",-0.244,0.177,-0.599,0.0941
"America","GRD",-0.209,0.18,-0.563,0.157
"America","GTM",-0.0848,0.0892,-0.259,0.0831
"America","GUF",-0.14,0.194,-0.519,0.259
"America","GUY",-0.594,0.2,-0.984,-0.208
"America","HND",-0.446,0.0804,-0.6,-0.292
"America","HTI",-0.113,0.0907,-0.299,0.0764
"America","JAM",-0.0529,0.107,-0.266,0.15
"America","KNA",-0.115,0.219,-0.56,0.341
"America","LCA",-0.0325,0.124,-0.268,0.221
"America","MAF",-0.83,0.359,-1.55,-0.146
"America","MEX",-0.339,0.0729,-0.474,-0.196
"America","MSR",NA,NA,NA,NA
"America","MTQ",NA,NA,NA,NA
"America","NIC",NA,NA,NA,NA
"America","PAN",-0.249,0.0822,-0.407,-0.0921
"America","PER",-0.639,0.0594,-0.756,-0.53
"America","PRI",NA,NA,NA,NA
"America","PRY",-0.0378,0.101,-0.248,0.153
"America","SLV",-0.313,0.102,-0.514,-0.112
