"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K"
"Africa","AGO","icar",30,83,75,50,60,75,75,50,50
"Africa","AGO","glm",20,80,72,50,56,72,72,44,44
"Africa","BDI","icar",46,91,84,50,72,84,84,68,68
"Africa","BDI","glm",43,90,83,50,71,83,83,66,66
"Africa","BEN","icar",27,82,74,50,58,74,74,48,48
"Africa","BEN","glm",19,79,72,50,56,72,72,44,44
"Africa","CAF","icar",40,88,81,50,67,80,81,61,61
"Africa","CAF","glm",29,87,79,50,65,79,79,58,58
"Africa","CIV","icar",24,79,71,50,55,71,71,42,42
"Africa","CIV","glm",9,72,65,50,49,65,65,31,31
"Africa","CMR","icar",52,92,85,50,74,85,85,70,70
"Africa","CMR","glm",39,90,82,50,70,82,82,64,64
"Africa","COD","icar",57,93,86,50,76,86,86,72,72
"Africa","COD","glm",49,92,85,50,73,85,85,69,69
"Africa","COG","icar",61,95,88,50,79,88,88,76,76
"Africa","COG","glm",46,93,87,50,78,87,87,75,75
"Africa","COM","icar",53,95,92,66,69,82,95,76,76
"Africa","COM","glm",39,91,88,66,56,72,92,64,64
"Africa","ETH","icar",36,86,78,50,64,78,78,57,57
"Africa","ETH","glm",28,84,76,50,62,76,76,53,53
"Africa","GAB","icar",67,96,91,50,83,91,91,81,81
"Africa","GAB","glm",50,95,90,50,81,90,90,79,79
"Africa","GHA","icar",24,80,72,50,56,72,72,44,44
"Africa","GHA","glm",16,76,70,50,53,70,70,39,39
"Africa","GIN","icar",26,81,73,50,58,73,74,47,47
"Africa","GIN","glm",21,80,72,50,57,72,73,45,45
"Africa","GMB","icar",17,78,71,50,55,71,71,42,42
"Africa","GMB","glm",11,74,69,50,52,69,69,38,38
"Africa","GNB","icar",39,89,81,50,68,81,81,61,61
"Africa","GNB","glm",24,83,75,50,60,75,75,50,50
"Africa","GNQ","icar",58,95,89,50,79,88,89,77,77
"Africa","GNQ","glm",48,93,87,50,77,87,87,74,74
"Africa","KEN","icar",44,90,82,50,69,82,82,64,64
"Africa","KEN","glm",29,84,76,50,62,76,76,53,53
"Africa","LBR","icar",41,88,80,50,67,80,80,60,60
"Africa","LBR","glm",37,87,79,50,65,78,79,57,57
"Africa","MDG","icar",33,84,76,50,61,76,76,52,52
"Africa","MDG","glm",24,81,74,50,59,74,74,48,48
"Africa","MUS","icar",36,87,80,50,66,79,80,59,59
"Africa","MUS","glm",35,87,79,50,65,79,79,58,58
"Africa","MWI","icar",39,89,81,50,67,81,81,61,61
"Africa","MWI","glm",15,76,69,50,52,68,69,37,37
"Africa","MYT","icar",21,79,72,50,56,72,72,43,43
"Africa","MYT","glm",21,78,70,50,54,70,71,41,41
"Africa","NGA","icar",36,86,78,50,64,78,78,56,56
"Africa","NGA","glm",22,82,75,50,60,75,75,49,49
"Africa","REU","icar",37,88,80,50,66,80,80,59,59
"Africa","REU","glm",34,86,78,50,63,78,78,56,56
"Africa","RWA","icar",58,93,86,50,76,86,86,72,72
"Africa","RWA","glm",54,92,85,50,73,85,85,70,70
"Africa","SEN","icar",16,76,69,50,53,69,69,38,38
"Africa","SEN","glm",11,74,68,50,51,68,68,35,35
"Africa","SLE","icar",20,78,70,50,54,70,70,40,40
"Africa","SLE","glm",16,76,69,50,52,69,69,38,38
"Africa","SSD","icar",18,76,70,51,59,74,64,38,38
"Africa","SSD","glm",9,69,67,51,55,71,61,32,32
"Africa","TGO","icar",16,76,69,50,52,69,69,38,38
"Africa","TGO","glm",10,71,65,50,48,65,66,31,31
"Africa","TZA","icar",40,88,80,50,66,80,80,60,60
"Africa","TZA","glm",29,85,76,50,62,76,77,53,53
