area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Antigua and B.,Antigua and B.,ATG,low,5367,401,1114,2264,5214,6974,8870,12968,17189,19324,21540,26063,30688,1,1
America,Antigua and B.,Antigua and B.,ATG,mean,5367,3275,7146,11867,21962,27277,32832,44703,54869,54869,54869,54869,54869,1,2
America,Antigua and B.,Antigua and B.,ATG,high,5367,7957,15752,24000,42017,52641,54869,54869,54869,54869,54869,54869,54869,1,3
America,Bahamas,Bahamas,BHS,low,352175,171862,236041,307812,461823,543652,628938,808814,999002,1096955,1195769,1399350,1608924,1,1
America,Bahamas,Bahamas,BHS,mean,352175,313409,470964,642094,1021153,1222749,1431051,1859353,2172986,2172986,2172986,2172986,2172986,1,2
America,Bahamas,Bahamas,BHS,high,352175,474292,738349,1029047,1657956,1979736,2172986,2172986,2172986,2172986,2172986,2172986,2172986,1,3
America,Barbados,Barbados,BRB,low,6273,724,1348,2121,3861,4740,5680,7634,9784,10941,12152,14558,17199,1,1
America,Barbados,Barbados,BRB,mean,6273,4863,8288,12432,21855,26993,32361,44214,47886,47886,47886,47886,47886,1,2
America,Barbados,Barbados,BRB,high,6273,10041,17630,26349,46308,47886,47886,47886,47886,47886,47886,47886,47886,1,3
America,Belize,Belize,BLZ,low,5174120,3536323,5193241,6848802,9956327,11514759,13077965,16358499,19839647,21667753,23537498,27383536,31417819,1,1
America,Belize,Belize,BLZ,mean,5174120,5850286,8555754,11185499,16670344,19625518,22745526,29317423,36462334,40267297,44332120,53264595,62510440,1,2
America,Belize,Belize,BLZ,high,5174120,8087375,11800196,15648597,24230405,28892379,33850560,44785003,57702029,64923403,64923403,64923403,64923403,1,3
America,Bolivia,Bolivia,BOL,low,160735883,91415316,136835730,181878939,271407375,316342177,361595280,452978876,545300050,591834340,638773285,733925033,830558036,1,1
America,Bolivia,Bolivia,BOL,mean,160735883,164738390,245835503,327097139,492427630,576295161,661292805,835199323,1013658152,1104684354,1196907015,1384070138,1573772187,1,2
America,Bolivia,Bolivia,BOL,high,160735883,237328814,355105856,474876025,720247691,846804106,975702645,1240985319,1513648387,1651888217,1791373811,2073851870,2359827833,1,3
America,Brazil,Brazil – Acre,AC,low,48177042,41299721,61731507,82227968,124475134,146352543,168649017,215360479,264255932,289389034,314748071,366021893,420094580,1,1
America,Brazil,Brazil – Acre,AC,mean,48177042,48139846,71938724,96092847,147590141,176229652,205813659,268629446,337617724,373521084,409643746,483234814,564822232,1,2
America,Brazil,Brazil – Acre,AC,high,48177042,54931088,82227968,110970430,177429473,214647938,254972467,341148503,431587758,479033173,530797779,671935518,816995673,1,3
America,Brazil,Brazil – Alagoas,AL,low,157214,84292,130064,173412,257819,300574,342844,595879,1087635,1483388,2074306,2273097,2273097,1,1
