"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG",6089,6405,14250,23504,43251,54698,54698,54698,54698,54698,54698,54698
"America","Bahamas","Bahamas","BHS",413811,646354,1001190,1358843,2053116,2197922,2197922,2197922,2197922,2197922,2197922,2197922
"America","Barbados","Barbados","BRB",7075,12264,21348,31270,48124,48124,48124,48124,48124,48124,48124,48124
"America","Belize","Belize","BLZ",5171143,7114043,10824520,14539255,22626026,27114991,31956300,42459479,54270407,60763591,65187183,65187183
"America","Bolivia","Bolivia","BOL",181645684,257505170,388560129,521248050,795320353,937812949,1083998861,1384620029,1691076122,1845954451,2002186359,2317833176
"America","Brazil","Brazil – Acre","AC",50337212,55064865,84483816,118023106,198775345,245121529,294077478,402277217,528535258,597492261,680930809,918002044
"America","Brazil","Brazil – Alagoas","AL",197594,293310,449573,1205185,2274138,2274138,2274138,2274138,2274138,2274138,2274138,2274138
"America","Brazil","Brazil – Amapa","AP",8976991,8875034,14288699,21851955,45076027,61245589,80968229,136253529,229975653,292841747,381267588,682413265
"America","Brazil","Brazil – Amazonas","AM",152772478,216860421,317627821,420966133,635060685,746854125,861304161,1100939718,1359404431,1496781095,1649071741,2024809135
"America","Brazil","Brazil – Bahia","BA",11480247,14296694,23027235,33950882,62771768,80838591,101424366,133895329,133895329,133895329,133895329,133895329
"America","Brazil","Brazil – Ceara","CE",471425,830533,1237569,2008496,2008496,2008496,2008496,2008496,2008496,2008496,2008496,2008496
"America","Brazil","Brazil – Espirito Santo","ES",1478808,2900093,4301628,6946274,19528716,20788900,20788900,20788900,20788900,20788900,20788900,20788900
"America","Brazil","Brazil – Goias","GO",2710372,3382028,4754976,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132
"America","Brazil","Brazil – Maranhao","MA",55106092,80538659,121222086,167593986,258249377,258249377,258249377,258249377,258249377,258249377,258249377,258249377
"America","Brazil","Brazil – Mato Grosso","MT",234932370,274507328,414336188,559463064,869896259,1036271170,1212045084,1596781574,2031448474,2266984722,2523457462,2820754889
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2561788,3259032,4981586,7440463,14464349,19431835,19431835,19431835,19431835,19431835,19431835,19431835
"America","Brazil","Brazil – Minas Gerais","MG",14453789,20893529,34251115,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172
"America","Brazil","Brazil – Para","PA",440505985,595863386,881099813,1170284923,1785148578,2108743340,2438563113,3127494844,3861402592,4246725212,4655578091,5573939949
"America","Brazil","Brazil – Paraiba","PB",65483,111778,159471,825108,894267,894267,894267,894267,894267,894267,894267,894267
"America","Brazil","Brazil – Parana","PR",15177424,19160500,27879157,37994159,63386915,79199017,97801567,150974414,162364943,162364943,162364943,162364943
"America","Brazil","Brazil – Pernambouco","PE",245788,382660,575737,1413051,3002915,3002915,3002915,3002915,3002915,3002915,3002915,3002915
"America","Brazil","Brazil – Piaui","PI",1127033,1819512,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434
"America","Brazil","Brazil – Rio de Janeiro","RJ",2327107,3458366,5846175,10239648,27333917,40865701,52563663,52563663,52563663,52563663,52563663,52563663
"America","Brazil","Brazil – Rio Grande do Norte","RN",41068,61130,91808,386485,386485,386485,386485,386485,386485,386485,386485,386485
"America","Brazil","Brazil – Rio Grande do Sul","RS",5715811,10157460,16439535,24791689,49084870,65517757,85323344,103004192,103004192,103004192,103004192,103004192
"America","Brazil","Brazil – Rondonia","RO",123697424,153257159,220673387,293036506,462123394,559140054,662202503,886084514,1137851179,1274002120,1341635984,1341635984
"America","Brazil","Brazil – Roraima","RR",63099291,96568973,142823422,191545494,299360532,359722989,421939516,559840000,726889340,820226233,929680722,1225997932
"America","Brazil","Brazil – Santa Catarina","SC",11017970,14843443,22089230,30846374,53853116,68295204,84550856,126137858,164629810,164629810,164629810,164629810
"America","Brazil","Brazil – Sao Paulo","SP",6918237,6614212,11545721,18998407,42666265,58788244,77302486,124678925,192219434,212282467,212282467,212282467
"America","Brazil","Brazil – Sergipe","SE",170725,275261,426257,1302732,1464754,1464754,1464754,1464754,1464754,1464754,1464754,1464754
"America","Brazil","Brazil – Tocantins","TO",17731983,20568706,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329
"America","Colombia","Colombia","COL",198344474,241849546,365571036,495851693,761468512,893758653,1028966966,1319263762,1634604379,1799491077,1968644910,2315983301
"America","Costa Rica","Costa Rica","CRI",5661386,6681389,10965909,15695896,26017125,31564591,37410801,50179771,64592215,72476677,80805743,98928565
"America","Cuba","Cuba","CUB",3177988,5030562,7987081,10979809,17297191,20625055,23975801,31145379,38487132,38487132,38487132,38487132
"America","Dominica","Dominica","DMA",79977,104335,163949,229836,373630,449580,527009,684318,841382,921075,1001816,1167490
"America","Dominican Rep.","Dominican Rep.","DOM",4050199,5781488,9080426,12580866,20436099,25125287,30598194,31511617,31511617,31511617,31511617,31511617
"America","Ecuador","Ecuador","ECU",39670935,44967827,72067406,100559350,160947614,193147721,226166969,294461059,366594863,404305457,442577619,520049437
"America","El Salvador","El Salvador","SLV",466989,719437,1093480,1454758,2137785,2434807,2705258,3080859,3080859,3080859,3080859,3080859
"America","French Guiana","French Guiana","GUF",3108826,4755838,6427131,8179144,11915014,13889892,15891643,20120447,24536301,26813197,29125949,33906107
"America","Grenada","Grenada","GRD",60254,107181,172815,246387,406339,512780,512780,512780,512780,512780,512780,512780
"America","Guadeloupe","Guadeloupe","GLP",79712,112421,174096,227893,323490,372416,423036,530229,648988,715552,788003,955086
"America","Guatemala","Guatemala","GTM",17002384,23313812,36939752,51514168,83689947,101728662,117903897,117903897,117903897,117903897,117903897,117903897
"America","Guyana","Guyana","GUY",14196067,31816380,42880060,54097099,77459903,89417580,101538679,126374043,151507603,164179187,176888253,202339297
"America","Haiti","Haiti","HTI",934896,1315032,1992754,2678746,2725654,2725654,2725654,2725654,2725654,2725654,2725654,2725654
"America","Honduras","Honduras","HND",18690070,26346311,39859936,52903193,78251152,91903316,108354350,128616359,128616359,128616359,128616359,128616359
"America","Jamaica","Jamaica","JAM",987086,1444551,2249846,3092808,4843686,5749471,6690747,8712375,10993484,12262013,13620316,15874374
"America","Martinique","Martinique","MTQ",88931,111697,173666,238365,373273,443640,514730,663018,821394,905676,994685,1190398
"America","Mexico","Mexico","MEX",44771060,66562618,101525413,137761468,213068902,254556052,265565988,265565988,265565988,265565988,265565988,265565988
"America","Montserrat","Montserrat","MSR",1702,2961,4320,5852,8822,10294,11791,14732,17742,19165,20592,24002
"America","Nicaragua","Nicaragua","NIC",36257345,60108429,90500943,120975943,171930294,171930294,171930294,171930294,171930294,171930294,171930294,171930294
"America","Panama","Panama","PAN",7495843,10003050,15231625,20641144,32635093,39162663,45863944,59826432,74828980,82813830,91159404,108943077
"America","Paraguay","Paraguay","PRY",20020708,28711511,41750468,50813072,50813072,50813072,50813072,50813072,50813072,50813072,50813072,50813072
"America","Peru","Peru","PER",139938507,159284080,244278343,330270154,503376253,589944949,676209395,847539355,1018171596,1103476910,1188819231,1359840886
"America","Puerto Rico","Puerto Rico","PRI",1398001,1974218,3247463,4665665,7943592,9818486,11882267,13358104,13358104,13358104,13358104,13358104
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",7395,8937,15571,22435,36929,44373,52033,68171,85427,94497,103876,123008
"America","Saint Lucia","Saint Lucia","LCA",56700,87778,132803,178920,273322,323687,376369,489235,613542,679920,749546,898384
"America","Saint Martin","Saint Martin","MAF",3965,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105
"America","Saint Vincent","Saint Vincent","VCT",12610,17606,29221,40804,65467,78902,93412,124375,159595,179104,198867,241876
"America","Sint Maarten","Sint Maarten","SXM",787,746,746,746,746,746,746,746,746,746,746,746
"America","Suriname","Suriname","SUR",13561084,21113115,31113067,40456715,58954464,68308071,77483192,95610072,113654415,122733828,131940554,150462326
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",667095,1188572,1871016,2599901,4178572,5031111,5938498,7959137,9355109,11539002,11539002,11539002
"America","Venezuela","Venezuela","VEN",97556097,127534490,202778304,282734042,456546062,549116513,644860192,846083461,1057591266,1165822222,1275400020,1497857058
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",18011,47575,52198,52198,52198,52198,52198,52198,52198,52198,52198,52198
"America","Virgin Isl. US","Virgin Isl. US","VIR",45953,99705,138821,180128,196963,196963,196963,196963,196963,196963,196963,196963
"Africa","Angola","Angola","AGO",42338688,63413249,93928878,125319195,190870700,223690430,260414115,361819809,361819809,361819809,361819809,361819809
"Africa","Benin","Benin","BEN",64973,100794,164428,169809,169809,169809,169809,169809,169809,169809,169809,169809
"Africa","Burundi","Burundi","BDI",242455,914398,1711039,2751548,4759087,4759087,4759087,4759087,4759087,4759087,4759087,4759087
"Africa","Cameroon","Cameroon","CMR",56000403,60684505,99420016,141296443,230785242,278631160,328363959,432386987,541687137,598935357,658302457,782342559
"Africa","CAR","CAR","CAF",24479246,39893305,56853225,74493940,111397583,130733592,151099194,195857495,247862721,276796877,307693002,375826979
"Africa","Comoros","Comoros","COM",132133,784917,1347377,2001035,3610836,3989953,5464994,5464994,5464994,5464994,5464994,5464994
"Africa","Congo","Congo","COG",27892973,53715499,77394809,104085408,172158475,207365299,244324907,323147484,408897491,454918221,503326608,605677043
"Africa","DRC","DRC","COD",589845617,789327207,1256201206,1759184038,2854181727,3437997844,4053455368,5398264994,6893691430,7670301175,8457547061,10043161790
"Africa","Eq. Guinea","Eq. Guinea","GNQ",3425015,5172404,7739017,10256143,15402311,18026031,20696588,26144841,31672103,34476933,37310565,43021964
"Africa","Ethiopia","Ethiopia","ETH",37808083,73640824,119635920,176080825,196490298,196490298,196490298,196490298,196490298,196490298,196490298,196490298
