"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",28562,46749,79510,114258,192537,236355,244894,244894,244894,244894,244894,244894,244894
"America","Bahamas","Bahamas","BHS",705910,1056707,1617440,2201918,3419184,4044499,4480519,4480519,4480519,4480519,4480519,4480519,4480519
"America","Barbados","Barbados","BRB",22532,50029,77747,106313,177825,183106,183106,183106,183106,183106,183106,183106,183106
"America","Belize","Belize","BLZ",10849502,15438301,22982356,30718804,46654517,54818212,63240493,80821815,100216705,110767042,110767042,110767042,110767042
"America","Bolivia","Bolivia","BOL",160239599,235582658,355008551,474500131,713684840,834604343,956369878,1202416494,1450213238,1575152316,1701674046,1961548089,2231540796
"America","Brazil","Brazil – Acre","AC",50864490,58468750,87625268,117609609,184316007,220699188,259825208,343445731,431347899,478116869,529962168,675048045,827417180
"America","Brazil","Brazil – Alagoas","AL",576338,854174,1307158,2288589,6454761,6454761,6454761,6454761,6454761,6454761,6454761,6454761,6454761
"America","Brazil","Brazil – Amapa","AP",8763990,11468172,17397677,24003898,42135833,53569014,67197430,98715320,134392663,154974019,180353226,272127391,492176584
"America","Brazil","Brazil – Amazonas","AM",163422101,245971907,355803557,464382577,682849642,793751697,906043517,1134638208,1369316964,1490220779,1615961125,1906470974,2312413336
"America","Brazil","Brazil – Bahia","BA",12833352,17685078,27351737,37785880,63622115,78872564,96274992,135817697,173730625,173730625,173730625,173730625,173730625
"America","Brazil","Brazil – Ceara","CE",330933,459171,688695,1267630,1633934,1633934,1633934,1633934,1633934,1633934,1633934,1633934,1633934
"America","Brazil","Brazil – Espirito Santo","ES",2334907,3696718,5560495,8074285,18122719,25478828,34188848,34188848,34188848,34188848,34188848,34188848,34188848
"America","Brazil","Brazil – Goias","GO",7126872,9514363,14278441,19431726,20755399,20755399,20755399,20755399,20755399,20755399,20755399,20755399,20755399
"America","Brazil","Brazil – Maranhao","MA",49557059,70847917,103848274,138196793,220659489,262903192,262903192,262903192,262903192,262903192,262903192,262903192,262903192
"America","Brazil","Brazil – Mato Grosso","MT",257217203,307559855,462438997,618753659,941733782,1108883179,1279886931,1636202735,2017572291,2220120460,2434659057,2916289801,2979808857
"America","Brazil","Brazil – Mato Grosso do Sul","MS",5088918,6239430,9555178,13378256,24606178,31815946,40679788,43127911,43127911,43127911,43127911,43127911,43127911
"America","Brazil","Brazil – Minas Gerais","MG",22992007,35913647,54793605,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226
"America","Brazil","Brazil – Para","PA",414046149,512773355,765108864,1016962196,1526593301,1788170513,2055588702,2597923191,3150664222,3433968251,3725151262,4352945460,5105300829
"America","Brazil","Brazil – Paraiba","PB",220287,379514,551540,1239853,2837994,2837994,2837994,2837994,2837994,2837994,2837994,2837994,2837994
"America","Brazil","Brazil – Parana","PR",16777312,23150535,34662053,46829537,75841421,92350462,110687033,151005307,195090867,220146454,220146454,220146454,220146454
"America","Brazil","Brazil – Pernambouco","PE",629334,1015446,1532361,2597425,8624668,8624668,8624668,8624668,8624668,8624668,8624668,8624668,8624668
"America","Brazil","Brazil – Piaui","PI",990750,1559867,2351920,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571
"America","Brazil","Brazil – Rio de Janeiro","RJ",3386460,6026181,9063558,12762944,25047179,33426957,43902098,63410557,63410557,63410557,63410557,63410557,63410557
"America","Brazil","Brazil – Rio Grande do Norte","RN",168618,233277,354619,929351,1345560,1345560,1345560,1345560,1345560,1345560,1345560,1345560,1345560
"America","Brazil","Brazil – Rio Grande do Sul","RS",7416287,7066380,11959293,17737730,33978749,44362696,56666018,85506443,118519200,137660880,150609615,150609615,150609615
"America","Brazil","Brazil – Rondonia","RO",150325937,179319283,259707534,340555437,514470821,606081498,700713529,901048168,1108526261,1214877827,1323152957,1377187098,1377187098
"America","Brazil","Brazil – Roraima","RR",63111258,112494224,169254578,226402948,340656659,398710380,457941345,585968193,726376336,800774058,880528932,1079923949,1398037525
"America","Brazil","Brazil – Santa Catarina","SC",11307520,14059209,21181624,28993167,49398913,61685922,75881214,108049793,143354670,163050418,186622751,219800288,219800288
"America","Brazil","Brazil – Sao Paulo","SP",9504371,13648608,21053517,29108512,50145666,62925685,77746853,111464720,148497810,169010153,193269773,235813659,235813659
"America","Brazil","Brazil – Sergipe","SE",370188,585213,866502,1549632,3071821,3071821,3071821,3071821,3071821,3071821,3071821,3071821,3071821
"America","Brazil","Brazil – Tocantins","TO",25381014,35378306,53340423,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858
"America","Colombia","Colombia","COL",214136365,282695559,420160553,557987213,834298279,969412233,1103727746,1374040545,1654223844,1798709381,1945987266,2248822246,2561080445
"America","Costa Rica","Costa Rica","CRI",10504491,14615587,22814552,31442926,49531712,58899644,68432071,87897853,107743545,117777950,127888543,148290358,162851137
"America","Cuba","Cuba","CUB",8211826,10992075,17634888,24715020,39880451,48050564,56524371,74265872,85491947,85491947,85491947,85491947,85491947
"America","Dominica","Dominica","DMA",209614,364300,555892,747678,1136058,1328883,1519897,1906167,2302679,2502741,2703009,3105950,3509040
"America","Dominican Rep.","Dominican Rep.","DOM",9362589,13989138,21239676,28652462,43884586,51773199,59965815,77754143,77754143,77754143,77754143,77754143,77754143
"America","Ecuador","Ecuador","ECU",41311506,56076943,85425874,115471643,176836058,208608470,241000211,307107426,375174181,410091187,445557398,517921409,592188511
"America","El Salvador","El Salvador","SLV",897603,1266909,1885707,2503074,3749666,4372030,4992775,6225184,7288167,7288167,7288167,7288167,7288167
"America","French Guiana","French Guiana","GUF",2412714,3311843,4778552,6153898,9004736,10461996,11921631,14832321,17771203,19250952,20743209,23757447,26816803
"America","Grenada","Grenada","GRD",202056,382677,590462,802936,1222356,1381015,1686453,1686453,1686453,1686453,1686453,1686453,1686453
"America","Guadeloupe","Guadeloupe","GLP",204384,358822,523255,674416,991039,1164847,1345587,1736464,2168072,2396462,2631162,3123907,3647157
"America","Guatemala","Guatemala","GTM",37111255,46213985,70075711,93879480,140770089,163761855,186829694,204822634,204822634,204822634,204822634,204822634,204822634
"America","Guyana","Guyana","GUY",10937293,17647623,25779221,33770919,49979130,58276787,66605541,83325429,100313626,108886332,117501016,134813929,152231999
"America","Haiti","Haiti","HTI",3090694,4495961,6677859,9016200,10148299,10148299,10148299,10148299,10148299,10148299,10148299,10148299,10148299
"America","Honduras","Honduras","HND",38145309,50536144,76218846,101738728,151661809,176233710,202019652,245138297,245138297,245138297,245138297,245138297,245138297
"America","Jamaica","Jamaica","JAM",2164697,3504397,5321227,7156982,10897649,12802003,14725843,18641356,22646937,24686070,26750103,30952150,35216811
"America","Martinique","Martinique","MTQ",212729,379232,544688,710298,1053387,1233715,1422247,1823646,2266560,2502426,2745959,3254715,3782913
"America","Mexico","Mexico","MEX",82522155,105705877,159752749,213982413,321900499,376094777,432408970,494892527,494892527,494892527,494892527,494892527,494892527
"America","Montserrat","Montserrat","MSR",4205,7101,10398,14065,21185,24741,28402,36055,43790,47865,51618,59693,68001
"America","Nicaragua","Nicaragua","NIC",71520939,109432214,162510873,216798352,308251684,308251684,308251684,308251684,308251684,308251684,308251684,308251684,308251684
