"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",5367,3275,7146,11867,21962,27277,32832,44703,54869,54869,54869,54869,54869
"America","Bahamas","Bahamas","BHS",352175,313409,470964,642094,1021153,1222749,1431051,1859353,2172986,2172986,2172986,2172986,2172986
"America","Barbados","Barbados","BRB",6273,4863,8288,12432,21855,26993,32361,44214,47886,47886,47886,47886,47886
"America","Belize","Belize","BLZ",5174120,5850286,8555754,11185499,16670344,19625518,22745526,29317423,36462334,40267297,44332120,53264595,62510440
"America","Bolivia","Bolivia","BOL",160735883,164738390,245835503,327097139,492427630,576295161,661292805,835199323,1013658152,1104684354,1196907015,1384070138,1573772187
"America","Brazil","Brazil – Acre","AC",48177042,48139846,71938724,96092847,147590141,176229652,205813659,268629446,337617724,373521084,409643746,483234814,564822232
"America","Brazil","Brazil – Alagoas","AL",157214,164123,243528,324204,712116,1329681,2273097,2273097,2273097,2273097,2273097,2273097,2273097
"America","Brazil","Brazil – Amapa","AP",7160566,5339441,8325449,11356160,18439864,23250203,28481507,41236596,58853820,69214193,80296922,105830325,143535525
"America","Brazil","Brazil – Amazonas","AM",146602898,166799405,242634001,315998633,462107000,536106123,610545247,762255579,918815299,998676820,1079079430,1242177344,1414859589
"America","Brazil","Brazil – Bahia","BA",8363856,7639596,11766477,16144900,26350230,32774407,39584278,55076359,74483109,85326357,96590517,121796250,135329871
"America","Brazil","Brazil – Ceara","CE",332894,342379,490241,656799,1719561,2000367,2000367,2000367,2000367,2000367,2000367,2000367,2000367
"America","Brazil","Brazil – Espirito Santo","ES",995742,1012583,1492141,2002894,3588972,5203676,7114904,12688747,20862703,20862703,20862703,20862703,20862703
"America","Brazil","Brazil – Goias","GO",2305355,2181152,3148232,4060607,5628117,5628117,5628117,5628117,5628117,5628117,5628117,5628117,5628117
"America","Brazil","Brazil – Maranhao","MA",42197698,42548924,62316105,81872949,122941636,147551734,182113273,258077574,258077574,258077574,258077574,258077574,258077574
"America","Brazil","Brazil – Mato Grosso","MT",232028062,222161879,334492203,448429401,680945072,802581357,928238609,1191403108,1476556326,1628059598,1784712036,2112504327,2463329781
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2558039,2860459,4109897,5245888,7608645,9237341,10964143,15013434,19140164,19140164,19140164,19140164,19140164
"America","Brazil","Brazil – Minas Gerais","MG",12311049,12067441,18296965,25170193,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247
"America","Brazil","Brazil – Para","PA",427129882,477956459,697021396,912020404,1339883715,1560479685,1788587325,2267867373,2763367023,3016029941,3272835244,3799604944,4351963477
"America","Brazil","Brazil – Paraiba","PB",63369,72315,98796,128114,408824,883004,883004,883004,883004,883004,883004,883004,883004
"America","Brazil","Brazil – Parana","PR",11893114,11171114,16157551,21144852,31784396,38119134,44768274,59720583,78296335,88841128,100099110,126914738,163602913
"America","Brazil","Brazil – Pernambouco","PE",197747,208729,306518,402213,849444,1502038,2364515,2996791,2996791,2996791,2996791,2996791,2996791
"America","Brazil","Brazil – Piaui","PI",813160,845620,1292076,1718334,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741
"America","Brazil","Brazil – Rio de Janeiro","RJ",1707418,1378965,2276028,3275685,6108834,8674400,11613686,19521348,32220659,40193354,46667398,52746949,52746949
"America","Brazil","Brazil – Rio Grande do Norte","RN",38699,46006,66989,87263,333614,379162,379162,379162,379162,379162,379162,379162,379162
"America","Brazil","Brazil – Rio Grande do Sul","RS",4823721,3999506,6001080,8084150,12854687,16004564,19489355,28030784,39668065,46488612,53725981,70253655,94751116
"America","Brazil","Brazil – Rondonia","RO",127749844,129621774,187146882,243797193,368719601,439817714,515249422,673878658,845192529,933760778,1023742246,1208200416,1334345999
"America","Brazil","Brazil – Roraima","RR",55421224,61535966,90447053,119078969,177614436,208481088,239389268,304780752,375662745,412413776,449708394,529060720,620567103
"America","Brazil","Brazil – Santa Catarina","SC",8051343,7384562,11095238,14843800,23075756,28218544,33608670,45890644,61517530,70243643,79203848,98688990,125093329
"America","Brazil","Brazil – Sao Paulo","SP",5535277,3049058,5329283,8241405,15872448,21180064,27027239,40995344,59347405,69730972,80446347,103817925,135255874
"America","Brazil","Brazil – Sergipe","SE",145426,119156,187201,257856,680999,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1460077
"America","Brazil","Brazil – Tocantins","TO",16279131,13616060,19676330,26301218,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920
"America","Colombia","Colombia","COL",181668070,191470729,285952717,382551339,586169743,689332756,792260294,998631063,1212603000,1326437631,1444577814,1690874571,1947859142
"America","Costa Rica","Costa Rica","CRI",4690674,4244812,6755715,9472699,15350536,18449866,21631677,28280600,35392182,39155655,43076727,51441553,60588087
"America","Cuba","Cuba","CUB",3124274,2630174,4317072,6081827,9910074,11947265,14112776,18964992,24430365,27375201,30472047,36947700,37889980
"America","Dominica","Dominica","DMA",72343,62839,101492,142693,234258,283847,335810,443177,552102,607819,663552,776726,893910
"America","Dominican Rep.","Dominican Rep.","DOM",3244973,3053500,4772182,6619128,10516349,12565900,14685479,19195599,24302340,27217556,30548885,31637771,31637771
"America","Ecuador","Ecuador","ECU",34207231,25785056,42067774,59631454,97523680,117245450,137539397,179675098,223061116,245030415,267207870,312408978,359082563
"America","El Salvador","El Salvador","SLV",381637,370890,569767,771330,1181766,1388015,1591953,1995664,2383444,2570057,2751955,3104670,3104670
"America","French Guiana","French Guiana","GUF",2734470,3863387,5377804,6668805,9109375,10417728,11778445,14612324,17448073,18894658,20347168,23277941,26266568
"America","Grenada","Grenada","GRD",51558,49429,77654,107479,172885,208534,245305,322254,404115,404115,513345,513345,513345
"America","Guadeloupe","Guadeloupe","GLP",61815,73581,109714,145404,215706,248287,281880,350719,421951,457738,495658,576544,665870
"America","Guatemala","Guatemala","GTM",16649349,17947750,27358783,37259129,58671999,70135423,82000498,107651430,117270134,117270134,117270134,117270134,117270134
"America","Guyana","Guyana","GUY",12847812,19810466,26732993,34188655,48501721,55695360,63075602,78236346,93669087,101474216,109386348,125328051,141393986
"America","Haiti","Haiti","HTI",811394,911909,1329362,1763006,2711908,2749372,2749372,2749372,2749372,2749372,2749372,2749372,2749372
"America","Honduras","Honduras","HND",17862606,19074840,29440918,39727755,59529432,69043648,78520621,99076895,126835904,128519818,128519818,128519818,128519818
"America","Jamaica","Jamaica","JAM",799088,749057,1162985,1599710,2516827,2987167,3463390,4429135,5421654,5933584,6456895,7540525,8685745
"America","Martinique","Martinique","MTQ",76152,73069,105723,141746,224839,269369,314988,406641,502218,550895,599706,701617,807406
"America","Mexico","Mexico","MEX",39994737,41899253,62614938,84136356,129773963,153484812,177869560,230272299,266721634,266721634,266721634,266721634,266721634
"America","Montserrat","Montserrat","MSR",1110,898,1481,2014,3322,3986,4660,5952,7233,7835,8427,9680,10881
"America","Nicaragua","Nicaragua","NIC",33338632,38522207,56960177,75395643,113554543,138735191,173263658,173263658,173263658,173263658,173263658,173263658,173263658
"America","Panama","Panama","PAN",6524044,6662911,10024288,13408672,20572404,24412804,28410194,36869274,45944905,50694468,55585098,65789788,76615626
"America","Paraguay","Paraguay","PRY",18518936,18874841,26912982,34826650,49847818,51447778,51447778,51447778,51447778,51447778,51447778,51447778,51447778
"America","Peru","Peru","PER",121861695,125204794,188472638,251990514,379215673,443405397,507806381,636556339,765115803,829347245,893527024,1021213229,1148372764
"America","Puerto Rico","Puerto Rico","PRI",1031894,822556,1385774,1992111,3287317,3980292,4706493,6257097,7957109,8864752,9814112,11869222,13480988
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",6301,3539,6532,9943,17195,20947,24859,32808,41064,45311,49596,58481,67694
"America","Saint Lucia","Saint Lucia","LCA",50618,59685,87883,115819,172084,200848,230731,293453,359188,393546,428899,502186,579524
"America","Saint Martin","Saint Martin","MAF",2931,3700,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125
"America","Saint Vincent","Saint Vincent","VCT",12342,9628,17272,24847,40029,48068,56504,74770,94086,104194,114587,137090,161497
"America","Sint Maarten","Sint Maarten","SXM",728,708,800,800,800,800,800,800,800,800,800,800,800
"America","Suriname","Suriname","SUR",12300973,16449221,23425669,30215638,43304550,49490385,55668904,68380830,81560145,88273775,94983971,108414662,121775918
