"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",4731,316,992,1994,4610,6215,7944,11716,15711,17742,19762,23971,28149
"America","Bahamas","Bahamas","BHS",229608,113190,180849,244988,368767,427718,484719,594823,702138,755661,808531,914312,1019484
"America","Barbados","Barbados","BRB",13232,3381,5103,6890,11150,13164,15278,19217,23390,25589,27660,31867,36238
"America","Belize","Belize","BLZ",6832263,4282029,6326004,8347354,12319048,14348511,16402571,20626754,24923458,27091440,29271182,33647920,38082475
"America","Bolivia","Bolivia","BOL",153229036,93861261,140984816,189015641,287126925,336908825,387362799,490178312,594842403,647885754,701571924,810802599,922410852
"America","Brazil","Brazil – Acre","AC",49505916,54145773,82362863,111280325,171071257,202092256,233900085,300912244,372091426,409295243,447100106,523759592,604704311
"America","Brazil","Brazil – Alagoas","AL",264073,152045,227108,302803,459182,539909,621462,1085524,1935250,2565232,3320095,3497921,3497921
"America","Brazil","Brazil – Amapa","AP",10032039,6940268,10726838,14571691,22382985,26371426,30438922,39640359,50202960,56114325,62270828,75221229,91002849
"America","Brazil","Brazil – Amazonas","AM",172514628,152690203,225698669,297538279,437738393,507391451,576809466,716172366,856419646,927255055,998358508,1140131979,1284429695
"America","Brazil","Brazil – Bahia","BA",8386661,3851801,6065132,8394077,13292737,15881455,18551754,24615418,31501645,35296446,39206083,47399942,57216154
"America","Brazil","Brazil – Ceara","CE",214176,123888,177031,228667,329277,380926,430676,751696,995825,995825,995825,995825,995825
"America","Brazil","Brazil – Espirito Santo","ES",1834169,833852,1225028,1607272,2358516,2729147,3096525,4354784,6226887,7459448,8794294,11739875,16249720
"America","Brazil","Brazil – Goias","GO",6699613,4416144,6659105,8902980,13373268,15614289,17794791,19392796,19392796,19392796,19392796,19392796,19392796
"America","Brazil","Brazil – Maranhao","MA",45038869,27771038,40831717,54178781,80998293,94148862,107572114,136462899,169508330,188856251,212441105,302966621,302966621
"America","Brazil","Brazil – Mato Grosso","MT",247191901,224567195,341474533,460979061,706257391,831508052,958634402,1219094548,1486239461,1623462695,1763453532,2053649147,2360479183
"America","Brazil","Brazil – Mato Grosso do Sul","MS",4360067,3170187,4735030,6326178,9456310,10993738,12521011,16063384,20139361,22400435,24735053,29659744,35051095
"America","Brazil","Brazil – Minas Gerais","MG",24046346,13643325,20722000,28050680,43441302,51490318,59869768,78586448,92244003,92244003,92244003,92244003,92244003
"America","Brazil","Brazil – Para","PA",416679186,440445124,659342971,878086025,1321925047,1545541896,1772718244,2241510831,2724379130,2967774662,3211689407,3703493368,4206320188
"America","Brazil","Brazil – Paraiba","PB",88276,37980,57965,77441,117526,137548,156908,465431,1101723,1271688,1271688,1271688,1271688
"America","Brazil","Brazil – Parana","PR",13092874,9347954,13691260,17985809,26544259,30836962,35150099,44421699,54464901,59818778,65284698,76505736,89304042
"America","Brazil","Brazil – Pernambouco","PE",263878,147001,216191,284558,421447,489976,558759,967093,1707338,2234579,2831706,3970497,3970497
"America","Brazil","Brazil – Piaui","PI",590362,216954,351607,486548,740775,866593,994427,1513726,1631338,1631338,1631338,1631338,1631338
"America","Brazil","Brazil – Rio de Janeiro","RJ",3321014,911076,1404218,1889342,2844053,3327168,3806301,5503518,7982460,9566794,11264287,14957428,20617089
"America","Brazil","Brazil – Rio Grande do Norte","RN",63813,44830,67495,88587,130128,150596,170977,402055,493578,493578,493578,493578,493578
"America","Brazil","Brazil – Rio Grande do Sul","RS",5994603,4446428,6696506,8921139,13407587,15655065,17915693,22926955,28521837,31572354,34705451,41211928,48917218
"America","Brazil","Brazil – Rondonia","RO",152293002,159345875,234519718,309071888,460536143,538629351,617548496,779923682,949661852,1037459646,1126702147,1308473076,1494356475
"America","Brazil","Brazil – Roraima","RR",68475799,26185358,39313819,52334125,77880079,90485392,103026594,129267147,156937730,171329986,185918867,215523079,247583546
"America","Brazil","Brazil – Santa Catarina","SC",8094099,6497897,9706550,12919557,19361044,22581492,25802110,32810535,40445078,44527535,48683724,57181280,67006405
"America","Brazil","Brazil – Sao Paulo","SP",9435257,4904362,7513181,10198143,16000519,18968019,21927776,28579411,36143802,40326108,44638577,53589055,64467318
"America","Brazil","Brazil – Sergipe","SE",174436,72851,108163,140140,203813,234978,265947,562404,1177623,1660709,1703407,1703407,1703407
"America","Brazil","Brazil – Tocantins","TO",24105627,13788749,20672361,27727143,42269094,49899918,58188655,63509688,63509688,63509688,63509688,63509688,63509688
"America","Colombia","Colombia","COL",171784133,182317953,271350190,361404067,548155675,643732720,738911265,927323956,1118360576,1216659978,1317577095,1529148441,1752378958
"America","Costa Rica","Costa Rica","CRI",5625162,3183374,5159889,7339502,12138210,14757519,17507470,23335405,29505862,32700347,35975057,42742659,49807695
"America","Cuba","Cuba","CUB",3091819,1176963,2086808,3024501,4941892,5947520,6990932,9132015,11313835,12419873,13537243,15823992,18202256
"America","Dominica","Dominica","DMA",72825,31081,47941,65282,102682,121954,141037,181021,222956,244369,265779,309829,354186
"America","Dominican Rep.","Dominican Rep.","DOM",6204633,3292887,5120442,7030246,11068627,13170191,15300219,19670665,24145054,26437106,28754897,33515578,38468551
"America","Ecuador","Ecuador","ECU",30826765,15016499,23884242,33475072,54088464,65178260,76767358,100932525,126305525,139499496,153036222,181061191,210214476
"America","El Salvador","El Salvador","SLV",505618,349330,513608,676730,996350,1154969,1314071,1630653,1943290,2098289,2252053,2549873,2831533
"America","French Guiana","French Guiana","GUF",2761034,2839825,4148881,5382968,7717766,8880913,10076657,12580888,15124923,16366565,17589913,20012971,22409464
"America","Grenada","Grenada","GRD",94319,13661,23726,34123,56374,67634,79276,102212,124687,135436,146358,166963,187604
"America","Guadeloupe","Guadeloupe","GLP",81865,70638,103602,132949,191788,221223,248789,302443,360376,390451,421075,484509,550986
"America","Guatemala","Guatemala","GTM",23684707,18526433,28346839,38354728,58318912,68272670,78258182,98407884,118628011,128792111,135597960,135597960,135597960
"America","Guyana","Guyana","GUY",11145161,12508095,17251857,21965410,31828152,36718984,41554896,51292577,61278426,66380930,71522390,81913355,92344720
"America","Haiti","Haiti","HTI",1232308,846380,1285471,1727234,2621956,3073453,3521851,4024112,4024112,4024112,4024112,4024112,4024112
"America","Honduras","Honduras","HND",28298744,21805680,33784147,45729239,68938159,79985179,90780962,112127795,133938792,145245527,157076767,181281903,188246697
"America","Jamaica","Jamaica","JAM",1031988,585848,897245,1210093,1835681,2150244,2463299,3079358,3688912,3990926,4290871,4886576,5474822
"America","Martinique","Martinique","MTQ",74769,52930,74782,94555,136229,158921,181823,227696,276512,301772,327450,378924,431058
"America","Mexico","Mexico","MEX",46535524,35901787,54046633,72580246,110552251,129750392,148846162,186634136,224700986,244484982,266418492,283494423,283494423
"America","Montserrat","Montserrat","MSR",1597,752,1140,1497,2217,2518,2842,3537,4343,4756,5164,5975,6817
"America","Nicaragua","Nicaragua","NIC",41399382,27338874,41863813,56230881,84640078,98547013,112724239,143495249,178302244,198548083,220484838,231755050,231755050
"America","Panama","Panama","PAN",11736007,10771959,15764330,20745146,30765990,35790871,40836251,51015706,61230942,66364054,71530647,81955602,92565300
"America","Paraguay","Paraguay","PRY",17284388,10121924,15256291,20394769,30683149,35930484,41170652,51533548,58591444,58591444,58591444,58591444,58591444
"America","Peru","Peru","PER",111401929,136565602,201872592,267447416,399308979,465642730,532361715,666133343,800546128,868178541,936174819,1073485264,1212391527
"America","Puerto Rico","Puerto Rico","PRI",1850840,642600,1029179,1441529,2298194,2739701,3184136,4065542,4951617,5403645,5858729,6777676,7718126
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",8525,1265,2182,3166,5779,7008,8395,11334,14686,16372,18104,21458,24720
"America","Saint Lucia","Saint Lucia","LCA",63547,27328,41574,55996,86102,101548,117429,149839,182054,198062,214098,246403,280194
"America","Saint Martin","Saint Martin","MAF",4605,952,1442,1922,2690,3034,3499,4270,5084,5436,5800,6430,6430
"America","Saint Vincent","Saint Vincent","VCT",20391,9411,14915,20394,31366,36450,41398,51504,61284,66160,71061,80861,90831
"America","Sint Maarten","Sint Maarten","SXM",2131,360,578,753,1192,1384,1647,2152,2522,2522,2522,2522,2522
"America","Suriname","Suriname","SUR",11704493,12426318,18094056,23673146,34746208,40152655,45433414,55763905,66290559,71638480,77037878,87957845,99019960
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",1231319,171545,269895,364425,559929,662516,765943,977759,1199483,1311861,1425090,1655402,1889242
"America","Venezuela","Venezuela","VEN",101926557,69956417,107934908,147451063,230445934,274353807,319647053,415146527,516464015,569017848,622517313,731416556,842928169
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",33685,8149,12313,17004,28164,33935,39799,51942,63993,70265,71530,71530,71530
"America","Virgin Isl. US","Virgin Isl. US","VIR",54120,11220,17255,23289,35636,41595,47795,60391,73302,79886,86835,101148,115526
"Africa","Angola","Angola","AGO",50738557,32350730,49464319,67499487,104681898,123572954,142629513,181052310,220013407,239669848,259429824,299337734,340502196
"Africa","Benin","Benin","BEN",156529,85192,135181,184423,310777,423924,517258,517258,517258,517258,517258,517258,517258
"Africa","Burundi","Burundi","BDI",317516,80070,125295,176685,298569,368866,448543,615261,788247,876127,965558,1145686,1329401
"Africa","Cameroon","Cameroon","CMR",57161117,48817837,76179227,104803505,164721724,196061333,228356958,294513045,362161786,396373377,430871438,501025846,573381630
"Africa","CAR","CAR","CAF",42131724,35035343,52864681,70507457,105734616,123343623,141003192,176637590,212862709,231226975,249758319,287391631,325929143
"Africa","Comoros","Comoros","COM",91280,40156,60112,82413,128136,151066,173608,217097,257977,280552,303129,350802,397991
"Africa","Congo","Congo","COG",36864365,43100993,60543492,78623715,116235284,136683703,158027851,202597155,248437174,271940087,295617003,343563230,393066960
"Africa","DRC","DRC","COD",614822931,556888520,852211243,1158415009,1794983756,2123574262,2459661786,3155608991,3885147563,4263982775,4651258025,5446386102,6263463485
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2084486,2313894,3543545,4861625,7540475,8860674,10187595,12870689,15594023,16979967,18383843,21247720,24177004
"Africa","Ethiopia","Ethiopia","ETH",43741492,29540648,44107950,58771056,88586253,103745908,119129435,151003149,185002074,203068585,214295746,214295746,214295746
"Africa","Gabon","Gabon","GAB",10282581,9177208,13417911,17578170,26298196,30755515,35257363,44505950,54056003,58902567,63773078,73565751,83412817
"Africa","Gambia","Gambia","GMB",242357,22517,34526,45931,66659,76436,86593,106662,126407,136154,146010,164665,183843
"Africa","Ghana","Ghana","GHA",55381626,37737839,55284432,72630654,109837875,129057369,150160964,221780165,252020784,252020784,252020784,252020784,252020784
"Africa","Guinea","Guinea","GIN",18015299,16285459,25587581,34862058,56084230,56084230,56084230,56084230,56084230,56084230,56084230,56084230,56084230
"Africa","Guinea Bissau","Guinea Bissau","GNB",2047241,1614991,2265133,2892155,4156699,4806364,5458995,6828146,8308853,9107389,9950329,10214404,10214404
"Africa","Ivory Coast","Ivory Coast","CIV",133273136,95891412,146496343,204800197,319052431,319052431,319052431,319052431,319052431,319052431,319052431,319052431,319052431
"Africa","Kenya","Kenya","KEN",4677021,2299255,3476036,4636567,6908379,8042502,9166941,11485345,13873681,15099289,16337264,18850854,21424697
"Africa","Liberia","Liberia","LBR",47864882,33668691,52101182,71555713,114905078,139101942,164919980,221071745,283075161,316526246,351535984,425798789,504480706
"Africa","Madagascar","Madagascar","MDG",60668894,42822325,64489284,86791219,132654896,156144694,180246113,230300425,283191664,311046765,330993130,330993130,330993130
"Africa","Malawi","Malawi","MWI",1839515,1157398,1705842,2218839,2252853,2252853,2252853,2252853,2252853,2252853,2252853,2252853,2252853
"Africa","Mauritius","Mauritius","MUS",59108,3522,5202,6653,9725,11228,12769,16087,19663,21474,23269,26662,30080
"Africa","Mayotte","Mayotte","MYT",275150,80499,121470,162561,245441,287681,329728,413799,494034,529564,564601,642710,656224
"Africa","Nigeria","Nigeria","NGA",44580531,33647862,52772226,73258152,116474176,138887014,161880281,211262915,260709319,283998503,306373778,351819363,407509343
