area_cont,for2000,for2100,deltaC,sim,C_uptk_2000,C_uptk_2100,C_uptk_loss
America,687338828,476194555,0.47,min,323049249.15999997,223811440.85,0.30719095793610535
America,687338828,427790431,0.47,mean,323049249.15999997,201061502.57,0.37761346577091665
America,687338828,380806415,0.47,max,323049249.15999997,178979015.04999998,0.44596987761034795
Africa,274993405,151415462,0.611,min,168020970.45499998,92514847.282,0.44938511525394575
Africa,274993405,129045039,0.611,mean,168020970.45499998,78846518.829,0.5307340588767938
Africa,274993405,110050172,0.611,max,168020970.45499998,67240655.092,0.599807959030872
Asia,297089526,142358155,0.32899999999999996,min,97742454.05399999,46835832.995,0.5208240528816219
Asia,297089526,98921850,0.32899999999999996,mean,97742454.05399999,32545288.649999995,0.6670301665229357
Asia,297089526,62898467,0.32899999999999996,max,97742454.05399999,20693595.643,0.7882844681639836
All continents,1259421759,553755054,NA,max,588812673.6689999,266913265.78499997,0.546692390091038
All continents,1259421759,655757320,NA,mean,588812673.6689999,312453310.04899997,0.4693502296714403
All continents,1259421759,769968172,NA,min,588812673.6689999,363162121.127,0.3832297819541314
