"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Antigua and B.","Antigua and B.","ATG",4088,3896,3610,3384,3081,16,55,24,87,87,2.7,2211,1776,1341,471,36,0,0,0,0,0,0,2055
"America","Bahamas","Bahamas","BHS",161577,134184,122111,112708,103203,526,2044,1013,3075,3075,2.9,72453,57078,41703,10953,0,0,0,0,0,0,0,2053
"America","Barbados","Barbados","BRB",4452,4385,4110,3624,3401,26,73,21,125,125,3.6,2151,1526,901,0,0,0,0,0,0,0,0,2047
"America","Belize","Belize","BLZ",1430522,1380205,1337190,1262609,1205720,2485,12735,7865,17605,17605,1.4,1029670,941645,853620,677570,589545,501520,325470,149420,61395,0,0,2088
"America","Bolivia","Bolivia","BOL",32808890,31629721,30657194,29421550,28671417,38769,203506,127518,279493,279493,1,25876487,24479022,23081557,20286627,18889162,17491697,14696767,11901837,10504372,9106907,6311977,2122
"America","Brazil","Brazil – Acre","AC",13907003,13553719,13292238,13062928,12823900,3500,48076,41217,54936,54936,0.4,12274540,11999613,11699005,11016873,10640910,10249317,9388478,8371908,7806063,7113511,5119332,2119
"America","Brazil","Brazil – Alagoas","AL",115984,105638,100121,93780,88761,238,1196,730,1663,1663,1.8,72131,63568,29325,0,0,0,0,0,0,0,0,2044
"America","Brazil","Brazil – Amapa","AP",11752964,11661118,11589265,11516999,11456940,1616,14934,11766,18101,18101,0.2,11275930,11185178,11068745,10754963,10563175,10355757,9863268,9215048,8833377,8325001,6699172,2125
"America","Brazil","Brazil – Amazonas","AM",148268193,147609600,146955646,146340118,145361330,23691,164083,117648,210518,210518,0.1,143256150,142203313,141124794,138886843,137732970,136563467,134146808,131574418,130230662,128760201,125210202,2193
"America","Brazil","Brazil – Bahia","BA",2603630,2283615,2127338,2033995,1912131,3904,21697,14044,29350,29350,1.5,1618631,1471634,1298956,872684,624651,360988,0,0,0,0,0,2067
"America","Brazil","Brazil – Ceara","CE",61561,56001,51770,44331,41085,282,1085,532,1638,1638,3.7,24705,16268,0,0,0,0,0,0,0,0,0,2038
"America","Brazil","Brazil – Espirito Santo","ES",514391,446810,427797,408682,384976,1410,4322,1557,7086,7086,1.8,314116,278439,217081,13449,0,0,0,0,0,0,0,2051
"America","Brazil","Brazil – Goias","GO",667396,566579,492122,417649,348116,2313,15302,10767,19836,19836,5,149756,50328,0,0,0,0,0,0,0,0,0,2038
"America","Brazil","Brazil – Maranhao","MA",5820307,4907469,4139310,3637882,3269004,17299,94108,60201,128015,128015,3.6,1988854,1348531,682528,0,0,0,0,0,0,0,0,2046
"America","Brazil","Brazil – Mato Grosso","MT",40560419,35759262,33453901,31909819,30421852,33768,304774,238587,370960,370960,1.2,26712252,24857205,22976477,19134105,17178022,15206310,11185230,7008420,4862455,2589783,0,2096
"America","Brazil","Brazil – Mato Grosso do Sul","MS",883347,800341,746191,699018,656525,1136,9597,7370,11823,11823,1.7,538295,478932,393889,142888,0,0,0,0,0,0,0,2055
"America","Brazil","Brazil – Minas Gerais","MG",1898241,1521840,1304244,1057802,927416,7017,40576,26822,54330,54330,5.2,384116,112219,0,0,0,0,0,0,0,0,0,2037
"America","Brazil","Brazil – Para","PA",100602441,96196646,92329386,90205419,87854103,41053,480627,400164,561091,561091,0.6,82243193,79437490,76606107,70862426,67955687,65033320,59110931,53032811,49936190,46712864,39657134,2142
"America","Brazil","Brazil – Paraiba","PB",47775,43755,41571,39517,38201,97,343,154,532,532,1.4,32881,29974,1386,0,0,0,0,0,0,0,0,2041
"America","Brazil","Brazil – Parana","PR",3260607,2935439,2701910,2544051,2454955,3499,26604,19747,33462,33462,1.3,2120335,1952778,1759539,1292148,1023555,739332,93233,0,0,0,0,2072
"America","Brazil","Brazil – Pernambouco","PE",143678,129041,121245,113410,109602,281,1233,683,1783,1783,1.6,91772,82609,47766,0,0,0,0,0,0,0,0,2045
"America","Brazil","Brazil – Piaui","PI",111186,93858,80078,65248,54000,654,2690,1408,3971,3971,6.6,14290,0,0,0,0,0,0,0,0,0,0,2034
"America","Brazil","Brazil – Rio de Janeiro","RJ",837693,782969,747498,704782,690662,1642,5792,2574,9009,9009,1.3,600572,555279,484306,261445,115116,0,0,0,0,0,0,2059
