"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Antigua and B.","Antigua and B.","ATG",4055,3838,3552,3343,3023,16,52,22,83,52,1.6,2503,2243,1983,1463,1203,943,423,0,0,0,0,2078
"America","Bahamas","Bahamas","BHS",152350,125174,114614,106110,97862,431,1657,813,2502,1657,1.5,81292,73007,64722,48152,39867,31582,15012,0,0,0,0,2079
"America","Barbados","Barbados","BRB",4449,4344,4023,3597,3388,23,64,18,110,64,1.7,2748,2428,2108,1468,1148,828,188,0,0,0,0,2072
"America","Belize","Belize","BLZ",1421133,1368947,1328061,1254036,1198089,2724,12996,7657,18334,12996,1,1068129,1003149,938169,808209,743229,678249,548289,418329,353349,288369,158409,2112
"America","Bolivia","Bolivia","BOL",32620546,31439235,30484770,29349275,28738539,39857,174616,96497,252735,174616,0.6,26992379,26119299,25246219,23500059,22626979,21753899,20007739,18261579,17388499,16515419,14769259,2184
"America","Brazil","Brazil – Acre","AC",13911608,13559872,13307205,13093603,12860444,3256,44684,38303,51065,44684,0.3,12413604,12190184,11966764,11509067,11263936,11015986,10500690,9942949,9655132,9367315,8780758,2160
"America","Brazil","Brazil – Alagoas","AL",111761,102533,97777,92149,88767,216,901,477,1325,901,1,79757,75252,70747,50880,24663,0,0,0,0,0,0,2060
"America","Brazil","Brazil – Amapa","AP",11729592,11630849,11564911,11502054,11458138,1542,10677,7654,13699,10677,0.1,11351368,11297984,11244598,11126972,11051875,10973960,10798734,10581063,10463281,10345499,10099012,2173
"America","Brazil","Brazil – Amazonas","AM",148094983,147460274,146852228,146278174,145345511,23568,150663,104470,196856,150663,0.1,143838881,143085566,142332251,140814764,140039737,139261892,137686806,136069275,135251563,134433851,132787504,2264
"America","Brazil","Brazil – Bahia","BA",2520981,2227982,2097105,2013976,1936082,3609,16103,9030,23176,16103,0.8,1775052,1694537,1614022,1442135,1339908,1234863,1005378,733446,588534,443622,142876,2105
"America","Brazil","Brazil – Ceara","CE",56712,51604,48194,42599,39700,201,849,454,1243,849,1.9,31210,26965,22720,3374,0,0,0,0,0,0,0,2051
"America","Brazil","Brazil – Espirito Santo","ES",487268,430391,416514,400751,387061,890,2945,1202,4689,2945,0.7,357611,342886,328161,287855,251418,212163,114257,0,0,0,0,2079
"America","Brazil","Brazil – Goias","GO",643704,551450,480568,408075,358154,2089,12241,8147,16335,12241,2.9,235744,174539,113334,0,0,0,0,0,0,0,0,2049
"America","Brazil","Brazil – Maranhao","MA",5638128,4712832,3929775,3503968,3259469,15011,67024,37602,96446,67024,1.9,2589229,2254109,1918989,1237892,881060,521411,0,0,0,0,0,2068
"America","Brazil","Brazil – Mato Grosso","MT",40368221,35531473,33282507,31785069,30333100,29595,294945,236938,352951,294945,0.9,27383650,25908925,24434200,21473893,19977456,18478201,15460295,12399944,10860822,9321700,6232533,2120
"America","Brazil","Brazil – Mato Grosso do Sul","MS",871211,789012,735575,687753,653550,1111,8193,6016,10370,8193,1.2,571620,530655,489690,396903,334226,268732,118346,0,0,0,0,2077
"America","Brazil","Brazil – Minas Gerais","MG",1824088,1473178,1277155,1043667,953964,8032,32323,16580,48067,32323,2.9,630734,469119,307504,0,0,0,0,0,0,0,0,2050
"America","Brazil","Brazil – Para","PA",100167628,95740165,91982099,89972959,87763541,38524,421863,346357,497370,421863,0.5,83544911,81435596,79326281,75096795,72965768,70831923,66544837,62215306,60041594,57867882,53509535,2189
"America","Brazil","Brazil – Paraiba","PB",46097,42632,40834,38875,37762,95,308,122,494,308,0.8,34682,33142,31602,17665,0,0,0,0,0,0,0,2054
"America","Brazil","Brazil – Parana","PR",3201580,2875725,2673110,2534833,2475267,3601,19780,12721,26839,19780,0.8,2277467,2178567,2079667,1871010,1750398,1626968,1360712,1052011,888714,725417,387900,2110
"America","Brazil","Brazil – Pernambouco","PE",137903,125224,118577,111936,109230,257,936,432,1439,936,0.8,99870,95190,90510,70293,43902,14692,0,0,0,0,0,2063
"America","Brazil","Brazil – Piaui","PI",104472,88243,74304,61747,54637,571,1967,846,3087,1967,3,34967,25132,15297,0,0,0,0,0,0,0,0,2047
"America","Brazil","Brazil – Rio de Janeiro","RJ",819541,763884,735882,699959,694407,1532,4143,1141,7146,4143,0.6,652977,632262,611547,559260,516834,471589,361703,209372,124260,39148,0,2093
"America","Brazil","Brazil – Rio Grande do Norte","RN",30540,26745,24750,23005,21638,59,312,195,428,312,1.3,18518,16958,15398,1421,0,0,0,0,0,0,0,2051
