"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Antigua and B.","Antigua and B.","ATG",4055,3838,3552,3343,3023,16,52,22,83,22,0.6,2803,2693,2583,2363,2253,2143,1923,1703,1593,1483,1263,2157
"America","Bahamas","Bahamas","BHS",152350,125174,114614,106110,97862,431,1657,813,2502,813,0.7,89732,85667,81602,73472,69407,65342,57212,49082,45017,40952,32822,2140
"America","Barbados","Barbados","BRB",4449,4344,4023,3597,3388,23,64,18,110,18,0.5,3208,3118,3028,2848,2758,2668,2488,2308,2218,2128,1948,2208
"America","Belize","Belize","BLZ",1421133,1368947,1328061,1254036,1198089,2724,12996,7657,18334,7657,0.6,1121519,1083234,1044949,968379,930094,891809,815239,738669,700384,662099,585529,2176
"America","Bolivia","Bolivia","BOL",32620546,31439235,30484770,29349275,28738539,39857,174616,96497,252735,96497,0.3,27773569,27291084,26808599,25843629,25361144,24878659,23913689,22948719,22466234,21983749,21018779,2317
"America","Brazil","Brazil – Acre","AC",13911608,13559872,13307205,13093603,12860444,3256,44684,38303,51065,38303,0.3,12477414,12285899,12094384,11711354,11519839,11328324,10936846,10536253,10332211,10127231,9715084,3576324
"America","Brazil","Brazil – Alagoas","AL",111761,102533,97777,92149,88767,216,901,477,1325,477,0.5,83997,81612,79227,74457,72072,69687,56469,34136,19224,3374,0,88767
"America","Brazil","Brazil – Amapa","AP",11729592,11630849,11564911,11502054,11458138,1542,10677,7654,13699,7654,0.1,11381598,11343328,11305058,11228518,11190248,11151978,11066990,10972887,10922090,10870355,10764698,817914
"America","Brazil","Brazil – Amazonas","AM",148094983,147460274,146852228,146278174,145345511,23568,150663,104470,196856,104470,0.1,144300811,143778461,143256111,142211411,141689061,141166711,140113562,139051299,138516422,137980607,136906790,9531354
"America","Brazil","Brazil – Bahia","BA",2520981,2227982,2097105,2013976,1936082,3609,16103,9030,23176,9030,0.4,1845782,1800632,1755482,1665182,1620032,1574882,1476133,1368270,1310593,1251978,1132562,941754
"America","Brazil","Brazil – Ceara","CE",56712,51604,48194,42599,39700,201,849,454,1243,454,1,35160,32890,30620,26080,23810,21540,8552,0,0,0,0,39700
"America","Brazil","Brazil – Espirito Santo","ES",487268,430391,416514,400751,387061,890,2945,1202,4689,1202,0.3,375041,369031,363021,351001,344991,338981,318513,288930,270393,250918,209781,237234
"America","Brazil","Brazil – Goias","GO",643704,551450,480568,408075,358154,2089,12241,8147,16335,8147,1.8,276684,235949,195214,113744,73009,32274,0,0,0,0,0,358154
"America","Brazil","Brazil – Maranhao","MA",5638128,4712832,3929775,3503968,3259469,15011,67024,37602,96446,37602,1,2883449,2695439,2507429,2131409,1943399,1755389,1370921,977338,776801,575326,170189,3259469
"America","Brazil","Brazil – Mato Grosso","MT",40368221,35531473,33282507,31785069,30333100,29595,294945,236938,352951,236938,0.7,27963720,26779030,25594340,23224960,22040270,20855580,18477751,16090808,14893591,13695436,11296939,21453474
"America","Brazil","Brazil – Mato Grosso do Sul","MS",871211,789012,735575,687753,653550,1111,8193,6016,10370,6016,0.8,593390,563310,533230,473070,442990,412910,344302,266578,223972,180427,91150,653550
"America","Brazil","Brazil – Minas Gerais","MG",1824088,1473178,1277155,1043667,953964,8032,32323,16580,48067,16580,1.4,788164,705264,622364,456564,373664,290764,116516,0,0,0,0,953964
"America","Brazil","Brazil – Para","PA",100167628,95740165,91982099,89972959,87763541,38524,421863,346357,497370,346357,0.4,84299971,82568186,80836401,77372831,75641046,73909261,70437243,66956110,65211798,63466548,59973861,31301184
"America","Brazil","Brazil – Paraiba","PB",46097,42632,40834,38875,37762,95,308,122,494,122,0.3,36542,35932,35322,34102,33492,32882,23213,4430,0,0,0,37762
"America","Brazil","Brazil – Parana","PR",3201580,2875725,2673110,2534833,2475267,3601,19780,12721,26839,12721,0.5,2348057,2284452,2220847,2093637,2030032,1966427,1830768,1685995,1609863,1532793,1376466,1273944
"America","Brazil","Brazil – Pernambouco","PE",137903,125224,118577,111936,109230,257,936,432,1439,432,0.4,104910,102750,100590,96270,94110,91950,79182,57299,42612,26987,0,109230
"America","Brazil","Brazil – Piaui","PI",104472,88243,74304,61747,54637,571,1967,846,3087,846,1.2,46177,41947,37717,29257,25027,20797,3888,0,0,0,0,54637
"America","Brazil","Brazil – Rio de Janeiro","RJ",819541,763884,735882,699959,694407,1532,4143,1141,7146,1141,0.2,682997,677292,671587,660177,654472,648767,628909,599936,581704,562534,522007,231744
"America","Brazil","Brazil – Rio Grande do Norte","RN",30540,26745,24750,23005,21638,59,312,195,428,195,0.8,19688,18713,17738,15788,14813,13838,3439,0,0,0,0,21638
"America","Brazil","Brazil – Rio Grande do Sul","RS",2533050,2379768,2213848,2121504,2073850,2348,14004,9402,18607,9402,0.4,1979830,1932820,1885810,1791790,1744780,1697770,1595302,1483719,1424182,1363707,1240570,975234
"America","Brazil","Brazil – Rondonia","RO",16500312,14727169,13800306,13190813,12435992,11227,136426,114420,158431,114420,0.9,11291792,10719692,10147592,9003392,8431292,7859192,6706544,5544780,4960154,4374589,3201272,10426854
"America","Brazil","Brazil – Roraima","RR",16714804,16413642,16228110,16077545,15592631,21902,63551,20622,106479,20622,0.1,15386411,15283301,15180191,14973971,14870861,14767751,14553083,14329300,14213663,14097088,13861751,1985034
"America","Brazil","Brazil – Santa Catarina","SC",2933889,2651378,2484865,2402215,2354689,1626,13020,9833,16208,9833,0.4,2256359,2207194,2158029,2059699,2010534,1961369,1854591,1738698,1677006,1614376,1486929,1014024
"America","Brazil","Brazil – Sao Paulo","SP",3029457,2855477,2781321,2682038,2652706,3026,12862,6930,18794,6930,0.3,2583406,2548756,2514106,2444806,2410156,2375506,2297757,2210894,2163717,2115602,2017186,752754
