"area_cont","area_ctry","area_name","area_code","alt_m","alt_sd","slope_m","slope_sd","ddefor_m","ddefor_sd","dedge_m","dedge_sd","driver_m","driver_sd","droad_m","droad_sd","dtown_m","dtown_sd"
"America","Antigua and B.","Antigua and B.","ATG",93.0714878936945,95.3039031270768,9.49211013863157,8.68762597642142,211.757087060602,181.356570991655,63.8396119440595,60.9801334915994,21218.6033765907,18624.6499085119,1985.85303011213,2378.3952044417,2665.24889756835,2378.90756663313
"America","Bahamas","Bahamas","BHS",9.70496925713134,5.99807140194898,0.933071262977522,1.02100115403767,143.73315,186.894205670703,68.4735,85.2506761359644,55199.6253,57434.9651561331,11764.32835,23120.0199870274,26326.2562,25794.137605995
"America","Barbados","Barbados","BRB",167.222713342763,84.9578178319491,6.5470297029703,4.19040875895211,150.109613130129,121.610419076607,59.8415005861665,61.664316419074,4020.74812426729,2361.6127086992,446.650937866354,404.827852775097,1069.17690504103,558.095178086623
"America","Belize","Belize","BLZ",171.052855285529,219.01541502689,4.25037503750375,5.64435535924822,707.78425,1228.79222919054,424.26145,710.237379860202,4484.51245,4592.89562399971,6396.6347,6428.07607632004,8881.47485,7796.41804280545
"America","Bolivia","Bolivia","BOL",407.004428407413,506.108798456766,4.32911267836641,7.65600704124822,651.639970477284,1083.51538528636,468.943053960964,848.673250907637,8615.5502706249,10412.7170488066,22356.892652124,19322.1933960157,22737.0080367394,21606.172087806
"America","Brazil","Brazil – Acre","AC",236.049522807545,45.4570384131775,2.54275944991358,1.65544457477879,2566.38532351394,4515.95510932208,973.951829863981,1701.98418110057,7326.27632073345,6974.84133610551,45492.3986999324,49051.077704221,39285.6738182911,25005.7799133614
"America","Brazil","Brazil – Alagoas","AL",163.154107705385,171.806091234569,7.67063353167658,5.94393019678698,150.3477,152.429252240365,60.5052,64.8298466634846,3489.5678,2889.2715939005,2982.136,2361.45180616409,7798.2745,3608.49932397365
"America","Brazil","Brazil – Amapa","AP",97.1145846845678,99.5489591035926,3.16980153067843,3.30932989199335,2048.74504971898,3339.05887134245,1571.50773886727,2650.91419471763,8890.87358408993,8521.44817963136,39970.0071335927,41471.7347736708,46835.9781668828,56394.3107745523
"America","Brazil","Brazil – Amazonas","AM",97.95833,72.3837327557703,1.9261,2.18936674023957,2878.39942,4319.52638007284,2319.62109,3499.47361576753,9011.34694,8108.07241979598,70672.45771,76237.5948862727,67695.4765,53438.9296090684
"America","Brazil","Brazil – Bahia","BA",251.223044979237,257.241896973967,6.94501425926852,6.27031501033058,166.9522,227.105353431481,91.4375,131.948798092351,5591.08325,4478.2724212595,3271.92735,2796.43443914757,8730.75615,8140.49601815259
"America","Brazil","Brazil – Ceara","CE",452.538284571143,382.641960235777,7.58684671167792,9.24825151480445,162.4369,181.762418275134,59.5614,57.1507982510047,4497.9779,4182.08202013217,2135.79565,1662.69996284639,4214.7222,2384.3536570411
"America","Brazil","Brazil – Espirito Santo","ES",421.229372937294,414.793586379071,11.4417941794179,9.97709971880917,155.6674,206.523303941695,76.68085,119.837505167037,3802.944,2974.96989752141,1461.20815,1287.47676427363,7186.79415,4539.0867363486
"America","Brazil","Brazil – Goias","GO",554.6795,251.097757226014,3.64775,4.59210456204075,171.4032,251.705323162315,47.68945,42.7086561502819,5894.27285,5583.99547245292,6384.6348,5070.69648566856,20336.50625,11070.4502454685
"America","Brazil","Brazil – Maranhao","MA",135.269729269879,118.081341416981,3.20982835410099,3.51640271653021,418.3488,1075.03097305064,299.4988,849.059645085435,15690.1472,11176.3768851782,11683.62355,9615.35382302141,13368.476,9475.85438367111
"America","Brazil","Brazil – Mato Grosso","MT",309.117161914491,101.456708062207,2.33197127662771,2.68148406204813,675.461016134363,1190.6860760864,567.172760868912,1044.17502024082,9113.17573536039,7907.76463626644,16940.3228374846,21617.9142063324,40351.2494366493,23726.6115864654
"America","Brazil","Brazil – Mato Grosso do Sul","MS",298.14045,164.846473549754,2.5228,3.75563382124375,241.4339,346.96692512853,54.21285,64.2167948025611,7150.69345,8197.90556622609,14600.46005,21135.0668005837,27427.46785,18107.8364454703
"America","Brazil","Brazil – Minas Gerais","MG",883.57935,309.884742011032,11.49315,7.19864876936674,118.6469,142.198273680948,53.73705,57.0015321375733,6075.3728,5010.00212351093,2926.62905,3011.35385088615,7965.63975,5155.72952922463
"America","Brazil","Brazil – Para","PA",203.69618696187,124.550967669592,3.97207972079721,4.04729886200244,1079.88928,1783.50144551529,900.24969,1501.07920851393,11497.90917,9345.5898020054,44445.72371,69701.5372109195,49206.46944,59673.0220919633
"America","Brazil","Brazil – Paraiba","PB",117.776954279133,150.329592582324,4.07131053132355,4.14668961290365,195.089154457723,220.255096723421,86.3130656532827,106.503912853672,3341.20811040552,3558.29026443218,1969.68343417171,1487.76119958137,5628.74618730937,2610.13320166144
"America","Brazil","Brazil – Parana","PR",717.949784935481,298.129746503458,7.57252175652696,5.95758253396702,225.71275,355.143189814617,120.21705,243.547492510912,3776.87775,3666.70384548022,3848.6009,3243.27783215901,10724.7454,6043.39990802373
"America","Brazil","Brazil – Pernambouco","PE",233.025736030443,252.237255786559,7.64705587822952,5.73446045391311,140.8794,146.972940053247,62.0277,66.9731289601295,2910.9995,2709.69408498477,2514.03395,1984.26605889609,4956.8398,2198.62993082387
"America","Brazil","Brazil – Piaui","PI",163.448272413621,121.130079920376,3.08255412770639,3.10721750716321,146.7358,180.717739149819,42.81465,33.1405614046897,11429.7464,8224.63414874066,4770.94235,5140.36442830168,15126.99515,10382.9875242689
"America","Brazil","Brazil – Rio de Janeiro","RJ",557.841978770278,408.159328349067,15.8382735830162,9.46707653999203,176.19915,234.507820093833,106.2881,164.317052684985,2980.65975,2737.21100530893,2339.55775,2433.93061168063,6973.5188,3969.85206172927
"America","Brazil","Brazil – Rio Grande do Norte","RN",40.2046058903216,39.0075832536248,2.13852792132858,2.2250515073131,157.942229780423,180.317050245432,69.3078077327065,75.2854836550867,3167.53688791077,3034.11549865788,1971.55464412544,1649.4557291751,5533.36212674436,2695.77848718527
"America","Brazil","Brazil – Rio Grande do Sul","RS",363.657482874144,258.766576091223,8.12740637031852,7.45621404877942,139.23815,156.283209132172,51.83295,60.2637455710232,2281.4495,2608.51324466968,2997.02195,2903.78378285662,9108.79855,6626.49935668556
"America","Brazil","Brazil – Rondonia","RO",194.30097826087,95.811493027841,2.41130434782609,2.83336040678459,790.025797101449,1218.73809419937,638.293913043478,1029.3704192235,11872.0087318841,9894.19845782135,16378.5889492754,17924.775621995,31763.6252898551,18616.4723686027
"America","Brazil","Brazil – Roraima","RR",201.252526497412,219.14751588196,3.66086393887109,4.85349729257561,1490.79128666502,2492.98399608791,1174.1524217402,2015.83890093753,8312.75834976584,6608.44048887135,53055.3183694848,63557.352641911,47020.047911018,45298.7207181123
"America","Brazil","Brazil – Santa Catarina","SC",673.535653565356,354.484814662807,10.024902490249,7.24184690393133,158.9335,205.15927932766,83.0985,126.430991602264,2035.6559,1884.66041037591,2503.5396,2338.72930840034,10111.22405,5917.59656207697
"America","Brazil","Brazil – Sao Paulo","SP",575.598379513854,344.611651959286,8.08322496749025,7.21335477105996,320.8353,511.153283133204,189.349,355.730262699127,4268.8938,4197.33641707112,3509.76,3743.62970287762,9612.43695,5707.22663188664
"America","Brazil","Brazil – Sergipe","SE",61.7210758289092,65.5330129873422,3.56095362115597,3.27828820054352,131.022101105055,129.224366530682,66.2758137906895,70.0456891636707,2671.67163358168,2619.64991204876,2038.47572378619,1563.03399701535,6916.69953497675,3877.5870657563
"America","Brazil","Brazil – Tocantins","TO",232.569,89.4133204622992,2.0737,3.04033394407992,219.28685,293.325677813486,113.60895,168.032432508776,9299.7595,8923.01010347546,10716.25985,9390.16069261435,21142.92725,12719.5272045494
"America","Colombia","Colombia","COL",565.651629097746,736.040563756374,6.99079944796688,8.96146845718406,1916.03867,3746.90698898097,1469.05573,3032.3194726938,4890.04337,7241.14274001216,49956.4647,67859.2525491354,16902.8771,16268.7984542383
"America","Costa Rica","Costa Rica","CRI",604.656289103559,728.005698716682,9.10696231042595,9.11777210847998,530.52025,924.444038776268,323.7974,679.596185541098,1670.9924,1700.09933375361,5443.07085,6390.07208888095,9580.49735,6878.83092703543
"America","Cuba","Cuba","CUB",194.613832997988,265.215426048698,6.2761569416499,8.3544217582759,226.08965,311.110626472277,105.7499,161.666601233798,6082.0486,7516.00498667916,6625.76405,8041.63061865117,10295.2855,8962.35696293705
"America","Dominica","Dominica","DMA",271.291928905896,223.454379432634,14.060218518705,8.81042930762594,692.6443,899.585937929499,355.92595,496.942561632706,490.2694,603.923378994409,1312.0658,1515.34952822113,2045.79705,1659.60154537942
"America","Dominican Rep.","Dominican Rep.","DOM",522.020861473811,547.357268246709,10.2905598078943,8.77283871111388,149.22145,218.111314097101,84.6357,132.680801909205,3969.76435,4490.56295216986,4898.13465,4601.54991180134,9785.50615,5558.59691286787
"America","Ecuador","Ecuador","ECU",828.333512280231,919.592812174824,8.7184270567709,9.41393222389719,1215.25783399316,2368.13063430679,838.819465879353,1822.30203428573,2458.77413943501,2283.81558868718,12100.5973293968,20860.434754464,8433.29208884117,6349.66083093503
"America","El Salvador","El Salvador","SLV",716.260865206276,528.905083877085,9.6711614617274,8.36065082473852,161.09,212.806455798177,64.4664,84.0438536688256,3735.14625,2977.80929629001,1594.8917,1482.09153730036,4059.00715,2544.87453724528
"America","French Guiana","French Guiana","GUF",99.2853570714143,75.768677636311,3.84356871374275,3.33847577525356,2205.8132,3112.23489621337,1583.75925,2182.63687950534,2904.6765,2715.02449323163,42241.8392,46142.8356833549,29459.7747,28283.9171672924
"America","Grenada","Grenada","GRD",197.142462450394,158.66785304686,10.4262822122871,6.30303508146241,244.1245,377.17211209189,119.3846,152.22171873758,3494.3845,6886.30661283667,805.4253,971.703108035792,1074.20675,931.747629128541
"America","Guadeloupe","Guadeloupe","GLP",226.206251884612,240.038353800562,8.90210071363956,7.54919631412529,713.4793,1178.82637850238,246.0483,437.875391532837,1388.3134,1828.67772521338,1185.9056,1350.61689601035,4034.85265,2407.74876051108
"America","Guatemala","Guatemala","GTM",591.143614361436,658.008153434648,8.8990899089909,9.44692568154011,252.15575,368.132965904939,172.94735,285.536135755562,7893.036,7723.18456384375,8611.00325,9715.16805782376,12732.344,11242.6755458359
"America","Guyana","Guyana","GUY",193.419422884496,227.088273477417,3.4474943884036,4.52379732910928,1976.81735085727,2893.84307204515,1376.21648006923,2116.38791329783,7350.14657363838,6465.28203830728,42909.0409973498,49796.5879734967,30893.6670182271,24091.3158173997
"America","Haiti","Haiti","HTI",479.225361300682,424.05677945371,15.0525391409073,10.6303181018126,72.18435,77.05677681048,46.16685,43.835686255002,1677.5669,1590.94413751295,4050.8212,3281.30952318429,3575.1265,2149.84362226134
"America","Honduras","Honduras","HND",598.282878287829,517.834697035545,11.539303930393,8.74331156828536,608.07055,1317.65326565038,465.0343,1115.49767936878,3611.22755,2909.43559834997,24349.0834,22999.7598205728,14365.38285,9373.32323141563
"America","Jamaica","Jamaica","JAM",368.852339254441,267.433739843765,10.6519889917438,7.88055275099456,214.6646,389.565202577429,131.4609,285.486263927942,2852.45645,3031.45703442931,2074.543,2029.0479748974,4120.4667,2217.71060452156
"America","Martinique","Martinique","MTQ",187.02906831053,176.124930477615,9.57550243071217,7.07623492551917,375.23635,581.581464662243,128.492,222.194666136438,1234.55965,1107.13830044069,736.6658,821.511712871508,2783.4808,1372.31790582689
"America","Mexico","Mexico","MEX",748.936352264198,854.022167535549,9.89737302977233,10.1945067550415,208.2155,377.97001035292,124.92835,281.734965784911,14214.3612,19389.8891266312,5566.322,6007.88171728209,9948.65395,8033.7914737359
"America","Montserrat","Montserrat","MSR",322.879395120141,158.19677211004,16.8877446887466,8.3408672195714,675.759578012215,479.467894309556,161.21747177494,162.112946995757,1909.03905237831,1227.64752094393,2924.85128632241,2471.68894334858,3638.85924486396,2744.82021877613
"America","Nicaragua","Nicaragua","NIC",172.25197519752,233.182144581723,4.48569856985699,5.46293392204266,880.5407,2157.82899024484,492.59615,1170.25325515003,4134.101,3737.05584344385,19773.65315,16011.017949888,13450.35695,8489.13099397037
