"area_cont","area_ctry","area_name","area_code","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"America","Antigua and B.","Antigua and B.","ATG",0.11,-0.71,-0.393,NA,-0.719,-1.17,NA,NA,NA,10
"America","Bahamas","Bahamas","BHS",-0.307,NA,-0.113,-0.0909,-1.02,-0.525,-0.116,NA,NA,8.2
"America","Barbados","Barbados","BRB",-0.414,-0.323,-0.442,-0.201,-0.248,-0.958,-0.00936,-0.000252,NA,1.99
"America","Belize","Belize","BLZ",-0.905,-0.653,-0.0579,-0.194,-1.27,-1.28,NA,-0.129,-0.383,6.97
"America","Bolivia","Bolivia","BOL",-0.697,-0.163,-0.292,-0.223,-1.05,-3.07,NA,-0.306,-0.102,5.36
"America","Brazil","Brazil – Acre","AC",-6.72,-0.631,NA,NA,-11.1,-4.45,NA,-0.179,-0.162,4.14
"America","Brazil","Brazil – Alagoas","AL",0.735,-0.192,-0.333,-0.055,-0.632,-1.69,-0.139,-0.214,-0.14,3.01
"America","Brazil","Brazil – Amapa","AP",-6.11,-0.126,-0.748,-0.0641,-4.1,-8.46,NA,-0.218,-0.273,5.22
"America","Brazil","Brazil – Amazonas","AM",-3.95,-0.806,-0.118,NA,-2.8,-4.33,-0.157,-0.898,-0.416,13.7
"America","Brazil","Brazil – Bahia","BA",1.37,-0.213,-0.268,-0.201,-1.01,-0.969,NA,-0.0316,NA,4.11
"America","Brazil","Brazil – Ceara","CE",1.2,-0.551,-1.15,NA,-0.214,-0.956,NA,NA,NA,8.49
"America","Brazil","Brazil – Espirito Santo","ES",-0.335,-0.193,-0.813,NA,-0.852,-1.21,-0.0684,0.0017,-0.0782,3.2
"America","Brazil","Brazil – Goias","GO",0.0431,NA,-0.0472,NA,-0.79,-0.447,-0.116,NA,-0.0246,3.43
"America","Brazil","Brazil – Maranhao","MA",-1.44,-0.202,NA,-0.0857,-4.67,-2.73,NA,NA,-0.172,3.82
"America","Brazil","Brazil – Mato Grosso","MT",-0.506,-0.427,NA,NA,-1.53,-0.647,NA,-0.136,-0.24,10.2
"America","Brazil","Brazil – Mato Grosso do Sul","MS",-0.361,NA,-0.0391,-0.00942,-0.427,-1.21,NA,NA,NA,4.07
"America","Brazil","Brazil – Minas Gerais","MG",0.0579,-0.153,-0.504,NA,-0.738,-0.515,-0.0592,-0.0584,-0.0376,3.86
"America","Brazil","Brazil – Para","PA",-1.23,-1.18,NA,-0.033,-1.4,-2.33,-0.0186,-0.874,-0.306,8.08
"America","Brazil","Brazil – Paraiba","PB",3.03,-0.693,NA,-0.043,-0.821,-1.07,-0.244,NA,-0.0944,4.35
"America","Brazil","Brazil – Parana","PR",-0.739,-0.339,NA,-0.218,-0.959,-1.98,NA,NA,-0.0367,2.54
"America","Brazil","Brazil – Pernambouco","PE",7.39,-0.558,-0.73,-0.173,-0.861,-2.1,-0.0329,-0.0665,-0.082,6.55
"America","Brazil","Brazil – Piaui","PI",0.377,NA,NA,NA,-0.624,-0.626,-0.0253,-0.0192,-0.0883,4.13
"America","Brazil","Brazil – Rio de Janeiro","RJ",-0.671,-0.22,-0.0796,-0.00921,-1.49,-3.14,-0.142,-0.0869,-0.0365,2.4
"America","Brazil","Brazil – Rio Grande do Norte","RN",-0.0866,NA,NA,-0.0837,-0.938,-0.625,NA,NA,NA,5.73
"America","Brazil","Brazil – Rio Grande do Sul","RS",-0.171,-0.343,-0.107,-0.504,-0.622,-1.66,-0.00244,-0.00175,NA,1.81
"America","Brazil","Brazil – Rondonia","RO",-0.719,-1.63,NA,-0.108,-0.598,-1.79,-0.00309,-0.403,-0.141,7.27
"America","Brazil","Brazil – Roraima","RR",-1.79,-0.841,-0.446,NA,-2.72,-2.05,-0.0123,-0.165,-0.427,8.49
"America","Brazil","Brazil – Santa Catarina","SC",-0.675,-0.303,NA,-0.548,-0.921,-1.56,NA,NA,-0.0518,2
"America","Brazil","Brazil – Sao Paulo","SP",-0.686,-0.184,-0.166,-0.26,-1.87,-2.8,-0.0108,-0.0245,-0.0419,3.79
"America","Brazil","Brazil – Sergipe","SE",0.669,NA,NA,NA,-0.918,-0.866,-0.132,NA,NA,3.63
"America","Brazil","Brazil – Tocantins","TO",-0.351,-0.0354,NA,NA,-0.59,-0.0321,-0.081,-0.0463,NA,4.43
"America","Colombia","Colombia","COL",-2.41,-0.449,-0.803,-0.33,-4.06,-2.05,NA,-0.591,-0.349,5.62
"America","Costa Rica","Costa Rica","CRI",-3.51,NA,-0.0648,-0.303,-3.05,-6.7,-0.00897,-0.0645,-0.136,2.18
"America","Cuba","Cuba","CUB",-0.371,NA,-0.242,-0.105,-0.694,-0.707,-0.0533,-0.126,-0.0533,4.77
"America","Dominica","Dominica","DMA",-1.47,NA,-0.216,-0.181,-0.84,-2.7,NA,NA,-0.407,3.26
"America","Dominican Rep.","Dominican Rep.","DOM",-0.138,-0.331,-0.236,-0.0751,-1.08,-1.39,-0.00258,-0.13,-0.00548,2.85
"America","Ecuador","Ecuador","ECU",-4.34,-0.52,-0.0974,-0.362,-2.79,-10.6,NA,-0.433,-0.107,2.53
"America","El Salvador","El Salvador","SLV",-0.0481,-0.476,-0.327,-0.213,-0.82,-1.59,NA,-0.0731,-0.033,3.38
"America","French Guiana","French Guiana","GUF",-1.22,-0.835,-0.584,-0.122,-1.2,-2.69,NA,-1.05,-0.88,18.8
"America","Grenada","Grenada","GRD",-0.776,-0.396,-1.12,NA,-1.84,-2.7,NA,-0.266,-0.108,14.2
"America","Guadeloupe","Guadeloupe","GLP",-3.96,NA,-0.171,-0.19,-2.02,-7.36,-0.0365,-0.089,-0.0896,2.61
"America","Guatemala","Guatemala","GTM",0.026,-0.229,-0.427,-0.252,-1.03,-0.145,-0.0222,-0.18,-0.0365,3.15
"America","Guyana","Guyana","GUY",-1.97,-0.708,-0.452,-0.207,-0.479,-4.86,NA,-0.89,-0.33,13.7
"America","Haiti","Haiti","HTI",0.0342,-0.038,NA,-0.12,-0.587,-0.751,-0.0779,-0.256,-0.0154,2.87
"America","Honduras","Honduras","HND",-0.976,-0.364,-0.911,-0.307,-0.939,-0.59,-0.0168,NA,NA,4.46
"America","Jamaica","Jamaica","JAM",-0.817,-0.00284,-0.242,-0.132,-2.16,-2.64,-0.0239,-0.136,-0.078,2.66
"America","Martinique","Martinique","MTQ",-1.41,-0.0746,-0.627,-0.0531,-0.9,-4.39,NA,NA,NA,2.66
"America","Mexico","Mexico","MEX",-0.769,-0.228,-0.317,-0.277,-1.08,-1.15,NA,-0.0555,-0.0291,3.59
"America","Montserrat","Montserrat","MSR",-8.16,NA,-0.213,NA,-1.74,-6.02,NA,NA,NA,4.81
"America","Nicaragua","Nicaragua","NIC",-1.36,NA,-0.327,-0.0877,-0.612,-1.68,NA,-0.158,NA,3.19
"America","Panama","Panama","PAN",-2.51,-0.455,-0.157,-0.239,-4.1,-2.79,NA,-0.511,NA,2.97
"America","Paraguay","Paraguay","PRY",-0.404,NA,-0.066,-0.109,-0.785,-0.126,-0.00675,-0.0956,NA,3.93
"America","Peru","Peru","PER",-1.73,-0.617,-0.634,-0.354,-3.58,-3.61,-0.0221,-0.57,-0.504,6.44
"America","Puerto Rico","Puerto Rico","PRI",0.00861,NA,-0.383,-0.0625,-0.41,-1.1,NA,NA,-0.0638,4.32
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",-1.96,NA,-1.13,-0.168,-0.297,-0.878,NA,NA,NA,1.62
"America","Saint Lucia","Saint Lucia","LCA",-1.35,NA,-0.265,-0.0662,-1.14,-3.14,NA,-0.0346,-0.0608,2.97
"America","Saint Martin","Saint Martin","MAF",0.438,NA,NA,NA,-0.391,-0.895,-0.477,NA,NA,8.11
"America","Saint Vincent","Saint Vincent","VCT",-0.526,-0.159,-0.691,-0.164,-1.95,-1.84,NA,-0.303,-0.045,3.3
"America","Sint Maarten","Sint Maarten","SXM",-0.0291,NA,NA,-0.491,-0.597,-0.527,-0.0677,NA,-0.298,10
"America","Suriname","Suriname","SUR",-1.17,-0.046,-0.548,-0.144,-0.551,-1.21,NA,-1.21,-0.392,12.5
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",-2.55,-0.265,-0.249,-0.153,-2.29,-5.43,-0.0377,-0.106,-0.105,2.16
"America","Venezuela","Venezuela","VEN",-2.93,-0.12,-0.39,-0.0886,-1.39,-6.69,-0.0796,-0.585,-0.36,6.59
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",1.07,NA,-0.347,-0.21,-0.939,-0.973,NA,NA,NA,8.04
"America","Virgin Isl. US","Virgin Isl. US","VIR",0.0303,-0.35,NA,-0.174,-0.311,-0.782,NA,NA,NA,7.64
"Africa","Angola","Angola","AGO",-0.382,NA,-0.0415,-0.0956,-2.72,-2.04,-0.0132,-0.194,-0.0665,4
"Africa","Benin","Benin","BEN",2.76,NA,NA,-0.148,-0.422,-1,NA,NA,NA,8.05
"Africa","Burundi","Burundi","BDI",-0.691,-1.17,-0.527,NA,-2.13,-3.32,-0.0904,NA,-0.0615,6.39
"Africa","Cameroon","Cameroon","CMR",-0.13,-0.891,NA,-0.156,-1.57,-2.99,-0.034,-0.419,-0.27,5.96
"Africa","CAR","CAR","CAF",-0.226,-0.0942,NA,-0.0225,-4.95,-1.51,-0.109,-0.11,-0.37,4.61
"Africa","Comoros","Comoros","COM",-2.73,NA,-0.163,-0.314,NA,-10.1,NA,NA,NA,7.22
"Africa","Congo","Congo","COG",-2.35,-0.402,-0.0118,-0.0641,-1.42,-5.41,-0.16,-0.548,-0.314,8.71
"Africa","DRC","DRC","COD",-3.91,-0.16,NA,NA,-6.45,-4.59,NA,-0.375,-0.295,4.52
"Africa","Eq. Guinea","Eq. Guinea","GNQ",-1.05,-0.136,-0.364,-0.34,-0.0307,-2.66,-0.0715,-1.3,-0.091,8.7
"Africa","Ethiopia","Ethiopia","ETH",-0.589,-0.0816,-0.0658,-0.27,-1.12,-1.96,NA,-0.0817,-0.0998,3.55
"Africa","Gabon","Gabon","GAB",-2.57,-0.16,-0.515,-0.222,-1.14,-4.2,NA,-0.541,-0.433,14.6
"Africa","Gambia","Gambia","GMB",-0.0138,-0.222,NA,-0.106,-0.543,-0.399,NA,-0.327,-0.0806,5.23
"Africa","Ghana","Ghana","GHA",0.47,-0.378,-0.125,-0.182,-0.551,-1.74,NA,-0.0149,-0.0571,2.06
"Africa","Guinea","Guinea","GIN",-0.676,-0.224,-0.0782,-0.0128,-3.22,-2.51,NA,-0.0843,NA,1.88
"Africa","Guinea Bissau","Guinea Bissau","GNB",0.652,-0.688,NA,NA,-1.27,-0.866,NA,-0.125,-0.0571,3.13
"Africa","Ivory Coast","Ivory Coast","CIV",0.0065,NA,NA,-0.133,-1.68,-0.828,NA,-0.02,-0.0414,2.61
"Africa","Kenya","Kenya","KEN",-1.54,-0.186,-0.525,-0.0659,-0.764,-2.99,-0.0622,-0.158,-0.0435,6.97
"Africa","Liberia","Liberia","LBR",-1.54,-0.491,NA,-0.129,-1.31,-3.15,NA,-0.331,-0.302,2.06
"Africa","Madagascar","Madagascar","MDG",-1.17,-0.285,-0.531,-0.169,-2.26,-1.26,NA,NA,-0.0962,3.43
"Africa","Malawi","Malawi","MWI",-0.0893,-0.363,-0.122,-0.148,-0.976,-0.202,-0.246,-0.515,-7.84e-05,18.7
"Africa","Mauritius","Mauritius","MUS",-1.89,-0.45,-0.153,-0.191,-0.538,-3.63,-0.0169,-0.0906,-0.0311,1.37
"Africa","Mayotte","Mayotte","MYT",-0.23,-1.34,NA,NA,-0.751,-1.36,-0.0582,NA,-0.0342,2.77
"Africa","Nigeria","Nigeria","NGA",1.02,NA,NA,-0.0147,-1.33,-0.776,NA,-0.22,NA,5.63
"Africa","Reunion","Reunion","REU",-0.932,-0.385,NA,-0.206,-0.184,-4.2,NA,NA,NA,2.76
"Africa","Rwanda","Rwanda","RWA",-2.26,-1.3,-0.337,-0.215,-1.56,-5.18,NA,-0.138,NA,3.98
"Africa","Senegal","Senegal","SEN",1.69,-0.199,-0.0119,-0.0651,-0.794,-0.401,NA,NA,-0.0616,6.03
"Africa","Sierra Leone","Sierra Leone","SLE",-0.374,-0.247,NA,NA,-1.36,-1.19,NA,-0.0385,-0.0515,1.31
"Africa","South Sudan","South Sudan","SSD",0.85,-0.135,-0.182,0.00537,-0.266,-0.644,NA,-0.203,NA,4.16
"Africa","Tanzania","Tanzania","TZA",-0.268,-0.239,-0.434,-0.0902,-1.04,-3.16,-0.109,-0.184,-0.0667,5.93
"Africa","Togo","Togo","TGO",1.96,-0.537,-0.19,-0.144,-0.365,-0.525,NA,-0.271,NA,4.68
"Africa","Uganda","Uganda","UGA",-1.34,-1.19,NA,NA,-2.7,-2.48,-0.0703,-0.0358,-0.116,4.72
"Africa","Zambia","Zambia","ZMB",-0.325,-0.401,NA,NA,-1.02,-0.439,NA,-0.125,-0.0777,9.53
"Asia","Australia","Australia – Queensland","QLD",-0.11,-0.349,NA,-0.122,-1.19,-1.66,NA,0.0092,NA,5.56
"Asia","Bangladesh","Bangladesh","BGD",0.043,-0.544,-0.0807,-0.0925,-0.625,-1.07,-0.0605,NA,NA,4.47
"Asia","Bhutan","Bhutan","BTN",-1.31,NA,-0.0721,-0.0771,-7.07,-1.48,-0.0465,NA,-0.0486,1.19
"Asia","Brunei","Brunei","BRN",-0.441,-1.1,-0.984,-0.37,-2.43,NA,NA,-0.0866,-0.617,15.1
"Asia","Cambodia","Cambodia","KHM",0.572,-1.46,-1.04,-0.193,-0.998,-0.286,NA,-0.387,-0.182,9.4
"Asia","Fiji","Fiji","FJI",-1.52,-0.306,-0.254,-0.237,-0.416,-4.95,NA,-0.124,-0.0883,5.21
"Asia","India","India – Andaman and N.","AN",-5.62,NA,-0.223,-0.193,-1.12,-17.3,NA,-0.242,NA,4.55
"Asia","India","India – North-East","NE",-1.04,-0.585,-0.309,-0.293,-5.39,-1.6,-0.0288,-0.0941,-0.0331,2.39
"Asia","India","India – West. Ghats","WG",-0.156,-0.369,-0.483,-0.0837,-0.692,-2.06,NA,-0.17,-0.0529,1.93
"Asia","Indonesia","Indonesia","IDN",-1.33,-0.736,-0.312,-0.583,-1.66,-1.81,-0.0368,-0.433,-0.0877,8.13
"Asia","Laos","Laos","LAO",-0.258,-0.442,-0.405,-0.34,-1.23,-0.941,NA,-0.162,-0.174,3.08
"Asia","Malaysia","Malaysia","MYS",-0.687,-2.08,-0.385,-0.472,-0.83,-1.89,NA,-0.241,NA,7.84
"Asia","Myanmar","Myanmar","MMR",-0.431,-0.167,-0.483,-0.215,-1.37,-1.42,-0.107,-0.139,-0.0183,3.1
"Asia","New Caledonia","New Caledonia","NCL",-2,NA,-0.368,-0.0977,-2.34,-8.16,NA,0.02,-0.0766,4.11
"Asia","Papua New Guinea","Papua New Guinea","PNG",-1.63,NA,-0.549,-0.478,-0.0719,-3.84,-0.0553,-0.358,-0.116,7.46
"Asia","Philippines","Philippines","PHL",-1.57,-0.153,-0.226,-0.393,-2.01,-2.42,NA,-0.0927,-0.182,2.97
"Asia","Singapore","Singapore","SGP",-0.0134,-1.35,-0.119,-0.108,-1.17,-1.33,NA,-0.616,NA,6.01
"Asia","Solomon Isl.","Solomon Isl.","SLB",-0.544,NA,-0.802,-0.513,NA,-0.866,-0.221,-0.357,NA,5.86
"Asia","Sri Lanka","Sri Lanka","LKA",0.0335,-0.516,-0.0899,-0.291,-1.03,-1.48,-0.0354,-0.0681,-0.196,1.71
"Asia","Thailand","Thailand","THA",-1.39,-0.159,-0.751,-0.08,-1.93,-3.37,-0.0115,NA,NA,2.07
"Asia","Timor-Leste","Timor-Leste","TLS",-0.563,-0.12,-0.189,-0.104,-1.33,-1.49,-0.0336,-0.0801,-0.124,1.6
"Asia","Vanuatu","Vanuatu","VUT",-3.22,-0.505,-0.575,-0.287,-0.859,-5.21,NA,NA,0.00424,18.1
"Asia","Vietnam","Vietnam","VNM",-0.612,-0.536,-0.283,-0.376,-1.65,-1.22,-0.0447,-0.173,-0.0586,3.12
