"cont","year","fc","perc"
"Africa",2000,275744657,0
"America",2000,690358173,0
"Asia",2000,301411783,0
"Africa",2010,259666984,5.83063808920874
"America",2010,648927571,6.00131983952046
"Asia",2010,270678680,10.1963840610704
"Africa",2020,238791330,13.4012848705895
"America",2020,621159873,10.0235360000583
"Asia",2020,246894284,18.0873814743998
"Africa",2021,236116967,14.3711542523197
"America",2021,617529945,10.5493395817304
"Asia",2021,243745758,19.1319743462053
"Africa",2022,233442604,15.34102363405
"America",2022,613900017,11.0751431634025
"Asia",2022,240597232,20.1765672180108
"Africa",2023,230768241,16.3108930157802
"America",2023,610270089,11.6009467450746
"Asia",2023,237448706,21.2211600898164
"Africa",2024,228093878,17.2807623975104
"America",2024,606640161,12.1267503267467
"Asia",2024,234300180,22.2657529616219
"Africa",2025,225419515,18.2506317792406
"America",2025,603010238,12.6525531841571
"Asia",2025,231151654,23.3103458334275
"Africa",2026,222745152,19.2205011609708
"America",2026,599380383,13.178346191608
"Asia",2026,228003128,24.354938705233
"Africa",2027,220070789,20.190370542701
"America",2027,595750528,13.7041391990589
"Asia",2027,224854602,25.3995315770386
"Africa",2028,217396426,21.1602399244312
"America",2028,592120673,14.2299322065099
"Asia",2028,221706076,26.4441244488441
"Africa",2029,214726263,22.1285861578816
"America",2029,588490818,14.7557252139608
"Asia",2029,218557550,27.4887173206497
"Africa",2030,212083648,23.0869419892332
"America",2030,584860963,15.2815182214117
"Asia",2030,215409024,28.5333101924552
"Africa",2031,209554714,24.0040709111546
"America",2031,581231158,15.8073039862454
"Asia",2031,212260498,29.5779030642608
"Africa",2032,207060636,24.9085591529703
"America",2032,577601476,16.3330719342407
"Asia",2032,209111972,30.6224959360663
"Africa",2033,204862696,25.7056516601879
"America",2033,573971794,16.858839882236
"Asia",2033,205963446,31.6670888078719
"Africa",2034,202705914,26.4878180395713
"America",2034,570342112,17.3846078302313
"Asia",2034,202814920,32.7116816796774
"Africa",2035,200564732,27.2643270110579
"America",2035,566712430,17.9103757782266
"Asia",2035,199666394,33.7562745514829
"Africa",2036,198426640,28.0397153805958
"America",2036,563082748,18.436143726222
"Asia",2036,196517868,34.8008674232885
"Africa",2037,196315562,28.805307005459
"America",2037,559453066,18.9619116742173
"Asia",2037,193369342,35.845460295094
"Africa",2038,194232597,29.5607033285145
"America",2038,555823384,19.4876796222126
"Asia",2038,190220816,36.8900531668996
"Africa",2039,192149632,30.31609965157
"America",2039,552226007,20.0087681152143
"Asia",2039,187072290,37.9346460387051
"Africa",2040,190066667,31.0714959746255
"America",2040,548654391,20.5261250669658
"Asia",2040,183984100,38.9592211131308
"Africa",2041,188059257,31.7994919480888
"America",2041,545085343,21.0431100378962
"Asia",2041,180978206,39.9564926763331
"Africa",2042,186182812,32.4799928942957
"America",2042,541519658,21.5596078703916
"Asia",2042,177972312,40.9537642395354
"Africa",2043,184367979,33.1381499805452
"America",2043,537954217,22.076070358915
"Asia",2043,174966418,41.9510358027377
"Africa",2044,182553146,33.7963070667948
"America",2044,534388822,22.5925261842305
"Asia",2044,171960524,42.94830736594
"Africa",2045,180738313,34.4544641530443
"America",2045,530823427,23.1089820095459
"Asia",2045,168957711,43.9445567395088
"Africa",2046,178923480,35.1126212392939
"America",2046,527363177,23.6102073350843
"Asia",2046,165954950,44.9407888609318
"Africa",2047,177108717,35.7707529397387
"America",2047,523931671,24.1072690248284
"Asia",2047,162952189,45.9370209823549
"Africa",2048,175322826,36.4184140837224
"America",2048,520500264,24.6043163741903
"Asia",2048,159949428,46.933253103778
"Africa",2049,173537749,37.0657800270632
"America",2049,517068883,25.1013599573913
"Asia",2049,156946667,47.929485225201
"Africa",2050,171757956,37.7112297048062
"America",2050,513637502,25.5984035405923
"Asia",2050,153943906,48.9257173466241
"Africa",2051,170101960,38.3117838616906
"America",2051,510206121,26.0954471237932
"Asia",2051,150946974,49.9200155688671
"Africa",2052,168473055,38.9025133495152
"America",2052,506774740,26.5924907069942
"Asia",2052,148015385,50.8926348111613
"Africa",2053,166844150,39.4932428373399
"America",2053,503343359,27.0895342901952
"Asia",2053,145083796,51.8652540534555
"Africa",2054,165215245,40.0839723251646
"America",2054,499913325,27.5863827572879
"Asia",2054,142152207,52.8378732957497
"Africa",2055,163586340,40.6747018129893
"America",2055,496485019,28.0829809195291
"Asia",2055,139220618,53.8104925380439
"Africa",2056,161957435,41.2654313008139
"America",2056,493056764,28.5795716943008
"Asia",2056,136289029,54.7831117803381
"Africa",2057,160328530,41.8561607886386
"America",2057,489791295,29.0525825352979
"Asia",2057,133357440,55.7557310226322
"Africa",2058,158699625,42.4468902764633
"America",2058,486537447,29.5239100471981
"Asia",2058,130425851,56.7283502649264
