"cont","year","fc","perc"
"Africa",2000,274993405,0
"America",2000,687338828,0
"Asia",2000,297089526,0
"Africa",2010,258401297,6.03363851580368
"America",2010,646684903,5.91468477319893
"Asia",2010,268058087,9.77194968495793
"Africa",2020,239681325,12.841064315706
"America",2020,621229023,9.61822645642827
"Asia",2020,248035053,16.5116803882208
"Africa",2021,237810092,13.5215289981227
"America",2021,618683623,9.98855327288451
"Asia",2021,246033250,17.1854850244704
"Africa",2022,235938859,14.2019936805394
"America",2022,616138223,10.3588800893407
"Asia",2022,244031447,17.85928966072
"Africa",2023,234067626,14.882458362956
"America",2023,613592823,10.729206905797
"Asia",2023,242029644,18.5330942969696
"Africa",2024,232196393,15.5629230453727
"America",2024,611047423,11.0995337222532
"Asia",2024,240027841,19.2068989332192
"Africa",2025,230325160,16.2433877277893
"America",2025,608502023,11.4698605387094
"Asia",2025,238026038,19.8807035694688
"Africa",2026,228453927,16.923852410206
"America",2026,605956623,11.8401873551657
"Asia",2026,236024235,20.5545082057184
"Africa",2027,226582694,17.6043170926226
"America",2027,603411223,12.2105141716219
"Asia",2027,234022432,21.228312841968
"Africa",2028,224711461,18.2847817750393
"America",2028,600865823,12.5808409880782
"Asia",2028,232020629,21.9021174782177
"Africa",2029,222840228,18.965246457456
"America",2029,598320423,12.9511678045344
"Asia",2029,230018826,22.5759221144673
"Africa",2030,220968995,19.6457111398726
"America",2030,595775023,13.3214946209906
"Asia",2030,228017023,23.2497267507169
"Africa",2031,219097762,20.3261758222893
"America",2031,593229623,13.6918214374469
"Asia",2031,226015220,23.9235313869665
"Africa",2032,217226529,21.0066405047059
"America",2032,590684227,14.0621476719485
"Asia",2032,224013417,24.5973360232161
"Africa",2033,215357485,21.6863091680326
"America",2033,588138837,14.4324730335182
"Asia",2033,222011614,25.2711406594657
"Africa",2034,213489399,22.3656294593683
"America",2034,585593464,14.8027959217808
"Asia",2034,220009811,25.9449452957153
"Africa",2035,211621313,23.044949750704
"America",2035,583048098,15.1731177916229
"Asia",2035,218008008,26.618749931965
"Africa",2036,209753227,23.7242700420397
"America",2036,580502732,15.5434396614649
"Asia",2036,216006205,27.2925545682146
"Africa",2037,207941311,24.3831643889787
"America",2037,577957366,15.9137615313069
"Asia",2037,214004402,27.9663592044642
"Africa",2038,206392591,24.9463488042559
"America",2038,575412000,16.284083401149
"Asia",2038,212002599,28.6401638407138
"Africa",2039,204847283,25.5082924625047
"America",2039,572866634,16.654405270991
"Asia",2039,210000796,29.3139684769634
"Africa",2040,203301975,26.0702361207535
"America",2040,570321329,17.0247182660253
"Asia",2040,207998993,29.987773113213
"Africa",2041,201756667,26.6321797790023
"America",2041,567776059,17.3950261689567
"Asia",2041,205997190,30.6615777494626
