"cont","year","fc","perc"
"Africa",2000,275709298,0
"America",2000,690336658,0
"Asia",2000,301390609,0
"Africa",2010,259665217,5.81920200602012
"America",2010,648915831,6.00009090057622
"Asia",2010,270678672,10.1900776211644
"Africa",2020,238791330,13.3901788107269
"America",2020,621159873,10.020731797789
"Asia",2020,246894284,18.0816267569903
"Africa",2021,237113282,13.9988082665243
"America",2021,619004956,10.3328863060319
"Asia",2021,244976879,18.717812803517
"Africa",2022,235435234,14.6074377223216
"America",2022,616850039,10.6450408142747
"Asia",2022,243059474,19.3539988500438
"Africa",2023,233757186,15.2160671781189
"America",2023,614695122,10.9571953225176
"Asia",2023,241142069,19.9901848965706
"Africa",2024,232079138,15.8246966339162
"America",2024,612540205,11.2693498307604
"Asia",2024,239224664,20.6263709430973
"Africa",2025,230401090,16.4333260897135
"America",2025,610385288,11.5815043390032
"Asia",2025,237307259,21.2625569896241
"Africa",2026,228723042,17.0419555455108
"America",2026,608230371,11.8936588472461
"Asia",2026,235389854,21.8987430361508
"Africa",2027,227044994,17.6505850013082
"America",2027,606075454,12.2058133554889
"Asia",2027,233472449,22.5349290826776
"Africa",2028,225366946,18.2592144571055
"America",2028,603920537,12.5179678637318
"Asia",2028,231555044,23.1711151292043
"Africa",2029,223688898,18.8678439129028
"America",2029,601765620,12.8301223719746
"Asia",2029,229637639,23.8073011757311
"Africa",2030,222010850,19.4764733687001
"America",2030,599610703,13.1422768802175
"Asia",2030,227720234,24.4434872222578
"Africa",2031,220332802,20.0851028244974
"America",2031,597455786,13.4544313884603
"Asia",2031,225802829,25.0796732687846
"Africa",2032,218654754,20.6937322802947
"America",2032,595300869,13.7665858967032
"Asia",2032,223885424,25.7158593153113
"Africa",2033,216976706,21.302361736092
"America",2033,593145952,14.078740404946
"Asia",2033,221968019,26.3520453618381
"Africa",2034,215298658,21.9109911918894
"America",2034,590991035,14.3908949131889
"Asia",2034,220050614,26.9882314083648
"Africa",2035,213620610,22.5196206476867
"America",2035,588836118,14.7030494214317
"Asia",2035,218133209,27.6244174548916
"Africa",2036,211943335,23.1279697357178
"America",2036,586681201,15.0152039296746
"Asia",2036,216215804,28.2606035014183
"Africa",2037,210319290,23.7170122568735
"America",2037,584526284,15.3273584379174
"Asia",2037,214298399,28.8967895479451
"Africa",2038,208727896,24.2942122321896
"America",2038,582371367,15.6395129461602
"Asia",2038,212380994,29.5329755944718
"Africa",2039,207136502,24.8714122075056
"America",2039,580216450,15.9516674544031
"Asia",2039,210463589,30.1691616409986
"Africa",2040,205545108,25.4486121828216
"America",2040,578061533,16.2638219626459
"Asia",2040,208546184,30.8053476875253
"Africa",2041,204115510,25.9671286094965
"America",2041,575906616,16.5759764708888
"Asia",2041,206628779,31.4415337340521
"Africa",2042,202716201,26.4746591897673
"America",2042,573751699,16.8881309791316
"Asia",2042,204711374,32.0777197805788
"Africa",2043,201316892,26.9821897700382
"America",2043,571596782,17.2002854873745
"Asia",2043,202793969,32.7139058271056
"Africa",2044,199939462,27.4817848181529
"America",2044,569441865,17.5124399956173
"Asia",2044,200876564,33.3500918736323
"Africa",2045,198603617,27.9662969509284
"America",2045,567286948,17.8245945038602
"Asia",2045,198959159,33.9862779201591
"Africa",2046,197271146,28.449585330996
"America",2046,565132031,18.136749012103
"Asia",2046,197041754,34.6224639666858
"Africa",2047,195938675,28.9328737110636
"America",2047,562977114,18.4489035203459
"Asia",2047,195124349,35.2586500132126
"Africa",2048,194606204,29.4161620911312
"America",2048,560822197,18.7610580285887
"Asia",2048,193206944,35.8948360597393
"Africa",2049,193273733,29.8994504711988
"America",2049,558667280,19.0732125368316
"Asia",2049,191289539,36.5310221062661
"Africa",2050,191942509,30.3822865632917
"America",2050,556512363,19.3853670450744
"Asia",2050,189372134,37.1672081527928
"Africa",2051,190612249,30.8647730117539
"America",2051,554357446,19.6975215533173
"Asia",2051,187454729,37.8033941993196
"Africa",2052,189281989,31.347259460216
"America",2052,552202529,20.0096760615601
"Asia",2052,185537324,38.4395802458463
"Africa",2053,187954026,31.8289127847984
"America",2053,550049280,20.321588948562
"Asia",2053,183619919,39.0757662923731
"Africa",2054,186626254,32.3104968335163
"America",2054,547898110,20.6332006781538
"Asia",2054,181702514,39.7119523388998
"Africa",2055,185299118,32.791850204486
"America",2055,545746940,20.9448124077456
"Asia",2055,179785109,40.3481383854266
"Africa",2056,183972287,33.2730929516929
"America",2056,543595773,21.2564237027668
"Asia",2056,177870908,40.9832613596796
"Africa",2057,182645456,33.7543356988998
"America",2057,541444606,21.568034997788
"Asia",2057,176031156,41.5936825025626
"Africa",2058,181318625,34.2355784461067
"America",2058,539293439,21.8796462928092
"Asia",2058,174191404,42.2041036454457
"Africa",2059,179991794,34.7168211933135
"America",2059,537142272,22.1912575878304
"Asia",2059,172351652,42.8145247883288
"Africa",2060,178688182,35.1896423892095
"America",2060,534991105,22.5028688828516
"Asia",2060,170511900,43.4249459312118
"Africa",2061,177415210,35.6513504306989
"America",2061,532839938,22.8144801778729
"Asia",2061,168672148,44.0353670740949
"Africa",2062,176142238,36.1130584721883
"America",2062,530688771,23.1260914728941
"Asia",2062,166832396,44.6457882169779
