"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"Africa","AGO","icar",30,83,75,50,59,75,75,49,49,9999,10000
"Africa","AGO","glm",17,79,72,50,57,72,72,45,45,9999,10000
"Africa","AGO","rf",81,83,75,50,60,75,75,50,50,9999,10000
"Africa","BDI","icar",49,92,85,50,74,85,85,71,71,10000,10000
"Africa","BDI","glm",46,91,84,50,72,84,84,68,68,10000,10000
"Africa","BDI","rf",89,93,86,50,75,86,86,71,71,10000,10000
"Africa","BEN","icar",26,81,72,50,56,72,72,44,44,9978,9997
"Africa","BEN","glm",13,74,68,50,51,68,68,36,36,9978,9997
"Africa","BEN","rf",29,72,66,50,49,66,66,32,32,9978,9997
"Africa","CAF","icar",41,89,81,50,68,81,81,62,62,10000,10000
"Africa","CAF","glm",29,86,79,50,65,79,79,57,57,10000,10000
"Africa","CAF","rf",84,88,80,50,67,80,80,60,60,10000,10000
"Africa","CIV","icar",24,79,71,50,55,71,71,42,42,10000,9999
"Africa","CIV","glm",8,67,62,50,45,62,62,25,25,10000,9999
"Africa","CIV","rf",75,67,62,50,44,61,62,23,23,10000,9999
"Africa","CMR","icar",50,92,84,50,72,84,84,68,68,23543,23541
"Africa","CMR","glm",36,88,79,50,66,80,79,59,59,23543,23541
"Africa","CMR","rf",85,90,82,50,69,82,82,63,63,23543,23541
"Africa","COD","icar",56,93,86,50,75,86,86,71,71,50000,50000
"Africa","COD","glm",47,91,84,50,72,84,84,68,68,50000,50000
"Africa","COD","rf",87,91,83,50,71,83,83,67,67,50000,50000
"Africa","COG","icar",59,94,88,50,78,88,88,76,76,23945,23943
"Africa","COG","glm",47,93,87,50,77,87,87,74,74,23945,23943
"Africa","COG","rf",91,96,90,50,82,90,90,80,80,23945,23943
"Africa","COM","icar",42,89,81,50,68,81,81,62,62,9993,9962
"Africa","COM","glm",35,85,78,50,63,78,78,55,55,9993,9962
"Africa","COM","rf",77,83,75,50,59,75,75,49,49,9993,9962
"Africa","ETH","icar",34,85,77,50,63,77,77,55,55,10000,10000
"Africa","ETH","glm",25,83,75,50,60,75,75,50,50,10000,10000
"Africa","ETH","rf",82,85,77,50,62,77,77,54,54,10000,10000
"Africa","GAB","icar",67,96,90,50,82,90,90,81,81,24096,24077
"Africa","GAB","glm",45,92,85,50,74,85,85,70,70,24096,24077
"Africa","GAB","rf",93,97,92,50,85,92,92,84,84,24096,24077
"Africa","GHA","icar",24,80,72,50,56,72,72,44,44,10000,10000
"Africa","GHA","glm",16,76,69,50,53,69,69,39,39,10000,10000
"Africa","GHA","rf",77,76,69,50,52,69,69,38,38,10000,10000
"Africa","GIN","icar",24,80,72,50,57,72,73,45,45,9976,9999
"Africa","GIN","glm",19,79,72,50,56,71,72,43,43,9976,9999
"Africa","GIN","rf",79,78,71,50,55,71,71,42,42,9976,9999
"Africa","GMB","icar",12,73,67,50,51,67,68,35,35,9979,9996
"Africa","GMB","glm",7,70,65,50,48,65,65,30,30,9979,9996
"Africa","GMB","rf",76,72,66,50,50,66,66,33,33,9979,9996
"Africa","GNB","icar",32,86,79,50,65,79,79,58,58,9874,9969
"Africa","GNB","glm",23,83,76,50,61,76,76,52,52,9874,9969
"Africa","GNB","rf",82,83,75,50,61,76,75,51,51,9874,9969
"Africa","GNQ","icar",54,94,87,50,77,87,87,74,74,9998,9985
"Africa","GNQ","glm",46,92,86,50,75,86,86,71,71,9998,9985
"Africa","GNQ","rf",92,97,91,50,83,91,91,82,82,9998,9985
"Africa","KEN","icar",42,89,80,50,67,80,80,61,61,9989,9998
"Africa","KEN","glm",27,83,75,50,60,75,75,50,50,9989,9998
"Africa","KEN","rf",84,88,80,50,66,80,80,60,60,9989,9998
"Africa","LBR","icar",41,88,80,50,67,80,80,60,60,10000,9997
"Africa","LBR","glm",35,87,78,50,64,78,78,56,56,10000,9997
"Africa","LBR","rf",83,85,77,50,62,77,77,54,54,10000,9997
"Africa","MDG","icar",34,85,77,50,62,77,77,54,54,9991,9996
"Africa","MDG","glm",25,82,74,50,59,74,74,48,48,9991,9996
"Africa","MDG","rf",81,83,74,50,59,74,75,49,49,9991,9996
"Africa","MUS","icar",33,86,78,50,64,78,78,57,57,9972,9952
"Africa","MUS","glm",32,86,78,50,64,78,78,56,56,9972,9952
"Africa","MUS","rf",84,88,80,50,67,80,80,60,60,9972,9952
"Africa","MWI","icar",47,91,83,50,71,83,83,67,67,10000,10000
"Africa","MWI","glm",21,80,73,50,57,73,73,46,46,10000,10000
"Africa","MWI","rf",88,93,85,50,75,85,86,71,71,10000,10000
"Africa","MYT","icar",21,80,72,50,56,72,72,44,44,9975,9973
"Africa","MYT","glm",20,79,71,50,55,71,71,42,42,9975,9973
"Africa","MYT","rf",79,79,71,50,55,71,71,42,42,9975,9973
"Africa","NGA","icar",36,86,77,50,63,77,78,55,55,9979,9997
"Africa","NGA","glm",18,79,72,50,56,72,72,43,43,9979,9997
"Africa","NGA","rf",77,78,70,50,54,70,71,41,41,9979,9997
"Africa","REU","icar",34,86,78,50,64,78,78,56,56,9996,9983
"Africa","REU","glm",28,83,75,50,60,75,75,50,50,9996,9983
"Africa","REU","rf",79,81,72,50,57,72,73,45,45,9996,9983
"Africa","RWA","icar",57,93,86,50,75,86,86,72,72,10000,10000
"Africa","RWA","glm",53,92,85,50,74,85,85,70,70,10000,10000
"Africa","RWA","rf",89,92,85,50,74,85,85,71,71,10000,10000
"Africa","SEN","icar",13,73,67,50,50,67,66,33,33,9883,9972
"Africa","SEN","glm",8,71,66,50,49,66,65,31,31,9883,9972
"Africa","SEN","rf",74,69,63,50,46,63,63,26,26,9883,9972
"Africa","SLE","icar",17,75,68,50,52,68,68,37,37,9993,9999
"Africa","SLE","glm",13,74,68,50,51,68,68,36,36,9993,9999
"Africa","SLE","rf",75,70,64,50,47,64,64,29,29,9993,9999
"Africa","SSD","icar",18,76,69,51,58,73,64,37,37,5682,7705
"Africa","SSD","glm",9,68,65,51,53,70,59,29,29,5682,7705
"Africa","SSD","rf",76,71,66,51,55,71,60,31,31,5682,7705
"Africa","TGO","icar",17,76,69,50,52,69,69,38,38,10000,10000
