"area_cont","area_ctry","area_name","area_code","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"America","Antigua and B.","Antigua and B.","ATG",2.67775158696536,-0.259,-2.60651857886748,NA,-3.60415876497182,-14.7001923942857,NA,NA,NA,10
"America","Bahamas","Bahamas","BHS",0.538558492346805,NA,NA,-5.06682468319504,-6.10905168524638,-6.72760333025438,NA,NA,-0.00319583627501934,6.93
"America","Barbados","Barbados","BRB",2.44946654468718,-0.277,-5.64726592944439,-1.68097285822602,-2.16798945829436,-24.7665719092,NA,NA,NA,0.727
"America","Belize","Belize","BLZ",1.37246289710763,-0.828,-0.0926557221040871,-5.87498855276523,-1.28982571622991,-2.35601201955616,NA,-0.0268454596486283,-0.0328110127379731,6.64
"America","Bolivia","Bolivia","BOL",2.30571993180175,-0.204,-0.59307632472833,-1.62861980329826,-0.607744475521274,-3.88722662693895,-0.00458608151325736,-0.0167282041677022,NA,5.08
"America","Brazil","Brazil – Acre","AC",2.53394293441908,-0.723,NA,-0.372695139264853,-2.08899937169292,-3.51582835002268,-0.000594848177339495,NA,-0.0120596157925791,3.93
"America","Brazil","Brazil – Alagoas","AL",3.97253303072782,-0.248,-2.48833108537448,-0.167735658985912,-3.64817080988711,-25.2581747657835,-0.0386605213909258,-0.0468892414328339,-0.0568898440486404,3.51
"America","Brazil","Brazil – Amapa","AP",2.75263352346361,-0.157,-6.39236434372793,NA,-0.654112423937809,-3.66738391388558,NA,-0.00707863687313726,-0.00672506681620771,6.29
"America","Brazil","Brazil – Amazonas","AM",2.43504616757428,-0.558,-0.980061498351507,NA,-0.639993131518403,-1.31198773481175,-0.0227374224373809,-0.0097448209786176,-0.00874882862935993,12.4
"America","Brazil","Brazil – Bahia","BA",3.31023568762104,-0.171,-1.46550845003773,-2.79690416461223,-2.93948579144527,-8.87191239061393,NA,-0.0172885524253907,-0.00230256743209984,3.71
"America","Brazil","Brazil – Ceara","CE",4.20692117345369,-0.654,-2.70801019827085,NA,-0.190672352845193,-28.8499649355738,NA,NA,NA,12.6
"America","Brazil","Brazil – Espirito Santo","ES",0.928637100377439,-0.0558,-2.37822015248755,-0.0736866906546474,-2.7689877625663,-7.40267247871005,-0.00356792599364868,-0.0471762815458122,-0.00168443996284449,2.78
"America","Brazil","Brazil – Goias","GO",1.16703097529626,NA,NA,NA,-2.36411854023946,-11.8673489105355,-0.0179029563064092,NA,-0.00205028812675001,3.92
"America","Brazil","Brazil – Maranhao","MA",1.33560438501722,-0.0555,NA,-2.74904200910021,-3.13916803553218,-4.93653401096105,NA,NA,-0.0140528387427852,3.27
"America","Brazil","Brazil – Mato Grosso","MT",1.41591901377876,-0.477,NA,NA,-0.78832739599534,-1.02671585354458,NA,-0.0115686439240959,-0.0119467988438797,9.68
"America","Brazil","Brazil – Mato Grosso do Sul","MS",1.4555161917109,NA,-1.42208542377329,NA,-0.773003314463812,-18.3654983602751,NA,NA,NA,3.43
"America","Brazil","Brazil – Minas Gerais","MG",2.54053356049365,-0.113,-1.41302867982307,NA,-3.58370109135883,-9.22363946633256,NA,-0.0212867552793907,-0.00587532891945494,3.73
"America","Brazil","Brazil – Para","PA",1.77294616702207,-0.992,NA,-1.1039080475615,-0.834173760146083,-1.61375119174998,NA,-0.0120148177457259,-0.00732619399515191,7.14
"America","Brazil","Brazil – Paraiba","PB",4.42234304832559,-0.453,NA,NA,-3.6717509003577,-11.8585313465082,NA,NA,-0.0614475090384387,4.06
"America","Brazil","Brazil – Parana","PR",1.26379079884867,-0.206,NA,-4.24913299389715,-2.33194210962821,-9.67848505993205,-0.00679247077587432,NA,NA,2.91
"America","Brazil","Brazil – Pernambouco","PE",7.30991352179023,-0.405,-2.04055745435005,-1.61635619822974,-4.88304179947588,-31.2738250810341,NA,-0.0711828379803715,-0.0322021338433261,3.35
"America","Brazil","Brazil – Piaui","PI",1.53811888704162,-0.144,NA,NA,-2.23908886017925,-23.4562204249436,-0.00626056659619843,-0.00807872487215988,-0.000150727203212502,3.46
"America","Brazil","Brazil – Rio de Janeiro","RJ",2.73985187664929,-0.205,-0.432299749073966,NA,-4.53249802635278,-17.406116029928,-0.0187622957573221,-0.03763336376745,-0.00233425027420848,2.4
"America","Brazil","Brazil – Rio Grande do Norte","RN",2.76634385501143,-0.301,NA,NA,-6.20217717158023,-8.39254643601754,NA,-0.058471358367952,NA,17.1
"America","Brazil","Brazil – Rio Grande do Sul","RS",2.44312782376324,-0.143,-0.289335808333967,-7.50409274179968,-3.5596153222455,-21.5175966221114,NA,NA,NA,1.73
"America","Brazil","Brazil – Rondonia","RO",1.47966407973194,-1.34,NA,-3.0241653995082,-0.497734897118465,-1.68633477834941,NA,-0.0131549578758253,-0.0164983715013311,7.12
"America","Brazil","Brazil – Roraima","RR",2.46084504228633,-0.67,-2.01490873688788,NA,-0.632452348894002,-1.3623776713588,NA,NA,-0.0211783595919527,7.84
"America","Brazil","Brazil – Santa Catarina","SC",1.46688070301723,-0.232,NA,-7.21845030838907,-3.37037387655992,-10.3746005061529,NA,NA,NA,2.1
"America","Brazil","Brazil – Sao Paulo","SP",2.16232688777222,-0.185,-0.509691472017256,-3.38063221155719,-2.22926857476929,-7.24453114383286,NA,-0.0238386582944861,-0.00249303996291739,3.96
"America","Brazil","Brazil – Sergipe","SE",2.55643954518876,NA,NA,NA,-6.06358887042428,-14.8029971986829,-0.0170830684643481,NA,NA,3.84
"America","Brazil","Brazil – Tocantins","TO",0.272266603509001,NA,NA,NA,-1.32385480818979,-1.19337762138753,-0.0147478447715095,0.00104229493709491,NA,4.63
"America","Colombia","Colombia","COL",2.18467253794433,-0.535,-0.915089396018826,-3.40095310454945,-1.12107076543477,-1.21732953047085,NA,-0.0111608025304647,-0.0158569277784599,5.32
"America","Costa Rica","Costa Rica","CRI",1.84777782861369,NA,-0.0416923407122989,-4.09252706919342,-2.59884288306933,-8.82744194681767,-0.0173668297444766,-0.00932543777133396,-0.0121405442110181,2.09
"America","Cuba","Cuba","CUB",1.03013768159078,-0.0773,-0.499014884293725,-0.801435868645068,-2.24760768981818,-5.47763639196719,NA,-0.0147404329947642,NA,5.7
"America","Dominica","Dominica","DMA",2.1641568984795,NA,-1.14604390941701,-2.60671251511509,-0.786985160922167,-4.12382729103238,NA,NA,-0.129854885341177,2.16
"America","Dominican Rep.","Dominican Rep.","DOM",1.846464277898,-0.357,-0.714281588471111,-0.351103921133426,-4.77555986205687,-9.54112435608696,-0.00457389514506001,NA,NA,2.67
"America","Ecuador","Ecuador","ECU",2.61686341064069,-0.867,-0.134382564709177,-3.74158290694036,-0.448156492403627,-5.97261387552856,NA,-0.0217259834654812,-0.0249868100631832,2.47
"America","El Salvador","El Salvador","SLV",2.65858915623536,-0.426,-0.609433166019193,-2.06438959911603,-3.65042180818487,-18.572257353891,-0.00392966762756402,-0.0467004468405817,-0.041118387506984,5.86
"America","French Guiana","French Guiana","GUF",3.79707179739749,-1.07,-8.28423284940561,-0.717667020449531,-0.417509221063711,-1.43148878685029,NA,-0.011444789482708,-0.0243751156472306,21.4
"America","Grenada","Grenada","GRD",3.44699629593883,-0.287,-6.26312081048422,NA,-3.75998463334998,-11.8091800276179,NA,-0.231107936639218,NA,5.78
"America","Guadeloupe","Guadeloupe","GLP",2.07995378635352,NA,-2.16400231345166,NA,-1.69557282577265,-16.2193902131489,-0.00631408938569054,-0.0261918630977394,-0.039659659939234,3.11
"America","Guatemala","Guatemala","GTM",1.75558349532194,-0.172,-0.567726192129447,-2.55921263017844,-2.15125599874929,-3.95925972347158,-0.0178428638053948,-0.0146078409803494,-0.000196838469852131,2.7
"America","Guyana","Guyana","GUY",2.66641513430748,-0.475,-2.42478026478437,-3.87340692000013,-0.239035713242481,-1.77919277833762,NA,-0.00460019299995507,-0.018140959395274,9.98
"America","Haiti","Haiti","HTI",1.68170538724589,-0.152,NA,-1.31508916849516,-5.25851921207924,-18.4108230182509,-0.0522522764878233,-0.0371981295654262,-0.0117345334446689,2.84
"America","Honduras","Honduras","HND",1.06312676697922,-0.403,-1.49265825908727,-3.36227609064185,-0.39407834755878,-1.25413714803781,-0.000171863894244246,NA,NA,3.58
"America","Jamaica","Jamaica","JAM",2.09451726010185,-0.0434,-1.20934607921582,-1.18940564828607,-4.3953364315922,-11.0873812263128,0.000337955423902258,-0.0315327854105522,-0.0488128128803352,2.57
"America","Martinique","Martinique","MTQ",2.59084941253427,-0.124,-2.20575779040279,-3.12674931738804,-1.73928089528483,-20.5154680807166,-0.0103855038323655,-0.0231756351672023,-0.00437061914912082,1.85
"America","Mexico","Mexico","MEX",0.852835436269702,-0.328,-0.217812557744344,-2.56249162724823,-2.09561854809891,-5.67595751551797,NA,-0.00732384249940335,NA,3.6
"America","Montserrat","Montserrat","MSR",2.00498631115268,NA,-1.5252542362645,NA,-2.81205221885808,-32.2639207553489,-0.274480017659471,NA,NA,7.12
"America","Nicaragua","Nicaragua","NIC",0.244560679789774,NA,-1.27990198175188,-1.67989257313297,-0.269986218515687,-1.15814026728835,NA,-0.0105974790922526,NA,3.45
"America","Panama","Panama","PAN",1.89667284675476,-0.344,-0.363566772234758,-3.03133392229002,-1.33027725924095,-3.68048438908152,NA,-0.0299213334181382,NA,3.17
"America","Paraguay","Paraguay","PRY",0.951584196256302,-0.167,-1.34751360752964,-6.93784945326946,-2.91754389607149,-3.21039809746323,NA,-0.0103233129907305,NA,3.46
"America","Peru","Peru","PER",3.55669577935214,-0.684,-0.796412121841153,-3.81003593672456,-0.847068188292992,-1.73422734995376,-0.00143395345961036,-0.0122031255186268,-0.0241372446988663,4.98
"America","Puerto Rico","Puerto Rico","PRI",1.48092553617514,NA,-1.10763791313402,-1.32136504762415,-2.55595049548717,-4.70858937797155,NA,NA,-0.0216669766104857,2.47
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",1.92680574044896,-0.137,-4.48031461950397,-5.042078474378,-0.0480658457409129,-3.94114189440041,NA,NA,NA,5.78
"America","Saint Lucia","Saint Lucia","LCA",2.18544806654468,NA,-2.26896109576907,-2.12722711288518,-0.953206143667969,-9.77873047333566,NA,-0.0327708408067833,-0.063895356533618,3.9
"America","Saint Martin","Saint Martin","MAF",1.38389567461002,-1.18,NA,-4.54110024618968,-2.96397142542323,-12.4499578289969,NA,NA,NA,7.7
"America","Saint Vincent","Saint Vincent","VCT",3.08557306892512,NA,-3.73589567528435,-1.94714905862772,-1.69087171947757,-4.47563172298596,NA,-0.0597712807455007,NA,2.32
"America","Sint Maarten","Sint Maarten","SXM",6.19846891106474,NA,NA,-8.46973410852473,-6.82736223690148,-12.378924375197,-1.21853899983293,-0.807776618644523,-0.659514617668274,30.4
"America","Suriname","Suriname","SUR",1.73729627113099,-0.171,-5.31621314684045,NA,-0.354828358153103,-0.719828168513946,NA,-0.00778942976692979,-0.0182597031904849,14.2
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",2.06005749846416,-0.292,-0.761210423215171,-0.506706457173551,-2.87969508611917,-8.05647626946147,0.00305072418626988,-0.0363985061953982,-0.0616001677368544,1.79
"America","Venezuela","Venezuela","VEN",3.05033496757598,-0.12,-0.822861817647008,-1.35902694552803,-0.736917408824511,-4.13577494104513,-0.010160942350517,-0.00500208071919261,-0.0141617310701222,5.86
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",3.12107768915966,NA,-3.31197426064138,NA,-7.72517711054601,-13.4682433519577,NA,NA,NA,12.9
"America","Virgin Isl. US","Virgin Isl. US","VIR",0.887688878806242,-0.0374,NA,-1.92671845275117,-0.612944096573719,-5.0772599017652,NA,-0.0668839220373287,NA,6.46
"Africa","Angola","Angola","AGO",2.42940006720998,NA,-0.206961361816987,-1.24703030877801,-1.48970684695513,-9.29442150720441,NA,-0.0195343563655057,-0.0079777879341706,3.78
"Africa","Benin","Benin","BEN",3.85468067319229,-0.218,NA,-13.7781135542613,-1.26737468981468,-29.994735736472,0.00129307533106767,NA,NA,6.73
"Africa","Burundi","Burundi","BDI",5.00429201325953,-1.86,-1.22790257648564,NA,-5.56021907117294,-15.2325920570856,-0.0426570508774757,-0.0470144565099706,-0.0168402699790861,5.06
"Africa","Cameroon","Cameroon","CMR",2.79504807007208,-0.933,-0.122031169325233,-3.69579101335814,-0.480196120648952,-1.86948912745383,-0.00504084344621321,-0.0462502600767914,-0.0338345462662197,5.74
"Africa","CAR","CAR","CAF",2.96783199192317,NA,NA,-1.03835746106474,-3.28074182599269,-3.15273244351861,-0.0105875349626195,-0.00487688011532983,-0.0201407700403195,4.27
"Africa","Comoros","Comoros","COM",2.14656772844561,-0.038,NA,-3.72758967209022,NA,-32.086904748621,NA,NA,NA,6.22
"Africa","Congo","Congo","COG",2.56033782967978,-0.112,-0.625782093479614,-0.607251609570665,-0.173627474317842,-1.55541053352202,-0.00135157626640719,-0.0285593543437776,-0.0184439876859459,9.55
"Africa","DRC","DRC","COD",2.24429775960437,-0.261,NA,NA,-1.60556887907425,-2.38660264002994,NA,-0.0233678870498824,-0.0123446944353003,3.74
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2.57376979948138,-0.368,-1.40688648719185,-7.72876302097285,-0.0464858056455838,-1.72750547419716,-0.0158295083318682,-0.28375945469017,-0.013532674058788,10.6
"Africa","Ethiopia","Ethiopia","ETH",2.22679730574108,-0.241,-0.273846455284334,-2.80987303849339,-2.02750221595542,-6.49695913084794,NA,-0.00820714119253997,-0.0164269819939522,3.28
"Africa","Gabon","Gabon","GAB",2.89381839258127,-0.206,-2.33867901200291,-6.27346297622646,-0.177307006149746,-1.8070606941615,-0.00262874244998377,-0.0337621730844597,-0.008194632129103,14.8
"Africa","Gambia","Gambia","GMB",2.75403267296057,NA,NA,-12.0342483238032,-4.60860464883162,-14.0501047850673,NA,-0.145123818257726,NA,3.98
"Africa","Ghana","Ghana","GHA",2.18680365489947,-0.174,-1.71215034379578,-3.66029976093624,-1.00587962388621,-3.89161494930389,NA,-0.0366467707198334,-0.0186479856420573,2.11
"Africa","Guinea","Guinea","GIN",1.664387171405,-0.272,-0.107608157662788,NA,-6.58102189384935,-5.7474766114573,NA,-0.0151444018077684,NA,2.14
"Africa","Guinea Bissau","Guinea Bissau","GNB",2.80669013159371,-0.502,NA,NA,-6.52694225156019,-11.7429955095264,NA,-0.00353083935382632,-0.0176336628341923,5.2
"Africa","Ivory Coast","Ivory Coast","CIV",0.937371027710154,NA,NA,-4.43409274605264,-0.982812488397451,-0.901739910782517,NA,NA,-0.0015586331260964,2.37
"Africa","Kenya","Kenya","KEN",2.85868508472489,-0.0734,-0.762545481348637,-0.458825333303655,-1.34120627413312,-7.59818835196277,-0.0188100957356758,NA,-0.029115220562741,6.55
"Africa","Liberia","Liberia","LBR",1.66468163538735,-0.347,NA,-5.32796141310995,-0.856614243480835,-3.13043250327554,NA,-0.0339754815921301,-0.0348671859808806,1.7
"Africa","Madagascar","Madagascar","MDG",1.38975639868762,-0.393,-0.970832942944536,-2.18585453234074,-3.59513011673197,-2.598545270798,NA,NA,-0.00491194593086376,3.32
"Africa","Malawi","Malawi","MWI",3.02055658616569,-0.428,-0.679871097734758,-2.01790349616576,-4.06906071878933,-3.72665870924393,-0.0232155309616796,-0.11203862134046,-0.0266603744695488,13.8
"Africa","Mauritius","Mauritius","MUS",2.09509592232324,-0.486,-0.824222838573119,-1.6821945516125,-2.18409614623223,-18.004492681954,0.000196645820962581,-0.0911717572814033,0.000515724421228002,0.87
"Africa","Mayotte","Mayotte","MYT",2.13684547103101,-1.32,NA,NA,-3.17021097020995,-20.5536054467654,-0.0245797822165296,NA,-0.0315967436887491,1.06
"Africa","Nigeria","Nigeria","NGA",2.20519444506223,NA,NA,-1.30970810242837,-1.71097148549238,-2.16777884211965,NA,-0.026707174979444,NA,5.01
"Africa","Reunion","Reunion","REU",1.97151897860342,-0.391,NA,-2.88294446502191,-0.103475939238809,-14.6699184435804,NA,-0.0405148496041483,NA,2.23
"Africa","Rwanda","Rwanda","RWA",5.01913528553945,-0.808,-1.14229107463185,-1.71888404159039,-3.85143085579279,-17.5210049800255,-0.0129643816805602,-0.0703594565155205,-0.00445121902140181,3.46
"Africa","Senegal","Senegal","SEN",1.84066816523767,-0.0804,NA,-8.91160703782912,-1.85596181642296,-8.94274666588021,NA,NA,NA,8.3
"Africa","Sierra Leone","Sierra Leone","SLE",1.06840263580573,-0.231,NA,NA,-5.26320748414376,-4.80687210293926,NA,-0.0234791610068196,-0.00364954744373833,1.12
"Africa","South Sudan","South Sudan","SSD",2.94522613213061,NA,-1.5572093830148,NA,-1.24959870692076,-5.96219986890706,NA,-0.00447168068706738,-0.0116915792472954,3.79
"Africa","Tanzania","Tanzania","TZA",2.91888351303804,-0.553,-0.337915195028257,-0.545200219839365,-2.06569641448543,-13.6590910527284,-0.00808157837437606,-0.0385360323253991,NA,5.32
"Africa","Togo","Togo","TGO",3.17352200837516,-0.751,-0.638931172411418,-1.64347975707786,-5.87507035887906,-18.0326379713576,NA,-0.0412287815559462,NA,2.97
"Africa","Uganda","Uganda","UGA",1.71824293093998,-0.952,NA,NA,-3.65486080003092,-4.42695523914682,NA,-0.022052480654431,-0.0332271590424848,4.83
"Africa","Zambia","Zambia","ZMB",0.764765881494552,-0.196,NA,-2.30860642152132,-1.72014301896336,-15.6362297704504,NA,-0.00079475982964245,-0.00544555874157771,8.34
"Asia","Australia","Australia – Queensland","QLD",1.13012384036796,-0.428,NA,-1.13168364753354,-1.5000550483841,-5.70329760335111,NA,-0.00190327327843229,NA,5.39
"Asia","Bangladesh","Bangladesh","BGD",1.37807473673143,-0.511,-0.943428534500489,-2.89065445159653,-1.65353985587142,-9.39855927861774,NA,-0.0143337307783925,-0.00187579691499179,4.13
"Asia","Bhutan","Bhutan","BTN",1.83169492312209,-0.00877,-0.028711292633061,-0.100712828564354,-5.0778311726288,-13.9303980880128,-0.00808824187500944,-0.00806076163236796,NA,0.821
"Asia","Brunei","Brunei","BRN",2.81938963854089,-1.1,-6.585214936364,-7.2022823325058,-1.61964013109708,-0.332745422842763,NA,-0.106165446313189,-0.0206686888491045,16
"Asia","Cambodia","Cambodia","KHM",3.09891338263864,-0.255,-4.69488883603413,-3.60317253683384,-1.65637017651155,-0.904661717238818,NA,-0.0431012168118726,-0.0310753764759436,9.43
"Asia","Fiji","Fiji","FJI",1.71806543065067,-0.381,-2.12952134606561,-1.89791133083511,NA,-6.08470668358447,NA,-0.00707158565789289,-0.00197735396986666,5.34
"Asia","India","India – Andaman and N.","AN",1.93794860418346,0.0286,-1.34433840054005,-3.91504689445574,-0.0255900778703592,-17.0044270973229,0.00213616058240061,-0.00911939952542025,0.00228117546846833,4.33
"Asia","India","India – North-East","NE",2.14775402899292,-0.163,-0.323549941115761,-2.0741348215841,-4.55551697249127,-8.21286575819462,-0.00761464265102371,-0.0206446310651991,NA,1.73
"Asia","India","India – West. Ghats","WG",2.66908202425417,-0.305,-1.00749882754955,-0.423450521640946,-3.97488950403113,-19.3362558211482,NA,-0.0713969863579425,-0.0138108073108948,2.34
