"cont","year","fc","perc"
"Africa",2000,277853591,0
"America",2000,706747618,0
"Asia",2000,312796597,0
"Africa",2010,261466076,5.89789570148114
"America",2010,663277932,6.15066607836802
"Asia",2010,280531530,10.3150313364822
"Africa",2020,240292376,13.5183478697599
"America",2020,634302106,10.2505491571391
"Asia",2020,255810236,18.2183442999541
"Africa",2021,238175004,14.2803938063914
"America",2021,631404525,10.6605372386271
"Asia",2021,253338108,19.0086751487261
"Africa",2022,236057632,15.0424397430228
"America",2022,628506944,11.0705253201151
"Asia",2022,250865980,19.7990059974981
"Africa",2023,233940260,15.8044856796542
"America",2023,625609363,11.480513401603
"Asia",2023,248393852,20.5893368462701
"Africa",2024,231822888,16.5665316162856
"America",2024,622711782,11.890501483091
"Asia",2024,245921724,21.3796676950421
"Africa",2025,229705516,17.3285775529171
"America",2025,619814201,12.3004895645789
"Asia",2025,243449596,22.1699985438141
"Africa",2026,227588144,18.0906234895485
"America",2026,616916620,12.7104776460669
"Asia",2026,240977468,22.9603293925861
"Africa",2027,225470772,18.8526694261799
"America",2027,614019039,13.1204657275548
"Asia",2027,238505340,23.7506602413581
"Africa",2028,223353400,19.6147153628113
"America",2028,611121458,13.5304538090428
"Asia",2028,236033212,24.54099109013
"Africa",2029,221236028,20.3767612994428
"America",2029,608223898,13.940438919173
"Asia",2029,233561084,25.331321938902
"Africa",2030,219118656,21.1388072360742
"America",2030,605326363,14.3504204919726
"Asia",2030,231088956,26.121652787674
"Africa",2031,217001284,21.9008531727056
"America",2031,602428829,14.7604019232789
"Asia",2031,228616828,26.911983636446
"Africa",2032,214884743,22.6626000309638
"America",2032,599531295,15.1703833545853
"Asia",2032,226144700,27.702314485218
"Africa",2033,212770768,23.4234233812728
"America",2033,596633761,15.5803647858916
"Asia",2033,223672572,28.49264533399
"Africa",2034,210656793,24.1842467315817
"America",2034,593736227,15.990346217198
"Asia",2034,221200444,29.282976182762
"Africa",2035,208643277,24.9089147096897
"America",2035,590838693,16.4003276485044
"Asia",2035,218728316,30.073307031534
"Africa",2036,206755145,25.5884567639077
"America",2036,587941159,16.8103090798107
"Asia",2036,216256188,30.863637880306
"Africa",2037,204995531,26.2217449620797
"America",2037,585043625,17.2202905111171
"Asia",2037,213784060,31.653968729078
"Africa",2038,203238548,26.8540862586872
"America",2038,582146097,17.6302710934641
"Asia",2038,211311932,32.4442995778499
"Africa",2039,201481565,27.4864275552948
"America",2039,579248677,18.0402363945428
"Asia",2039,208839804,33.2346304266219
"Africa",2040,199724582,28.1187688519023
"America",2040,576351257,18.4502016956214
"Asia",2040,206367676,34.0249612753939
"Africa",2041,197978895,28.7470446980835
"America",2041,573453837,18.8601669967001
"Asia",2041,203895548,34.8152921241659
"Africa",2042,196295357,29.3529530089823
"America",2042,570556417,19.2701322977788
"Asia",2042,201423420,35.6056229729379
"Africa",2043,194620443,29.955757526992
"America",2043,567658997,19.6800975988574
"Asia",2043,198951292,36.3959538217099
"Africa",2044,192945593,30.5585390112881
"America",2044,564761577,20.0900628999361
"Asia",2044,196479164,37.1862846704819
"Africa",2045,191271091,31.1611952497673
"America",2045,561864157,20.5000282010148
"Asia",2045,194007036,37.9766155192539
"Africa",2046,189596769,31.7637867059274
"America",2046,558966737,20.9099935020934
"Asia",2046,191588678,38.749756283314
"Africa",2047,187922447,32.3663781620875
"America",2047,556070036,21.319857069543
"Asia",2047,189231345,39.5033875640277
"Africa",2048,186248125,32.9689696182476
"America",2048,553184223,21.7281800587547
"Asia",2048,186874012,40.2570188447415
"Africa",2049,184573803,33.5715610744077
"America",2049,550338614,22.1308144543333
"Asia",2049,184516679,41.0106501254552
"Africa",2050,183050096,34.1199459250465
"America",2050,547493005,22.5334488499118
"Asia",2050,182159346,41.7642814061689
"Africa",2051,181565151,34.6543802631653
"America",2051,544647396,22.9360832454903
"Asia",2051,179802013,42.5179126868826
"Africa",2052,180080206,35.188814601284
"America",2052,541801787,23.3387176410689
"Asia",2052,177444680,43.2715439675963
"Africa",2053,178595261,35.7232489394028
"America",2053,538956178,23.7413520366474
"Asia",2053,175087347,44.02517524831
"Africa",2054,177110316,36.2576832775215
"America",2054,536110569,24.1439864322259
"Asia",2054,172730014,44.7788065290237
"Africa",2055,175625371,36.7921176156402
"America",2055,533264960,24.5466208278045
"Asia",2055,170372681,45.5324378097374
"Africa",2056,174140426,37.326551953759
"America",2056,530419351,24.949255223383
"Asia",2056,168015348,46.2860690904511
"Africa",2057,172655481,37.8609862918777
"America",2057,527665025,25.3389736928692
"Asia",2057,165658015,47.0397003711648
"Africa",2058,171170536,38.3954206299965
"America",2058,524918333,25.7276120030729
