"cont","iso3","for2000","for2005","for2010","for2015","for2020","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"Africa","AGO",7321614,6686305,6235809,5727338,5364726,87108,1.5,4493646,4058106,3622566,2751486,2315946,1880406,1009326,138246,0,0,0,2081
"Africa","BDI",107342,78489,65308,57816,55171,1014,1.7,45031,39961,34891,24751,19681,14611,4471,0,0,0,0,2074
"Africa","BEN",76072,59459,47835,39877,32758,1508,3.7,17678,10138,2598,0,0,0,0,0,0,0,0,2041
"Africa","CAF",9885020,9633643,9415639,9150974,8885202,53044,0.6,8354762,8089542,7824322,7293882,7028662,6763442,6233002,5702562,5437342,5172122,4641682,2187
"Africa","CIV",7799713,7244546,6439024,5166700,3914283,252474,4.9,1389543,127173,0,0,0,0,0,0,0,0,0,2035
"Africa","CMR",24001391,23863058,23688094,23383303,22989192,69890,0.3,22290292,21940842,21591392,20892492,20543042,20193592,19494692,18795792,18446342,18096892,17397992,2348
"Africa","COD",131998450,129537777,126505375,121977658,118111943,839343,0.7,109718513,105521798,101325083,92931653,88734938,84538223,76144793,67751363,63554648,59357933,50964503,2160
"Africa","COG",24126407,24089606,24006410,23706799,23411711,59470,0.3,22817011,22519661,22222311,21627611,21330261,21032911,20438211,19843511,19546161,19248811,18654111,2413
"Africa","COM",90447,90444,90443,90443,85547,490,0.6,80647,78197,75747,70847,68397,65947,61047,56147,53697,51247,46347,2194
"Africa","ETH",3870330,3342294,2907331,2463824,2168194,73914,2.9,1429054,1059484,689914,0,0,0,0,0,0,0,0,2049
"Africa","GAB",24142829,24137822,24123592,24067350,23989372,13422,0.1,23855152,23788042,23720932,23586712,23519602,23452492,23318272,23184052,23116942,23049832,22915612,3807
"Africa","GHA",4987276,4824587,4517131,4137260,3362501,115463,2.9,2207871,1630556,1053241,0,0,0,0,0,0,0,0,2049
"Africa","GIN",1961113,1567442,1268950,1019717,860844,40811,3.8,452734,248679,44624,0,0,0,0,0,0,0,0,2041
"Africa","GMB",55072,50738,48336,46680,43884,445,1,39434,37209,34984,30534,28309,26084,21634,17184,14959,12734,8284,2118
"Africa","GNB",427453,372858,349401,325445,302825,4658,1.4,256245,232955,209665,163085,139795,116505,69925,23345,55,0,0,2085
"Africa","GNQ",2649618,2648970,2645438,2628539,2612635,3280,0.1,2579835,2563435,2547035,2514235,2497835,2481435,2448635,2415835,2399435,2383035,2350235,2816
"Africa","KEN",1206593,1030578,902183,837528,749536,15265,1.8,596886,520561,444236,291586,215261,138936,0,0,0,0,0,2069
"Africa","LBR",9023270,8982429,8817975,8465095,7902434,91554,1.1,6986894,6529124,6071354,5155814,4698044,4240274,3324734,2409194,1951424,1493654,578114,2106
"Africa","MDG",7956338,6980534,6241677,5462690,5001837,123984,2.2,3761997,3142077,2522157,1282317,662397,42477,0,0,0,0,0,2060
"Africa","MUS",56189,55932,53831,50764,49436,440,0.8,45036,42836,40636,36236,34036,31836,27436,23036,20836,18636,14236,2132
"Africa","MWI",119901,96640,73906,49975,39933,3397,6,5963,0,0,0,0,0,0,0,0,0,0,2031
"Africa","MYT",18841,18812,18135,14151,12852,528,3.4,7572,4932,2292,0,0,0,0,0,0,0,0,2044
"Africa","NGA",7861779,7655306,7322543,6927534,6326743,99580,1.5,5330943,4833043,4335143,3339343,2841443,2343543,1347743,351943,0,0,0,2083
"Africa","REU",164306,164261,164192,160392,155449,874,0.5,146709,142339,137969,129229,124859,120489,111749,103009,98639,94269,85529,2197
"Africa","RWA",288621,231327,199311,169261,159996,3932,2.2,120676,101016,81356,42036,22376,2716,0,0,0,0,0,2060
"Africa","SEN",147242,142423,138737,135024,130460,828,0.6,122180,118040,113900,105620,101480,97340,89060,80780,76640,72500,64220,2177
"Africa","SLE",3534671,3096264,2413090,1824055,1407671,100542,5.2,402251,0,0,0,0,0,0,0,0,0,0,2034
"Africa","SSD",270902,233881,208562,183889,165165,4340,2.3,121765,100065,78365,34965,13265,0,0,0,0,0,0,2058
"Africa","TGO",162812,128218,106005,88583,66247,3976,4.6,26487,6607,0,0,0,0,0,0,0,0,0,2036
"Africa","TZA",1464154,1310881,1225027,1146223,1105182,11984,1,985342,925422,865502,745662,685742,625822,505982,386142,326222,266302,146462,2112
"Africa","UGA",1886867,1489148,1105599,849926,745313,36029,3.9,385023,204878,24733,0,0,0,0,0,0,0,0,2040
"Africa","ZMB",190958,149220,121187,100122,83334,3785,3.7,45484,26559,7634,0,0,0,0,0,0,0,0,2042
"America","ATG",4478,4269,3957,3711,3376,58,1.6,2796,2506,2216,1636,1346,1056,476,0,0,0,0,2078
"America","BHS",195105,162093,147554,136308,124989,2256,1.6,102429,91149,79869,57309,46029,34749,12189,0,0,0,0,2075
"America","BLZ",1564468,1509321,1462163,1380423,1318064,14410,1,1173964,1101914,1029864,885764,813714,741664,597564,453464,381414,309364,165264,2111
"America","BOL",34935912,33657725,32611673,31281713,30476273,213540,0.7,28340873,27273173,26205473,24070073,23002373,21934673,19799273,17663873,16596173,15528473,13393073,2162
"America","BRB",4713,4642,4350,3835,3602,75,1.9,2852,2477,2102,1352,977,602,0,0,0,0,0,2068
"America","COL",70622249,68779282,67322317,65724543,64482863,283945,0.4,61643413,60223688,58803963,55964513,54544788,53125063,50285613,47446163,46026438,44606713,41767263,2247
"America","CRI",2506778,2428106,2358910,2244863,2181193,17772,0.8,2003473,1914613,1825753,1648033,1559173,1470313,1292593,1114873,1026013,937153,759433,2142
"America","CUB",1806663,1667706,1538384,1468310,1387499,15088,1,1236619,1161179,1085739,934859,859419,783979,633099,482219,406779,331339,180459,2111
"America","DMA",76042,75927,75317,74346,72573,274,0.4,69833,68463,67093,64353,62983,61613,58873,56133,54763,53393,50653,2284
"America","DOM",1414564,1276059,1137114,1018849,968327,16879,1.6,799537,715142,630747,461957,377562,293167,124377,0,0,0,0,2077
"America","ECU",15487095,15238783,14967939,14666895,14395238,57270,0.4,13822538,13536188,13249838,12677138,12390788,12104438,11531738,10959038,10672688,10386338,9813638,2271
"America","GLP",86717,85974,83999,81661,79016,498,0.6,74036,71546,69056,64076,61586,59096,54116,49136,46646,44156,39176,2178
"America","GRD",26869,25609,23199,20618,20012,319,1.5,16822,15227,13632,10442,8847,7252,4062,872,0,0,0,2082
"America","GTM",3800915,3299801,2958898,2714500,2475567,48333,1.8,1992237,1750572,1508907,1025577,783912,542247,58917,0,0,0,0,2071
"America","GUF",8160060,8148324,8131924,8117594,8104845,2708,0,8077765,8064225,8050685,8023605,8010065,7996525,7969445,7942365,7928825,7915285,7888205,5012
"America","GUY",18781910,18711737,18654870,18594120,18511265,14360,0.1,18367665,18295865,18224065,18080465,18008665,17936865,17793265,17649665,17577865,17506065,17362465,3309
"America","HND",3682427,3430584,3236072,2979136,2757236,47884,1.6,2278396,2038976,1799556,1320716,1081296,841876,363036,0,0,0,0,2077
"America","HTI",285987,223289,187243,155664,136441,5080,3.1,85641,60241,34841,0,0,0,0,0,0,0,0,2046
"America","JAM",534007,497087,472707,449557,437838,3487,0.8,402968,385533,368098,333228,315793,298358,263488,228618,211183,193748,158878,2145
"America","KNA",10105,10060,9845,9674,9427,42,0.4,9007,8797,8587,8167,7957,7747,7327,6907,6697,6487,6067,2244
"America","LCA",50385,50285,49721,47589,46619,310,0.6,43519,41969,40419,37319,35769,34219,31119,28019,26469,24919,21819,2170
"America","MAF",808,766,628,551,285,34,7.6,0,0,0,0,0,0,0,0,0,0,0,2028
