"area_cont","area_ctry","area_name","area_code","for2010","Mean","Sd","CI_low","CI_high","sign"
"America","Antigua and B.","Antigua and B.","ATG",3957,-0.259,0.213,-0.669,0.165,0
"America","Bahamas","Bahamas","BHS",147554,NA,NA,NA,NA,0
"America","Barbados","Barbados","BRB",4350,-0.277,0.133,-0.532,-0.0105,1
"America","Belize","Belize","BLZ",1462163,-0.828,0.0978,-1.02,-0.632,1
"America","Bolivia","Bolivia","BOL",32611673,-0.204,0.0542,-0.321,-0.0944,1
"America","Brazil","Brazil – Acre","AC",13645759,-0.723,0.109,-0.937,-0.521,1
"America","Brazil","Brazil – Alagoas","AL",102860,-0.248,0.131,-0.526,0.014,0
"America","Brazil","Brazil – Amapa","AP",11601615,-0.157,0.147,-0.439,0.124,0
"America","Brazil","Brazil – Amazonas","AM",148105580,-0.558,0.0659,-0.69,-0.431,1
"America","Brazil","Brazil – Bahia","BA",2271700,-0.171,0.0713,-0.307,-0.0372,1
"America","Brazil","Brazil – Ceara","CE",52030,-0.654,0.117,-0.881,-0.427,1
"America","Brazil","Brazil – Espirito Santo","ES",483598,-0.0558,0.0893,-0.23,0.115,0
"America","Brazil","Brazil – Goias","GO",532281,NA,NA,NA,NA,0
"America","Brazil","Brazil – Maranhao","MA",4156256,-0.0555,0.0898,-0.238,0.115,0
"America","Brazil","Brazil – Mato Grosso","MT",34846092,-0.477,0.0727,-0.615,-0.339,1
"America","Brazil","Brazil – Mato Grosso do Sul","MS",851923,NA,NA,NA,NA,0
"America","Brazil","Brazil – Minas Gerais","MG",1477296,-0.113,0.0931,-0.296,0.0703,0
"America","Brazil","Brazil – Para","PA",93016769,-0.992,0.0628,-1.12,-0.868,1
"America","Brazil","Brazil – Paraiba","PB",42194,-0.453,0.112,-0.684,-0.24,1
"America","Brazil","Brazil – Parana","PR",3296499,-0.206,0.0826,-0.363,-0.0441,1
"America","Brazil","Brazil – Pernambouco","PE",123829,-0.405,0.0729,-0.554,-0.26,1
"America","Brazil","Brazil – Piaui","PI",80871,-0.144,0.212,-0.582,0.259,0
"America","Brazil","Brazil – Rio de Janeiro","RJ",875424,-0.205,0.0667,-0.331,-0.0714,1
"America","Brazil","Brazil – Rio Grande do Norte","RN",26096,-0.301,0.0993,-0.508,-0.117,1
"America","Brazil","Brazil – Rio Grande do Sul","RS",2926115,-0.143,0.124,-0.386,0.0981,0
"America","Brazil","Brazil – Rondonia","RO",14343407,-1.34,0.0812,-1.5,-1.19,1
"America","Brazil","Brazil – Roraima","RR",16276524,-0.67,0.103,-0.898,-0.465,1
"America","Brazil","Brazil – Santa Catarina","SC",3170608,-0.232,0.118,-0.473,-0.0122,1
"America","Brazil","Brazil – Sao Paulo","SP",3336232,-0.185,0.077,-0.336,-0.0347,1
"America","Brazil","Brazil – Sergipe","SE",65056,NA,NA,NA,NA,0
"America","Brazil","Brazil – Tocantins","TO",1406680,NA,NA,NA,NA,0
"America","Colombia","Colombia","COL",67322317,-0.535,0.0528,-0.632,-0.433,1
"America","Costa Rica","Costa Rica","CRI",2358910,NA,NA,NA,NA,0
"America","Cuba","Cuba","CUB",1538384,-0.0773,0.0723,-0.229,0.0584,0
"America","Dominica","Dominica","DMA",75317,NA,NA,NA,NA,0
"America","Dominican Rep.","Dominican Rep.","DOM",1137114,-0.357,0.0739,-0.502,-0.203,1
"America","Ecuador","Ecuador","ECU",14967939,-0.867,0.0975,-1.05,-0.675,1
"America","El Salvador","El Salvador","SLV",117405,-0.426,0.116,-0.643,-0.186,1
"America","French Guiana","French Guiana","GUF",8131924,-1.07,0.217,-1.47,-0.639,1
"America","Grenada","Grenada","GRD",23199,-0.287,0.195,-0.647,0.144,0
"America","Guadeloupe","Guadeloupe","GLP",83999,NA,NA,NA,NA,0
"America","Guatemala","Guatemala","GTM",2958898,-0.172,0.0864,-0.34,-0.00318,1
"America","Guyana","Guyana","GUY",18654870,-0.475,0.225,-0.909,-0.0466,1
"America","Haiti","Haiti","HTI",187243,-0.152,0.0929,-0.325,0.0242,0
"America","Honduras","Honduras","HND",3236072,-0.403,0.0684,-0.539,-0.273,1
"America","Jamaica","Jamaica","JAM",472707,-0.0434,0.103,-0.252,0.155,0
"America","Martinique","Martinique","MTQ",75411,-0.124,0.223,-0.517,0.316,0
"America","Mexico","Mexico","MEX",8340101,-0.328,0.0744,-0.477,-0.189,1
"America","Montserrat","Montserrat","MSR",3696,NA,NA,NA,NA,0
"America","Nicaragua","Nicaragua","NIC",4548791,NA,NA,NA,NA,0
"America","Panama","Panama","PAN",4310943,-0.344,0.0777,-0.491,-0.192,1
"America","Paraguay","Paraguay","PRY",1769251,-0.167,0.0957,-0.355,0.0192,0
"America","Peru","Peru","PER",73476422,-0.684,0.0643,-0.812,-0.563,1
"America","Puerto Rico","Puerto Rico","PRI",406281,NA,NA,NA,NA,0
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",9845,-0.137,0.276,-0.699,0.415,0
"America","Saint Lucia","Saint Lucia","LCA",49721,NA,NA,NA,NA,0
"America","Saint Martin","Saint Martin","MAF",628,-1.18,0.505,-2.19,-0.148,1
"America","Saint Vincent","Saint Vincent","VCT",30096,NA,NA,NA,NA,0
"America","Sint Maarten","Sint Maarten","SXM",244,NA,NA,NA,NA,0
"America","Suriname","Suriname","SUR",13813895,-0.171,0.143,-0.455,0.098,0
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",345197,-0.292,0.0773,-0.435,-0.142,1
"America","Venezuela","Venezuela","VEN",43475908,-0.12,0.0585,-0.237,-0.0056,1
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",3184,NA,NA,NA,NA,0
"America","Virgin Isl. US","Virgin Isl. US","VIR",9029,-0.0374,0.256,-0.52,0.474,0
"Africa","Angola","Angola","AGO",6235809,NA,NA,NA,NA,0
"Africa","Benin","Benin","BEN",47835,-0.218,0.199,-0.595,0.174,0
"Africa","Burundi","Burundi","BDI",65308,-1.86,0.171,-2.2,-1.54,1
"Africa","Cameroon","Cameroon","CMR",23688094,-0.933,0.122,-1.15,-0.697,1
"Africa","CAR","CAR","CAF",9415639,NA,NA,NA,NA,0
"Africa","Comoros","Comoros","COM",90443,-0.038,0.18,-0.396,0.315,0
"Africa","Congo","Congo","COG",24006410,-0.112,0.101,-0.302,0.1,0
"Africa","DRC","DRC","COD",126505375,-0.261,0.0778,-0.409,-0.0955,1
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2645438,-0.368,0.127,-0.616,-0.112,1
"Africa","Ethiopia","Ethiopia","ETH",2907331,-0.241,0.0625,-0.354,-0.114,1
"Africa","Gabon","Gabon","GAB",24123592,-0.206,0.143,-0.486,0.0966,0
"Africa","Gambia","Gambia","GMB",48336,NA,NA,NA,NA,0
"Africa","Ghana","Ghana","GHA",4517131,-0.174,0.0623,-0.298,-0.0498,1
"Africa","Guinea","Guinea","GIN",1268950,-0.272,0.0973,-0.469,-0.0827,1
"Africa","Guinea Bissau","Guinea Bissau","GNB",349401,-0.502,0.166,-0.813,-0.212,1
"Africa","Ivory Coast","Ivory Coast","CIV",6439024,NA,NA,NA,NA,0
"Africa","Kenya","Kenya","KEN",902183,-0.0734,0.0657,-0.196,0.0485,0
"Africa","Liberia","Liberia","LBR",8817975,-0.347,0.122,-0.588,-0.106,1
"Africa","Madagascar","Madagascar","MDG",6241677,-0.393,0.0946,-0.576,-0.21,1
"Africa","Malawi","Malawi","MWI",73906,-0.428,0.138,-0.695,-0.149,1
"Africa","Mauritius","Mauritius","MUS",53831,-0.486,0.105,-0.676,-0.269,1
"Africa","Mayotte","Mayotte","MYT",18135,-1.32,0.132,-1.57,-1.06,1
"Africa","Nigeria","Nigeria","NGA",7322543,NA,NA,NA,NA,0
"Africa","Reunion","Reunion","REU",164192,-0.391,0.108,-0.624,-0.193,1
"Africa","Rwanda","Rwanda","RWA",199311,-0.808,0.198,-1.21,-0.45,1
"Africa","Senegal","Senegal","SEN",138737,-0.0804,0.136,-0.346,0.184,0
