"cont","iso3","Mean","Sd","CI_low","CI_high"
"Africa","AGO",-0.231,0.0405,-0.309,-0.15
"Africa","BDI",-0.0778,0.0408,-0.158,0.000622
"Africa","BEN",NA,NA,NA,NA
"Africa","CAF",-0.0862,0.0648,-0.201,0.0386
"Africa","CIV",NA,NA,NA,NA
"Africa","CMR",-0.449,0.0547,-0.564,-0.352
"Africa","COD",-0.368,0.0255,-0.416,-0.319
"Africa","COG",-0.708,0.0998,-0.892,-0.51
"Africa","COM",NA,NA,NA,NA
"Africa","ETH",-0.0556,0.04,-0.131,0.0245
"Africa","GAB",-0.72,0.0912,-0.872,-0.54
"Africa","GHA",-0.0934,0.0247,-0.143,-0.0433
"Africa","GIN",-0.0733,0.0329,-0.137,-0.0123
"Africa","GMB",-0.341,0.0281,-0.394,-0.284
"Africa","GNB",-0.0386,0.0786,-0.223,0.107
"Africa","GNQ",-1.07,0.0617,-1.19,-0.951
"Africa","KEN",NA,NA,NA,NA
"Africa","LBR",-0.279,0.0468,-0.375,-0.196
"Africa","MDG",NA,NA,NA,NA
"Africa","MUS",-0.0831,0.0231,-0.13,-0.0363
"Africa","MWI",-0.54,0.0607,-0.663,-0.421
"Africa","MYT",NA,NA,NA,NA
"Africa","NGA",-0.255,0.0597,-0.373,-0.132
"Africa","REU",-0.0699,0.0344,-0.141,-0.00258
"Africa","RWA",-0.278,0.0863,-0.458,-0.115
"Africa","SEN",NA,NA,NA,NA
"Africa","SLE",-0.116,0.0281,-0.17,-0.0607
"Africa","SSD",-0.0662,0.0843,-0.233,0.106
"Africa","TGO",-0.173,0.0411,-0.251,-0.0855
"Africa","TZA",-0.248,0.0405,-0.329,-0.17
"Africa","UGA",-0.079,0.0452,-0.17,0.00741
"Africa","ZMB",-0.00755,0.0561,-0.128,0.0954
"America","ATG",NA,NA,NA,NA
"America","BHS",NA,NA,NA,NA
"America","BLZ",-0.169,0.0611,-0.299,-0.0512
"America","BOL",-0.333,0.0443,-0.421,-0.252
"America","BRB",NA,NA,NA,NA
"America","COL",-0.817,0.118,-0.973,-0.506
"America","CRI",-0.0602,0.0575,-0.177,0.0503
"America","CUB",-0.147,0.0613,-0.279,-0.0452
"America","DMA",NA,NA,NA,NA
"America","DOM",NA,NA,NA,NA
"America","ECU",-0.455,0.0946,-0.639,-0.253
"America","GLP",-0.0387,0.0662,-0.165,0.089
"America","GRD",-0.232,0.0877,-0.457,-0.0956
"America","GTM",-0.156,0.0789,-0.304,-0.0197
"America","GUF",-0.894,0.574,-1.96,0.0308
"America","GUY",-0.221,0.181,-0.492,0.147
"America","HND",NA,NA,NA,NA
"America","HTI",-0.124,0.0298,-0.186,-0.069
"America","JAM",-0.0672,0.0317,-0.134,-0.00504
"America","KNA",NA,NA,NA,NA
"America","LCA",-0.044,0.0616,-0.168,0.084
"America","MAF",NA,NA,NA,NA
"America","MEX",-0.0564,0.0365,-0.129,0.018
"America","MSR",NA,NA,NA,NA
"America","MTQ",-0.0198,0.0403,-0.0993,0.0584
"America","NIC",-0.178,0.0641,-0.298,-0.0498
"America","PAN",-0.521,0.0648,-0.649,-0.395
"America","PER",-0.531,0.0958,-0.692,-0.364
"America","PRI",NA,NA,NA,NA
"America","PRY",-0.0582,0.0283,-0.114,-0.00289
"America","SLV",-0.0678,0.0309,-0.13,-0.00826
"America","SUR",-0.553,0.467,-1.19,0.295
"America","SXM",-0.186,0.0862,-0.39,-0.048
"America","TTO",-0.0737,0.0403,-0.15,0.00799
"America","VCT",-0.0983,0.0619,-0.222,0.0249
"America","VEN",-0.444,0.132,-0.734,-0.241
"America","VGB",NA,NA,NA,NA
"America","VIR",-0.0369,0.0324,-0.099,0.0316
"Asia","AUS-QLD",-0.0253,0.058,-0.13,0.0996
"Asia","BGD",-0.185,0.101,-0.388,0.0137
"Asia","BRN",-0.744,0.208,-1.21,-0.388
"Asia","BTN",-0.0664,0.0364,-0.138,0.00358
"Asia","FJI",-0.199,0.202,-0.552,0.243
"Asia","IDN",-0.389,0.0325,-0.449,-0.32
"Asia","IND-AND",-0.102,0.113,-0.336,0.113
"Asia","IND-WEST",-0.163,0.0376,-0.237,-0.0898
"Asia","IND-EAST",-0.159,0.0357,-0.224,-0.088
"Asia","KHM",-0.419,0.0758,-0.582,-0.285
"Asia","LAO",-0.118,0.0321,-0.184,-0.0556
"Asia","LKA",-0.108,0.0457,-0.195,-0.0174
"Asia","MMR",-0.166,0.0336,-0.233,-0.106
"Asia","MYS",-0.227,0.0449,-0.326,-0.144
"Asia","NCL",-0.122,0.0488,-0.232,-0.029
"Asia","PHL",-0.156,0.0307,-0.222,-0.1
"Asia","PNG",-0.254,0.0735,-0.393,-0.102
"Asia","SGP",-0.882,0.0803,-1.06,-0.745
"Asia","SLB",-0.485,0.126,-0.719,-0.255
