"area_cont","area_ctry","area_name","area_code","for2010","Mean","Sd","CI_low","CI_high"
"America","Antigua and B.","Antigua and B.","ATG",3610,NA,NA,NA,NA
"America","Bahamas","Bahamas","BHS",122111,NA,NA,NA,NA
"America","Barbados","Barbados","BRB",4110,-0.00268,0.0215,-0.045,0.0401
"America","Belize","Belize","BLZ",1337190,-0.132,0.0686,-0.263,0.0125
"America","Bolivia","Bolivia","BOL",30657194,-0.379,0.043,-0.457,-0.286
"America","Brazil","Brazil – Acre","AC",13292238,-0.0529,0.165,-0.337,0.319
"America","Brazil","Brazil – Alagoas","AL",100121,-0.154,0.0274,-0.208,-0.102
"America","Brazil","Brazil – Amapa","AP",11589265,-0.476,0.181,-0.811,-0.145
"America","Brazil","Brazil – Amazonas","AM",146955646,-0.585,0.124,-0.832,-0.319
"America","Brazil","Brazil – Bahia","BA",2127338,-0.032,0.025,-0.0826,0.0149
"America","Brazil","Brazil – Ceara","CE",51770,-0.0146,0.0313,-0.0754,0.051
"America","Brazil","Brazil – Espirito Santo","ES",427797,-0.0512,0.0241,-0.101,-0.00473
"America","Brazil","Brazil – Goias","GO",492122,NA,NA,NA,NA
"America","Brazil","Brazil – Maranhao","MA",4139310,NA,NA,NA,NA
"America","Brazil","Brazil – Mato Grosso","MT",33453901,-0.167,0.0554,-0.267,-0.0555
"America","Brazil","Brazil – Mato Grosso do Sul","MS",746191,NA,NA,NA,NA
"America","Brazil","Brazil – Minas Gerais","MG",1304244,-0.0156,0.0284,-0.0718,0.041
"America","Brazil","Brazil – Para","PA",92329386,-0.527,0.0772,-0.687,-0.393
"America","Brazil","Brazil – Paraiba","PB",41571,NA,NA,NA,NA
"America","Brazil","Brazil – Parana","PR",2701910,NA,NA,NA,NA
"America","Brazil","Brazil – Pernambouco","PE",121245,-0.0606,0.0268,-0.112,-0.00626
"America","Brazil","Brazil – Piaui","PI",80078,NA,NA,NA,NA
"America","Brazil","Brazil – Rio de Janeiro","RJ",747498,-0.0402,0.0334,-0.104,0.0225
"America","Brazil","Brazil – Rio Grande do Norte","RN",25817,-0.00145,0.0321,-0.0649,0.0599
