"cont","iso3","for2000","for2010","for2019","andef","pdef"
"Brazil","BRA-AC",13531994,12890325,12479553,45641,0.4
"Brazil","BRA-AL",116724,98101,85500,1400,1.5
"Brazil","BRA-AM",149262556,147857768,146385645,163569,0.1
"Brazil","BRA-AP",11777399,11576405,11444719,14632,0.1
"Brazil","BRA-BA",2697758,2188193,1978178,23335,1.1
"Brazil","BRA-CE",61544,50904,39368,1282,2.8
"Brazil","BRA-ES",567862,466620,416764,5540,1.2
"Brazil","BRA-GO",700677,498946,352559,16265,3.8
"Brazil","BRA-MA",5666817,4037223,3134438,100309,2.8
"Brazil","BRA-MG",1975498,1383794,999486,42701,3.6
"Brazil","BRA-MS",983459,816091,722560,10392,1.3
"Brazil","BRA-MT",42140779,34695151,31683559,334621,1
"Brazil","BRA-PA",101000845,92769686,88545197,469388,0.5
"Brazil","BRA-PB",47161,40148,36222,436,1.1
"Brazil","BRA-PE",147344,119044,105323,1525,1.4
"Brazil","BRA-PI",108197,76640,49899,2971,4.7
"Brazil","BRA-PR",3683179,3169256,2931926,26370,0.9
"Brazil","BRA-RJ",975507,863225,791440,7976,1
"Brazil","BRA-RN",30960,23657,20024,404,1.8
"Brazil","BRA-RO",17123735,14315344,13073614,137970,1
"Brazil","BRA-RR",16763442,16257584,15788208,52153,0.3
"Brazil","BRA-RS",3302650,2822494,2633774,20969,0.8
"Brazil","BRA-SC",3513277,3058395,2885997,19155,0.6
"Brazil","BRA-SE",76466,63142,55334,868,1.5
"Brazil","BRA-SP",3548452,3260215,3088363,19095,0.6
"Brazil","BRA-TO",1788126,1372432,931886,48950,4.2
