"cont","iso3","nfor","ndef"
"Africa","AGO",9999,10000
"Africa","BDI",10000,10000
"Africa","BEN",9983,9989
"Africa","CAF",10000,10000
"Africa","CIV",9999,10000
"Africa","CMR",22879,22871
"Africa","COD",50000,50000
"Africa","COG",23404,23404
"Africa","COM",9991,2820
"Africa","ETH",10000,10000
"Africa","GAB",23938,23914
"Africa","GHA",10000,10000
"Africa","GIN",9970,9996
"Africa","GMB",9983,10000
"Africa","GNB",9897,9976
"Africa","GNQ",9998,9981
"Africa","KEN",9984,9999
"Africa","LBR",10000,9998
"Africa","MDG",9991,9998
"Africa","MUS",9978,9967
"Africa","MWI",10000,10000
"Africa","MYT",9972,9970
"Africa","NGA",9979,9984
"Africa","REU",9998,9985
"Africa","RWA",10000,10000
"Africa","SEN",9910,9970
"Africa","SLE",9988,9999
"Africa","SSD",5677,7811
"Africa","TGO",10000,10000
"Africa","TZA",9967,9974
"Africa","UGA",10000,10000
"Africa","ZMB",10000,10000
"America","ATG",9659,6313
"America","BHS",9897,9944
"America","BLZ",9993,9998
"America","BOL",30450,30450
"America","BRB",9947,9939
"America","COL",50000,49996
"America","CRI",9998,9986
"America","CUB",9919,9953
"America","DMA",9988,9901
"America","DOM",9988,9993
"America","ECU",13922,13921
"America","GLP",9969,9908
"America","GRD",9968,9897
"America","GTM",9999,10000
"America","GUF",10000,10000
"America","GUY",18506,18506
"America","HND",9993,10000
"America","HTI",9923,9964
"America","JAM",9989,9989
"America","KNA",9974,4018
"America","LCA",9992,9964
"America","MAF",5159,2567
"America","MEX",9994,9999
"America","MSR",9981,1546
"America","MTQ",9963,9957
"America","NIC",9997,10000
"America","PAN",9994,9986
"America","PER",50000,49999
"America","PRI",9984,9983
"America","PRY",10000,10000
"America","SLV",9966,9965
"America","SUR",13708,13707
"America","SXM",2012,1141
"America","TTO",9984,9973
"America","VCT",9975,9755
"America","VEN",42073,42064
"America","VGB",9687,9735
"America","VIR",9854,9861
"Asia","AUS-QLD",9981,9975
"Asia","BGD",9962,9988
"Asia","BRN",9993,9996
"Asia","BTN",10000,10000
"Asia","FJI",9984,9935
"Asia","IDN",49965,49957
"Asia","IND-AND",9960,9856
"Asia","IND-WEST",9996,9992
"Asia","IND-EAST",9996,9999
"Asia","KHM",9993,9999
"Asia","LAO",10000,10000
"Asia","LKA",9997,9992
"Asia","MMR",15840,15844
"Asia","MYS",19766,19757
"Asia","NCL",9963,9944
"Asia","PHL",12939,12946
"Asia","PNG",39391,39303
"Asia","SGP",9918,9950
"Asia","SLB",9942,9763
"Asia","THA",9990,9995
"Asia","TLS",9991,9964
"Asia","VNM",9996,9998
"Asia","VUT",9980,9767
"Brazil","BRA-AC",12480,12480
"Brazil","BRA-AL",9996,9999
"Brazil","BRA-AM",50000,49999
"Brazil","BRA-AP",11445,11444
"Brazil","BRA-BA",9997,9999
"Brazil","BRA-CE",9995,9997
"Brazil","BRA-ES",9999,9999
"Brazil","BRA-GO",10000,10000
"Brazil","BRA-MA",9986,9999
"Brazil","BRA-MG",10000,10000
"Brazil","BRA-MS",10000,10000
"Brazil","BRA-MT",31684,31684
"Brazil","BRA-PA",50000,50000
"Brazil","BRA-PB",9975,9998
"Brazil","BRA-PE",9977,9998
"Brazil","BRA-PI",10000,9999
"Brazil","BRA-PR",9993,10000
"Brazil","BRA-RJ",9986,9974
"Brazil","BRA-RN",9951,9992
"Brazil","BRA-RO",13074,13074
"Brazil","BRA-RR",15788,15788
"Brazil","BRA-RS",10000,9998
"Brazil","BRA-SC",9998,9998
"Brazil","BRA-SE",9965,9996
"Brazil","BRA-SP",9999,9997
"Brazil","BRA-TO",10000,10000
