system:index,a_cat,area_code,area_name,b_cat,b_col,b_row,cat,fc2000,fc2001,fc2002,fc2003,fc2004,fc2005,fc2006,fc2007,fc2008,fc2009,fc2010,fc2011,fc2012,fc2013,fc2014,fc2015,fc2016,fc2017,fc2018,fc2019,fc2020,fc2021,.geo
0000000000000000005e,3,TGO,Togo,36180,180,80,1534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea,3,TGO,Togo,36540,180,79,1674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081d,3,TGO,Togo,34741,181,84,1392,1.6745515317767507E8,1.6488273351466212E8,1.6351964880969337E8,1.4814493825202933E8,1.4075424342352593E8,1.3964227683033577E8,1.2861111021570176E8,1.2653482230953483E8,1.1879353731879738E8,1.1479369697692944E8,1.1143456074522828E8,1.1013431194729774E8,1.0791175078326564E8,1.0690186830561984E8,1.0030631740689273E8,9.667408000755121E7,9.447400570421416E7,8.38608194632577E7,8.223136647951367E7,8.134224029654127E7,7.886528027339412E7,7.863446625068903E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000689,3,TGO,Togo,35101,181,83,1009,8.564605458683484E8,8.307964856472938E8,8.213319432951341E8,7.742016844837258E8,7.30130935412585E8,7.234662269729304E8,6.808827579915835E8,6.687579628184494E8,6.477354083536769E8,6.297618985020232E8,6.187584528221782E8,6.06059274344787E8,5.90921155394758E8,5.857727023679228E8,5.446128772745057E8,5.28831136990773E8,4.946443977064691E8,4.3396041371099657E8,4.239668697177593E8,4.1852829745230705E8,4.0279455744423884E8,4.019872593325711E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068b,3,TGO,Togo,35461,181,82,1011,3.7774424361592865E8,3.117020245258842E8,3.075741091290482E8,2.9629613044015396E8,2.675640032327228E8,2.6506176336240646E8,2.4928442653835234E8,2.432812896434252E8,2.385131738071378E8,2.3127017750999615E8,2.25035259450849E8,2.19719992265569E8,2.1175001590383178E8,2.1083786367794067E8,1.9566982466526833E8,1.844880955571112E8,1.7184189078434914E8,1.556991584651733E8,1.5164469349777067E8,1.4892089816559073E8,1.4544954136412424E8,1.4530084042381662E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068d,3,TGO,Togo,35821,181,81,1013,1.2469191451303517E7,1.1467545887888948E7,1.1178383970683975E7,1.0619592945598526E7,9366063.09069872,9318282.149664665,8532005.724351112,8155660.452859796,7933193.955972589,7624992.791549861,7288055.21384373,6914471.8583141845,6598429.300574926,6546348.221839574,6158766.038795141,5462917.703479961,4595135.314827713,3768126.6827572095,3578375.9635407096,3481251.8444611197,3292302.366067565,3292302.366067565,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,3,TGO,Togo,36181,181,80,1452,2638.3161010742188,2638.3161010742188,1757.6896362304688,1757.6896362304688,1757.6896362304688,1757.6896362304688,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,878.8980712890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5,3,TGO,Togo,36541,181,79,1653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081e,3,TGO,Togo,34742,182,84,1393,8.391480294596568E7,7.140336449050316E7,5.715007333874727E7,5.387097854081673E7,5.192150089061447E7,4.853524744481321E7,4.685843504033419E7,4.126578024594176E7,3.706470595710234E7,3.6379302415177174E7,3.599123104066713E7,3.369827384877906E7,3.361374083321749E7,3.239689496774615E7,3.0489153131929286E7,2.720287878108221E7,2.5404365565737016E7,2.1107457138112504E7,2.095315875824501E7,2.0871553873957615E7,2.0606375231167663E7,2.0561098093994617E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068a,3,TGO,Togo,35102,182,83,1010,3.555655010749129E7,2.520693139658323E7,2.2928303870733283E7,2.19174760942007E7,1.9648629825011007E7,1.9099556275087364E7,1.7684085751209933E7,1.6617877991749484E7,1.426358489373133E7,1.3381907102313591E7,1.3033273911112707E7,1.1914340299431775E7,1.1659960895440076E7,1.1412310860052131E7,1.0632851129146561E7,9889951.469112381,8724394.706753122,6767226.592611634,6639604.397421205,6588194.302877747,6365711.506002747,6355961.951925599,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068c,3,TGO,Togo,35462,182,82,1012,3.985252266625402E7,2.70946871012961E7,2.325501130206586E7,2.2478543957766544E7,2.0184520630848367E7,1.8112034952183142E7,1.5728873089704685E7,1.3707840777470369E7,1.0479409187886555E7,8764500.14799302,8220375.478394512,7283867.633172248,6669947.757004203,5977555.212722599,4535574.979058,2733758.521536554,1681823.2655955595,788617.353581926,625641.2591550341,589959.669366096,495887.9082306507,495003.800930846,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068e,3,TGO,Togo,35822,182,81,1014,2.4286754893308155E7,1.9787884279909857E7,1.906181712318905E7,1.8261284695088465E7,1.576279977231254E7,1.5546371925262094E7,1.437889738549637E7,1.3397918839383233E7,1.2788753252835382E7,1.1975302539018938E7,1.1306696614974197E7,1.0572259789534744E7,9782175.639815506,9635631.16294783,8599616.518778004,7334249.322274002,6047711.512721402,4651591.2600815715,4301958.743420649,4219865.395947505,3923234.826977778,3922351.713940669,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,3,TGO,Togo,36182,182,80,1453,22017.15460205078,22017.15460205078,19375.030517578125,19375.030517578125,18494.336975097656,18494.336975097656,15852.326904296875,15852.326904296875,15852.326904296875,14971.599853515625,14971.599853515625,14090.948425292969,9687.479858398438,9687.479858398438,9687.479858398438,4403.3941650390625,3522.6600341796875,3522.6600341796875,2642.0221557617188,2642.0221557617188,2642.0221557617188,2642.0221557617188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,33,BEN,Benin,36181,181,80,1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,33,BEN,Benin,36541,181,79,1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081f,33,BEN,Benin,34742,182,84,1394,1.4690489153847486E8,1.3269509612084578E8,1.1894025561810757E8,1.1415154635024989E8,1.0857063003228186E8,1.0457738357118973E8,1.0340071893255328E8,9.438431859263965E7,8.869478401429254E7,8.77168969329219E7,8.648221706141023E7,8.079641881709799E7,8.070151999839562E7,7.909790196301007E7,7.566503079402645E7,7.09962671182428E7,6.6384798227104396E7,6.023826576402804E7,5.915530888885762E7,5.8815413376848295E7,5.833418876934002E7,5.813751741063832E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f,33,BEN,Benin,36542,182,79,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
