system:index,a_cat,area_code,area_name,b_cat,b_col,b_row,cat,fc2000,fc2001,fc2002,fc2003,fc2004,fc2005,fc2006,fc2007,fc2008,fc2009,fc2010,fc2011,fc2012,fc2013,fc2014,fc2015,fc2016,fc2017,fc2018,fc2019,fc2020,fc2021,.geo
000000000000000007cc,4,WG,Western Ghats,36616,256,79,2030,46588.64942267922,46588.64942267922,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45713.69904426125,45058.34725509344,45058.34725509344,45058.34725509344,44183.39431319891,40683.59023605047,40683.59023605047,39808.63643966375,39808.63643966375,39808.63643966375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bf0,4,WG,Western Ghats,36616,256,79,3090,1765516.2304036461,1758690.4629597985,1754122.9929723407,1753405.8265694415,1737000.1275512697,1708123.956164551,1684498.2047607424,1648620.8379394533,1626858.1894078874,1626858.1894078874,1615482.6048131608,1605857.2230992937,1596451.387057196,1513504.390752815,1420970.9840930416,1333031.2630586512,1291030.3446626551,1099606.6859030332,1006112.3223460478,986151.6737871956,986151.6737871956,986151.6737871956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609,4,WG,Western Ghats,36616,256,79,1546,2.4490064324451723E9,2.44127328969919E9,2.41309438433702E9,2.407215106284614E9,2.3941859956298285E9,2.360448421504052E9,2.34035201580649E9,2.324794956347849E9,2.3070798363293295E9,2.2979953315282574E9,2.2682541623986726E9,2.2617430473067665E9,2.2504405932590837E9,2.2240437094274764E9,2.1428662956081538E9,2.1144859682078848E9,2.086251702039762E9,1.9474749526309872E9,1.9079120528466125E9,1.885581237738259E9,1.8694670876650007E9,1.8693497117085798E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000565,4,WG,Western Ghats,38416,256,74,1382,1463348.6416111365,1078868.1732883826,908122.9473362343,778536.8965549843,678994.2395725624,538919.2923583984,504593.10736083984,488293.46197509766,471989.0206298828,460837.43115234375,458265.4169921875,439388.4772949219,432527.6932373047,422222.39337158203,402490.0252685547,382748.8377685547,377597.62854003906,365586.12890625,363869.2759399414,355288.59045410156,334674.3546142578,332959.3864746094,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b0,4,WG,Western Ghats,40216,256,69,1457,590566.90234375,489507.2424926758,427697.1307373047,384265.6711425781,338329.77728271484,293228.0235595703,243106.04125976562,201337.12762451172,171267.39166259766,125319.53411865234,109445.79754638672,101926.9916381836,94407.07495117188,89394.02392578125,64332.32598876953,52636.538330078125,50965.52313232422,40103.92999267578,39268.763732910156,37597.21228027344,16711.1572265625,16711.1572265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000054f,4,WG,Western Ghats,37696,256,76,1360,1.1046806576202273E8,1.0830142628642268E8,1.0572007690674739E8,1.0349309036033194E8,9.890956749851507E7,9.580040035148136E7,9.464121720896427E7,9.350624097794501E7,9.236029404457505E7,9.170475065608628E7,9.120009510322769E7,9.08560289073089E7,9.06158484564422E7,8.987348417381594E7,8.845780995611167E7,8.688116695131622E7,8.615958486144182E7,8.417511360934748E7,8.241407086664727E7,8.198378149555352E7,8.196383128620294E7,8.184240069623712E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000058b,4,WG,Western Ghats,39496,256,71,1420,1378900.1240844727,1007903.8463134766,673734.0133666992,486552.4230957031,392939.97229003906,254673.8162841797,198164.86059570312,187199.06188964844,166116.6069946289,123095.44842529297,113817.65496826172,84305.87200927734,72502.70477294922,60694.936462402344,23602.858032226562,23602.858032226562,20231.23321533203,11804.421203613281,10962.536437988281,10962.536437988281,10962.536437988281,10962.536437988281,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000542,4,WG,Western Ghats,36976,256,78,1347,4.0678257409006786E9,4.033540119769377E9,3.9598254265726275E9,3.943187384902196E9,3.8954342194231105E9,3.8246158067169113E9,3.7906873744751215E9,3.7591686323634033E9,3.7279049187621045E9,3.705826471711942E9,3.6712494056877704E9,3.6567743849337325E9,3.6321677056196327E9,3.5921906525038137E9,3.4857527785720015E9,3.4285620798325243E9,3.3928037477647552E9,3.2907147360818353E9,3.264754213415399E9,3.2399268354206343E9,3.2391240081929393E9,3.2377657721502337E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e7d,4,WG,Western Ghats,36976,256,78,3743,979224.8392075482,977170.2916245403,975421.0052475872,975421.0052475872,973671.7463364544,971922.3483872357,966674.2782578411,963175.5707383099,963175.5707383099,961426.2808213177,960551.6092514935,957430.0402410767,957430.0402410767,948683.3369940064,935563.6460150025,904950.5976751588,902326.5822942994,862965.3278387331,858591.9060247683,856842.382892444,856842.382892444,856842.382892444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e7e,4,WG,Western Ghats,36976,256,78,3744,647799.4178423715,646924.9485430551,642552.76690243,641678.3381914925,639055.0796465706,636431.744258387,632059.6420855355,632059.6420855355,629436.2686724495,628561.8226885628,628561.8226885628,628561.8226885628,627687.388789637,622440.7396197151,618068.5208697151,606934.2049436084,606059.7330808154,581236.8461375519,572972.6619748586,570349.3593625538,570349.3593625538,570349.3593625538,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e7f,4,WG,Western Ghats,36976,256,78,3745,373189.4083038928,373189.4083038928,372314.79691473267,371440.1760651233,369690.9429108264,365317.87717596313,362694.0911041858,355697.2084747912,353073.35959783813,353073.35959783813,351324.1127106311,350449.5098663928,350449.5098663928,347733.1111330518,337237.8696779737,301379.03581566905,299629.83531518077,252438.53175240313,247190.9466693953,242817.87495308672,242817.87495308672,242817.87495308672,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e80,4,WG,Western Ghats,36976,256,78,3746,379507.5066188438,379507.5066188438,376009.40346942976,375134.845363961,374260.3441432579,370762.2962306602,367264.19485126575,359393.56063495716,358519.02407489857,358519.02407489857,356769.95614276966,356769.95614276966,353271.92116962513,348899.3263209923,339279.6180690392,287682.7549708946,285059.1737941368,242992.98432377834,233284.1123843922,233284.1123843922,233284.1123843922,233284.1123843922,"{""type"":""MultiPoint"",""coordinates"":[]}"
