"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG",7326,2750,6532,11907,24141,30327,36561,49770,60549,60549,60549,60549
"America","Bahamas","Bahamas","BHS",507151,464861,701623,955009,1477213,1743760,2013479,2525058,2686072,2686072,2686072,2686072
"America","Barbados","Barbados","BRB",7467,6645,10947,15315,25964,31831,38391,50631,50631,50631,50631,50631
"America","Belize","Belize","BLZ",5687781,5674629,8611121,11614376,17821980,21144907,24624355,32162349,40393888,44809202,49437250,59273323
"America","Bolivia","Bolivia","BOL",195639061,197910496,297052252,396728781,599354532,703481780,809521438,1027706773,1253118409,1367944311,1483768665,1717255755
"America","Brazil","Brazil – Acre","AC",51903089,47671155,73263479,99775258,159217674,191782821,227999816,305335760,386517524,428265947,471789901,561679559
"America","Brazil","Brazil – Alagoas","AL",206502,205821,309508,419230,1514958,2389709,2389709,2389709,2389709,2389709,2389709,2389709
"America","Brazil","Brazil – Amapa","AP",8983680,5705987,9144228,12824531,23624656,30592342,40046694,63337517,92561320,110026614,130903524,182303121
"America","Brazil","Brazil – Amazonas","AM",154656047,167950645,246934726,324815578,484171036,564297029,646719533,815883274,990323079,1079625053,1171159313,1359615783
"America","Brazil","Brazil – Bahia","BA",12330682,11054282,17363797,24118108,40840617,50541565,62243260,88994916,120977639,140185751,143914431,143914431
"America","Brazil","Brazil – Ceara","CE",478808,515738,821920,1092463,2033332,2033332,2033332,2033332,2033332,2033332,2033332,2033332
"America","Brazil","Brazil – Espirito Santo","ES",1721466,2048374,2985113,3965614,7578412,10316371,14979222,23955195,23955195,23955195,23955195,23955195
"America","Brazil","Brazil – Goias","GO",3008811,2837199,4017160,5070634,5989753,5989753,5989753,5989753,5989753,5989753,5989753,5989753
"America","Brazil","Brazil – Maranhao","MA",55572655,56937458,82977412,110425932,174144982,259740888,259740888,259740888,259740888,259740888,259740888,259740888
"America","Brazil","Brazil – Mato Grosso","MT",245464030,235184129,355261108,475985234,725748868,856820819,994408325,1286295643,1602326976,1769143727,1943673317,2314340528
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2942909,2581021,4083643,5624446,9663875,12086959,15122746,22553219,22553219,22553219,22553219,22553219
"America","Brazil","Brazil – Minas Gerais","MG",16389419,15975292,24543561,34482619,49066192,49066192,49066192,49066192,49066192,49066192,49066192,49066192
"America","Brazil","Brazil – Para","PA",444812849,482562842,713742466,944270758,1417389279,1662557307,1916871420,2441361182,2981477248,3258894416,3543112838,4130805693
"America","Brazil","Brazil – Paraiba","PB",67528,78028,108429,136786,925248,925248,925248,925248,925248,925248,925248,925248
"America","Brazil","Brazil – Parana","PR",18691772,18316878,26349571,34246981,51978227,61747103,73117752,98867898,130637036,150483935,174098016,199489921
"America","Brazil","Brazil – Pernambouco","PE",253302,276965,400625,526939,1677574,2920952,3157756,3157756,3157756,3157756,3157756,3157756
"America","Brazil","Brazil – Piaui","PI",1142496,1263597,1822883,2232235,2290942,2290942,2290942,2290942,2290942,2290942,2290942,2290942
"America","Brazil","Brazil – Rio de Janeiro","RJ",2740176,2248284,3781751,5472065,11527774,15906355,22553591,40083459,61872209,61872209,61872209,61872209
"America","Brazil","Brazil – Rio Grande do Norte","RN",43903,44878,64993,85468,410272,410272,410272,410272,410272,410272,410272,410272
"America","Brazil","Brazil – Rio Grande do Sul","RS",7672734,5640175,8767755,12125641,20824461,26162122,32926238,49250743,69307038,80909906,94334807,127534036
"America","Brazil","Brazil – Rondonia","RO",127887228,133755392,192659470,250464499,376481644,447671070,526196284,693862228,871950226,964390814,1060200438,1259578954
"America","Brazil","Brazil – Roraima","RR",63221141,68547606,101216179,133850475,202915533,239726232,278847012,361970996,450148597,495952926,544416092,649833918
"America","Brazil","Brazil – Santa Catarina","SC",13939837,13764607,20271841,26709973,41645391,49990558,59983732,82470619,108273089,122534348,138558911,175923288
"America","Brazil","Brazil – Sao Paulo","SP",8303714,4798634,8199614,12298650,24371316,32148283,42212127,66175305,94583511,110378185,128106814,168392746
"America","Brazil","Brazil – Sergipe","SE",181427,173557,264644,357078,1552151,1552151,1552151,1552151,1552151,1552151,1552151,1552151
"America","Brazil","Brazil – Tocantins","TO",18454283,14944943,22058374,31271196,34695710,34695710,34695710,34695710,34695710,34695710,34695710,34695710
"America","Colombia","Colombia","COL",200484040,211042369,315810616,425150437,654188188,770097681,884687210,1116197307,1365655572,1498492511,1635777560,1921766737
"America","Costa Rica","Costa Rica","CRI",5819214,5154275,8271368,11705383,19194860,23191910,27353970,36200950,45887113,51080546,56517919,68207923
"America","Cuba","Cuba","CUB",3711445,3419378,5555969,7759123,12241153,14546510,16913425,21800026,26852019,29446410,32102063,37743670
"America","Dominica","Dominica","DMA",84926,72351,112857,156779,254649,307040,361764,471800,586186,646005,706765,830906
"America","Dominican Rep.","Dominican Rep.","DOM",4552778,4417921,6920082,9553795,15173839,18197604,21399977,28741155,35478156,35478156,35478156,35478156
"America","Ecuador","Ecuador","ECU",39742199,30564320,49475041,69637121,112013117,134004599,156589036,203652366,253093878,278317296,303784458,356105873
"America","El Salvador","El Salvador","SLV",502019,500567,768694,1040684,1576581,1837763,2094467,2561726,2962788,3168774,3314790,3314790
"America","French Guiana","French Guiana","GUF",3127774,4270239,5724819,7147569,10054088,11601227,13209676,16480506,19837948,21545814,23256425,26803652
"America","Grenada","Grenada","GRD",64028,61759,97043,133779,216048,261294,307537,405098,497438,536062,536062,536062
"America","Guadeloupe","Guadeloupe","GLP",85954,98286,151161,201902,289968,334365,382002,481339,587639,644846,705769,843942
"America","Guatemala","Guatemala","GTM",18505313,18902734,29599544,41053655,65902403,79254528,93454007,124574612,128708935,128708935,128708935,128708935
"America","Guyana","Guyana","GUY",14351559,22829790,31448683,40770474,59022280,68433440,77897819,96930005,116111205,125630917,135089091,153850440
"America","Haiti","Haiti","HTI",1048667,1152473,1673070,2278408,3071439,3071439,3071439,3071439,3071439,3071439,3071439,3071439
"America","Honduras","Honduras","HND",20079932,21371858,32745435,44056508,66796135,77705298,88430200,113687775,138387303,138387303,138387303,138387303
"America","Jamaica","Jamaica","JAM",1092159,1040985,1610338,2209859,3456057,4100090,4748949,6075649,7482833,8224188,8996187,10632125
"America","Martinique","Martinique","MTQ",95427,90818,138851,189023,295590,351111,408256,524618,644515,705543,768290,900238
"America","Mexico","Mexico","MEX",50008487,52821962,80300848,108572754,166636326,196237445,226237670,291829547,295430213,295430213,295430213,295430213
"America","Montserrat","Montserrat","MSR",1823,2109,3184,4133,5961,6869,7832,9827,11765,12760,13785,15851
"America","Nicaragua","Nicaragua","NIC",38271572,44195362,66631871,89423153,135790099,172077533,181711536,181711536,181711536,181711536,181711536,181711536
"America","Panama","Panama","PAN",7662464,7879901,11895916,15983962,24702712,29392797,34299957,44633617,55547512,61220018,67052999,79297446
"America","Paraguay","Paraguay","PRY",24437209,24144366,35162050,45755033,62616725,62616725,62616725,62616725,62616725,62616725,62616725,62616725
"America","Peru","Peru","PER",143760079,142935748,216461165,291512086,443377729,520046249,597020331,750389057,902949803,979001881,1054833935,1206302291
"America","Puerto Rico","Puerto Rico","PRI",1562220,1212154,2019804,2908119,4869505,5937526,7074567,9561381,12338083,13869000,14899378,14899378
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",7816,5460,10117,14759,24574,29492,34538,44708,55406,60852,66302,77589
"America","Saint Lucia","Saint Lucia","LCA",60861,65212,98020,132623,201570,237610,275440,353847,435983,478387,522219,615131
"America","Saint Martin","Saint Martin","MAF",4766,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524
"America","Saint Vincent","Saint Vincent","VCT",13706,9829,16878,24195,39284,47615,56480,75628,96818,108244,119752,143726
"America","Sint Maarten","Sint Maarten","SXM",742,957,957,957,957,957,957,957,957,957,957,957
"America","Suriname","Suriname","SUR",13660190,16921694,24758119,31792240,46065894,53233467,60582321,75393285,89993518,97256265,104538327,119111451
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",682276,669816,1045331,1441235,2285767,2732599,3192097,4153015,5170779,5706093,6260997,7455366
"America","Venezuela","Venezuela","VEN",99760267,97970600,155224918,214596607,341395665,409379882,479878466,626607446,781171311,861036728,942494215,1109570796
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",21283,30471,51221,64698,64698,64698,64698,64698,64698,64698,64698,64698
"America","Virgin Isl. US","Virgin Isl. US","VIR",54206,79919,107361,134909,186056,218572,227890,227890,227890,227890,227890,227890
"Africa","Angola","Angola","AGO",43426018,48956418,72888280,97154646,148562973,175695076,202786924,256726635,344002725,368734395,368734395,368734395
"Africa","Benin","Benin","BEN",66413,73902,109488,152970,170769,170769,170769,170769,170769,170769,170769,170769
"Africa","Burundi","Burundi","BDI",240781,300387,594280,924945,1730114,2225276,2797253,3843540,4778976,4778976,4778976,4778976
"Africa","Cameroon","Cameroon","CMR",56192438,46649334,73284330,103883342,170743756,206665666,244503115,324507257,408857407,452705917,497531904,589883202
"Africa","CAR","CAR","CAF",24709719,30557686,44117285,57821955,87057786,102195060,117651091,150677614,187149866,206847695,227626166,272626394
"Africa","Comoros","Comoros","COM",136850,150391,229610,308292,490469,607352,725385,982820,1230789,1369702,1520831,1826466
"Africa","Congo","Congo","COG",27783012,43990997,61890949,83457604,130634120,156972819,184765022,245148491,309011185,342368951,377148209,453101577
"Africa","DRC","DRC","COD",592136522,653017919,1041321774,1455501042,2344027110,2813435780,3300764070,4350534229,5510506396,6133013311,6774799693,8090245840
"Africa","Eq. Guinea","Eq. Guinea","GNQ",3423864,3627432,5663499,7685787,11856288,14025408,16250238,20800619,25449531,27799229,30163766,34938991
"Africa","Ethiopia","Ethiopia","ETH",38424013,52681276,83798547,118853509,199649100,199649100,199649100,199649100,199649100,199649100,199649100,199649100
"Africa","Gabon","Gabon","GAB",12046605,13145072,18421570,23947752,35625487,41709159,48023976,61179018,74962983,82043617,89184750,103795628
"Africa","Gambia","Gambia","GMB",14621,12753,19188,25464,39478,46753,54374,69605,85204,93213,101505,118994
"Africa","Ghana","Ghana","GHA",29220174,35717208,54302627,77156515,186998941,186998941,186998941,186998941,186998941,186998941,186998941,186998941
"Africa","Guinea","Guinea","GIN",14447206,18392524,31123203,47192256,54141482,54141482,54141482,54141482,54141482,54141482,54141482,54141482
"Africa","Guinea Bissau","Guinea Bissau","GNB",767075,807567,1104483,1377100,1886046,2140254,2393869,2916755,3479259,3750110,3750110,3750110
"Africa","Ivory Coast","Ivory Coast","CIV",99967733,95465654,198863803,233119543,233119543,233119543,233119543,233119543,233119543,233119543,233119543,233119543
"Africa","Kenya","Kenya","KEN",6954570,8919653,14062820,19633303,31040375,36601185,42648350,55934706,55934706,55934706,55934706,55934706
"Africa","Liberia","Liberia","LBR",60785879,53549588,83442924,118813133,208207138,261381911,319490101,450858928,596951260,673628779,752340440,915818895
"Africa","Madagascar","Madagascar","MDG",101542498,108699078,171864124,237253036,379751505,458978296,546918146,546918146,546918146,546918146,546918146,546918146
"Africa","Malawi","Malawi","MWI",2106997,2207471,2501616,2501616,2501616,2501616,2501616,2501616,2501616,2501616,2501616,2501616
"Africa","Mauritius","Mauritius","MUS",0,0,0,0,0,0,0,0,0,0,0,0
"Africa","Mayotte","Mayotte","MYT",247514,279480,420955,567732,722625,722625,722625,722625,722625,722625,722625,722625
"Africa","Nigeria","Nigeria","NGA",25838415,28547178,45525208,62674025,99960468,122661694,148764222,207817461,274599353,316487346,316487346,316487346
"Africa","Reunion","Reunion","REU",0,0,0,0,0,0,0,0,0,0,0,0
"Africa","Rwanda","Rwanda","RWA",629080,816925,2337859,4265777,7910219,13996977,13996977,13996977,13996977,13996977,13996977,13996977
"Africa","Senegal","Senegal","SEN",51301,53732,76853,100374,145719,168462,191407,237391,283585,306993,330468,379092
"Africa","Sierra Leone","Sierra Leone","SLE",37399512,46405182,83909541,83909541,83909541,83909541,83909541,83909541,83909541,83909541,83909541,83909541
"Africa","South Sudan","South Sudan","SSD",1135883,605435,1271271,2005597,2392020,2392020,2392020,2392020,2392020,2392020,2392020,2392020
"Africa","Tanzania","Tanzania","TZA",4519186,4936036,8099855,11229558,17961336,21549385,25324219,33559035,42633106,47484415,52557466,63506240
"Africa","Togo","Togo","TGO",566361,663539,1088842,1324610,1324610,1324610,1324610,1324610,1324610,1324610,1324610,1324610
"Africa","Uganda","Uganda","UGA",11078032,20171532,38965246,58256924,65091664,65091664,65091664,65091664,65091664,65091664,65091664,65091664
"Africa","Zambia","Zambia","ZMB",1911394,2043967,3061063,3856392,4123736,4123736,4123736,4123736,4123736,4123736,4123736,4123736
"Asia","Australia","Australia – Queensland","QLD",17494098,19674158,29400145,38638957,56127151,64825848,73531399,91334998,109650002,118996395,128576807,148681513
"Asia","Bangladesh","Bangladesh","BGD",2675853,3311647,4695230,5794913,7851577,8821492,9804356,11985274,14400909,15651189,16919340,19506502
"Asia","Bhutan","Bhutan","BTN",14857168,14109432,21531558,29039294,44283212,51958013,59617666,75005482,90536703,98342836,106185134,121876666
"Asia","Brunei","Brunei","BRN",591789,547467,851712,1169647,1834869,2174341,2517029,3197209,3882848,4229126,4578997,5289323
"Asia","Cambodia","Cambodia","KHM",108520228,108485693,171140176,240635383,322672257,322672257,322672257,322672257,322672257,322672257,322672257,322672257
"Asia","Fiji","Fiji","FJI",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","India","India – Andaman and N.","AN",1151053,1087354,1718078,2332823,3535397,4119025,4683452,5841264,7017677,7615914,8213396,9421655
"Asia","India","India – North-East","NE",65407954,61164945,94681430,129518296,202239541,239986619,278660138,358806524,442760684,486191522,530611252,622153185
"Asia","India","India – West. Ghats","WG",24591476,23653226,41078245,60672796,103632641,127073018,152779583,166639028,166639028,166639028,166639028,166639028
"Asia","Indonesia","Indonesia","IDN",917019763,811604260,1289149054,1819929007,3065055623,3767813650,4520972198,6147121832,7879538176,8769217784,9669869614,11499558336
"Asia","Laos","Laos","LAO",162950976,163412383,253092364,345510494,539170276,641487260,748768565,991493128,1035521466,1035521466,1035521466,1035521466
"Asia","Malaysia","Malaysia","MYS",230675839,194528115,315882504,451545180,763681359,936985090,1119285612,1507329959,1919818906,2131607711,2344690186,2766275140
"Asia","Myanmar","Myanmar","MMR",243732700,227429087,363242565,504966758,799517067,952416840,1110067465,1442061369,1798752089,1987346363,2167215691,2167215691
"Asia","New Caledonia","New Caledonia","NCL",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Papua New Guinea","Papua New Guinea","PNG",63208673,73450006,105107287,136567660,199934088,231921862,264397462,330664571,399318772,434332717,469812479,542115577
"Asia","Philippines","Philippines","PHL",73692366,71896750,113325523,156258217,243472303,287345580,331912870,424704063,524413621,577660957,633669874,755230260
"Asia","Singapore","Singapore","SGP",22258,17148,32135,50345,92520,116850,143026,199412,258452,290354,324890,405380
"Asia","Solomon Isl.","Solomon Isl.","SLB",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Sri Lanka","Sri Lanka","LKA",7326586,5701401,9100511,12956361,21710414,26497226,31479089,41911115,52847487,58530012,64400563,77075161
"Asia","Thailand","Thailand","THA",48593246,46136498,72578727,100289848,158964729,189556420,220983608,285945820,353559813,388357879,423901576,498115569
"Asia","Timor-Leste","Timor-Leste","TLS",975869,964618,1450271,1959299,2973218,3482248,3999016,5039095,5171805,5171805,5171805,5171805
"Asia","Vanuatu","Vanuatu","VUT",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Vietnam","Vietnam","VNM",94625384,97515412,150354010,205809014,323742550,386051915,450873071,592823421,737542417,737542417,737542417,737542417
