"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG",6089,3247,6933,11501,22038,27714,33579,46803,54698,54698,54698,54698
"America","Bahamas","Bahamas","BHS",413811,425802,644691,879780,1355557,1595348,1827710,2197922,2197922,2197922,2197922,2197922
"America","Barbados","Barbados","BRB",7075,6114,10487,15089,26287,32279,38891,48124,48124,48124,48124,48124
"America","Belize","Belize","BLZ",5171143,5121103,7748949,10443475,15886918,18765105,21771794,28252918,35390212,39180329,43138686,51611883
"America","Bolivia","Bolivia","BOL",181645684,187320206,281350151,376947382,570738124,669730647,770650748,978481647,1193781901,1303465772,1413958635,1636911410
"America","Brazil","Brazil – Acre","AC",50337212,47697673,73039637,99335838,159741634,193271346,231144027,310207110,392807863,436024368,484200419,587555385
"America","Brazil","Brazil – Alagoas","AL",197594,211708,317241,424681,1747288,2274138,2274138,2274138,2274138,2274138,2274138,2274138
"America","Brazil","Brazil – Amapa","AP",8976991,7101652,11425455,16108499,29099814,37389257,48575175,75322175,109490535,130482257,159325160,236407051
"America","Brazil","Brazil – Amazonas","AM",152772478,171604807,250956584,329653272,490387157,572295882,657517104,832067469,1011920450,1103946642,1200666678,1403355365
"America","Brazil","Brazil – Bahia","BA",11480247,10134732,16114503,22616784,39138097,48875435,61015999,88097497,120845618,133895329,133895329,133895329
"America","Brazil","Brazil – Ceara","CE",471425,541421,823157,1099660,2008496,2008496,2008496,2008496,2008496,2008496,2008496,2008496
"America","Brazil","Brazil – Espirito Santo","ES",1478808,1789104,2636786,3484527,7091623,10112846,15612546,20788900,20788900,20788900,20788900,20788900
"America","Brazil","Brazil – Goias","GO",2710372,2709159,3814769,4866068,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132
"America","Brazil","Brazil – Maranhao","MA",55106092,60301931,88542916,118680485,196917191,258249377,258249377,258249377,258249377,258249377,258249377,258249377
"America","Brazil","Brazil – Mato Grosso","MT",234932370,225299183,339534010,454899108,698037578,825161919,958326168,1241554821,1549490605,1713556225,1887156118,2257216604
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2561788,2581535,4015128,5393626,9348560,11712405,14945453,19431835,19431835,19431835,19431835,19431835
"America","Brazil","Brazil – Minas Gerais","MG",14453789,15341548,23621113,34018558,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172
