"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG",6089,1068,1379,2500,5416,7179,9095,13327,17833,20180,22651,27619
"America","Bahamas","Bahamas","BHS",413811,214378,317037,422357,639072,754289,871232,1107770,1342989,1461652,1580473,1811569
"America","Barbados","Barbados","BRB",7075,978,1834,2846,4979,6178,7339,9945,12503,13844,15263,18365
"America","Belize","Belize","BLZ",5171143,3212093,4752601,6336202,9649776,11314214,12974351,16383692,19986851,21859099,23789291,27848173
"America","Bolivia","Bolivia","BOL",181645684,117304910,176092165,234790729,353926491,413892989,474356600,596900858,721868830,785562027,850073913,981204963
"America","Brazil","Brazil – Acre","AC",50337212,40675029,62068358,84178976,130660273,155086213,181564851,236483925,296832450,328112480,360030120,424438006
"America","Brazil","Brazil – Alagoas","AL",197594,131370,193821,257437,387657,497541,887497,2274138,2274138,2274138,2274138,2274138
"America","Brazil","Brazil – Amapa","AP",8976991,5363431,8626310,12108299,19655702,23775036,28963148,40320637,55575235,64531398,74533430,96881361
"America","Brazil","Brazil – Amazonas","AM",152772478,123315127,183741057,240531440,353322668,409904215,467361336,582987247,702986099,764345208,826697202,952951467
"America","Brazil","Brazil – Bahia","BA",11480247,6295746,9806554,13587115,21841633,26335088,31735376,43209145,57558096,65530408,74060715,92339728
"America","Brazil","Brazil – Ceara","CE",471425,228989,382626,531863,811975,1052093,1863692,2008496,2008496,2008496,2008496,2008496
"America","Brazil","Brazil – Espirito Santo","ES",1478808,649531,975635,1305143,1925847,2315534,3211435,5247285,9316480,12209605,15788374,20788900
"America","Brazil","Brazil – Goias","GO",2710372,1978697,2834514,3613770,5098444,5422132,5422132,5422132,5422132,5422132,5422132,5422132
"America","Brazil","Brazil – Maranhao","MA",55106092,40221554,58052934,75907317,113703132,133582786,155060242,211031890,258249377,258249377,258249377,258249377
"America","Brazil","Brazil – Mato Grosso","MT",234932370,176053880,264815445,354671215,536993722,631333121,728380361,928100278,1141754833,1254107633,1370212969,1613392271
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2561788,1899821,3027499,4114283,6239870,7368140,8848840,11858506,15935810,18705151,19431835,19431835
"America","Brazil","Brazil – Minas Gerais","MG",14453789,10218749,15206839,20603260,33581088,42484172,42484172,42484172,42484172,42484172,42484172,42484172
"America","Brazil","Brazil – Para","PA",440505985,430673917,635462546,838029577,1246984706,1458770661,1677383663,2127531689,2588729331,2824908807,3064886858,3556099379
"America","Brazil","Brazil – Paraiba","PB",65483,46072,57325,68893,94260,143292,442399,894267,894267,894267,894267,894267
"America","Brazil","Brazil – Parana","PR",15177424,11862833,17103995,22258258,32527251,37813096,43815436,56386759,71666150,80213148,89563399,111128739
"America","Brazil","Brazil – Pernambouco","PE",245788,162840,230757,298183,436916,555281,976345,2096719,3002915,3002915,3002915,3002915
"America","Brazil","Brazil – Piaui","PI",1127033,619176,996621,1343245,1909537,2178195,2249434,2249434,2249434,2249434,2249434,2249434
"America","Brazil","Brazil – Rio de Janeiro","RJ",2327107,722629,1186577,1694968,2833779,3552775,4984381,8583657,15158231,19393011,24304021,35558096
"America","Brazil","Brazil – Rio Grande do Norte","RN",41068,24326,36653,47762,68589,105855,386485,386485,386485,386485,386485,386485
"America","Brazil","Brazil – Rio Grande do Sul","RS",5715820,2797863,4283054,5831224,9117172,10948816,13317773,18702984,26252695,30698998,35615806,46414897
"America","Brazil","Brazil – Rondonia","RO",123697424,106109131,152525382,197059341,289299020,338601792,391565737,505943022,631857936,697981453,765553605,903801006
"America","Brazil","Brazil – Roraima","RR",63099291,17257490,25609454,34021595,50008130,58143825,67445489,86175953,107840756,119476937,131483840,156064664
"America","Brazil","Brazil – Santa Catarina","SC",11017970,9426775,13966446,18510099,27566599,32238665,37724689,49222642,63468876,71364113,79807839,97807278
"America","Brazil","Brazil – Sao Paulo","SP",6918237,2554130,4306498,6287167,10918344,13704263,17476845,26114344,38123364,45093327,52704042,69169033
"America","Brazil","Brazil – Sergipe","SE",170725,72796,112494,152243,236388,327938,743113,1464754,1464754,1464754,1464754,1464754
"America","Brazil","Brazil – Tocantins","TO",17731983,9829495,13688274,17899736,27318330,33408329,33408329,33408329,33408329,33408329,33408329,33408329
"America","Colombia","Colombia","COL",198344528,190474269,284893685,383603067,591211668,694971372,798324652,1006990207,1230352817,1348496951,1470444598,1724358084
"America","Costa Rica","Costa Rica","CRI",5661386,3972466,6413828,9109656,15085804,18302499,21620478,28566635,35985553,39901311,43971777,52607149
"America","Cuba","Cuba","CUB",3177988,2272840,3638086,5083978,8068171,9579407,11093775,14207117,17479501,19158523,20840680,24230267
"America","Dominica","Dominica","DMA",79977,23575,38690,53972,83218,97948,113275,144631,177895,195518,213743,250769
"America","Dominican Rep.","Dominican Rep.","DOM",4050199,2374357,3717624,5109893,8042648,9562514,11133898,14420043,17938588,19799360,21768653,26166429
"America","Ecuador","Ecuador","ECU",39978373,21559835,35005499,49656171,80670067,96675706,113065479,147082039,182651960,200941851,219599027,257698852
"America","El Salvador","El Salvador","SLV",466989,390664,598506,806856,1219351,1419451,1617593,2000656,2346070,2502362,2651766,2959769
"America","French Guiana","French Guiana","GUF",3108826,3820556,5162051,6497635,9241760,10616715,11995650,14803195,17635497,19097262,20603240,23725091
"America","Grenada","Grenada","GRD",60254,7545,12684,18077,29797,35654,41535,53573,65796,72113,78305,90863
"America","Guadeloupe","Guadeloupe","GLP",79712,49153,73770,95628,143987,170126,193935,238310,278733,297836,317585,358215
"America","Guatemala","Guatemala","GTM",17002384,15039859,23682136,32823638,52369138,62804276,73708096,97313059,117903897,117903897,117903897,117903897
"America","Guyana","Guyana","GUY",14196067,20519421,29133293,35951784,49114565,55825524,62669449,76661908,90813384,97999635,105290245,120046150
"America","Haiti","Haiti","HTI",934896,846071,1249858,1664887,2556741,2725654,2725654,2725654,2725654,2725654,2725654,2725654
"America","Honduras","Honduras","HND",18690070,15926476,24465336,32916532,49351931,57323297,65120264,80862441,98730762,109556313,121483442,128616359
"America","Jamaica","Jamaica","JAM",987086,572108,870445,1174483,1819082,2155239,2496311,3194927,3910720,4273403,4637324,5376059
"America","Martinique","Martinique","MTQ",88931,42203,64737,89537,139225,164952,191589,246458,301010,328665,357153,415009
"America","Mexico","Mexico","MEX",44771060,36350615,54512355,73231117,111936129,131885677,152044754,193196392,236101789,261203337,265565988,265565988
"America","Montserrat","Montserrat","MSR",1702,631,999,1316,2033,2426,2769,3466,4091,4387,4768,5499
"America","Nicaragua","Nicaragua","NIC",36257345,26249847,39557631,52758381,79884959,92958583,105685246,137262846,171930294,171930294,171930294,171930294
