area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,yrdis,id_cont,id_d
America,Antigua and B.,Antigua and B.,ATG,low,4088,3896,3610,3384,3081,16,55,23,87,23,0.7,2851,2736,2621,2391,2276,2161,1931,1701,1586,1471,1241,2153,1,1
America,Antigua and B.,Antigua and B.,ATG,mean,4088,3896,3610,3384,3081,16,55,23,87,55,1.6,2531,2256,1981,1431,1156,881,331,0,0,0,0,2076,1,2
America,Antigua and B.,Antigua and B.,ATG,high,4088,3896,3610,3384,3081,16,55,23,87,87,2.7,2211,1776,1341,471,36,0,0,0,0,0,0,2055,1,3
America,Bahamas,Bahamas,BHS,low,161577,134184,122111,112708,103203,525,2044,1015,3073,1015,0.9,93053,87978,82903,72753,67678,62603,52453,42303,37228,32153,22003,2121,1,1
America,Bahamas,Bahamas,BHS,mean,161577,134184,122111,112708,103203,525,2044,1015,3073,2044,1.8,82763,72543,62323,41883,31663,21443,1003,0,0,0,0,2070,1,2
America,Bahamas,Bahamas,BHS,high,161577,134184,122111,112708,103203,525,2044,1015,3073,3073,2.9,72473,57108,41743,11013,0,0,0,0,0,0,0,2053,1,3
America,Barbados,Barbados,BRB,low,4452,4385,4110,3624,3401,27,73,21,125,21,0.5,3191,3086,2981,2771,2666,2561,2351,2141,2036,1931,1721,2181,1,1
America,Barbados,Barbados,BRB,mean,4452,4385,4110,3624,3401,27,73,21,125,73,1.9,2671,2306,1941,1211,846,481,0,0,0,0,0,2066,1,2
America,Barbados,Barbados,BRB,high,4452,4385,4110,3624,3401,27,73,21,125,125,3.6,2151,1526,901,0,0,0,0,0,0,0,0,2047,1,3
America,Belize,Belize,BLZ,low,1430522,1380205,1337190,1262609,1205720,2486,12731,7859,17604,7859,0.6,1127130,1087835,1048540,969950,930655,891360,812770,734180,694885,655590,577000,2173,1,1
America,Belize,Belize,BLZ,mean,1430522,1380205,1337190,1262609,1205720,2486,12731,7859,17604,12731,1,1078410,1014755,951100,823790,760135,696480,569170,441860,378205,314550,187240,2114,1,2
America,Belize,Belize,BLZ,high,1430522,1380205,1337190,1262609,1205720,2486,12731,7859,17604,17604,1.4,1029680,941660,853640,677600,589580,501560,325520,149480,61460,0,0,2088,1,3
America,Bolivia,Bolivia,BOL,low,32808890,31629721,30657194,29421550,28671417,38771,203521,127529,279512,127529,0.4,27396127,26758482,26120837,24845547,24207902,23570257,22294967,21019677,20382032,19744387,18469097,2244,1,1
America,Bolivia,Bolivia,BOL,mean,32808890,31629721,30657194,29421550,28671417,38771,203521,127529,279512,203521,0.7,26636207,25618602,24600997,22565787,21548182,20530577,18495367,16460157,15442552,14424947,12389737,2160,1,2
America,Bolivia,Bolivia,BOL,high,32808890,31629721,30657194,29421550,28671417,38771,203521,127529,279512,279512,1,25876297,24478737,23081177,20286057,18888497,17490937,14695817,11900697,10503137,9105577,6310457,2122,1,3
America,Brazil,Brazil – Acre,AC,low,13907003,13553719,13292238,13062928,12823900,3499,48076,41218,54935,41218,0.3,12411720,12205630,11999540,11587360,11379090,11158036,10710849,10228135,9979118,9725244,9211936,2186,1,1
America,Brazil,Brazil – Acre,AC,mean,13907003,13553719,13292238,13062928,12823900,3499,48076,41218,54935,48076,0.4,12343140,12102760,11862380,11339864,11061773,10753978,10121623,9464461,9119267,8731651,7887850,2145,1,2
America,Brazil,Brazil – Acre,AC,high,13907003,13553719,13292238,13062928,12823900,3499,48076,41218,54935,54935,0.4,12274550,11999627,11699028,11016877,10640907,10249324,9388458,8371825,7805960,7113219,5118996,2119,1,3
America,Brazil,Brazil – Alagoas,AL,low,115984,105638,100121,93780,88761,238,1198,732,1664,732,0.8,81441,77781,74121,66801,60960,42336,9,0,0,0,0,2071,1,1
America,Brazil,Brazil – Alagoas,AL,mean,115984,105638,100121,93780,88761,238,1198,732,1664,1198,1.3,76781,70791,64801,11065,0,0,0,0,0,0,0,2052,1,2
America,Brazil,Brazil – Alagoas,AL,high,115984,105638,100121,93780,88761,238,1198,732,1664,1664,1.8,72121,63553,29308,0,0,0,0,0,0,0,0,2044,1,3
America,Brazil,Brazil – Amapa,AP,low,11752956,11661118,11589265,11516999,11456940,1616,14933,11766,18101,11766,0.1,11339280,11280450,11221620,11103960,11042950,10969156,10816489,10628295,10526538,10419924,10201136,2207,1,1
America,Brazil,Brazil – Amapa,AP,mean,11752956,11661118,11589265,11516999,11456940,1616,14933,11766,18101,14933,0.1,11307610,11232945,11158280,10967194,10854818,10712738,10411813,10086081,9906602,9684700,9172330,2156,1,2
America,Brazil,Brazil – Amapa,AP,high,11752956,11661118,11589265,11516999,11456940,1616,14933,11766,18101,18101,0.2,11275930,11185177,11068748,10754937,10563137,10355724,9863198,9214905,8833210,8324639,6698756,2125,1,3
America,Brazil,Brazil – Amazonas,AM,low,148268193,147609600,146955646,146340118,145361330,23691,164092,117657,210526,117657,0.1,144184760,143596475,143008190,141831620,141241154,140637905,139426329,138179225,137548013,136911944,135634246,2312,1,1
America,Brazil,Brazil – Amazonas,AM,mean,148268193,147609600,146955646,146340118,145361330,23691,164092,117657,210526,164092,0.1,143720410,142899950,142079490,140396814,139538643,138650768,136858253,135040931,134115657,133147960,131144000,2237,1,2
America,Brazil,Brazil – Amazonas,AM,high,148268193,147609600,146955646,146340118,145361330,23691,164092,117657,210526,210526,0.1,143256070,142203192,141124637,138886577,137732652,136563114,134146338,131573795,130229975,128759279,125209146,2193,1,3
America,Brazil,Brazil – Bahia,BA,low,2603630,2283615,2127338,2033995,1912131,3905,21707,14054,29361,14054,0.7,1771591,1701321,1631051,1490511,1418061,1332827,1157280,946206,833009,714955,473287,2119,1,1
America,Brazil,Brazil – Bahia,BA,mean,2603630,2283615,2127338,2033995,1912131,3905,21707,14054,29361,21707,1.1,1695061,1586526,1477991,1219165,1072919,896969,528304,134832,0,0,0,2084,1,2
America,Brazil,Brazil – Bahia,BA,high,2603630,2283615,2127338,2033995,1912131,3905,21707,14054,29361,29361,1.5,1618521,1471468,1298739,872328,624228,360515,0,0,0,0,0,2067,1,3
America,Brazil,Brazil – Ceara,CE,low,61559,56001,51770,44331,41085,282,1085,532,1637,532,1.1,35765,33105,30445,25125,20284,2660,0,0,0,0,0,2061,1,1
America,Brazil,Brazil – Ceara,CE,mean,61559,56001,51770,44331,41085,282,1085,532,1637,1085,2.3,30235,24810,19385,0,0,0,0,0,0,0,0,2045,1,2
America,Brazil,Brazil – Ceara,CE,high,61559,56001,51770,44331,41085,282,1085,532,1637,1637,3.7,24715,16282,0,0,0,0,0,0,0,0,0,2038,1,3
America,Brazil,Brazil – Espirito Santo,ES,low,514391,446810,427797,408682,384976,1410,4323,1559,7086,1559,0.4,369386,361591,353796,338206,328231,305472,254875,168751,118029,62451,0,2096,1,1
America,Brazil,Brazil – Espirito Santo,ES,mean,514391,446810,427797,408682,384976,1410,4323,1559,7086,4323,1.1,341746,320131,298516,213531,154205,65174,0,0,0,0,0,2064,1,2
America,Brazil,Brazil – Espirito Santo,ES,high,514391,446810,427797,408682,384976,1410,4323,1559,7086,7086,1.8,314116,278439,217084,13423,0,0,0,0,0,0,0,2051,1,3
America,Brazil,Brazil – Goias,GO,low,667396,566579,492122,417649,348116,2315,15305,10769,19842,10769,2.4,240426,186581,132736,25046,0,0,0,0,0,0,0,2053,1,1
America,Brazil,Brazil – Goias,GO,mean,667396,566579,492122,417649,348116,2315,15305,10769,19842,15305,3.7,195066,118541,42016,0,0,0,0,0,0,0,0,2043,1,2
America,Brazil,Brazil – Goias,GO,high,667396,566579,492122,417649,348116,2315,15305,10769,19842,19842,5,149696,50238,0,0,0,0,0,0,0,0,0,2038,1,3
America,Brazil,Brazil – Maranhao,MA,low,5820307,4907469,4139310,3637882,3269004,17302,94119,60207,128031,60207,1.6,2666934,2365899,2064864,1462794,1159578,843579,206503,0,0,0,0,2074,1,1
America,Brazil,Brazil – Maranhao,MA,mean,5820307,4907469,4139310,3637882,3269004,17302,94119,60207,128031,94119,2.5,2327814,1857219,1386624,403678,0,0,0,0,0,0,0,2055,1,2
America,Brazil,Brazil – Maranhao,MA,high,5820307,4907469,4139310,3637882,3269004,17302,94119,60207,128031,128031,3.6,1988694,1348291,682211,0,0,0,0,0,0,0,0,2046,1,3
America,Brazil,Brazil – Mato Grosso,MT,low,40560419,35759262,33453901,31909819,30421852,33778,304750,238546,370955,238546,0.7,28036392,26843662,25650932,23265472,22070562,20862868,18442401,15986407,14750750,13510237,11023648,2143,1,1
America,Brazil,Brazil – Mato Grosso,MT,mean,40560419,35759262,33453901,31909819,30421852,33778,304750,238546,370955,304750,1,27374352,25850602,24326852,21237597,19676136,18084970,14885875,11661973,10033410,8362423,4951883,2114,1,2
America,Brazil,Brazil – Mato Grosso,MT,high,40560419,35759262,33453901,31909819,30421852,33778,304750,238546,370955,370955,1.2,26712302,24857279,22976580,19134229,17178159,15206476,11185410,7008578,4862613,2589772,0,2096,1,3
America,Brazil,Brazil – Mato Grosso do Sul,MS,low,883347,800341,746191,699018,656525,1136,9597,7371,11824,7371,1,582815,545960,509105,435395,396359,344540,235824,91580,11797,0,0,2086,1,1
America,Brazil,Brazil – Mato Grosso do Sul,MS,mean,883347,800341,746191,699018,656525,1136,9597,7371,11824,9597,1.4,560555,512570,464585,326859,241163,125762,0,0,0,0,0,2066,1,2
America,Brazil,Brazil – Mato Grosso do Sul,MS,high,883347,800341,746191,699018,656525,1136,9597,7371,11824,11824,1.7,538285,478917,393872,142832,0,0,0,0,0,0,0,2055,1,3
America,Brazil,Brazil – Minas Gerais,MG,low,1898241,1521840,1304244,1057802,927416,7013,40575,26830,54321,26830,2.3,659116,524966,390816,122516,0,0,0,0,0,0,0,2055,1,1
America,Brazil,Brazil – Minas Gerais,MG,mean,1898241,1521840,1304244,1057802,927416,7013,40575,26830,54321,40575,3.7,521666,318791,115916,0,0,0,0,0,0,0,0,2043,1,2
America,Brazil,Brazil – Minas Gerais,MG,high,1898241,1521840,1304244,1057802,927416,7013,40575,26830,54321,54321,5.2,384206,112353,0,0,0,0,0,0,0,0,0,2037,1,3
America,Brazil,Brazil – Para,PA,low,100601674,96196634,92329386,90205419,87854103,41054,480633,400167,561099,400167,0.4,83852433,81851598,79850763,75849093,73846077,71830278,67793602,63721398,61677635,59629017,55526219,2214,1,1
America,Brazil,Brazil – Para,PA,mean,100601674,96196634,92329386,90205419,87854103,41054,480633,400167,561099,480633,0.5,83047773,80644608,78241443,73393357,70952481,68481900,63523976,58541243,56033265,53482863,48313493,2170,1,2
America,Brazil,Brazil – Para,PA,high,100601674,96196634,92329386,90205419,87854103,41054,480633,400167,561099,561099,0.6,82243113,79437370,76605950,70862160,67955370,65032967,59110461,53032188,49935503,46711942,39656078,2142,1,3
America,Brazil,Brazil – Paraiba,PB,low,47775,43755,41571,39517,38201,97,343,153,532,153,0.4,36671,35906,35141,33611,30666,14937,0,0,0,0,0,2065,1,1
America,Brazil,Brazil – Paraiba,PB,mean,47775,43755,41571,39517,38201,97,343,153,532,343,0.9,34771,33056,31341,0,0,0,0,0,0,0,0,2048,1,2
America,Brazil,Brazil – Paraiba,PB,high,47775,43755,41571,39517,38201,97,343,153,532,532,1.4,32881,29973,1389,0,0,0,0,0,0,0,0,2041,1,3
America,Brazil,Brazil – Parana,PR,low,3260607,2935439,2701910,2544051,2454955,3499,26608,19749,33466,19749,0.8,2257465,2158720,2059975,1862485,1761559,1647850,1415354,1147330,1005658,859129,560511,2119,1,1
America,Brazil,Brazil – Parana,PR,mean,3260607,2935439,2701910,2544051,2454955,3499,26608,19749,33466,26608,1,2188875,2055835,1922795,1614959,1444208,1243753,826078,383596,145742,0,0,2088,1,2
America,Brazil,Brazil – Parana,PR,high,3260607,2935439,2701910,2544051,2454955,3499,26608,19749,33466,33466,1.3,2120295,1952717,1759462,1292002,1023377,739139,92963,0,0,0,0,2072,1,3
America,Brazil,Brazil – Pernambouco,PE,low,143678,129041,121245,113410,109602,281,1234,683,1784,683,0.6,102772,99357,95942,89112,83516,65137,23300,0,0,0,0,2075,1,1
America,Brazil,Brazil – Pernambouco,PE,mean,143678,129041,121245,113410,109602,281,1234,683,1784,1234,1.1,97262,91092,84922,30826,0,0,0,0,0,0,0,2055,1,2
America,Brazil,Brazil – Pernambouco,PE,high,143678,129041,121245,113410,109602,281,1234,683,1784,1784,1.6,91762,82594,47749,0,0,0,0,0,0,0,0,2045,1,3
America,Brazil,Brazil – Piaui,PI,low,111186,93858,80078,65248,54000,653,2689,1408,3969,1408,1.9,39920,32880,25840,11760,2539,0,0,0,0,0,0,2056,1,1
America,Brazil,Brazil – Piaui,PI,mean,111186,93858,80078,65248,54000,653,2689,1408,3969,2689,4,27110,13665,220,0,0,0,0,0,0,0,0,2041,1,2
America,Brazil,Brazil – Piaui,PI,high,111186,93858,80078,65248,54000,653,2689,1408,3969,3969,6.6,14310,0,0,0,0,0,0,0,0,0,0,2034,1,3
