"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Antigua and B.","Antigua and B.","ATG",4088,3896,3610,3384,3081,16,55,23,87,87,2.7,2211,1776,1341,471,36,0,0,0,0,0,0,2055
"America","Bahamas","Bahamas","BHS",161577,134184,122111,112708,103203,525,2044,1015,3073,3073,2.9,72473,57108,41743,11013,0,0,0,0,0,0,0,2053
"America","Barbados","Barbados","BRB",4452,4385,4110,3624,3401,27,73,21,125,125,3.6,2151,1526,901,0,0,0,0,0,0,0,0,2047
"America","Belize","Belize","BLZ",1430522,1380205,1337190,1262609,1205720,2486,12731,7859,17604,17604,1.4,1029680,941660,853640,677600,589580,501560,325520,149480,61460,0,0,2088
"America","Bolivia","Bolivia","BOL",32808890,31629721,30657194,29421550,28671417,38771,203521,127529,279512,279512,1,25876297,24478737,23081177,20286057,18888497,17490937,14695817,11900697,10503137,9105577,6310457,2122
"America","Brazil","Brazil – Acre","AC",13907003,13553719,13292238,13062928,12823900,3499,48076,41218,54935,54935,0.4,12274550,11999627,11699028,11016877,10640907,10249324,9388458,8371825,7805960,7113219,5118996,2119
"America","Brazil","Brazil – Alagoas","AL",115984,105638,100121,93780,88761,238,1198,732,1664,1664,1.8,72121,63553,29308,0,0,0,0,0,0,0,0,2044
"America","Brazil","Brazil – Amapa","AP",11752956,11661118,11589265,11516999,11456940,1616,14933,11766,18101,18101,0.2,11275930,11185177,11068748,10754937,10563137,10355724,9863198,9214905,8833210,8324639,6698756,2125
"America","Brazil","Brazil – Amazonas","AM",148268193,147609600,146955646,146340118,145361330,23691,164092,117657,210526,210526,0.1,143256070,142203192,141124637,138886577,137732652,136563114,134146338,131573795,130229975,128759279,125209146,2193
"America","Brazil","Brazil – Bahia","BA",2603630,2283615,2127338,2033995,1912131,3905,21707,14054,29361,29361,1.5,1618521,1471468,1298739,872328,624228,360515,0,0,0,0,0,2067
"America","Brazil","Brazil – Ceara","CE",61559,56001,51770,44331,41085,282,1085,532,1637,1637,3.7,24715,16282,0,0,0,0,0,0,0,0,0,2038
"America","Brazil","Brazil – Espirito Santo","ES",514391,446810,427797,408682,384976,1410,4323,1559,7086,7086,1.8,314116,278439,217084,13423,0,0,0,0,0,0,0,2051
"America","Brazil","Brazil – Goias","GO",667396,566579,492122,417649,348116,2315,15305,10769,19842,19842,5,149696,50238,0,0,0,0,0,0,0,0,0,2038
"America","Brazil","Brazil – Maranhao","MA",5820307,4907469,4139310,3637882,3269004,17302,94119,60207,128031,128031,3.6,1988694,1348291,682211,0,0,0,0,0,0,0,0,2046
"America","Brazil","Brazil – Mato Grosso","MT",40560419,35759262,33453901,31909819,30421852,33778,304750,238546,370955,370955,1.2,26712302,24857279,22976580,19134229,17178159,15206476,11185410,7008578,4862613,2589772,0,2096
"America","Brazil","Brazil – Mato Grosso do Sul","MS",883347,800341,746191,699018,656525,1136,9597,7371,11824,11824,1.7,538285,478917,393872,142832,0,0,0,0,0,0,0,2055
"America","Brazil","Brazil – Minas Gerais","MG",1898241,1521840,1304244,1057802,927416,7013,40575,26830,54321,54321,5.2,384206,112353,0,0,0,0,0,0,0,0,0,2037
"America","Brazil","Brazil – Para","PA",100601674,96196634,92329386,90205419,87854103,41054,480633,400167,561099,561099,0.6,82243113,79437370,76605950,70862160,67955370,65032967,59110461,53032188,49935503,46711942,39656078,2142
"America","Brazil","Brazil – Paraiba","PB",47775,43755,41571,39517,38201,97,343,153,532,532,1.4,32881,29973,1389,0,0,0,0,0,0,0,0,2041
"America","Brazil","Brazil – Parana","PR",3260607,2935439,2701910,2544051,2454955,3499,26608,19749,33466,33466,1.3,2120295,1952717,1759462,1292002,1023377,739139,92963,0,0,0,0,2072
"America","Brazil","Brazil – Pernambouco","PE",143678,129041,121245,113410,109602,281,1234,683,1784,1784,1.6,91762,82594,47749,0,0,0,0,0,0,0,0,2045
"America","Brazil","Brazil – Piaui","PI",111186,93858,80078,65248,54000,653,2689,1408,3969,3969,6.6,14310,0,0,0,0,0,0,0,0,0,0,2034
"America","Brazil","Brazil – Rio de Janeiro","RJ",837693,782969,747498,704782,690662,1641,5789,2573,9005,9005,1.3,600612,555339,484389,261539,115219,0,0,0,0,0,0,2059
"America","Brazil","Brazil – Rio Grande do Norte","RN",32473,28177,25817,23795,22471,76,335,185,484,484,2.1,17631,14963,0,0,0,0,0,0,0,0,0,2039
"America","Brazil","Brazil – Rio Grande do Sul","RS",2586357,2414614,2228174,2127259,2063991,6504,23904,11155,36653,36653,1.8,1697461,1513948,1304758,805428,520868,220695,0,0,0,0,0,2064
"America","Brazil","Brazil – Rondonia","RO",16553658,14786157,13841285,13213886,12506829,13805,134722,107664,161781,161781,1.2,10889019,10079866,9245036,7494426,6584226,5658413,3729087,1643994,543899,0,0,2088
"America","Brazil","Brazil – Roraima","RR",16747771,16439654,16250552,16095866,15523023,21985,60430,17340,103521,103521,0.7,14487813,13969960,13426431,12258420,11639520,11005007,9658281,8155789,7346994,6411323,3931239,2114
"America","Brazil","Brazil – Santa Catarina","SC",2997828,2705430,2510129,2409351,2339719,2293,19692,15197,24187,24187,1,2097849,1976666,1829806,1455136,1232906,995063,441677,0,0,0,0,2077
"America","Brazil","Brazil – Sao Paulo","SP",3071447,2881552,2795470,2688417,2644314,2832,15838,10288,21388,21388,0.8,2430434,2323246,2190382,1843701,1635466,1411618,886222,205060,0,0,0,2083
"America","Brazil","Brazil – Sergipe","SE",75640,68152,62689,58368,55226,224,794,355,1232,1232,2.2,42906,36498,4413,0,0,0,0,0,0,0,0,2041
"America","Brazil","Brazil – Tocantins","TO",1770972,1581455,1368198,1157649,932765,9001,44570,26928,62212,62212,5.9,310645,0,0,0,0,0,0,0,0,0,0,2035
"America","Colombia","Colombia","COL",70287967,68461978,67016728,65435709,64205391,18216,295615,259912,331318,331318,0.5,60892211,59235621,57579031,54265851,52609261,50952671,47639491,44326311,42669721,41013131,37699951,2213
"America","Costa Rica","Costa Rica","CRI",2432831,2356545,2289463,2178989,2117271,2034,18621,14634,22608,22608,1,1891191,1778151,1665111,1439031,1325991,1212951,986871,760791,647751,534711,308631,2113
"America","Cuba","Cuba","CUB",1566658,1446283,1334451,1273577,1203791,2560,15252,10233,20270,20270,1.6,1001091,899741,798391,595691,494341,392991,190291,0,0,0,0,2079
"America","Dominica","Dominica","DMA",70674,70565,70000,69111,67462,65,219,93,346,346,0.5,64002,62272,60542,57082,55352,53622,50162,46702,44972,43242,39782,2214
"America","Dominican Rep.","Dominican Rep.","DOM",1266155,1142089,1017578,911636,866469,2999,15486,9608,21364,21364,2.3,652829,546009,439189,225549,118729,11909,0,0,0,0,0,2060
"America","Ecuador","Ecuador","ECU",15470923,15222933,14952476,14651806,14380353,8973,60821,43234,78408,78408,0.5,13596273,13204233,12812193,12028113,11636073,11244033,10459953,9675873,9283833,8891793,8107713,2203
"America","El Salvador","El Salvador","SLV",132516,119075,110921,103620,96781,236,1618,1156,2079,2079,2.1,75991,65596,55201,34411,24016,13621,0,0,0,0,0,2066
"America","French Guiana","French Guiana","GUF",8120655,8109002,8092691,8078458,8065771,241,2940,2468,3411,3411,0,8031661,8014606,7997551,7963441,7946386,7929331,7895221,7861111,7844056,7827001,7792891,4384
"America","Grenada","Grenada","GRD",25702,24494,22191,19717,19141,120,292,56,528,528,2.7,13861,11221,8581,3301,661,0,0,0,0,0,0,2056
"America","Guadeloupe","Guadeloupe","GLP",80041,79361,77548,75391,72939,78,376,223,529,529,0.7,67649,65004,62359,57069,54424,51779,46489,41199,38554,35909,30619,2157
