"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Antigua and B.","Antigua and B.","ATG",4088,3896,3610,3384,3081,16,55,23,87,23,0.7,2851,2736,2621,2391,2276,2161,1931,1701,1586,1471,1241,2153
"America","Bahamas","Bahamas","BHS",161577,134184,122111,112708,103203,525,2044,1015,3073,1015,0.9,93053,87978,82903,72753,67678,62603,52453,42303,37228,32153,22003,2121
"America","Barbados","Barbados","BRB",4452,4385,4110,3624,3401,27,73,21,125,21,0.5,3191,3086,2981,2771,2666,2561,2351,2141,2036,1931,1721,2181
"America","Belize","Belize","BLZ",1430522,1380205,1337190,1262609,1205720,2486,12731,7859,17604,7859,0.6,1127130,1087835,1048540,969950,930655,891360,812770,734180,694885,655590,577000,2173
"America","Bolivia","Bolivia","BOL",32808890,31629721,30657194,29421550,28671417,38771,203521,127529,279512,127529,0.4,27396127,26758482,26120837,24845547,24207902,23570257,22294967,21019677,20382032,19744387,18469097,2244
"America","Brazil","Brazil – Acre","AC",13907003,13553719,13292238,13062928,12823900,3499,48076,41218,54935,41218,0.3,12411720,12205630,11999540,11587360,11379090,11158036,10710849,10228135,9979118,9725244,9211936,2186
"America","Brazil","Brazil – Alagoas","AL",115984,105638,100121,93780,88761,238,1198,732,1664,732,0.8,81441,77781,74121,66801,60960,42336,9,0,0,0,0,2071
"America","Brazil","Brazil – Amapa","AP",11752956,11661118,11589265,11516999,11456940,1616,14933,11766,18101,11766,0.1,11339280,11280450,11221620,11103960,11042950,10969156,10816489,10628295,10526538,10419924,10201136,2207
"America","Brazil","Brazil – Amazonas","AM",148268193,147609600,146955646,146340118,145361330,23691,164092,117657,210526,117657,0.1,144184760,143596475,143008190,141831620,141241154,140637905,139426329,138179225,137548013,136911944,135634246,2312
"America","Brazil","Brazil – Bahia","BA",2603630,2283615,2127338,2033995,1912131,3905,21707,14054,29361,14054,0.7,1771591,1701321,1631051,1490511,1418061,1332827,1157280,946206,833009,714955,473287,2119
"America","Brazil","Brazil – Ceara","CE",61559,56001,51770,44331,41085,282,1085,532,1637,532,1.1,35765,33105,30445,25125,20284,2660,0,0,0,0,0,2061
"America","Brazil","Brazil – Espirito Santo","ES",514391,446810,427797,408682,384976,1410,4323,1559,7086,1559,0.4,369386,361591,353796,338206,328231,305472,254875,168751,118029,62451,0,2096
"America","Brazil","Brazil – Goias","GO",667396,566579,492122,417649,348116,2315,15305,10769,19842,10769,2.4,240426,186581,132736,25046,0,0,0,0,0,0,0,2053
"America","Brazil","Brazil – Maranhao","MA",5820307,4907469,4139310,3637882,3269004,17302,94119,60207,128031,60207,1.6,2666934,2365899,2064864,1462794,1159578,843579,206503,0,0,0,0,2074
"America","Brazil","Brazil – Mato Grosso","MT",40560419,35759262,33453901,31909819,30421852,33778,304750,238546,370955,238546,0.7,28036392,26843662,25650932,23265472,22070562,20862868,18442401,15986407,14750750,13510237,11023648,2143
"America","Brazil","Brazil – Mato Grosso do Sul","MS",883347,800341,746191,699018,656525,1136,9597,7371,11824,7371,1,582815,545960,509105,435395,396359,344540,235824,91580,11797,0,0,2086
"America","Brazil","Brazil – Minas Gerais","MG",1898241,1521840,1304244,1057802,927416,7013,40575,26830,54321,26830,2.3,659116,524966,390816,122516,0,0,0,0,0,0,0,2055
"America","Brazil","Brazil – Para","PA",100601674,96196634,92329386,90205419,87854103,41054,480633,400167,561099,400167,0.4,83852433,81851598,79850763,75849093,73846077,71830278,67793602,63721398,61677635,59629017,55526219,2214
"America","Brazil","Brazil – Paraiba","PB",47775,43755,41571,39517,38201,97,343,153,532,153,0.4,36671,35906,35141,33611,30666,14937,0,0,0,0,0,2065
"America","Brazil","Brazil – Parana","PR",3260607,2935439,2701910,2544051,2454955,3499,26608,19749,33466,19749,0.8,2257465,2158720,2059975,1862485,1761559,1647850,1415354,1147330,1005658,859129,560511,2119
"America","Brazil","Brazil – Pernambouco","PE",143678,129041,121245,113410,109602,281,1234,683,1784,683,0.6,102772,99357,95942,89112,83516,65137,23300,0,0,0,0,2075
"America","Brazil","Brazil – Piaui","PI",111186,93858,80078,65248,54000,653,2689,1408,3969,1408,1.9,39920,32880,25840,11760,2539,0,0,0,0,0,0,2056
"America","Brazil","Brazil – Rio de Janeiro","RJ",837693,782969,747498,704782,690662,1641,5789,2573,9005,2573,0.3,664932,652067,639202,613472,598426,570597,509860,413597,357804,297156,170297,2113
"America","Brazil","Brazil – Rio Grande do Norte","RN",32473,28177,25817,23795,22471,76,335,185,484,185,0.7,20621,19696,18771,16921,13816,0,0,0,0,0,0,2060
"America","Brazil","Brazil – Rio Grande do Sul","RS",2586357,2414614,2228174,2127259,2063991,6504,23904,11155,36653,11155,0.5,1952441,1896666,1840891,1729341,1671385,1600646,1454089,1272006,1173303,1069745,857066,2133
"America","Brazil","Brazil – Rondonia","RO",16553658,14786157,13841285,13213886,12506829,13805,134722,107664,161781,107664,0.8,11430189,10891869,10353549,9276909,8736408,8183124,7071478,5924304,5343056,4756953,3579185,2130
"America","Brazil","Brazil – Roraima","RR",16747771,16439654,16250552,16095866,15523023,21985,60430,17340,103521,17340,0.1,15349623,15262923,15176223,15002823,14913943,14812279,14603872,14359938,14230311,14095828,13821299,2217
"America","Brazil","Brazil – Santa Catarina","SC",2997828,2705430,2510129,2409351,2339719,2293,19692,15197,24187,15197,0.6,2187749,2111764,2035779,1883809,1805643,1714694,1527718,1305214,1186301,1062533,809435,2129
"America","Brazil","Brazil – Sao Paulo","SP",3071447,2881552,2795470,2688417,2644314,2832,15838,10288,21388,10288,0.4,2541434,2489994,2438554,2335674,2282054,2215650,2077763,1904349,1809982,1710759,1506750,2144
"America","Brazil","Brazil – Sergipe","SE",75640,68152,62689,58368,55226,224,794,355,1232,355,0.6,51676,49901,48126,44576,40621,23881,0,0,0,0,0,2067
"America","Brazil","Brazil – Tocantins","TO",1770972,1581455,1368198,1157649,932765,9001,44570,26928,62212,26928,2.2,663485,528845,394205,124925,0,0,0,0,0,0,0,2055
"America","Colombia","Colombia","COL",70287967,68461978,67016728,65435709,64205391,18216,295615,259912,331318,259912,0.4,61606271,60306711,59007151,56408031,55108471,53808911,51209791,48610671,47311111,46011551,43412431,2267
"America","Costa Rica","Costa Rica","CRI",2432831,2356545,2289463,2178989,2117271,2034,18621,14634,22608,14634,0.7,1970931,1897761,1824591,1678251,1605081,1531911,1385571,1239231,1166061,1092891,946551,2164
"America","Cuba","Cuba","CUB",1566658,1446283,1334451,1273577,1203791,2560,15252,10233,20270,10233,0.8,1101461,1050296,999131,896801,845636,794471,692141,589811,538646,487481,385151,2137
"America","Dominica","Dominica","DMA",70674,70565,70000,69111,67462,65,219,93,346,93,0.1,66532,66067,65602,64672,64207,63742,62812,61882,61417,60952,60022,2745
"America","Dominican Rep.","Dominican Rep.","DOM",1266155,1142089,1017578,911636,866469,2999,15486,9608,21364,9608,1,770389,722349,674309,578229,530189,482149,386069,289989,241949,193909,97829,2110
"America","Ecuador","Ecuador","ECU",15470923,15222933,14952476,14651806,14380353,8973,60821,43234,78408,43234,0.3,13948013,13731843,13515673,13083333,12867163,12650993,12218653,11786313,11570143,11353973,10921633,2352
"America","El Salvador","El Salvador","SLV",132516,119075,110921,103620,96781,236,1618,1156,2079,1156,1.1,85221,79441,73661,62101,56321,50541,38981,27421,21641,15861,4301,2103
"America","French Guiana","French Guiana","GUF",8120655,8109002,8092691,8078458,8065771,241,2940,2468,3411,2468,0,8041091,8028751,8016411,7991731,7979391,7967051,7942371,7917691,7905351,7893011,7868331,5288
"America","Grenada","Grenada","GRD",25702,24494,22191,19717,19141,120,292,56,528,56,0.3,18581,18301,18021,17461,17181,16901,16341,15781,15501,15221,14661,2361
"America","Guadeloupe","Guadeloupe","GLP",80041,79361,77548,75391,72939,78,376,223,529,223,0.3,70709,69594,68479,66249,65134,64019,61789,59559,58444,57329,55099,2347
"America","Guatemala","Guatemala","GTM",3503631,3041953,2727576,2501803,2281565,4817,48867,39425,58309,39425,1.5,1887315,1690190,1493065,1098815,901690,704565,310315,0,0,0,0,2077
"America","Guyana","Guyana","GUY",18629589,18560054,18503776,18443678,18361596,1961,15128,11284,18972,11284,0.1,18248756,18192336,18135916,18023076,17966656,17910236,17797396,17684556,17628136,17571716,17458876,3647
"America","Haiti","Haiti","HTI",256246,199991,167635,139270,121983,557,4840,3747,5932,3747,2.5,84513,65778,47043,9573,0,0,0,0,0,0,0,2052
"America","Honduras","Honduras","HND",3434964,3199796,3018384,2778623,2571484,5513,46107,35302,56912,35302,1.2,2218464,2041954,1865444,1512424,1335914,1159404,806384,453364,276854,100344,0,2092
"America","Jamaica","Jamaica","JAM",482132,448766,426769,405883,395296,700,3295,1924,4667,1924,0.5,376056,366436,356816,337576,327956,318336,299096,279856,270236,260616,241376,2225
"America","Martinique","Martinique","MTQ",72811,72502,70609,67890,65994,91,428,250,605,250,0.4,63494,62244,60994,58494,57244,55994,53494,50994,49744,48494,45994,2283
"America","Mexico","Mexico","MEX",9349925,8349575,7512429,6919623,6269836,20022,134606,95362,173849,95362,1.3,5316216,4839406,4362596,3408976,2932166,2455356,1501736,548116,71306,0,0,2085
"America","Montserrat","Montserrat","MSR",3418,3416,3396,3320,3287,3,11,4,17,4,0.1,3247,3227,3207,3167,3147,3127,3087,3047,3027,3007,2967,2841
"America","Nicaragua","Nicaragua","NIC",4971710,4685975,4312486,3749173,3375969,19099,96471,59037,133905,59037,1.5,2785599,2490414,2195229,1604859,1309674,1014489,424119,0,0,0,0,2077
"America","Panama","Panama","PAN",4442894,4334780,4214421,4117072,3998243,2403,23270,18559,27981,18559,0.4,3812653,3719858,3627063,3441473,3348678,3255883,3070293,2884703,2791908,2699113,2513523,2235
"America","Paraguay","Paraguay","PRY",2370210,1769522,1458034,1235606,1070949,8858,40701,23340,58063,23340,1.7,837549,720849,604149,370749,254049,137349,0,0,0,0,0,2065
"America","Peru","Peru","PER",73541440,72857996,72081208,71351409,70775079,5978,139441,127725,151158,127725,0.2,69497829,68859204,68220579,66943329,66304704,65666079,64388829,63111579,62472954,61834329,60557079,2574
"America","Puerto Rico","Puerto Rico","PRI",426377,393067,366795,344235,319918,1325,4794,2197,7390,2197,0.6,297948,286963,275978,254008,243023,232038,210068,188098,177113,166128,144158,2165
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",9222,9182,8987,8828,8600,10,41,20,61,20,0.2,8400,8300,8200,8000,7900,7800,7600,7400,7300,7200,7000,2450
"America","Saint Lucia","Saint Lucia","LCA",47508,47412,46884,44869,43954,76,260,111,409,111,0.2,42844,42289,41734,40624,40069,39514,38404,37294,36739,36184,35074,2415
"America","Saint Martin","Saint Martin","MAF",729,690,563,493,255,12,29,6,52,6,1.1,195,165,135,75,45,15,0,0,0,0,0,2062
"America","Saint Vincent","Saint Vincent","VCT",28785,28764,28543,27834,27457,30,101,43,159,43,0.2,27027,26812,26597,26167,25952,25737,25307,24877,24662,24447,24017,2658
"America","Sint Maarten","Sint Maarten","SXM",308,291,217,189,105,5,12,3,21,3,1.5,75,60,45,15,0,0,0,0,0,0,0,2055
"America","Suriname","Suriname","SUR",13827704,13781883,13740572,13683871,13626641,1215,12244,9863,14624,9863,0.1,13528011,13478696,13429381,13330751,13281436,13232121,13133491,13034861,12985546,12936231,12837601,3401
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",348862,345103,333760,314079,306508,928,2875,1057,4693,1057,0.3,295938,290653,285368,274798,269513,264228,253658,243088,237803,232518,221948,2309
"America","Venezuela","Venezuela","VEN",44819033,43649334,42989517,42151553,41462787,24683,150789,102409,199168,102409,0.2,40438697,39926652,39414607,38390517,37878472,37366427,36342337,35318247,34806202,34294157,33270067,2424
