"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG",7,3,12,24,37,50,61,61,61
"America","Bahamas","Bahamas","BHS",507,465,955,1477,2013,2525,2686,2686,2686
"America","Barbados","Barbados","BRB",7,7,15,26,38,51,51,51,51
"America","Belize","Belize","BLZ",5688,5675,11614,17822,24624,32162,40394,49437,59273
"America","Bolivia","Bolivia","BOL",195639,197910,396729,599355,809521,1027707,1253118,1483769,1717256
"America","Brazil","Brazil – Acre","AC",51903,47671,99775,159218,228000,305336,386518,471790,561680
"America","Brazil","Brazil – Alagoas","AL",207,206,419,1515,2390,2390,2390,2390,2390
"America","Brazil","Brazil – Amapa","AP",8984,5706,12825,23625,40047,63338,92561,130904,182303
"America","Brazil","Brazil – Amazonas","AM",154656,167951,324816,484171,646720,815883,990323,1171159,1359616
"America","Brazil","Brazil – Bahia","BA",12331,11054,24118,40841,62243,88995,120978,143914,143914
"America","Brazil","Brazil – Ceara","CE",479,516,1092,2033,2033,2033,2033,2033,2033
"America","Brazil","Brazil – Espirito Santo","ES",1721,2048,3966,7578,14979,23955,23955,23955,23955
"America","Brazil","Brazil – Goias","GO",3009,2837,5071,5990,5990,5990,5990,5990,5990
"America","Brazil","Brazil – Maranhao","MA",55573,56937,110426,174145,259741,259741,259741,259741,259741
"America","Brazil","Brazil – Mato Grosso","MT",245464,235184,475985,725749,994408,1286296,1602327,1943673,2314341
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2943,2581,5624,9664,15123,22553,22553,22553,22553
"America","Brazil","Brazil – Minas Gerais","MG",16389,15975,34483,49066,49066,49066,49066,49066,49066
"America","Brazil","Brazil – Para","PA",444813,482563,944271,1417389,1916871,2441361,2981477,3543113,4130806
"America","Brazil","Brazil – Paraiba","PB",68,78,137,925,925,925,925,925,925
"America","Brazil","Brazil – Parana","PR",18692,18317,34247,51978,73118,98868,130637,174098,199490
"America","Brazil","Brazil – Pernambouco","PE",253,277,527,1678,3158,3158,3158,3158,3158
"America","Brazil","Brazil – Piaui","PI",1142,1264,2232,2291,2291,2291,2291,2291,2291
"America","Brazil","Brazil – Rio de Janeiro","RJ",2740,2248,5472,11528,22554,40083,61872,61872,61872
"America","Brazil","Brazil – Rio Grande do Norte","RN",44,45,85,410,410,410,410,410,410
"America","Brazil","Brazil – Rio Grande do Sul","RS",7673,5640,12126,20824,32926,49251,69307,94335,127534
"America","Brazil","Brazil – Rondonia","RO",127887,133755,250464,376482,526196,693862,871950,1060200,1259579
"America","Brazil","Brazil – Roraima","RR",63221,68548,133850,202916,278847,361971,450149,544416,649834
"America","Brazil","Brazil – Santa Catarina","SC",13940,13765,26710,41645,59984,82471,108273,138559,175923
"America","Brazil","Brazil – Sao Paulo","SP",8304,4799,12299,24371,42212,66175,94584,128107,168393
"America","Brazil","Brazil – Sergipe","SE",181,174,357,1552,1552,1552,1552,1552,1552
"America","Brazil","Brazil – Tocantins","TO",18454,14945,31271,34696,34696,34696,34696,34696,34696
"America","Colombia","Colombia","COL",200484,211042,425150,654188,884687,1116197,1365656,1635778,1921767
"America","Costa Rica","Costa Rica","CRI",5819,5154,11705,19195,27354,36201,45887,56518,68208
"America","Cuba","Cuba","CUB",3711,3419,7759,12241,16913,21800,26852,32102,37744
"America","Dominica","Dominica","DMA",85,72,157,255,362,472,586,707,831
"America","Dominican Rep.","Dominican Rep.","DOM",4553,4418,9554,15174,21400,28741,35478,35478,35478
"America","Ecuador","Ecuador","ECU",39742,30564,69637,112013,156589,203652,253094,303784,356106
"America","El Salvador","El Salvador","SLV",502,501,1041,1577,2094,2562,2963,3315,3315
"America","French Guiana","French Guiana","GUF",3128,4270,7148,10054,13210,16481,19838,23256,26804
"America","Grenada","Grenada","GRD",64,62,134,216,308,405,497,536,536
"America","Guadeloupe","Guadeloupe","GLP",86,98,202,290,382,481,588,706,844
"America","Guatemala","Guatemala","GTM",18505,18903,41054,65902,93454,124575,128709,128709,128709
"America","Guyana","Guyana","GUY",14352,22830,40770,59022,77898,96930,116111,135089,153850
"America","Haiti","Haiti","HTI",1049,1152,2278,3071,3071,3071,3071,3071,3071
"America","Honduras","Honduras","HND",20080,21372,44057,66796,88430,113688,138387,138387,138387
"America","Jamaica","Jamaica","JAM",1092,1041,2210,3456,4749,6076,7483,8996,10632
"America","Martinique","Martinique","MTQ",95,91,189,296,408,525,645,768,900
"America","Mexico","Mexico","MEX",50008,52822,108573,166636,226238,291830,295430,295430,295430
"America","Montserrat","Montserrat","MSR",2,2,4,6,8,10,12,14,16
"America","Nicaragua","Nicaragua","NIC",38272,44195,89423,135790,181712,181712,181712,181712,181712
"America","Panama","Panama","PAN",7662,7880,15984,24703,34300,44634,55548,67053,79297
"America","Paraguay","Paraguay","PRY",24437,24144,45755,62617,62617,62617,62617,62617,62617
"America","Peru","Peru","PER",143760,142936,291512,443378,597020,750389,902950,1054834,1206302
"America","Puerto Rico","Puerto Rico","PRI",1562,1212,2908,4870,7075,9561,12338,14899,14899
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",8,5,15,25,35,45,55,66,78
"America","Saint Lucia","Saint Lucia","LCA",61,65,133,202,275,354,436,522,615
"America","Saint Martin","Saint Martin","MAF",5,5,5,5,5,5,5,5,5
"America","Saint Vincent","Saint Vincent","VCT",14,10,24,39,56,76,97,120,144
"America","Sint Maarten","Sint Maarten","SXM",1,1,1,1,1,1,1,1,1
"America","Suriname","Suriname","SUR",13660,16922,31792,46066,60582,75393,89994,104538,119111
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",682,670,1441,2286,3192,4153,5171,6261,7455
"America","Venezuela","Venezuela","VEN",99760,97971,214597,341396,479878,626607,781171,942494,1109571
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",21,30,65,65,65,65,65,65,65
"America","Virgin Isl. US","Virgin Isl. US","VIR",54,80,135,186,228,228,228,228,228
"Africa","Angola","Angola","AGO",43426,48956,97155,148563,202787,256727,344003,368734,368734
"Africa","Benin","Benin","BEN",66,74,153,171,171,171,171,171,171
"Africa","Burundi","Burundi","BDI",241,300,925,1730,2797,3844,4779,4779,4779
"Africa","Cameroon","Cameroon","CMR",56192,46649,103883,170744,244503,324507,408857,497532,589883
"Africa","CAR","CAR","CAF",24710,30558,57822,87058,117651,150678,187150,227626,272626
"Africa","Comoros","Comoros","COM",137,150,308,490,725,983,1231,1521,1826
"Africa","Congo","Congo","COG",27783,43991,83458,130634,184765,245148,309011,377148,453102
"Africa","DRC","DRC","COD",592137,653018,1455501,2344027,3300764,4350534,5510506,6774800,8090246
"Africa","Eq. Guinea","Eq. Guinea","GNQ",3424,3627,7686,11856,16250,20801,25450,30164,34939
"Africa","Ethiopia","Ethiopia","ETH",38424,52681,118854,199649,199649,199649,199649,199649,199649
"Africa","Gabon","Gabon","GAB",12047,13145,23948,35625,48024,61179,74963,89185,103796
"Africa","Gambia","Gambia","GMB",15,13,25,39,54,70,85,102,119
"Africa","Ghana","Ghana","GHA",29220,35717,77157,186999,186999,186999,186999,186999,186999
"Africa","Guinea","Guinea","GIN",14447,18393,47192,54141,54141,54141,54141,54141,54141
"Africa","Guinea Bissau","Guinea Bissau","GNB",767,808,1377,1886,2394,2917,3479,3750,3750
"Africa","Ivory Coast","Ivory Coast","CIV",99968,95466,233120,233120,233120,233120,233120,233120,233120
"Africa","Kenya","Kenya","KEN",6955,8920,19633,31040,42648,55935,55935,55935,55935
"Africa","Liberia","Liberia","LBR",60786,53550,118813,208207,319490,450859,596951,752340,915819
"Africa","Madagascar","Madagascar","MDG",101542,108699,237253,379752,546918,546918,546918,546918,546918
