"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG","low",6,1,2,5,9,13,18,23,28
"America","Antigua and B.","Antigua and B.","ATG","mean",6,3,12,22,34,47,55,55,55
"America","Antigua and B.","Antigua and B.","ATG","high",6,8,24,43,55,55,55,55,55
"America","Bahamas","Bahamas","BHS","low",414,214,422,639,871,1108,1343,1580,1812
"America","Bahamas","Bahamas","BHS","mean",414,426,880,1356,1828,2198,2198,2198,2198
"America","Bahamas","Bahamas","BHS","high",414,647,1360,2054,2198,2198,2198,2198,2198
"America","Barbados","Barbados","BRB","low",7,1,3,5,7,10,13,15,18
"America","Barbados","Barbados","BRB","mean",7,6,15,26,39,48,48,48,48
"America","Barbados","Barbados","BRB","high",7,12,31,48,48,48,48,48,48
"America","Belize","Belize","BLZ","low",5171,3212,6336,9650,12974,16384,19987,23789,27848
"America","Belize","Belize","BLZ","mean",5171,5121,10443,15887,21772,28253,35390,43139,51612
"America","Belize","Belize","BLZ","high",5171,7120,14578,22683,31961,42429,54245,65187,65187
"America","Bolivia","Bolivia","BOL","low",181646,117305,234791,353926,474357,596901,721869,850074,981205
"America","Bolivia","Bolivia","BOL","mean",181646,187320,376947,570738,770651,978482,1193782,1413959,1636911
"America","Bolivia","Bolivia","BOL","high",181646,257385,521162,795252,1083917,1384499,1690853,2001963,2317706
"America","Brazil","Brazil – Acre","AC","low",50337,40675,84179,130660,181565,236484,296832,360030,424438
"America","Brazil","Brazil – Acre","AC","mean",50337,47698,99336,159742,231144,310207,392808,484200,587555
"America","Brazil","Brazil – Acre","AC","high",50337,54788,117809,198746,294179,402340,528558,680890,918172
"America","Brazil","Brazil – Alagoas","AL","low",198,131,257,388,887,2274,2274,2274,2274
"America","Brazil","Brazil – Alagoas","AL","mean",198,212,425,1747,2274,2274,2274,2274,2274
"America","Brazil","Brazil – Alagoas","AL","high",198,293,1202,2274,2274,2274,2274,2274,2274
"America","Brazil","Brazil – Amapa","AP","low",8977,5363,12108,19656,28963,40321,55575,74533,96881
