"area_cont","area_ctry","area_name","area_code","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"America","Antigua and B.","Antigua and B.","ATG",4,4,3,55,1.6,3,2,1,1,1,0,0,0,0,0,100,"2076"
"America","Bahamas","Bahamas","BHS",162,122,103,2044,1.8,83,62,42,32,21,1,0,0,0,0,100,"2070"
"America","Barbados","Barbados","BRB",4,4,3,73,1.9,3,2,1,1,0,0,0,0,0,0,100,"2066"
"America","Belize","Belize","BLZ",1431,1337,1206,12731,1,1078,951,824,760,696,569,442,378,315,187,87,"2114"
"America","Bolivia","Bolivia","BOL",32809,30657,28671,203521,0.7,26636,24601,22566,21548,20531,18495,16460,15443,14425,12390,62,"2160"
"America","Brazil","Brazil – Acre","AC",13907,13292,12824,48076,0.4,12343,11862,11340,11062,10754,10122,9464,9119,8732,7888,43,"2145"
"America","Brazil","Brazil – Alagoas","AL",116,100,89,1198,1.3,77,65,11,0,0,0,0,0,0,0,100,"2052"
"America","Brazil","Brazil – Amapa","AP",11753,11589,11457,14933,0.1,11308,11158,10967,10855,10713,10412,10086,9907,9685,9172,22,"2156"
"America","Brazil","Brazil – Amazonas","AM",148268,146956,145361,164092,0.1,143720,142079,140397,139539,138651,136858,135041,134116,133148,131144,12,"2237"
"America","Brazil","Brazil – Bahia","BA",2604,2127,1912,21707,1.1,1695,1478,1219,1073,897,528,135,0,0,0,100,"2084"
"America","Brazil","Brazil – Ceara","CE",62,52,41,1085,2.3,30,19,0,0,0,0,0,0,0,0,100,"2045"
"America","Brazil","Brazil – Espirito Santo","ES",514,428,385,4323,1.1,342,299,214,154,65,0,0,0,0,0,100,"2064"
"America","Brazil","Brazil – Goias","GO",667,492,348,15305,3.7,195,42,0,0,0,0,0,0,0,0,100,"2043"
"America","Brazil","Brazil – Maranhao","MA",5820,4139,3269,94119,2.5,2328,1387,404,0,0,0,0,0,0,0,100,"2055"
"America","Brazil","Brazil – Mato Grosso","MT",40560,33454,30422,304750,1,27374,24327,21238,19676,18085,14886,11662,10033,8362,4952,88,"2114"
"America","Brazil","Brazil – Mato Grosso do Sul","MS",883,746,657,9597,1.4,561,465,327,241,126,0,0,0,0,0,100,"2066"
"America","Brazil","Brazil – Minas Gerais","MG",1898,1304,927,40575,3.7,522,116,0,0,0,0,0,0,0,0,100,"2043"
"America","Brazil","Brazil – Para","PA",100602,92329,87854,480633,0.5,83048,78241,73393,70952,68482,63524,58541,56033,53483,48313,52,"2170"
"America","Brazil","Brazil – Paraiba","PB",48,42,38,343,0.9,35,31,0,0,0,0,0,0,0,0,100,"2048"
"America","Brazil","Brazil – Parana","PR",3261,2702,2455,26608,1,2189,1923,1615,1444,1244,826,384,146,0,0,100,"2088"
"America","Brazil","Brazil – Pernambouco","PE",144,121,110,1234,1.1,97,85,31,0,0,0,0,0,0,0,100,"2055"
"America","Brazil","Brazil – Piaui","PI",111,80,54,2689,4,27,0,0,0,0,0,0,0,0,0,100,"2041"
"America","Brazil","Brazil – Rio de Janeiro","RJ",838,747,691,5789,0.8,633,575,475,409,312,103,0,0,0,0,100,"2075"
