"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",5367,7957,15752,24000,42017,52641,54869,54869,54869,54869,54869,54869,54869
"America","Bahamas","Bahamas","BHS",352175,474292,738349,1029047,1657956,1979736,2172986,2172986,2172986,2172986,2172986,2172986,2172986
"America","Barbados","Barbados","BRB",6273,10041,17630,26349,46308,47886,47886,47886,47886,47886,47886,47886,47886
"America","Belize","Belize","BLZ",5174120,8087375,11800196,15648597,24230405,28892379,33850560,44785003,57702029,64923403,64923403,64923403,64923403
"America","Bolivia","Bolivia","BOL",160735883,237328814,355105856,474876025,720247691,846804106,975702645,1240985319,1513648387,1651888217,1791373811,2073851870,2359827833
"America","Brazil","Brazil – Acre","AC",48177042,54931088,82227968,110970430,177429473,214647938,254972467,341148503,431587758,479033173,530797779,671935518,816995673
"America","Brazil","Brazil – Alagoas","AL",157214,238755,357132,627392,2273097,2273097,2273097,2273097,2273097,2273097,2273097,2273097,2273097
"America","Brazil","Brazil – Amapa","AP",7160566,7015985,10895119,15368975,28585197,37492303,48670895,76918519,113306179,136124138,166180205,287914317,606248078
"America","Brazil","Brazil – Amazonas","AM",146602898,213663537,310164037,405958404,600601859,700616139,802885966,1012553327,1227905252,1338857524,1454700114,1724510657,2104693406
"America","Brazil","Brazil – Bahia","BA",8363856,11255322,17597670,24935118,44142878,55830877,69402764,101309776,135329871,135329871,135329871,135329871,135329871
"America","Brazil","Brazil – Ceara","CE",332894,479408,727416,1440775,2000367,2000367,2000367,2000367,2000367,2000367,2000367,2000367,2000367
"America","Brazil","Brazil – Espirito Santo","ES",995742,1584938,2424366,3670903,9289281,14057998,20862703,20862703,20862703,20862703,20862703,20862703,20862703
"America","Brazil","Brazil – Goias","GO",2305355,2837355,4063543,5336203,5628117,5628117,5628117,5628117,5628117,5628117,5628117,5628117,5628117
"America","Brazil","Brazil – Maranhao","MA",42197698,59935404,88138137,117571664,201064202,258077574,258077574,258077574,258077574,258077574,258077574,258077574,258077574
"America","Brazil","Brazil – Mato Grosso","MT",232028062,266160747,401538987,539359324,828062177,981970261,1142364309,1486899957,1864750928,2065621427,2276772849,2747803453,2812158022
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2558039,3539301,5027894,6543747,10991348,13865623,17565385,19140164,19140164,19140164,19140164,19140164,19140164
"America","Brazil","Brazil – Minas Gerais","MG",12311049,18129074,28809709,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247
"America","Brazil","Brazil – Para","PA",427129882,557128772,812608971,1065440210,1581341050,1854991473,2141290203,2730263752,3338464604,3652958296,3978498023,4688093055,5548516647
"America","Brazil","Brazil – Paraiba","PB",63369,104638,153044,349359,883004,883004,883004,883004,883004,883004,883004,883004,883004
"America","Brazil","Brazil – Parana","PR",11893114,14730801,21500894,28695332,46498221,57141991,69461928,99008857,138541535,163602913,163602913,163602913,163602913
"America","Brazil","Brazil – Pernambouco","PE",197747,313885,462339,783930,2996791,2996791,2996791,2996791,2996791,2996791,2996791,2996791,2996791
"America","Brazil","Brazil – Piaui","PI",813160,1352602,2000508,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741
"America","Brazil","Brazil – Rio de Janeiro","RJ",1707418,2720429,4542697,7001862,16258789,23296950,32831745,52746949,52746949,52746949,52746949,52746949,52746949
"America","Brazil","Brazil – Rio Grande do Norte","RN",38699,61706,89408,229945,379162,379162,379162,379162,379162,379162,379162,379162,379162
"America","Brazil","Brazil – Rio Grande do Sul","RS",4823721,5304678,8054651,11174308,20092512,26136670,33622764,52485230,76392592,91705121,103244394,103244394,103244394
"America","Brazil","Brazil – Rondonia","RO",127749844,148454988,214472338,282285911,441939860,532736629,628291530,832509208,1047368999,1159905134,1275844572,1334345999,1334345999
"America","Brazil","Brazil – Roraima","RR",55421224,100423503,148566410,197588109,301573976,357265049,415646381,542588987,682853147,757590380,837816683,1039017940,1363953163
"America","Brazil","Brazil – Santa Catarina","SC",8051343,9196192,13843556,18975297,32580409,40956799,50838716,74083337,100906811,116579396,136212552,165746184,165746184
"America","Brazil","Brazil – Sao Paulo","SP",5535277,5126256,9477805,15074923,31637886,42439203,55374810,86139595,121886704,142549404,167555937,212880139,212880139
"America","Brazil","Brazil – Sergipe","SE",145426,209394,328489,642507,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1460077,1460077
"America","Brazil","Brazil – Tocantins","TO",16279131,18811604,28640194,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920
"America","Colombia","Colombia","COL",181668070,222599419,333597375,449016597,688845778,808880012,929192721,1174895880,1443508481,1585560736,1731658567,2034012443,2346943180
"America","Costa Rica","Costa Rica","CRI",4690674,6032000,9698316,13658988,22149906,26649475,31346587,41491018,52851563,59072424,65682826,79978135,90711447
"America","Cuba","Cuba","CUB",3124274,4150271,6737482,9524254,15747769,19383912,23329167,32121489,37889980,37889980,37889980,37889980,37889980
"America","Dominica","Dominica","DMA",72343,102157,165393,235798,391702,473026,555609,724285,899431,990002,1082138,1269721,1463659
"America","Dominican Rep.","Dominican Rep.","DOM",3244973,4506909,7150616,9937760,15920708,19177691,22740259,31637771,31637771,31637771,31637771,31637771,31637771
"America","Ecuador","Ecuador","ECU",34207231,38379331,62729296,88990084,144556052,173885707,203867010,264960627,328063797,360717847,394152561,463082285,534243187
"America","El Salvador","El Salvador","SLV",381637,509795,780537,1056338,1610289,1883229,2150129,2658031,3104670,3104670,3104670,3104670,3104670
"America","French Guiana","French Guiana","GUF",2734470,4494298,6154462,7608847,10647125,12288431,13990570,17384449,20845043,22597274,24371539,27986954,31751073
"America","Grenada","Grenada","GRD",51558,94139,150365,212946,349442,404115,513345,513345,513345,513345,513345,513345,513345
"America","Guadeloupe","Guadeloupe","GLP",61815,99154,147918,196618,286708,333108,381056,478964,588428,649000,714368,866507,1048362
"America","Guatemala","Guatemala","GTM",16649349,22029067,33816466,46415160,73838565,88556183,104314361,117270134,117270134,117270134,117270134,117270134,117270134
"America","Guyana","Guyana","GUY",12847812,24088845,33749870,43178200,62171671,72090428,82133835,102531159,123405309,133945562,144532038,165804210,187186550
