"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG",6089,7611,15229,23907,43234,54698,54698,54698,54698,54698,54698,54698
"America","Bahamas","Bahamas","BHS",413811,646963,1001876,1359712,2054271,2197922,2197922,2197922,2197922,2197922,2197922,2197922
"America","Barbados","Barbados","BRB",7075,12378,21388,31308,48124,48124,48124,48124,48124,48124,48124,48124
"America","Belize","Belize","BLZ",5171143,7119815,10839247,14577912,22683195,27156728,31961061,42429308,54244833,60680448,65187183,65187183
"America","Bolivia","Bolivia","BOL",181645684,257384548,388460963,521161977,795252431,937751148,1083916993,1384499398,1690853110,1845731111,2001963330,2317706460
"America","Brazil","Brazil – Acre","AC",50337212,54787630,84178976,117808762,198745863,245202261,294178868,402340468,528558298,597514847,680890345,918172157
"America","Brazil","Brazil – Alagoas","AL",197594,293074,448733,1202243,2274138,2274138,2274138,2274138,2274138,2274138,2274138,2274138
"America","Brazil","Brazil – Amapa","AP",8976991,8888573,14390062,22007829,45169495,61237700,80855556,135864365,229593852,292496089,380961219,682117079
"America","Brazil","Brazil – Amazonas","AM",152772478,216951781,317699785,421117307,634846985,746372754,861188901,1100934683,1359553380,1497082207,1649418981,2024841844
"America","Brazil","Brazil – Bahia","BA",11480247,14293693,23017929,33947568,62759634,80817757,101396351,133895329,133895329,133895329,133895329,133895329
"America","Brazil","Brazil – Ceara","CE",471425,828245,1245256,2008496,2008496,2008496,2008496,2008496,2008496,2008496,2008496,2008496
"America","Brazil","Brazil – Espirito Santo","ES",1478808,2876134,4279177,6928547,19526103,20788900,20788900,20788900,20788900,20788900,20788900,20788900
"America","Brazil","Brazil – Goias","GO",2710372,3377012,4753984,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132
"America","Brazil","Brazil – Maranhao","MA",55106092,80486255,121205200,167544311,258249377,258249377,258249377,258249377,258249377,258249377,258249377,258249377
"America","Brazil","Brazil – Mato Grosso","MT",234932370,274597952,414461687,559575968,869951916,1036359921,1212115486,1596782435,2031481973,2266966443,2523347552,2820754889
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2561788,3259032,4981586,7439900,14462534,19431835,19431835,19431835,19431835,19431835,19431835,19431835
"America","Brazil","Brazil – Minas Gerais","MG",14453789,20885284,34257043,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172
"America","Brazil","Brazil – Para","PA",440505985,595512116,879940698,1168323291,1784386266,2109386148,2438845845,3126148620,3861350334,4246804364,4655435159,5574743215
"America","Brazil","Brazil – Paraiba","PB",65483,106616,154288,826043,894267,894267,894267,894267,894267,894267,894267,894267
