"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",4731,7146,14333,22066,37934,46342,48065,48065,48065,48065,48065,48065,48065
"America","Bahamas","Bahamas","BHS",229608,378082,552943,718634,1044246,1207634,1327464,1327464,1327464,1327464,1327464,1327464,1327464
"America","Barbados","Barbados","BRB",13232,23884,36980,52083,89197,92091,92091,92091,92091,92091,92091,92091,92091
"America","Belize","Belize","BLZ",6832263,9918439,14722829,19724735,30070306,35324639,40696236,51950057,63880034,70448669,70448669,70448669,70448669
"America","Bolivia","Bolivia","BOL",153229036,249546201,380090282,514928723,795053960,941249011,1091386049,1402660963,1725220965,1890592083,2059398035,2408748989,2773042535
"America","Brazil","Brazil – Acre","AC",49505916,72871439,111280325,152022030,246484850,299883960,358448973,486605271,622045281,694241881,774223490,997662395,1232678949
"America","Brazil","Brazil – Alagoas","AL",264073,423743,648592,1141724,3497921,3497921,3497921,3497921,3497921,3497921,3497921,3497921,3497921
"America","Brazil","Brazil – Amapa","AP",10032039,12947386,19891927,27795912,50253030,64940071,82830592,124972744,173078313,201015325,235569376,359920312,656245195
"America","Brazil","Brazil – Amazonas","AM",172514628,281053675,413594601,545722041,814899269,952623946,1092838000,1377799915,1668180580,1816945445,1971215192,2326186200,2819610801
"America","Brazil","Brazil – Bahia","BA",8386661,11127588,17741246,25300305,45075771,57202701,71354134,104567521,136774368,136774368,136774368,136774368,136774368
"America","Brazil","Brazil – Ceara","CE",214176,303301,441729,780414,995825,995825,995825,995825,995825,995825,995825,995825,995825
"America","Brazil","Brazil – Espirito Santo","ES",1834169,3023870,4465406,6424101,14579609,20738103,28281534,28281534,28281534,28281534,28281534,28281534,28281534
"America","Brazil","Brazil – Goias","GO",6699613,8925364,13406964,18209345,19392796,19392796,19392796,19392796,19392796,19392796,19392796,19392796,19392796
"America","Brazil","Brazil – Maranhao","MA",45038869,69519351,103437281,140249024,241402021,302966621,302966621,302966621,302966621,302966621,302966621,302966621,302966621
