"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",4731,2881,6361,10718,20124,25088,30067,40092,48065,48065,48065,48065,48065
"America","Bahamas","Bahamas","BHS",229608,249748,375587,493303,714383,822728,930277,1145466,1327464,1327464,1327464,1327464,1327464
"America","Barbados","Barbados","BRB",13232,13417,20563,28124,44217,53277,63266,85555,92091,92091,92091,92091,92091
"America","Belize","Belize","BLZ",6832263,7120701,10515298,13917314,21019840,24665699,28351632,35793132,43461809,47414672,51506018,59897034,68215773
"America","Bolivia","Bolivia","BOL",153229036,170630400,258913409,348852496,534793068,630148792,727364722,927782734,1135779970,1242435760,1350783167,1571464843,1796942700
"America","Brazil","Brazil – Acre","AC",49505916,63477784,96716401,130941495,203859329,244766380,287165589,378534475,481318724,534953720,588978659,700693891,827339102
"America","Brazil","Brazil – Alagoas","AL",264073,285821,432432,585255,1290134,2327726,3497921,3497921,3497921,3497921,3497921,3497921,3497921
"America","Brazil","Brazil – Amapa","AP",10032039,9931132,15287990,20717252,33116262,41310288,50080575,70998842,98636159,114011312,129669917,163591833,209768918
"America","Brazil","Brazil – Amazonas","AM",172514628,217285417,320713562,421635158,623373458,725845142,828613385,1037266210,1250704667,1359017899,1467707484,1687342407,1918311718
"America","Brazil","Brazil – Bahia","BA",8386661,7373801,11662168,16231750,26753959,33359982,40364487,56415999,76667581,88008890,99705935,124937787,136774368
"America","Brazil","Brazil – Ceara","CE",214176,214761,310062,404537,896196,995825,995825,995825,995825,995825,995825,995825,995825
"America","Brazil","Brazil – Espirito Santo","ES",1834169,1948355,2857910,3760995,6297311,8759632,11564998,19014517,28281534,28281534,28281534,28281534,28281534
"America","Brazil","Brazil – Goias","GO",6699613,6670135,10038447,13395685,19392796,19392796,19392796,19392796,19392796,19392796,19392796,19392796,19392796
"America","Brazil","Brazil – Maranhao","MA",45038869,48329995,72412473,95874468,147146077,178474349,219894784,302966621,302966621,302966621,302966621,302966621,302966621
"America","Brazil","Brazil – Mato Grosso","MT",247191901,281441618,429021328,580234569,892072794,1054037208,1219045932,1558214626,1918402881,2107937327,2303237519,2713595168,3157095377
"America","Brazil","Brazil – Mato Grosso do Sul","MS",4360067,4294449,6462284,8598939,13341053,16590150,20025621,28133444,35051095,35051095,35051095,35051095,35051095
"America","Brazil","Brazil – Minas Gerais","MG",24046346,27302344,42242916,58150282,92244003,92244003,92244003,92244003,92244003,92244003,92244003,92244003,92244003
"America","Brazil","Brazil – Para","PA",416679186,535997042,802185588,1071058241,1616448647,1898293565,2187322352,2781676844,3387050840,3693764203,4003946012,4636768247,5292189764
"America","Brazil","Brazil – Paraiba","PB",88276,98308,148678,197127,645856,1271688,1271688,1271688,1271688,1271688,1271688,1271688,1271688
"America","Brazil","Brazil – Parana","PR",13092874,14165694,20829368,27483073,41657095,49978402,58610458,77647362,100391750,112699294,125173187,151484440,182884257
"America","Brazil","Brazil – Pernambouco","PE",263878,307367,455817,604306,1261840,2187345,3334174,3970497,3970497,3970497,3970497,3970497,3970497
"America","Brazil","Brazil – Piaui","PI",590362,571077,863306,1161609,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1631338
"America","Brazil","Brazil – Rio de Janeiro","RJ",3321014,3455237,5212870,6986886,11558002,15438622,19747752,30865633,47673264,57758569,65841942,73653434,73653434
"America","Brazil","Brazil – Rio Grande do Norte","RN",63813,71782,105400,138348,455360,493578,493578,493578,493578,493578,493578,493578,493578
"America","Brazil","Brazil – Rio Grande do Sul","RS",5994603,6649050,9965621,13312551,20586104,25125507,29906183,40809613,54548535,62168057,69959621,86708097,108763352
"America","Brazil","Brazil – Rondonia","RO",152293002,188418328,277571810,366526535,552219858,649672861,749292392,957946685,1182271075,1298171118,1414563113,1648579833,1807845227
"America","Brazil","Brazil – Roraima","RR",68475799,79942703,118691522,157888532,239050504,281671630,323816846,409874514,498377723,542900125,587759895,682608373,790441072
"America","Brazil","Brazil – Santa Catarina","SC",8094099,8579586,12830693,17093699,26335548,32031927,37932190,51093901,67251397,76028109,84882810,103633160,127764657
"America","Brazil","Brazil – Sao Paulo","SP",9435257,9406180,14722717,20225446,32195794,39767883,47755530,65964459,89045442,101853895,114887232,142571483,178011615
"America","Brazil","Brazil – Sergipe","SE",174436,197869,287588,376558,886247,1703407,1703407,1703407,1703407,1703407,1703407,1703407,1703407
"America","Brazil","Brazil – Tocantins","TO",24105627,24193025,36774524,49935555,63509688,63509688,63509688,63509688,63509688,63509688,63509688,63509688,63509688
"America","Colombia","Colombia","COL",171784133,217536394,324974244,434389605,662209463,775979499,888777908,1117294574,1357504216,1484292735,1615569636,1888620998,2174990514
"America","Costa Rica","Costa Rica","CRI",5625162,5424057,8934750,12782353,21482014,26195859,31102790,41462555,52548185,58346189,64278811,76496292,89079860
"America","Cuba","Cuba","CUB",3091819,2687756,4425350,6249359,10156834,12157577,14199391,18485788,23038075,25415672,27856054,32821361,33515755
"America","Dominica","Dominica","DMA",72825,65851,103577,142270,224941,268131,312665,402380,491772,537023,582331,674592,771055
"America","Dominican Rep.","Dominican Rep.","DOM",6204633,6054987,9492343,13141655,20733461,24662633,28693196,37126721,46157198,50840518,55590128,56948950,56948950
"America","Ecuador","Ecuador","ECU",30826765,26498313,42691932,60190277,98890377,119504229,141016405,186676491,235274332,260438694,286172190,339528391,395911103
"America","El Salvador","El Salvador","SLV",505618,524353,773088,1016811,1503426,1745086,1984089,2450939,2884685,3087105,3282954,3631342,3631342
"America","French Guiana","French Guiana","GUF",2761034,3482682,5057302,6528738,9427052,10949910,12515186,15667767,18709216,20212955,21702049,24713510,27783692
"America","Grenada","Grenada","GRD",94319,93983,145138,193008,285254,331876,376737,469985,572120,572120,706014,706014,706014
"America","Guadeloupe","Guadeloupe","GLP",81865,107422,152210,199239,285098,328611,375031,471966,576214,631876,690438,818317,961621
"America","Guatemala","Guatemala","GTM",23684707,23997276,36778277,49602787,75113213,87966407,100907713,126844149,135597960,135597960,135597960,135597960,135597960
"America","Guyana","Guyana","GUY",11145161,16849924,23758743,30975489,45143003,52252056,59518740,74444275,89605265,97265904,105009555,120608895,136363621
"America","Haiti","Haiti","HTI",1232308,1291795,1955533,2634688,3969373,4024112,4024112,4024112,4024112,4024112,4024112,4024112,4024112
"America","Honduras","Honduras","HND",28298744,30572700,46893967,62847405,92881789,107446173,122191911,153023070,186338202,188246697,188246697,188246697,188246697
"America","Jamaica","Jamaica","JAM",1031988,1105352,1679429,2254728,3384414,3940693,4490010,5571649,6631185,7155768,7676908,8716292,9753127
"America","Martinique","Martinique","MTQ",74769,84444,119541,158641,239036,282227,326779,417143,512123,561413,611774,715684,824445
"America","Mexico","Mexico","MEX",46535524,47313197,71621978,96494179,146900834,171799262,196664200,247866312,283494423,283494423,283494423,283494423,283494423
"America","Montserrat","Montserrat","MSR",1597,1716,2518,3287,5164,6114,7099,9118,11089,12114,13135,15204,17309
"America","Nicaragua","Nicaragua","NIC",41399382,50975272,76866291,102340332,158452410,192791164,231755050,231755050,231755050,231755050,231755050,231755050,231755050
"America","Panama","Panama","PAN",11736007,14579159,21457104,28372059,42278855,49310651,56353297,70531691,84950819,92294809,99755364,115046520,130823867
"America","Paraguay","Paraguay","PRY",17284388,18613222,27981768,37532741,56447940,58591444,58591444,58591444,58591444,58591444,58591444,58591444,58591444
"America","Peru","Peru","PER",111401929,159907222,236981982,314567053,470473014,549135213,627960689,786225707,946085749,1026871410,1108249637,1272433380,1438223859
"America","Puerto Rico","Puerto Rico","PRI",1850840,1744343,2768120,3809574,5918343,7004721,8119169,10421002,12835299,14079692,15337474,17905311,19797442
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",8525,5324,9043,13586,23082,27898,33099,43640,54589,60301,66149,78146,90665
"America","Saint Lucia","Saint Lucia","LCA",63547,59040,91021,124202,192212,225740,260380,333487,409922,448891,488252,567569,648162
"America","Saint Martin","Saint Martin","MAF",4605,5084,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430
"America","Saint Vincent","Saint Vincent","VCT",20391,19986,30802,40655,60230,69816,79404,99030,119607,129896,140540,162458,185115
"America","Sint Maarten","Sint Maarten","SXM",2131,2152,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522
"America","Suriname","Suriname","SUR",11704493,15637322,22816590,29981403,43841501,50473065,57108672,70701297,84600965,91669390,98764559,113033052,127386534
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",1231319,1236535,1946975,2696178,4340366,5232067,6164513,8127632,10199534,11257174,12330271,14505407,16705179
"America","Venezuela","Venezuela","VEN",101926557,107295816,166697634,229052365,364275601,437165236,513122687,672241647,837484616,921638593,1006744267,1180325217,1357020857
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",33685,33110,53691,71530,71530,71530,71530,71530,71530,71530,71530,71530,71530
"America","Virgin Isl. US","Virgin Isl. US","VIR",54120,51308,78779,109091,169776,198065,225421,268578,268578,268578,268578,268578,268578
"Africa","Angola","Angola","AGO",50738557,52936666,82122407,112053601,173068936,204063197,235387840,298894350,365560490,401337806,440315809,493217302,493217302
"Africa","Benin","Benin","BEN",156529,159483,255063,423924,517258,517258,517258,517258,517258,517258,517258,517258,517258
"Africa","Burundi","Burundi","BDI",317516,355420,635117,933499,1559069,1884246,2216178,2885845,3315518,3877602,3877602,3877602,3877602
"Africa","Cameroon","Cameroon","CMR",57161117,61376859,96088541,132302910,208870012,249133314,290030803,373496206,458714276,502199035,546566662,637848244,731690762
"Africa","CAR","CAR","CAF",42131724,49960744,74992478,99960218,150013363,175316033,200919819,253122404,306863300,334437864,362502664,420044492,479375037
"Africa","Comoros","Comoros","COM",91280,79603,123757,167621,249781,292816,337770,428230,513559,557103,602136,692736,781922
"Africa","Congo","Congo","COG",36864365,55629346,80117128,105366341,161651523,191930609,222716141,286347752,351679522,385373858,419454979,488486748,559390923
"Africa","DRC","DRC","COD",614822931,734117356,1129529159,1539813011,2396359701,2843901645,3305003652,4272479021,5296020418,5823545970,6358822514,7444442472,8539625272
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2084486,3172537,4943215,6765752,10349378,12158455,13989401,17727912,21596243,23579785,25585648,29644124,33744684
"Africa","Ethiopia","Ethiopia","ETH",43741492,55081653,82918744,111379911,171936564,205338723,214295746,214295746,214295746,214295746,214295746,214295746,214295746
"Africa","Gabon","Gabon","GAB",10282581,13205110,19385708,25833469,39120098,46007497,53059762,67386912,81886167,89123724,96408748,111061232,125907630
"Africa","Gambia","Gambia","GMB",242357,122156,177453,230783,333844,385279,435421,537185,591387,591387,591387,591387,591387
"Africa","Ghana","Ghana","GHA",55381626,64519306,96555319,130416409,245729631,252020784,252020784,252020784,252020784,252020784,252020784,252020784,252020784
"Africa","Guinea","Guinea","GIN",18015299,22224365,34579873,47702085,56084230,56084230,56084230,56084230,56084230,56084230,56084230,56084230,56084230
"Africa","Guinea Bissau","Guinea Bissau","GNB",2047241,2073208,2919101,3774054,5516067,6431610,7390051,9503348,10214404,10214404,10214404,10214404,10214404
"Africa","Ivory Coast","Ivory Coast","CIV",133273136,149439960,252393822,319052431,319052431,319052431,319052431,319052431,319052431,319052431,319052431,319052431,319052431
"Africa","Kenya","Kenya","KEN",4677021,5602173,8347050,11128109,17017695,20092068,23251057,29816480,36555835,38105751,38105751,38105751,38105751
"Africa","Liberia","Liberia","LBR",47864882,45898157,71584300,99738175,164976675,201816240,241137639,328166832,425959108,478087114,531541657,641118188,754062674
"Africa","Madagascar","Madagascar","MDG",60668894,62371375,94850307,128143873,197701745,234421374,272654653,330993130,330993130,330993130,330993130,330993130,330993130
"Africa","Malawi","Malawi","MWI",1839515,1876923,2252853,2252853,2252853,2252853,2252853,2252853,2252853,2252853,2252853,2252853,2252853
"Africa","Mauritius","Mauritius","MUS",59108,63497,96448,129752,206072,248956,294466,392397,500172,557147,616111,737742,863093
"Africa","Mayotte","Mayotte","MYT",275150,283654,429024,558105,656224,656224,656224,656224,656224,656224,656224,656224,656224
"Africa","Nigeria","Nigeria","NGA",44580531,53729937,85318698,118605886,189597404,228134406,265210070,334012043,417524250,427624623,427624623,427624623,427624623
"Africa","Reunion","Reunion","REU",176611,184585,283670,386168,591880,697561,806363,1025760,1255863,1373669,1494814,1739691,1992937
