"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",28562,25167,43008,63192,105579,128296,152259,204085,244894,244894,244894,244894,244894
"America","Bahamas","Bahamas","BHS",705910,686756,1049547,1419108,2186142,2583619,2987091,3807732,4480519,4480519,4480519,4480519,4480519
"America","Barbados","Barbados","BRB",22532,26510,42797,59254,91337,108629,127634,170584,183106,183106,183106,183106,183106
"America","Belize","Belize","BLZ",10849502,11042697,16376680,21723642,32706229,38315775,44000306,55551302,67569102,73734990,80120497,93667982,107251162
"America","Bolivia","Bolivia","BOL",160239599,161937208,244249075,326745323,491843035,574208934,656843777,823573462,991952538,1076754709,1161940897,1332886190,1504545977
"America","Brazil","Brazil – Acre","AC",50864490,51171515,76710943,102178664,154728922,183134374,212094649,273057623,340013220,374853418,409925617,482293436,564479412
"America","Brazil","Brazil – Alagoas","AL",576338,572588,871787,1179242,2580135,4523518,6454761,6454761,6454761,6454761,6454761,6454761,6454761
"America","Brazil","Brazil – Amapa","AP",8763990,8846574,13483233,18093046,28374439,35005888,42000737,58215899,79050139,90534652,102216667,127389824,161408332
"America","Brazil","Brazil – Amazonas","AM",163422101,192638173,278953408,362450067,527525182,610715945,693917996,861582204,1032528930,1119528810,1207071598,1384877998,1572783114
"America","Brazil","Brazil – Bahia","BA",12833352,11918108,18490877,25201977,39747094,48500508,57601583,77894921,102708874,116290159,130113353,159606848,173730625
"America","Brazil","Brazil – Ceara","CE",330933,319435,469929,625416,1463493,1633934,1633934,1633934,1633934,1633934,1633934,1633934,1633934
"America","Brazil","Brazil – Espirito Santo","ES",2334907,2321369,3482181,4649013,7913701,11009365,14463681,23438370,34188848,34188848,34188848,34188848,34188848
"America","Brazil","Brazil – Goias","GO",7126872,7127351,10696071,14266393,20755399,20755399,20755399,20755399,20755399,20755399,20755399,20755399,20755399
"America","Brazil","Brazil – Maranhao","MA",49557059,50184215,73658703,96547389,144465799,172405839,205479900,262903192,262903192,262903192,262903192,262903192,262903192
