"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110","C2120","C2130","C2140","C2150"
"America","Antigua and B.","Antigua and B.","ATG",5367,393,1113,2260,5177,6926,8836,12928,17162,19305,21510,26036,30678,35429,40354,45670,51406
"America","Bahamas","Bahamas","BHS",352175,171396,235323,307126,461122,542947,628217,808008,998251,1096264,1195178,1398789,1608507,1818990,2025324,2172986,2172986
"America","Barbados","Barbados","BRB",6273,712,1319,2084,3811,4709,5639,7586,9734,10874,12105,14476,17131,19919,22755,25670,28563
"America","Belize","Belize","BLZ",5174120,3506672,5163261,6821406,9921975,11476503,13037119,16318846,19804109,21633678,23504562,27356251,31396012,35647013,40106190,44916214,50102162
"America","Bolivia","Bolivia","BOL",160735883,89765143,135000848,180101046,269637800,314590938,359896789,451370260,543764431,590352409,637347110,732581747,829308754,927353083,1026851200,1127829970,1230249934
"America","Brazil","Brazil – Acre","AC",48177042,39903039,60434623,80970545,123438407,145461183,167886445,214828186,263908518,289107536,314520597,365862680,419975859,476419002,536835520,605488800,687841864
"America","Brazil","Brazil – Alagoas","AL",157214,83155,128589,171857,256103,298914,341247,594487,1086824,1482956,2074306,2273097,2273097,2273097,2273097,2273097,2273097
"America","Brazil","Brazil – Amapa","AP",7160566,3456797,5466616,7552274,11855258,14095922,16398953,21748584,28025489,31595646,35346049,43391559,53461201,65789521,82562664,108978933,154621899
"America","Brazil","Brazil – Amazonas","AM",146602898,109575522,165459664,218745187,321031862,371833435,422227616,523267228,625303107,676994033,728964301,832770780,939225779,1048450715,1161861843,1283585137,1418943848
"America","Brazil","Brazil – Bahia","BA",8363856,4188236,6319739,8567208,13257599,15733222,18296928,24177138,30878658,34565376,38373201,46312646,55774023,66865436,80967535,101569280,135329871
"America","Brazil","Brazil – Ceara","CE",332894,195051,281759,362387,521225,612871,704498,1375131,2000367,2000367,2000367,2000367,2000367,2000367,2000367,2000367,2000367
"America","Brazil","Brazil – Espirito Santo","ES",995742,439092,635753,831396,1216821,1413176,1616466,2347277,3534522,4337473,5218506,7228636,10537155,15449317,20862703,20862703,20862703
"America","Brazil","Brazil – Goias","GO",2305355,1472618,2169292,2824712,4051433,4639773,5222820,5628117,5628117,5628117,5628117,5628117,5628117,5628117,5628117,5628117,5628117
"America","Brazil","Brazil – Maranhao","MA",42197698,24988497,36118535,47272751,69348830,80345269,91461465,114566297,140398351,155916438,175669974,258077574,258077574,258077574,258077574,258077574,258077574
"America","Brazil","Brazil – Mato Grosso","MT",232028062,176957027,266489263,357121196,541152349,634410588,729332137,926995076,1133950681,1241519192,1352158737,1583658061,1829819912,2088976709,2361900150,2649233187,2812158022
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2558039,2156226,3099308,4013542,5657535,6417453,7178407,8957299,11008125,12146687,13309488,15774853,19140164,19140164,19140164,19140164,19140164
"America","Brazil","Brazil – Minas Gerais","MG",12311049,6518682,9356975,12347000,18785134,22226590,25937842,35535022,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247
"America","Brazil","Brazil – Para","PA",427129882,390863752,573787936,752485107,1104801528,1280504556,1458578455,1828901280,2218763268,2417239576,2616892029,3021599934,3438441268,3868360235,4313603542,4778114786,5268366468
"America","Brazil","Brazil – Paraiba","PB",63369,38762,50828,61257,81554,91692,102968,293822,722847,883004,883004,883004,883004,883004,883004,883004,883004
"America","Brazil","Brazil – Parana","PR",11893114,7458331,10680900,13880039,20276803,23499798,26732292,33722255,41416196,45559261,49826448,58691171,69030682,81035364,96283111,119200832,154938960
"America","Brazil","Brazil – Pernambouco","PE",197747,105499,149339,192560,282456,327184,370913,644649,1158205,1534790,1970422,2996791,2996791,2996791,2996791,2996791,2996791
"America","Brazil","Brazil – Piaui","PI",813160,340785,508997,711722,1106523,1294177,1481250,2170873,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741
"America","Brazil","Brazil – Rio de Janeiro","RJ",1707418,277077,449308,644200,1065431,1298869,1532137,2410974,3847126,4818958,5898675,8333960,12203687,17771301,26779454,44021229,52746949
"America","Brazil","Brazil – Rio Grande do Norte","RN",38699,28701,43257,55847,82012,94190,106688,278875,379162,379162,379162,379162,379162,379162,379162,379162,379162
"America","Brazil","Brazil – Rio Grande do Sul","RS",4823721,2682085,3978232,5309588,8086701,9528953,11007173,14403662,18406848,20687843,23101020,28309002,34742990,42579184,52917095,68617916,95859722
"America","Brazil","Brazil – Rondonia","RO",127749844,109815206,158916585,206574228,304846756,358699269,415619923,538255142,667223456,734293308,802522525,941469833,1085989197,1236051182,1334345999,1334345999,1334345999
"America","Brazil","Brazil – Roraima","RR",55421224,19830151,29675550,39588435,58978908,68506102,77894156,97143773,117493314,128043519,138646396,160001282,183212640,208113414,235957850,270853169,318151358
"America","Brazil","Brazil – Santa Catarina","SC",8051343,5487857,8261752,11064446,16734618,19602658,22485193,28821462,35827800,39624506,43524268,51626853,61205307,72364663,86404247,106540228,138243406
"America","Brazil","Brazil – Sao Paulo","SP",5535277,1536094,2360688,3320270,5913857,7478474,9171643,13368705,18522896,21498719,24636695,31346698,39751423,49955583,63394128,83569390,115987398
"America","Brazil","Brazil – Sergipe","SE",145426,39076,58900,79043,122791,145774,169430,408617,935866,1398437,1460077,1460077,1460077,1460077,1460077,1460077,1460077
"America","Brazil","Brazil – Tocantins","TO",16279131,8642105,11893232,15272830,22316196,26264591,31077331,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920,34127920
"America","Colombia","Colombia","COL",181668070,157315090,235416948,314907072,481019100,567164468,653603929,825802027,998183434,1085568198,1175586708,1365626711,1566768289,1776299431,1992664059,2214905858,2441285491
"America","Costa Rica","Costa Rica","CRI",4690674,2503440,3975710,5535963,8935189,10748022,12622071,16506389,20541853,22609555,24720308,29061014,33597192,38357956,43367452,48658067,54251289
"America","Cuba","Cuba","CUB",3124274,1182314,2037376,2932351,4791471,5763465,6770882,8860145,11049543,12191922,13370177,15876918,18607439,21524034,24601242,27855008,31287845
