"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",5367,401,1114,2264,5214,6974,8870,12968,17189,19324,21540,26063,30688
"America","Bahamas","Bahamas","BHS",352175,171862,236041,307812,461823,543652,628938,808814,999002,1096955,1195769,1399350,1608924
"America","Barbados","Barbados","BRB",6273,724,1348,2121,3861,4740,5680,7634,9784,10941,12152,14558,17199
"America","Belize","Belize","BLZ",5174120,3536323,5193241,6848802,9956327,11514759,13077965,16358499,19839647,21667753,23537498,27383536,31417819
"America","Bolivia","Bolivia","BOL",160735883,91415316,136835730,181878939,271407375,316342177,361595280,452978876,545300050,591834340,638773285,733925033,830558036
"America","Brazil","Brazil – Acre","AC",48177042,41299721,61731507,82227968,124475134,146352543,168649017,215360479,264255932,289389034,314748071,366021893,420094580
"America","Brazil","Brazil – Alagoas","AL",157214,84292,130064,173412,257819,300574,342844,595879,1087635,1483388,2074306,2273097,2273097
"America","Brazil","Brazil – Amapa","AP",7160566,3715809,5777954,7925168,12293921,14554039,16886564,22266460,28554820,32112237,35854640,43870380,53892117
"America","Brazil","Brazil – Amazonas","AM",146602898,118326676,173042642,225730722,327684123,378191437,428470392,529109942,630715452,682173243,733889641,837546566,943658004
"America","Brazil","Brazil – Bahia","BA",8363856,4223022,6369465,8625440,13327042,15808797,18379392,24266643,30967193,34655617,38459573,46389923,55843951
"America","Brazil","Brazil – Ceara","CE",332894,196859,283217,364174,522712,614235,706337,1375882,2000367,2000367,2000367,2000367,2000367
"America","Brazil","Brazil – Espirito Santo","ES",995742,446948,644509,839939,1225700,1421221,1624868,2356138,3543597,4346180,5226968,7237511,10544768
"America","Brazil","Brazil – Goias","GO",2305355,1482872,2177655,2831277,4054614,4641370,5223160,5628117,5628117,5628117,5628117,5628117,5628117
"America","Brazil","Brazil – Maranhao","MA",42197698,25126793,36252975,47390578,69444703,80434984,91538307,114615278,140424813,155936733,175669974,258077574,258077574
"America","Brazil","Brazil – Mato Grosso","MT",232028062,178519574,268031939,358643482,542638753,635841333,730725255,928276043,1135118125,1242620259,1353222227,1584586673,1830569189
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2558039,2175624,3120694,4033728,5676153,6436683,7196813,8974674,11021810,12157727,13318009,15778202,19140164
"America","Brazil","Brazil – Minas Gerais","MG",12311049,6544088,9383509,12372690,18804519,22241682,25949960,35541794,43661247,43661247,43661247,43661247,43661247
"America","Brazil","Brazil – Para","PA",427129882,397677593,580226245,758204079,1109345802,1284445893,1462022187,1831683122,2221238782,2419665988,2619328694,3024063251,3440860257
"America","Brazil","Brazil – Paraiba","PB",63369,39031,51160,61561,82123,92287,103500,294612,722946,883004,883004,883004,883004
"America","Brazil","Brazil – Parana","PR",11893114,7575301,10816475,14027981,20440859,23662288,26892691,33878466,41564961,45702981,49961757,58810590,69126053
