"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","Antigua and B.","Antigua and B.","ATG",28562,6628,12810,19795,34412,42273,50601,67939,85556,94612,103851,122978,143026
"America","Bahamas","Bahamas","BHS",705910,333927,500877,673437,1028999,1210027,1391418,1760758,2141958,2335657,2530962,2926199,3326557
"America","Barbados","Barbados","BRB",22532,5857,9549,13400,21457,25974,30518,39782,48984,53535,58218,67356,76201
"America","Belize","Belize","BLZ",10849502,6580826,9783985,12976672,19214700,22397718,25595080,32102861,38712906,42058781,45418963,52202875,59143224
"America","Bolivia","Bolivia","BOL",160239599,89005900,133909443,179217525,270278941,315881503,361543466,452801507,543856224,589387277,635046954,726829626,819161911
"America","Brazil","Brazil – Acre","AC",50864490,43845668,65770583,87625268,131422890,153491813,175653413,221393870,268819704,293185029,317793846,367586140,420113382
"America","Brazil","Brazil – Alagoas","AL",576338,301219,452396,607064,925336,1088773,1252276,2177829,3808723,4939541,6178374,6454761,6454761
"America","Brazil","Brazil – Amapa","AP",8763990,6235521,9540084,12868671,19492740,22826742,26180363,33664730,42096214,46735113,51511470,61433879,73341657
"America","Brazil","Brazil – Amazonas","AM",163422101,137192278,199745651,259701279,375752937,433082862,489688279,602872370,716330753,773362344,830433396,943910065,1059596274
"America","Brazil","Brazil – Bahia","BA",12833352,6351625,9872960,13502378,20926593,24699401,28494822,36856564,46058902,51030471,56109103,66574163,78889341
"America","Brazil","Brazil – Ceara","CE",330933,177123,258541,340762,501574,586104,669675,1218839,1633934,1633934,1633934,1633934,1633934
"America","Brazil","Brazil – Espirito Santo","ES",2334907,952506,1424781,1895773,2841104,3315827,3790404,5417565,7824247,9382003,11052632,14676460,20129319
"America","Brazil","Brazil – Goias","GO",7126872,4733536,7115507,9490982,14242447,16619305,18972187,20755399,20755399,20755399,20755399,20755399,20755399
"America","Brazil","Brazil – Maranhao","MA",49557059,29213278,42635914,55973475,82025023,94872721,107804638,134741671,164537567,181287124,200014484,262903192,262903192
"America","Brazil","Brazil – Mato Grosso","MT",257217203,206147244,309721854,413691132,622461353,727702449,834107320,1050953818,1272234128,1385034905,1499558810,1735266614,1983152650
"America","Brazil","Brazil – Mato Grosso do Sul","MS",5088918,3564829,5398861,7293013,11162951,13106139,15059058,19552246,24682821,27525035,30447574,36550292,43127911
"America","Brazil","Brazil – Minas Gerais","MG",22992007,12152879,18371941,24600998,37195497,43599925,50138056,64492904,74559226,74559226,74559226,74559226,74559226
"America","Brazil","Brazil – Para","PA",414046149,358210421,535370277,711042438,1060849397,1235289744,1410478194,1766147117,2129719653,2313092179,2496454156,2865843820,3243078607
"America","Brazil","Brazil – Paraiba","PB",220287,100675,148166,195964,288185,332126,375239,1049197,2469340,2837994,2837994,2837994,2837994
"America","Brazil","Brazil – Parana","PR",16777312,11036441,16493344,21952275,32866416,38320897,43790216,55472954,67981608,74584380,81278779,94878741,110197294
"America","Brazil","Brazil – Pernambouco","PE",629334,309495,459730,609204,913833,1067513,1222731,2148827,3802399,4969438,6261101,8624668,8624668
"America","Brazil","Brazil – Piaui","PI",990750,420075,635684,851965,1280397,1495320,1711084,2577725,2762571,2762571,2762571,2762571,2762571
"America","Brazil","Brazil – Rio de Janeiro","RJ",3386460,948923,1428744,1907876,2868818,3351425,3834272,5520645,7979734,9534217,11177936,14683301,19903586
"America","Brazil","Brazil – Rio Grande do Norte","RN",168618,104646,159344,211737,321914,377920,433290,1086553,1345560,1345560,1345560,1345560,1345560
