"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Antigua and B.","Antigua and B.","ATG",4088,3896,3610,3384,3081,16,55,24,87,55,1.6,2531,2256,1981,1431,1156,881,331,0,0,0,0,2076
"America","Bahamas","Bahamas","BHS",161577,134184,122111,112708,103203,526,2044,1013,3075,2044,1.8,82763,72543,62323,41883,31663,21443,1003,0,0,0,0,2070
"America","Barbados","Barbados","BRB",4452,4385,4110,3624,3401,26,73,21,125,73,1.9,2671,2306,1941,1211,846,481,0,0,0,0,0,2066
"America","Belize","Belize","BLZ",1430522,1380205,1337190,1262609,1205720,2485,12735,7865,17605,12735,1,1078370,1014695,951020,823670,759995,696320,568970,441620,377945,314270,186920,2114
"America","Bolivia","Bolivia","BOL",32808890,31629721,30657194,29421550,28671417,38769,203506,127518,279493,203506,0.7,26636357,25618827,24601297,22566237,21548707,20531177,18496117,16461057,15443527,14425997,12390937,2160
"America","Brazil","Brazil – Acre","AC",13907003,13553719,13292238,13062928,12823900,3500,48076,41217,54936,48076,0.4,12343140,12102760,11862380,11339871,11061815,10754026,10121696,9464541,9119417,8731861,7888100,2145
"America","Brazil","Brazil – Alagoas","AL",115984,105638,100121,93780,88761,238,1196,730,1663,1196,1.3,76801,70821,64841,11132,0,0,0,0,0,0,0,2052
"America","Brazil","Brazil – Amapa","AP",11752964,11661118,11589265,11516999,11456940,1616,14934,11766,18101,14934,0.1,11307600,11232930,11158260,10967171,10854825,10712746,10411836,10086101,9906687,9684840,9172500,2156
"America","Brazil","Brazil – Amazonas","AM",148268193,147609600,146955646,146340118,145361330,23691,164083,117648,210518,164083,0.1,143720500,142900085,142079670,140397091,139539000,138651176,136858776,135041551,134116392,133148800,131144970,2237
"America","Brazil","Brazil – Bahia","BA",2603630,2283615,2127338,2033995,1912131,3904,21697,14044,29350,21697,1.1,1695161,1586676,1478191,1219472,1073311,897417,528877,135512,0,0,0,2084
"America","Brazil","Brazil – Ceara","CE",61561,56001,51770,44331,41085,282,1085,532,1638,1085,2.3,30235,24810,19385,0,0,0,0,0,0,0,0,2045
"America","Brazil","Brazil – Espirito Santo","ES",514391,446810,427797,408682,384976,1410,4322,1557,7086,4322,1.1,341756,320146,298536,213568,154282,65262,0,0,0,0,0,2064
"America","Brazil","Brazil – Goias","GO",667396,566579,492122,417649,348116,2313,15302,10767,19836,15302,3.7,195096,118586,42076,0,0,0,0,0,0,0,0,2043
"America","Brazil","Brazil – Maranhao","MA",5820307,4907469,4139310,3637882,3269004,17299,94108,60201,128015,94108,2.5,2327924,1857384,1386844,404015,0,0,0,0,0,0,0,2055
"America","Brazil","Brazil – Mato Grosso","MT",40560419,35759262,33453901,31909819,30421852,33768,304774,238587,370960,304774,1,27374112,25850242,24326372,21236883,19675338,18084058,14884748,11660613,10031999,8360953,4950213,2114
"America","Brazil","Brazil – Mato Grosso do Sul","MS",883347,800341,746191,699018,656525,1136,9597,7370,11823,9597,1.4,560555,512570,464585,326866,241205,125810,0,0,0,0,0,2066
"America","Brazil","Brazil – Minas Gerais","MG",1898241,1521840,1304244,1057802,927416,7017,40576,26822,54330,40576,3.7,521656,318776,115896,0,0,0,0,0,0,0,0,2043
"America","Brazil","Brazil – Para","PA",100602441,96196646,92329386,90205419,87854103,41053,480627,400164,561091,480627,0.5,83047833,80644698,78241563,73393544,70952733,68482188,63524349,58541683,56033805,53483493,48314223,2170
"America","Brazil","Brazil – Paraiba","PB",47775,43755,41571,39517,38201,97,343,154,532,343,0.9,34771,33056,31341,0,0,0,0,0,0,0,0,2048
"America","Brazil","Brazil – Parana","PR",3260607,2935439,2701910,2544051,2454955,3499,26604,19747,33462,26604,1,2188915,2055895,1922875,1615086,1444390,1243961,826351,383916,146152,0,0,2088
"America","Brazil","Brazil – Pernambouco","PE",143678,129041,121245,113410,109602,281,1233,683,1783,1233,1.1,97272,91107,84942,30863,0,0,0,0,0,0,0,2055
"America","Brazil","Brazil – Piaui","PI",111186,93858,80078,65248,54000,654,2690,1408,3971,2690,4,27100,13650,200,0,0,0,0,0,0,0,0,2041
"America","Brazil","Brazil – Rio de Janeiro","RJ",837693,782969,747498,704782,690662,1642,5792,2574,9009,5792,0.8,632742,603782,574822,475153,408517,312147,102657,0,0,0,0,2075
"America","Brazil","Brazil – Rio Grande do Norte","RN",32473,28177,25817,23795,22471,76,335,185,484,335,1.4,19121,17446,15771,0,0,0,0,0,0,0,0,2045
"America","Brazil","Brazil – Rio Grande do Sul","RS",2586364,2414616,2228175,2127260,2063991,6507,23907,11154,36660,23907,1.1,1824921,1705386,1585851,1305032,1147821,960876,570236,154771,0,0,0,2084
"America","Brazil","Brazil – Rondonia","RO",16553658,14786157,13841285,13213886,12506829,13802,134715,107663,161768,134715,1,11159679,10486104,9812529,8423630,7712379,6971394,5472675,3949129,3170811,2350059,639909,2104
"America","Brazil","Brazil – Roraima","RR",16747771,16439654,16250552,16095866,15523023,21985,60430,17340,103521,60430,0.4,14918723,14616573,14314423,13668374,13328549,12958989,12203119,11422424,11015530,10566204,9598904,2150
"America","Brazil","Brazil – Santa Catarina","SC",2997830,2705430,2510129,2409351,2339719,2292,19694,15202,24186,19694,0.8,2142779,2044309,1945839,1707150,1571004,1405124,1056615,683279,480066,234419,0,2095
"America","Brazil","Brazil – Sao Paulo","SP",3071448,2881552,2795470,2688417,2644314,2832,15839,10289,21389,15839,0.6,2485924,2406729,2327534,2127395,2010525,1863920,1553960,1219175,1035236,808865,287475,2105
"America","Brazil","Brazil – Sergipe","SE",75640,68152,62689,58368,55226,224,794,355,1234,794,1.3,47286,43316,39346,0,0,0,0,0,0,0,0,2049
"America","Brazil","Brazil – Tocantins","TO",1770972,1581455,1368198,1157649,932765,9001,44567,26926,62209,44567,3.9,487095,264260,41425,0,0,0,0,0,0,0,0,2041
"America","Colombia","Colombia","COL",70288882,68461983,67016729,65435709,64205391,18215,295620,259919,331320,295620,0.5,61249191,59771091,58292991,55336791,53858691,52380591,49424391,46468191,44990091,43511991,40555791,2237
"America","Costa Rica","Costa Rica","CRI",2432832,2356545,2289463,2178989,2117271,2033,18618,14633,22604,18618,0.8,1931091,1838001,1744911,1558731,1465641,1372551,1186371,1000191,907101,814011,627831,2133
"America","Cuba","Cuba","CUB",1566658,1446283,1334451,1273577,1203791,2561,15251,10232,20270,15251,1.2,1051281,975026,898771,746261,670006,593751,441241,288731,212476,136221,0,2098
"America","Dominica","Dominica","DMA",70674,70565,70000,69111,67462,65,220,93,347,220,0.3,65262,64162,63062,60862,59762,58662,56462,54262,53162,52062,49862,2326
"America","Dominican Rep.","Dominican Rep.","DOM",1266228,1142089,1017578,911636,866469,3001,15492,9610,21373,15492,1.6,711549,634089,556629,401709,324249,246789,91869,0,0,0,0,2075
"America","Ecuador","Ecuador","ECU",15490598,15235859,14964214,14662498,14380353,9226,62028,43944,80111,62028,0.4,13760073,13449933,13139793,12519513,12209373,11899233,11278953,10658673,10348533,10038393,9418113,2251
"America","El Salvador","El Salvador","SLV",132516,119075,110921,103620,96781,236,1619,1157,2081,1619,1.6,80591,72496,64401,48211,40116,32021,15831,0,0,0,0,2079
