"area_cont","area_ctry","area_name","area_code","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"Africa","Angola","Angola","AGO",-0.125,NA,-0.0805,-0.0624,-3.08,-3.05,NA,-0.231,-0.133,3.78
"Africa","Burundi","Burundi","BDI",-1.01,-1.86,-0.624,NA,-1.66,-4.01,-0.143,-0.0778,-0.0351,5.06
"Africa","Benin","Benin","BEN",1.96,-0.218,NA,-0.158,-0.474,-1.17,0.00945,NA,NA,6.73
"Africa","CAR","CAR","CAF",-0.998,NA,NA,-0.0208,-4.83,-3.85,-0.122,-0.0862,-0.273,4.27
"Africa","Ivory Coast","Ivory Coast","CIV",-0.12,NA,NA,-0.143,-1.59,-1.15,NA,NA,-0.00625,2.37
"Africa","Cameroon","Cameroon","CMR",-0.583,-0.933,-0.036,-0.172,-1.31,-3.26,-0.0467,-0.449,-0.232,5.74
"Africa","DRC","DRC","COD",-3.95,-0.261,NA,NA,-5.03,-6.07,NA,-0.368,-0.206,3.74
"Africa","Congo","Congo","COG",-2.37,-0.112,-0.0756,-0.0222,-0.877,-5.93,-0.0164,-0.708,-0.325,9.55
"Africa","Comoros","Comoros","COM",-2.58,-0.038,NA,-0.293,NA,-8.68,NA,NA,NA,6.22
"Africa","Ethiopia","Ethiopia","ETH",-0.775,-0.241,-0.16,-0.215,-0.919,-2.17,NA,-0.0556,-0.157,3.28
"Africa","Gabon","Gabon","GAB",-2.48,-0.206,-0.532,-0.246,-1.03,-4.75,-0.0244,-0.72,-0.128,14.8
"Africa","Ghana","Ghana","GHA",0.298,-0.174,-0.177,-0.131,-0.636,-1.98,NA,-0.0934,-0.0645,2.11
"Africa","Guinea","Guinea","GIN",-0.935,-0.272,-0.0269,NA,-4.17,-2.58,NA,-0.0733,NA,2.14
"Africa","Gambia","Gambia","GMB",0.626,NA,NA,-0.11,-0.517,-0.713,NA,-0.341,NA,3.98
"Africa","Guinea Bissau","Guinea Bissau","GNB",0.665,-0.502,NA,NA,-1.24,-0.966,NA,-0.0386,-0.1,5.2
"Africa","Eq. Guinea","Eq. Guinea","GNQ",-0.98,-0.368,-0.412,-0.382,-0.156,-2.05,-0.117,-1.07,-0.122,10.6
"Africa","Kenya","Kenya","KEN",-0.95,-0.0734,-0.611,-0.0329,-0.68,-2.18,-0.126,NA,-0.145,6.55
"Africa","Liberia","Liberia","LBR",-1.37,-0.347,NA,-0.17,-1.33,-2.87,NA,-0.279,-0.273,1.7
"Africa","Madagascar","Madagascar","MDG",-1.45,-0.393,-0.439,-0.155,-2.24,-1.38,NA,NA,-0.0326,3.32
"Africa","Mauritius","Mauritius","MUS",-1.49,-0.486,-0.154,-0.128,-0.688,-3.85,0.000323,-0.0831,0.000985,0.87
"Africa","Malawi","Malawi","MWI",-0.0196,-0.428,-0.265,-0.128,-0.698,-0.24,-0.114,-0.54,-0.107,13.8
"Africa","Mayotte","Mayotte","MYT",-0.399,-1.32,NA,NA,-0.738,-1.76,-0.0996,NA,-0.0268,1.06
"Africa","Nigeria","Nigeria","NGA",0.563,NA,NA,-0.0561,-1.58,-1.13,NA,-0.255,NA,5.01
"Africa","Reunion","Reunion","REU",-1.01,-0.391,NA,-0.301,-0.207,-3.82,NA,-0.0699,NA,2.23
"Africa","Rwanda","Rwanda","RWA",-3.08,-0.808,-0.524,-0.139,-1.79,-6.26,-0.0241,-0.278,-0.0317,3.46
"Africa","Senegal","Senegal","SEN",0.698,-0.0804,NA,-0.0476,-0.626,-0.474,NA,NA,NA,8.3
"Africa","Sierra Leone","Sierra Leone","SLE",-0.577,-0.231,NA,NA,-1.75,-1.26,NA,-0.116,-0.0151,1.12
"Africa","South Sudan","South Sudan","SSD",1.15,NA,-0.283,NA,-0.284,-0.533,NA,-0.0662,-0.125,3.79
"Africa","Togo","Togo","TGO",1.3,-0.751,-0.123,-0.117,-0.406,-0.53,NA,-0.173,NA,2.97
"Africa","Tanzania","Tanzania","TZA",-0.274,-0.553,-0.253,-0.0459,-0.977,-3.09,-0.0819,-0.248,NA,5.32
"Africa","Uganda","Uganda","UGA",-1.65,-0.952,NA,NA,-3.01,-2.61,NA,-0.079,-0.109,4.83
"Africa","Zambia","Zambia","ZMB",-0.422,-0.196,NA,-0.0505,-1.16,-0.499,NA,-0.00755,-0.102,8.34
"America","Antigua and B.","Antigua and B.","ATG",0.599,-0.259,-0.247,NA,-0.719,-1.09,NA,NA,NA,10
"America","Bahamas","Bahamas","BHS",-1.01,NA,NA,-0.0496,-1.89,-0.616,NA,NA,-0.0827,6.93
"America","Belize","Belize","BLZ",-1.3,-0.828,-0.0204,-0.323,-1.56,-1.71,NA,-0.169,-0.301,6.64
"America","Bolivia","Bolivia","BOL",-0.717,-0.204,-0.303,-0.122,-0.684,-3.43,-0.0467,-0.333,NA,5.08
"America","Barbados","Barbados","BRB",-0.477,-0.277,-0.484,-0.0669,-0.308,-1.56,NA,NA,NA,0.727
"America","Colombia","Colombia","COL",-3.48,-0.535,-0.687,-0.31,-4.21,-3.72,NA,-0.817,-0.286,5.32
"America","Costa Rica","Costa Rica","CRI",-2.99,NA,-0.0308,-0.37,-2.33,-6.03,-0.0314,-0.0602,-0.0856,2.09
"America","Cuba","Cuba","CUB",-0.308,-0.0773,-0.131,-0.0636,-0.681,-0.93,NA,-0.147,NA,5.7
"America","Dominica","Dominica","DMA",-1.04,NA,-0.258,-0.221,-0.809,-2.36,NA,NA,-0.228,2.16
"America","Dominican Rep.","Dominican Rep.","DOM",-0.211,-0.357,-0.392,-0.0288,-1.11,-1.41,-0.0208,NA,NA,2.67
"America","Ecuador","Ecuador","ECU",-4.29,-0.867,-0.124,-0.359,-1.11,-11.5,NA,-0.455,-0.159,2.47
"America","Guadeloupe","Guadeloupe","GLP",-3.98,NA,-0.52,NA,-2.12,-7.09,-0.0118,-0.0387,-0.092,3.11
"America","Grenada","Grenada","GRD",-0.599,-0.287,-0.991,NA,-1.61,-1.9,NA,-0.232,NA,5.78
"America","Guatemala","Guatemala","GTM",-0.312,-0.172,-0.377,-0.234,-0.796,-1.16,-0.15,-0.156,-0.00229,2.7
"America","French Guiana","French Guiana","GUF",-1.94,-1.07,-0.635,-0.0249,-1.43,-3.16,NA,-0.894,-0.73,21.4
"America","Guyana","Guyana","GUY",-1.75,-0.475,-0.553,-0.181,-0.736,-3.92,NA,-0.221,-0.391,9.98
"America","Honduras","Honduras","HND",-1.05,-0.403,-0.776,-0.286,-0.529,-1.35,-0.000544,NA,NA,3.58
"America","Haiti","Haiti","HTI",-0.0874,-0.152,NA,-0.131,-0.437,-0.916,-0.0894,-0.124,-0.0277,2.84
"America","Jamaica","Jamaica","JAM",-1.32,-0.0434,-0.323,-0.0904,-1.95,-3.47,0.00108,-0.0672,-0.119,2.57
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",-1.33,-0.137,-0.924,-0.405,-0.0321,-1.22,NA,NA,NA,5.78
"America","Saint Lucia","Saint Lucia","LCA",-1.35,NA,-0.278,-0.152,-0.766,-3.29,NA,-0.044,-0.0771,3.9
"America","Saint Martin","Saint Martin","MAF",-0.505,-1.18,NA,-0.334,-0.249,-0.609,NA,NA,NA,7.7
"America","Mexico","Mexico","MEX",-0.773,-0.328,-0.185,-0.257,-0.746,-1.6,NA,-0.0564,NA,3.6
"America","Montserrat","Montserrat","MSR",-6.51,NA,-0.243,NA,-1.47,-5.27,-0.329,NA,NA,7.12
"America","Martinique","Martinique","MTQ",-1.75,-0.124,-0.392,-0.213,-1.27,-4.94,-0.0113,-0.0198,-0.00576,1.85
"America","Nicaragua","Nicaragua","NIC",-1.14,NA,-0.299,-0.0919,-0.584,-1.44,NA,-0.178,NA,3.45
"America","Panama","Panama","PAN",-2.23,-0.344,-0.147,-0.23,-2.31,-3.58,NA,-0.521,NA,3.17
"America","Peru","Peru","PER",-2.36,-0.684,-0.549,-0.338,-2.94,-4.88,-0.00804,-0.531,-0.457,4.98
"America","Puerto Rico","Puerto Rico","PRI",-0.0337,NA,-0.264,-0.09,-0.65,-0.741,NA,NA,-0.0607,2.47
"America","Paraguay","Paraguay","PRY",-0.497,-0.167,-0.117,-0.182,-0.673,-0.394,NA,-0.0582,NA,3.46
"America","El Salvador","El Salvador","SLV",-0.0768,-0.426,-0.322,-0.172,-0.766,-1.57,-0.0122,-0.0678,-0.111,5.86
"America","Suriname","Suriname","SUR",-1.38,-0.171,-0.584,NA,-0.716,-1.23,NA,-0.553,-0.51,14.2
"America","Sint Maarten","Sint Maarten","SXM",-0.0324,NA,NA,-0.533,-0.629,-0.461,-0.523,-0.186,-0.29,30.4
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",-2.84,-0.292,-0.0828,-0.0321,-2.42,-5.56,0.0108,-0.0737,-0.163,1.79
"America","Saint Vincent","Saint Vincent","VCT",-0.339,NA,-0.806,-0.14,-1.79,-1.17,NA,-0.0983,NA,2.32
"America","Venezuela","Venezuela","VEN",-3.16,-0.12,-0.378,-0.109,-1.66,-7.35,-0.0904,-0.444,-0.356,5.86
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",0.511,NA,-0.386,NA,-1.05,-0.937,NA,NA,NA,12.9
"America","Virgin Isl. US","Virgin Isl. US","VIR",0.00802,-0.0374,NA,-0.127,-0.162,-0.647,NA,-0.0369,NA,6.46
"Asia","Australia","Australia – Queensland","QLD",-1.06,-0.428,NA,-0.0877,-0.794,-2.6,NA,-0.0253,NA,5.39
"Asia","Bangladesh","Bangladesh","BGD",-0.323,-0.511,-0.0997,-0.143,-0.625,-1.33,NA,-0.185,-0.0237,4.13
"Asia","Brunei","Brunei","BRN",-0.491,-1.1,-0.863,-0.353,-2.1,-0.404,NA,-0.744,-0.256,16
"Asia","Bhutan","Bhutan","BTN",-1.22,-0.00877,-0.0329,-0.00863,-6.34,-1.58,-0.0242,-0.0664,NA,0.821
"Asia","Fiji","Fiji","FJI",-2.03,-0.381,-0.454,-0.125,NA,-5.28,NA,-0.199,-0.0516,5.34
"Asia","Indonesia","Indonesia","IDN",-1.29,-0.738,-0.378,-0.541,-1.16,-2.09,NA,-0.389,-0.115,7.26
"Asia","India","India – Andaman and N.","AN",-6.39,0.0286,-0.0802,-0.175,-0.096,-19.1,0.0253,-0.102,0.0288,4.33
