"area_cont","area_ctry","area_name","area_code","for2010","Mean","Sd","CI_low","CI_high"
"America","Antigua and B.","Antigua and B.","ATG",3552,-0.71,0.232,-1.18,-0.257
"America","Bahamas","Bahamas","BHS",114614,NA,NA,NA,NA
"America","Barbados","Barbados","BRB",4023,-0.323,0.172,-0.667,0.0327
"America","Belize","Belize","BLZ",1328061,-0.653,0.116,-0.876,-0.425
"America","Bolivia","Bolivia","BOL",30484770,-0.163,0.0653,-0.296,-0.033
"America","Brazil","Brazil – Acre","AC",13307205,-0.631,0.0988,-0.834,-0.432
"America","Brazil","Brazil – Alagoas","AL",97777,-0.192,0.103,-0.401,0.00841
"America","Brazil","Brazil – Amapa","AP",11564911,-0.126,0.105,-0.347,0.0732
"America","Brazil","Brazil – Amazonas","AM",146852228,-0.806,0.0596,-0.925,-0.692
"America","Brazil","Brazil – Bahia","BA",2097105,-0.213,0.075,-0.36,-0.0724
"America","Brazil","Brazil – Ceara","CE",48194,-0.551,0.117,-0.785,-0.334
"America","Brazil","Brazil – Espirito Santo","ES",416514,-0.193,0.083,-0.36,-0.0306
"America","Brazil","Brazil – Goias","GO",480568,NA,NA,NA,NA
"America","Brazil","Brazil – Maranhao","MA",3929775,-0.202,0.0961,-0.39,-0.0241
"America","Brazil","Brazil – Mato Grosso","MT",33282507,-0.427,0.0701,-0.56,-0.295
"America","Brazil","Brazil – Mato Grosso do Sul","MS",735575,NA,NA,NA,NA
"America","Brazil","Brazil – Minas Gerais","MG",1277155,-0.153,0.087,-0.318,0.0329
"America","Brazil","Brazil – Para","PA",91982099,-1.18,0.0588,-1.28,-1.05
"America","Brazil","Brazil – Paraiba","PB",40834,-0.693,0.113,-0.936,-0.477
"America","Brazil","Brazil – Parana","PR",2673110,-0.339,0.0819,-0.506,-0.186
"America","Brazil","Brazil – Pernambouco","PE",118577,-0.558,0.0931,-0.733,-0.378
"America","Brazil","Brazil – Piaui","PI",74304,NA,NA,NA,NA
"America","Brazil","Brazil – Rio de Janeiro","RJ",735882,-0.22,0.0675,-0.369,-0.0933
