"cont","year","fc","perc"
"Africa",2000,274993405,0
"America",2000,687338828,0
"Asia",2000,297089526,0
"Africa",2010,258401297,6.03363851580368
"America",2010,646684903,5.91468477319893
"Asia",2010,268058087,9.77194968495793
"Africa",2020,239681325,12.841064315706
"America",2020,621229023,9.61822645642827
"Asia",2020,248035053,16.5116803882208
"Africa",2021,237254756,13.7234742047723
"America",2021,617974328,10.0917476467661
"Asia",2021,245402740,17.3977139806672
"Africa",2022,234828187,14.6058840938385
"America",2022,614719633,10.565268837104
"Asia",2022,242770427,18.2837475731137
"Africa",2023,232401618,15.4882939829048
"America",2023,611464938,11.0387900274419
"Asia",2023,240138114,19.1697811655602
"Africa",2024,229975049,16.370703871971
"America",2024,608210243,11.5123112177798
"Asia",2024,237505801,20.0558147580066
"Africa",2025,227548480,17.2531137610373
"America",2025,604955548,11.9858324081176
"Asia",2025,234873488,20.9418483504531
"Africa",2026,225121911,18.1355236501035
"America",2026,601700853,12.4593535984555
"Asia",2026,232241175,21.8278819428996
"Africa",2027,222695342,19.0179335391698
"America",2027,598446168,12.9328733339069
"Asia",2027,229608862,22.7139155353461
"Africa",2028,220268773,19.900343428236
"America",2028,595191524,13.4063871043235
"Asia",2028,226976549,23.5999491277925
"Africa",2029,217843118,20.782420945695
"America",2029,591936891,13.8798992743649
"Asia",2029,224344236,24.485982720239
"Africa",2030,215420953,21.6632293418091
"America",2030,588682258,14.3534114444063
"Asia",2030,221711923,25.3720163126855
"Africa",2031,212998788,22.5440377379232
"America",2031,585427625,14.8269236144477
"Asia",2031,219079610,26.258049905132
"Africa",2032,210576623,23.4248461340373
"America",2032,582173101,15.300419926226
"Asia",2032,216447297,27.1440834975784
"Africa",2033,208322782,24.2444443349469
"America",2033,578918632,15.7739082361283
"Asia",2033,213814984,28.0301170900249
"Africa",2034,206331729,24.9684809713891
"America",2034,575664163,16.2473965460307
"Asia",2034,211182671,28.9161506824714
"Africa",2035,204341422,25.6922463285983
"America",2035,572409694,16.7208848559331
"Asia",2035,208550358,29.8021842749179
"Africa",2036,202352529,26.415497491658
"America",2036,569155225,17.1943731658355
"Asia",2036,205918045,30.6882178673643
"Africa",2037,200392474,27.1282618577707
"America",2037,565900756,17.6678614757378
"Asia",2037,203285732,31.5742514598108
"Africa",2038,198459881,27.8310398025727
"America",2038,562646287,18.1413497856402
"Asia",2038,200653419,32.4602850522573
"Africa",2039,196569386,28.5185090166071
"America",2039,559391818,18.6148380955426
"Asia",2039,198021106,33.3463186447038
"Africa",2040,194678891,29.2059782306416
"America",2040,556137349,19.088326405445
"Asia",2040,195495638,34.1963883304321
"Africa",2041,192788396,29.893447444676
"America",2041,552882880,19.5618147153473
"Asia",2041,193006342,35.0342825616814
