"cont","year","fc","perc"
"Africa",2000,275709298,0
"America",2000,690336658,0
"Asia",2000,301390609,0
"Africa",2010,259665217,5.81920200602012
"America",2010,648915831,6.00009090057622
"Asia",2010,270678672,10.1900776211644
"Africa",2020,238791330,13.3901788107269
"America",2020,621159873,10.020731797789
"Asia",2020,246894284,18.0816267569903
"Africa",2021,236615242,14.1794478037516
"America",2021,618268277,10.4395993121374
"Asia",2021,244361357,18.9220401356301
"Africa",2022,234439154,14.9687167967763
"America",2022,615376681,10.8584668264857
"Asia",2022,241828430,19.7624535142699
"Africa",2023,232263066,15.757985789801
"America",2023,612485085,11.277334340834
"Asia",2023,239295503,20.6028668929097
"Africa",2024,230086978,16.5472547828256
"America",2024,609593489,11.6962018551824
"Asia",2024,236762576,21.4432802715495
"Africa",2025,227910890,17.3365237758503
"America",2025,606701893,12.1150693695307
"Asia",2025,234229649,22.2836936501893
"Africa",2026,225734802,18.125792768875
"America",2026,603810297,12.5339368838791
"Asia",2026,231696722,23.1241070288292
"Africa",2027,223558714,18.9150617618997
"America",2027,600918701,12.9528043982274
"Asia",2027,229163795,23.964520407469
"Africa",2028,221382626,19.7043307549243
"America",2028,598027105,13.3716719125757
"Asia",2028,226630868,24.8049337861088
"Africa",2029,219206538,20.493599747949
"America",2029,595135518,13.7905381232123
"Asia",2029,224097941,25.6453471647486
"Africa",2030,217030450,21.2828687409737
"America",2030,592243963,14.2093996984295
"Asia",2030,221565014,26.4857605433884
"Africa",2031,214855451,22.0717427527598
"America",2031,589352408,14.6282612736466
"Asia",2031,219032087,27.3261739220282
"Africa",2032,212682951,22.8597103750922
"America",2032,586460853,15.0471228488637
"Asia",2032,216499160,28.166587300668
"Africa",2033,210592338,23.6179775119517
"America",2033,583569298,15.4659844240808
"Asia",2033,213966233,29.0070006793078
"Africa",2034,208532288,24.365159422371
"America",2034,580677743,15.8848459992979
"Asia",2034,211433306,29.8474140579476
"Africa",2035,206481349,25.1090367652381
"America",2035,577786188,16.303707574515
"Asia",2035,208900379,30.6878274365874
"Africa",2036,204680039,25.7623734546667
"America",2036,574894633,16.7225691497322
"Asia",2036,206367452,31.5282408152273
"Africa",2037,202879725,26.4153488940369
"America",2037,572003078,17.1414307249493
"Asia",2037,203834525,32.3686541938671
"Africa",2038,201120880,27.0532834913678
"America",2038,569111578,17.5602843330391
"Asia",2038,201301598,33.2090675725069
"Africa",2039,199366989,27.6894212686291
"America",2039,566220129,17.9791305534292
"Asia",2039,198768671,34.0494809511467
"Africa",2040,197639769,28.3158854512045
"America",2040,563328680,18.3979767738192
"Asia",2040,196235744,34.8898943297865
"Africa",2041,195929242,28.9362950682933
"America",2041,560437231,18.8168229942093
"Asia",2041,193702817,35.7303077084263
"Africa",2042,194223341,29.5550268311952
"America",2042,557545782,19.2356692145994
"Asia",2042,191169890,36.5707210870661
"Africa",2043,192518120,30.1735119575111
"America",2043,554654333,19.6545154349894
"Asia",2043,188636963,37.4111344657059
"Africa",2044,190812899,30.791997083827
"America",2044,551762884,20.0733616553795
"Asia",2044,186104036,38.2515478443457
"Africa",2045,189107767,31.4104499297662
"America",2045,548871435,20.4922078757695
"Asia",2045,183571109,39.0919612229856
"Africa",2046,187403039,32.0287562445573
"America",2046,545983843,20.910495383254
"Asia",2046,181109570,39.9086883957954
"Africa",2047,185698311,32.6470625593483
"America",2047,543125212,21.3245876912421
"Asia",2047,178686785,40.7125571719456
"Africa",2048,183996154,33.2644363702235
"America",2048,540279304,21.7368369854118
"Asia",2048,176264000,41.5164259480958
"Africa",2049,182367630,33.8551034285394
"America",2049,537433396,22.1490862795816
"Asia",2049,173841215,42.320294724246
"Africa",2050,180851009,34.4051831723136
"America",2050,534587488,22.5613355737513
"Asia",2050,171418430,43.1241635003963
"Africa",2051,179337079,34.9542868880686
"America",2051,531741580,22.9735848679211
"Asia",2051,168995645,43.9280322765465
"Africa",2052,177825458,35.5025531275336
"America",2052,528895672,23.3858341620908
"Asia",2052,166572860,44.7319010526967
"Africa",2053,176316593,36.0498197634234
"America",2053,526049764,23.7980834562606
"Asia",2053,164150075,45.5357698288469
"Africa",2054,174807728,36.5970863993132
"America",2054,523203856,24.2103327504303
"Asia",2054,161727290,46.3396386049971
"Africa",2055,173298863,37.144353035203
"America",2055,520358464,24.6225072984607
"Asia",2055,159304505,47.1435073811474
"Africa",2056,171790068,37.6915942820325
"America",2056,517609027,25.0207821065762
"Asia",2056,156881720,47.9473761572976
"Africa",2057,170393934,38.197973287067
"America",2057,514859639,25.4190498167055
"Asia",2057,154458935,48.7512449334478
"Africa",2058,169015333,38.697993057891
"America",2058,512110377,25.8172992748706
"Asia",2058,152036150,49.555113709598
"Africa",2059,167636732,39.198012828715
"America",2059,509361115,26.2155487330357
"Asia",2059,149614444,50.3586244785749
"Africa",2060,166266351,39.6950511984547
"America",2060,506611853,26.6137981912008
"Asia",2060,147193616,51.1618439312421
"Africa",2061,164906685,40.1882032284599
"America",2061,503862591,27.0120476493659
"Asia",2061,144797765,51.9567761316677
"Africa",2062,163547019,40.681355258465
"America",2062,501113329,27.410297107531
"Asia",2062,142431217,52.7419857332051
"Africa",2063,162187353,41.1745072884702
