"cont","year","fc","perc"
"Africa",2000,274993405,0
"America",2000,687338828,0
"Asia",2000,297089526,0
"Africa",2010,258401297,6.03363851580368
"America",2010,646684903,5.91468477319893
"Asia",2010,268058087,9.77194968495793
"Africa",2020,239681325,12.841064315706
"America",2020,621229023,9.61822645642827
"Asia",2020,248035053,16.5116803882208
"Africa",2021,238365428,13.3195837914731
"America",2021,619392925,9.8853578805823
"Asia",2021,246663759,16.9732564048724
"Africa",2022,237049531,13.7981032672402
"America",2022,617556827,10.1524893047363
"Asia",2022,245292465,17.434832421524
"Africa",2023,235733634,14.2766227430072
"America",2023,615720729,10.4196207288904
"Asia",2023,243921171,17.8964084381756
"Africa",2024,234417737,14.7551422187743
"America",2024,613884631,10.6867521530444
"Asia",2024,242549877,18.3579844548273
"Africa",2025,233101840,15.2336616945414
"America",2025,612048533,10.9538835771984
"Asia",2025,241178583,18.8195604714789
"Africa",2026,231785943,15.7121811703084
"America",2026,610212435,11.2210150013524
"Asia",2026,239807289,19.2811364881305
"Africa",2027,230470046,16.1907006460755
"America",2027,608376337,11.4881464255065
"Asia",2027,238435995,19.7427125047821
"Africa",2028,229154149,16.6692201218426
"America",2028,606540239,11.7552778496605
"Asia",2028,237064701,20.2042885214338
"Africa",2029,227838252,17.1477395976096
"America",2029,604704141,12.0224092738145
"Asia",2029,235693407,20.6658645380854
"Africa",2030,226522355,17.6262590733767
"America",2030,602868043,12.2895406979685
"Asia",2030,234322113,21.127440554737
"Africa",2031,225206458,18.1047785491438
"America",2031,601031945,12.5566721221226
"Asia",2031,232950819,21.5890165713887
"Africa",2032,223890561,18.5832980249108
"America",2032,599195847,12.8238035462766
"Asia",2032,231579525,22.0505925880403
"Africa",2033,222574664,19.0618175006779
"America",2033,597359749,13.0909349704306
"Asia",2033,230208231,22.5121686046919
"Africa",2034,221258767,19.5403369764449
"America",2034,595523651,13.3580663945847
"Asia",2034,228836937,22.9737446213435
"Africa",2035,219942870,20.018856452212
"America",2035,593687553,13.6251978187387
"Asia",2035,227465643,23.4353206379952
"Africa",2036,218626973,20.4973759279791
"America",2036,591851455,13.8923292428927
"Asia",2036,226094349,23.8968966546468
"Africa",2037,217311076,20.9758954037461
"America",2037,590015357,14.1594606670467
"Asia",2037,224723055,24.3584726712984
"Africa",2038,215995179,21.4544148795132
"America",2038,588179259,14.4265920912008
"Asia",2038,223351761,24.82004868795
"Africa",2039,214679282,21.9329343552803
"America",2039,586343161,14.6937235153548
"Asia",2039,221980467,25.2816247046017
"Africa",2040,213363385,22.4114538310473
"America",2040,584507063,14.9608549395088
"Asia",2040,220609173,25.7432007212533
"Africa",2041,212048477,22.8896136618258
"America",2041,582670965,15.2279863636628
"Asia",2041,219237879,26.2047767379049
