"cont","mod","D","AUC","OA","FOM","TSS"
"Africa","glm",40.5554903420817,89.3021145657152,81.6400055585031,69.0300349212416,63.4210795170231
"Africa","icar",51.1487448299029,91.3736717454696,83.6996460565691,72.2496635318763,68.0964642923696
"Africa","rf",86.8778468798377,89.9055777010246,82.5109017622615,71.1254984566334,65.4663426088209
"America","glm",43.4395317953081,90.0554577730169,83.2250080494273,71.5311325764538,66.2814078090886
"America","icar",54.4919591203737,92.1635250475922,85.4821423792254,74.6262950556687,71.0476334598772
"America","rf",88.3258360849629,92.6658058661889,85.8629255969136,75.4110944582699,71.6043543833432
"Asia","glm",29.291066109396,84.4569202221226,76.7851345836242,62.403578578137,53.6026520690918
"Asia","icar",43.7205232509871,88.3480042938489,80.9860320121592,67.6816135961615,61.5387113633893
"Asia","rf",83.5611041475445,86.677900309459,78.9354509099209,65.1653734180967,57.9084078499126
"Brazil","glm",41.1591283829383,88.4163190351575,81.2582604947773,68.7001018029869,62.5456485666423
"Brazil","icar",57.7589693482539,92.5270052758103,85.8432130728799,75.9319672120635,71.9714885131104
"Brazil","rf",87.5664262305508,91.5165948540689,84.5057282241641,74.0463229772678,69.3635139329201
