"area_cont","area_ctry","area_name","area_code","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"America","Antigua and B.","Antigua and B.","ATG","icar",34,87,80,54,56,72,84,56,56,9876,5777
"America","Antigua and B.","Antigua and B.","ATG","glm",25,81,74,54,48,65,80,44,44,9876,5777
"America","Antigua and B.","Antigua and B.","ATG","rf",70,84,76,53,52,68,81,49,49,9876,5777
"America","Bahamas","Bahamas","BHS","icar",39,88,80,50,66,80,80,59,59,9910,9932
"America","Bahamas","Bahamas","BHS","glm",17,78,71,50,55,71,71,42,42,9910,9932
"America","Bahamas","Bahamas","BHS","rf",82,82,74,50,59,74,74,48,48,9910,9932
"America","Barbados","Barbados","BRB","icar",14,76,69,51,46,63,74,37,37,9964,7004
"America","Barbados","Barbados","BRB","glm",13,74,68,51,44,61,72,34,34,9964,7004
"America","Barbados","Barbados","BRB","rf",82,86,78,51,57,73,81,54,54,9964,7004
"America","Belize","Belize","BLZ","icar",40,89,80,50,67,80,80,60,60,9999,9999
"America","Belize","Belize","BLZ","glm",24,81,72,50,57,72,72,45,45,9999,9999
"America","Belize","Belize","BLZ","rf",83,88,79,50,65,79,79,58,58,9999,9999
"America","Bolivia","Bolivia","BOL","icar",47,91,83,50,71,83,83,66,66,30485,30485
"America","Bolivia","Bolivia","BOL","glm",34,87,79,50,65,79,79,58,58,30485,30485
"America","Bolivia","Bolivia","BOL","rf",85,90,82,50,70,82,82,64,64,30485,30485
"America","Brazil","Brazil – Acre","AC","icar",63,95,89,50,79,89,89,77,77,13307,13307
"America","Brazil","Brazil – Acre","AC","glm",59,94,88,50,78,88,88,76,76,13307,13307
"America","Brazil","Brazil – Acre","AC","rf",91,94,88,50,78,88,88,75,75,13307,13307
"America","Brazil","Brazil – Alagoas","AL","icar",27,83,75,50,60,75,75,50,50,9999,10000
"America","Brazil","Brazil – Alagoas","AL","glm",20,80,73,50,57,73,73,45,45,9999,10000
"America","Brazil","Brazil – Alagoas","AL","rf",81,84,75,50,60,75,75,51,51,9999,10000
"America","Brazil","Brazil – Amapa","AP","icar",67,96,91,50,83,90,91,81,81,11563,11564
"America","Brazil","Brazil – Amapa","AP","glm",62,95,89,50,80,89,89,78,78,11563,11564
"America","Brazil","Brazil – Amapa","AP","rf",92,96,91,50,83,91,91,82,82,11563,11564
"America","Brazil","Brazil – Amazonas","AM","icar",70,96,91,50,83,91,91,81,81,50000,50000
"America","Brazil","Brazil – Amazonas","AM","glm",51,93,85,50,74,85,85,70,70,50000,50000
"America","Brazil","Brazil – Amazonas","AM","rf",93,97,92,50,84,92,92,83,83,50000,50000
"America","Brazil","Brazil – Bahia","BA","icar",28,83,75,50,60,75,75,50,50,9989,9998
"America","Brazil","Brazil – Bahia","BA","glm",17,78,72,50,56,72,72,44,44,9989,9998
"America","Brazil","Brazil – Bahia","BA","rf",80,80,73,50,58,73,73,46,46,9989,9998
"America","Brazil","Brazil – Ceara","CE","icar",28,83,75,50,60,75,75,50,50,9996,9999
"America","Brazil","Brazil – Ceara","CE","glm",14,75,67,50,50,67,67,34,34,9996,9999
"America","Brazil","Brazil – Ceara","CE","rf",69,77,69,50,53,69,69,38,38,9996,9999
"America","Brazil","Brazil – Espirito Santo","ES","icar",30,85,77,50,63,77,77,55,55,9998,10000
"America","Brazil","Brazil – Espirito Santo","ES","glm",18,79,73,50,57,73,73,46,46,9998,10000
"America","Brazil","Brazil – Espirito Santo","ES","rf",81,84,76,50,61,76,76,53,53,9998,10000
"America","Brazil","Brazil – Goias","GO","icar",18,75,69,50,52,69,69,38,38,10000,10000
"America","Brazil","Brazil – Goias","GO","glm",9,72,67,50,50,67,67,34,34,10000,10000
"America","Brazil","Brazil – Goias","GO","rf",76,73,67,50,50,67,67,34,34,10000,10000
"America","Brazil","Brazil – Maranhao","MA","icar",38,86,77,50,63,77,78,55,55,9985,9998
"America","Brazil","Brazil – Maranhao","MA","glm",23,81,73,50,58,73,73,47,47,9985,9998
"America","Brazil","Brazil – Maranhao","MA","rf",79,78,70,50,54,70,70,41,41,9985,9998
