"area_cont","area_ctry","area_name","area_code","Mean","Sd","CI_low","CI_high","sign"
"America","Antigua and B.","Antigua and B.","ATG",NA,NA,NA,NA,0
"America","Bahamas","Bahamas","BHS",NA,NA,NA,NA,0
"America","Barbados","Barbados","BRB",NA,NA,NA,NA,0
"America","Belize","Belize","BLZ",-0.169,0.0611,-0.299,-0.0512,1
"America","Bolivia","Bolivia","BOL",-0.333,0.0443,-0.421,-0.252,1
"America","Brazil","Brazil – Acre","AC",NA,NA,NA,NA,0
"America","Brazil","Brazil – Alagoas","AL",-0.116,0.031,-0.176,-0.0551,1
"America","Brazil","Brazil – Amapa","AP",-0.293,0.181,-0.635,0.0118,0
"America","Brazil","Brazil – Amazonas","AM",-0.721,0.119,-0.917,-0.493,1
"America","Brazil","Brazil – Bahia","BA",-0.0497,0.0253,-0.101,-0.000801,1
"America","Brazil","Brazil – Ceara","CE",NA,NA,NA,NA,0
"America","Brazil","Brazil – Espirito Santo","ES",-0.0684,0.0259,-0.118,-0.0166,1
"America","Brazil","Brazil – Goias","GO",NA,NA,NA,NA,0
"America","Brazil","Brazil – Maranhao","MA",NA,NA,NA,NA,0
"America","Brazil","Brazil – Mato Grosso","MT",-0.252,0.0577,-0.369,-0.145,1
"America","Brazil","Brazil – Mato Grosso do Sul","MS",NA,NA,NA,NA,0
"America","Brazil","Brazil – Minas Gerais","MG",-0.0691,0.0296,-0.127,-0.0151,1
"America","Brazil","Brazil – Para","PA",-0.544,0.105,-0.74,-0.309,1
"America","Brazil","Brazil – Paraiba","PB",NA,NA,NA,NA,0
"America","Brazil","Brazil – Parana","PR",NA,NA,NA,NA,0
"America","Brazil","Brazil – Pernambouco","PE",-0.148,0.0288,-0.205,-0.0915,1
"America","Brazil","Brazil – Piaui","PI",-0.0413,0.0403,-0.123,0.0311,0
"America","Brazil","Brazil – Rio de Janeiro","RJ",-0.0995,0.0372,-0.176,-0.0305,1
"America","Brazil","Brazil – Rio Grande do Norte","RN",-0.0943,0.0291,-0.153,-0.0344,1
"America","Brazil","Brazil – Rio Grande do Sul","RS",NA,NA,NA,NA,0
"America","Brazil","Brazil – Rondonia","RO",-0.24,0.0943,-0.422,-0.06,1
"America","Brazil","Brazil – Roraima","RR",NA,NA,NA,NA,0
"America","Brazil","Brazil – Santa Catarina","SC",NA,NA,NA,NA,0
"America","Brazil","Brazil – Sao Paulo","SP",-0.095,0.039,-0.17,-0.018,1
"America","Brazil","Brazil – Sergipe","SE",NA,NA,NA,NA,0
"America","Brazil","Brazil – Tocantins","TO",0.00998,0.0462,-0.0751,0.0947,0
"America","Colombia","Colombia","COL",-0.817,0.118,-0.973,-0.506,1
"America","Costa Rica","Costa Rica","CRI",-0.0602,0.0575,-0.177,0.0503,0
"America","Cuba","Cuba","CUB",-0.147,0.0613,-0.279,-0.0452,1
"America","Dominica","Dominica","DMA",NA,NA,NA,NA,0
"America","Dominican Rep.","Dominican Rep.","DOM",NA,NA,NA,NA,0
"America","Ecuador","Ecuador","ECU",-0.455,0.0946,-0.639,-0.253,1
"America","El Salvador","El Salvador","SLV",-0.0678,0.0309,-0.13,-0.00826,1
"America","French Guiana","French Guiana","GUF",-0.894,0.574,-1.96,0.0308,0
"America","Grenada","Grenada","GRD",-0.232,0.0877,-0.457,-0.0956,1
"America","Guadeloupe","Guadeloupe","GLP",-0.0387,0.0662,-0.165,0.089,0
"America","Guatemala","Guatemala","GTM",-0.156,0.0789,-0.304,-0.0197,1
"America","Guyana","Guyana","GUY",-0.221,0.181,-0.492,0.147,0
"America","Haiti","Haiti","HTI",-0.124,0.0298,-0.186,-0.069,1
"America","Honduras","Honduras","HND",NA,NA,NA,NA,0
"America","Jamaica","Jamaica","JAM",-0.0672,0.0317,-0.134,-0.00504,1
"America","Martinique","Martinique","MTQ",-0.0198,0.0403,-0.0993,0.0584,0
"America","Mexico","Mexico","MEX",-0.0564,0.0365,-0.129,0.018,0
"America","Montserrat","Montserrat","MSR",NA,NA,NA,NA,0
"America","Nicaragua","Nicaragua","NIC",-0.178,0.0641,-0.298,-0.0498,1
"America","Panama","Panama","PAN",-0.521,0.0648,-0.649,-0.395,1
"America","Paraguay","Paraguay","PRY",-0.0582,0.0283,-0.114,-0.00289,1
"America","Peru","Peru","PER",-0.531,0.0958,-0.692,-0.364,1
"America","Puerto Rico","Puerto Rico","PRI",NA,NA,NA,NA,0
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",NA,NA,NA,NA,0
"America","Saint Lucia","Saint Lucia","LCA",-0.044,0.0616,-0.168,0.084,0
